#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 50396 48891 0 48890 20 126109520 48869 127467516 450 1357996 0 1 1 192.168.101.1 22.0 13247.0 0.0 13247.0 12134.0 43176.0 1111.0 43176.0 0.0 0.0 0.0 1.0 1.0 1565393297992.411 1565393301367.872 3375.461 31.035 39.242 3340.899 3310.087 30.682 31.066 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.032537 0.002 42.269 0.5421779999999999 11983.0 63.0 63.0 30.442838000000002 30.006 71.611 1.812227 1101.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4.0 1460.0 44888.0 16.0 64256.0 64128.0 0.0 114940.0 16.0 32.0 0.0 0.0 0.0 64.0 400.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 447.0 1460.0 1080.0 28.0 3145472.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7453.0 1111.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50404 44241 0 44240 25 113497512 44214 114759856 437 1262344 0 1 1 192.168.101.1 22.0 12803.0 0.0 12803.0 11799.0 39144.0 1002.0 39144.0 0.0 0.0 0.0 1.0 1.0 1565393302470.9883 1565393305571.962 3100.974 30.953 40.071 3066.552 3035.774 30.715 30.962 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.034386 0.002 43.893 0.682178 11629.0 63.0 63.0 30.429934000000003 29.935 77.435 2.067338 993.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 9.0 1460.0 31856.0 16.0 64256.0 64128.0 0.0 2038020.0 16.0 32.0 0.0 0.0 0.0 78.0 375.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 458.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6682.0 1002.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50406 29247 0 29246 19 92481344 29226 93485916 299 1004572 0 1 1 192.168.101.1 22.0 10052.0 0.0 10052.0 9232.0 32484.0 818.0 32484.0 0.0 0.0 0.0 1.0 1.0 1565393306447.255 1565393309163.992 2716.737 30.883 39.424 2681.311 2650.561 30.536 30.894 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.043981 0.002 42.306 0.7616970000000001 9089.0 63.0 63.0 30.409142 29.955 72.168 2.132358 810.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4.0 1460.0 28960.0 16.0 64256.0 64128.0 0.0 65680.0 16.0 32.0 0.0 0.0 0.0 78.0 260.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 299.0 1460.0 1080.0 28.0 3144960.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5405.0 818.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50408 33668 0 33667 30 88277824 33636 89061584 267 783760 0 1 1 192.168.101.1 22.0 10989.0 0.0 10989.0 10205.0 31332.0 782.0 31332.0 0.0 0.0 0.0 1.0 1.0 1565393310029.122 1565393312702.684 2673.562 30.647 39.437 2639.663 2608.876 30.479 30.658 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.036983999999999996 0.002 43.715 0.726843 10178.0 63.0 63.0 30.395894000000002 29.958 75.876 2.268901 772.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 12.0 1460.0 41992.0 16.0 64256.0 64128.0 0.0 131360.0 16.0 32.0 0.0 0.0 0.0 41.0 238.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 263.0 1460.0 1080.0 28.0 3145728.0 62848.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5147.0 782.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50418 37619 0 37618 28 113498960 37589 114934656 409 1435696 0 1 1 192.168.101.1 22.0 15304.0 0.0 15304.0 14298.0 39360.0 1004.0 39360.0 0.0 0.0 0.0 1.0 1.0 1565393313815.986 1565393316862.1167 3046.131 30.973 38.898 3011.677 2980.975 30.677 30.982 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.032675 0.002 42.907 0.611934 14163.0 63.0 63.0 30.357383000000002 29.953 78.574 2.093798 992.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 11.0 1460.0 30408.0 16.0 64256.0 64128.0 0.0 68576.0 16.0 32.0 0.0 0.0 0.0 133.0 341.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 393.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6682.0 1004.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50432 37996 0 37995 31 113498960 37963 114750704 372 1251744 0 1 1 192.168.101.1 22.0 11647.0 0.0 11647.0 10643.0 39216.0 1002.0 39216.0 0.0 0.0 0.0 1.0 1.0 1565393317975.173 1565393321014.8125 3039.64 30.888 39.243 3005.648 2975.128 30.789 30.898 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.045965 0.002 42.387 0.711074 10568.0 63.0 63.0 30.348046999999998 29.926 77.276 2.074302 992.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 15.0 1460.0 49232.0 16.0 64256.0 64128.0 0.0 88384.0 16.0 32.0 0.0 0.0 0.0 144.0 298.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 363.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6684.0 1002.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50438 32100 0 32099 35 92479896 32063 93387312 293 907416 0 1 1 192.168.101.1 22.0 9032.0 0.0 9032.0 8211.0 32556.0 819.0 32556.0 0.0 0.0 0.0 1.0 1.0 1565393322521.0725 1565393325280.0168 2758.944 30.898 40.193 2724.688 2693.944 30.601 30.908 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.044488 0.002 43.359 0.8193239999999999 8060.0 63.0 63.0 30.414471999999996 29.93 78.737 2.335172 818.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 13.0 1460.0 37648.0 16.0 64256.0 64128.0 0.0 2033184.0 16.0 32.0 0.0 0.0 0.0 73.0 247.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 313.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5404.0 819.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50440 27510 0 27509 23 84074304 27485 84821372 209 747068 0 1 1 192.168.101.1 22.0 7077.0 0.0 7077.0 6328.0 29964.0 747.0 29964.0 0.0 0.0 0.0 1.0 1.0 1565393326124.3867 1565393328727.403 2603.016 30.903 40.088 2567.885 2537.199 30.729 30.913 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.056887 0.002 43.957 0.9507399999999999 6265.0 63.0 63.0 30.434540000000002 29.913 75.878 2.4264740000000002 739.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 8.0 1460.0 41992.0 16.0 64256.0 64128.0 0.0 63712.0 16.0 32.0 0.0 0.0 0.0 83.0 163.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 212.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4897.0 747.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50442 35536 0 35535 25 105091920 35509 106071792 278 979872 0 1 1 192.168.101.1 22.0 11898.0 0.0 11898.0 10968.0 36912.0 928.0 36912.0 0.0 0.0 0.0 1.0 1.0 1565393329762.806 1565393332799.211 3036.405 30.989 39.909 3002.072 2971.153 30.608 30.997 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.040993 0.002 43.485 0.6959310000000001 10950.0 63.0 63.0 30.335619 29.904 76.116 2.1206270000000003 919.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 9.0 1460.0 33304.0 16.0 64256.0 64128.0 0.0 164200.0 16.0 32.0 0.0 0.0 0.0 116.0 232.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 280.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6171.0 928.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50454 37298 0 37297 27 109295440 37269 110387272 334 1091832 0 1 1 192.168.101.1 22.0 9486.0 0.0 9486.0 8518.0 38028.0 966.0 38028.0 0.0 0.0 0.0 1.0 1.0 1565393333927.508 1565393336911.2197 2983.712 30.654 39.19 2948.551 2917.655 30.413 30.664 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0495 0.002 41.579 0.7806930000000001 8432.0 63.0 63.0 30.409903000000003 29.923 78.485 2.144025 957.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 11.0 1460.0 28960.0 16.0 64256.0 64128.0 0.0 66608.0 16.0 32.0 0.0 0.0 0.0 138.0 253.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 333.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6430.0 966.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
