#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 47018 354696 0 354695 546 1118141738 354148 1174107276 14406 55965538 0 1 1 192.168.101.1 22.0 161795.0 0.0 161795.0 152046.0 356016.0 9747.0 356016.0 0.0 0.0 0.0 1.0 1.0 1565435211606.451 1565435305348.396 93741.945 31.256 39.461 93708.154 93677.479 31.057 31.267 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.029674000000000002 0.002 42.411 0.19855899999999999 139050.0 63.0 63.0 33.341546 29.954 76.593 1.9267990000000002 9686.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 488.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 65160.0 16.0 32.0 0.0 0.0 0.0 4233.0 11821.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 14346.0 1460.0 1100.0 28.0 3145088.0 64128.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 826.0 9747.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47142 376270 0 376269 641 1219026217 375627 1279667832 15398 60641615 0 1 1 192.168.101.1 22.0 170966.0 0.0 170966.0 160391.0 387408.0 10573.0 387408.0 0.0 0.0 0.0 1.0 1.0 1565435322401.453 1565435424933.0918 102531.639 31.485 39.613 102495.275 102464.386 31.282 31.496 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.028446 0.002 44.045 0.202173 146527.0 63.0 63.0 33.340354999999995 29.983 77.509 1.818786 10514.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 602.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 66608.0 16.0 32.0 0.0 0.0 0.0 4770.0 12488.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 15248.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 768.0 10573.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47288 391695 0 391694 645 1227431809 391048 1286865828 15488 59434019 0 1 1 192.168.101.1 22.0 175317.0 0.0 175317.0 164599.0 391872.0 10716.0 391872.0 0.0 0.0 0.0 1.0 1.0 1565435441757.1262 1565435544659.286 102902.16 31.676 41.349 102867.909 102837.112 31.495 31.688 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.029037999999999998 0.001 43.98 0.194214 150583.0 63.0 63.0 33.286081 29.957 75.995 1.7487869999999999 10636.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 563.0 1460.0 43440.0 12.0 64256.0 63744.0 0.0 789160.0 16.0 32.0 0.0 0.0 0.0 4624.0 12626.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 15363.0 1460.0 1100.0 28.0 3145728.0 61952.0 0.0 2448.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 777.0 10716.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47424 337097 0 337096 596 1084512130 336499 1140281168 14309 55769038 0 1 1 192.168.101.1 22.0 157213.0 0.0 157213.0 147750.0 347340.0 9461.0 347340.0 0.0 0.0 0.0 1.0 1.0 1565435559950.935 1565435650881.376 90930.441 31.791 39.929 90896.446 90865.63 31.636 31.8 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.028217000000000002 0.002 41.338 0.19901 134825.0 63.0 63.0 33.292091 29.931 76.571 1.7814349999999999 9379.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 560.0 1460.0 65160.0 16.0 64256.0 63872.0 0.0 822464.0 16.0 32.0 0.0 0.0 0.0 4300.0 11696.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 14246.0 1460.0 1100.0 28.0 3145728.0 62976.0 0.0 2520.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 805.0 9461.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47542 321074 0 321073 515 1055087437 320557 1109089816 13467 54002379 0 1 1 192.168.101.1 22.0 148801.0 0.0 148801.0 139607.0 335064.0 9192.0 335064.0 0.0 0.0 0.0 1.0 1.0 1565435665970.3247 1565435754427.56 88457.235 31.538 40.434 88421.238 88390.261 31.338 31.547 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.028049 0.001 47.485 0.214921 127552.0 63.0 63.0 33.356996 30.02 75.128 2.0307310000000003 9124.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 469.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 65160.0 16.0 32.0 0.0 0.0 0.0 4404.0 10867.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 13369.0 1460.0 1080.0 28.0 3145728.0 62592.0 0.0 1116.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 775.0 9192.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47660 339278 0 339277 526 1139159340 338750 1195849416 14249 56690076 0 1 1 192.168.101.1 22.0 156455.0 0.0 156455.0 146525.0 362712.0 9928.0 362712.0 0.0 0.0 0.0 1.0 1.0 1565435771646.4482 1565435867960.484 96314.036 31.778 40.446 96279.569 96248.788 31.604 31.788 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.027499000000000003 0.002 41.232 0.199533 133782.0 63.0 63.0 33.334191 29.96 75.87 1.8525909999999999 9857.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 465.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 85488.0 16.0 32.0 0.0 0.0 0.0 4686.0 11423.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 14091.0 1460.0 1100.0 28.0 3145728.0 63872.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1176.0 9928.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47800 341694 0 341693 561 1122345260 341131 1177698828 13898 55353568 0 1 1 192.168.101.1 22.0 156841.0 0.0 156841.0 147058.0 359004.0 9781.0 359004.0 0.0 0.0 0.0 1.0 1.0 1565435884607.123 1565435978675.454 94068.331 31.711 39.821 94034.355 94003.629 31.42 31.722 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.027772 0.002 47.57 0.20886799999999997 134646.0 63.0 63.0 33.386987 29.916 76.294 2.00874 9696.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 522.0 1460.0 65160.0 16.0 64256.0 64000.0 0.0 94176.0 16.0 32.0 0.0 0.0 0.0 4598.0 11164.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 13819.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 2556.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1034.0 9781.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47922 395722 0 395721 625 1261058523 395095 1326203952 16789 65145429 0 1 1 192.168.101.1 22.0 181048.0 0.0 181048.0 170114.0 401016.0 10932.0 401016.0 0.0 0.0 0.0 1.0 1.0 1565435996920.81 1565436102951.849 106031.039 31.804 40.801 105997.206 105966.414 31.741 31.813 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.028316 0.002 45.961 0.197414 154801.0 63.0 63.0 33.353491 29.958 77.202 1.960173 10861.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 571.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 818120.0 16.0 32.0 0.0 0.0 0.0 5031.0 13697.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 16709.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1346.0 10932.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48062 355878 0 355877 581 1155973419 355295 1212256448 14364 56283029 0 1 1 192.168.101.1 22.0 163102.0 0.0 163102.0 153005.0 371820.0 10095.0 371820.0 0.0 0.0 0.0 1.0 1.0 1565436119988.0488 1565436216836.216 96848.167 31.39 38.76 96814.265 96783.439 31.245 31.399 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.028277999999999998 0.002 41.18 0.19509300000000002 140224.0 63.0 63.0 33.308875 29.969 72.501 1.754962 10011.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 513.0 1460.0 65160.0 16.0 64256.0 64000.0 0.0 65160.0 16.0 32.0 0.0 0.0 0.0 4517.0 11680.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 14245.0 1460.0 1100.0 28.0 3145088.0 64128.0 0.0 2808.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1055.0 10095.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48176 342772 0 342771 545 1109733252 342225 1166740996 14486 57007744 0 1 1 192.168.101.1 22.0 158598.0 0.0 158598.0 148926.0 353640.0 9670.0 353640.0 0.0 0.0 0.0 1.0 1.0 1565436232951.393 1565436326621.486 93670.093 31.319 40.392 93636.357 93605.472 31.154 31.328 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.028110000000000003 0.002 40.897 0.196231 135969.0 63.0 63.0 33.374016999999995 29.956 75.013 2.011336 9596.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 466.0 1460.0 65160.0 16.0 64256.0 64000.0 0.0 815224.0 16.0 32.0 0.0 0.0 0.0 4666.0 11700.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 14334.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1239.0 9670.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
