#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 37654 341995 0 341994 102 1201281657 341891 1202209828 337 928171 82 1 1 192.168.101.1 22.0 128357.0 0.0 128357.0 117877.0 382260.0 10478.0 382548.0 8.0 288.0 0.0 1.0 1.0 1565281095478.7207 1565281196370.739 100892.018 31.661 40.065 100858.143 100817.716 31.424 31.671 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.039911 0.002 43.959 0.223154 116028.0 63.0 63.0 33.124865 29.974 78.367 1.526267 10341.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 765.0 1460.0 65160.0 16.0 64256.0 63488.0 0.0 1545016.0 16.0 32.0 0.0 79.0 0.0 0.0 340.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2968.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 834.0 10470.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37770 336466 0 336465 96 1121356858 336368 1122342948 353 986090 64 1 1 192.168.101.1 22.0 122430.0 0.0 122430.0 112632.0 357852.0 9796.0 358212.0 10.0 360.0 0.0 1.0 1.0 1565281209887.2578 1565281304049.0588 94161.801 31.413 39.186 94127.843 94096.56 31.172 31.423 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.038183 0.002 42.208 0.222648 110878.0 63.0 63.0 33.176047 30.029 76.341 1.6720240000000002 9664.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1131.0 1460.0 57920.0 16.0 64256.0 64000.0 0.0 1077312.0 16.0 32.0 0.0 64.0 0.0 0.0 353.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2810.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1332.0 28.0 32.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 792.0 9786.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37882 343782 0 343781 91 1100488522 343689 1101325348 281 836826 61 1 1 192.168.101.1 22.0 121342.0 0.0 121342.0 111726.0 351408.0 9614.0 351732.0 9.0 324.0 0.0 1.0 1.0 1565281317336.1868 1565281410278.6719 92942.485 31.29 38.767 92908.118 92876.009 31.096 31.3 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.039102 0.003 41.414 0.22203699999999998 110338.0 63.0 63.0 33.224949 29.927 78.32 1.836843 9501.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1045.0 1460.0 55024.0 16.0 64256.0 63872.0 0.0 2095028.0 16.0 32.0 0.0 61.0 0.0 0.0 281.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2336.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1260.0 28.0 32.0 0.0 9.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 981.0 9605.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37996 375334 0 375333 83 1196949124 375249 1198006164 371 1057040 76 1 1 192.168.101.1 22.0 133377.0 0.0 133377.0 122941.0 380568.0 10434.0 380820.0 7.0 252.0 0.0 1.0 1.0 1565281424023.369 1565281524540.379 100517.01 31.667 39.379 100481.487 100450.235 31.335 31.679 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.039356999999999996 0.002 42.977 0.214935 121148.0 63.0 63.0 33.230703999999996 30.052 75.051 1.726223 10337.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 914.0 1460.0 57920.0 16.0 64256.0 63872.0 0.0 657392.0 16.0 32.0 0.0 76.0 0.0 0.0 371.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2833.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 806.0 10427.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38118 326901 0 326900 94 1117287017 326805 1118139428 294 852411 67 1 1 192.168.101.1 22.0 116974.0 0.0 116974.0 107218.0 356376.0 9754.0 356556.0 5.0 180.0 0.0 1.0 1.0 1565281538388.494 1565281633898.894 95510.4 31.998 39.683 95472.826 95441.09 31.684 32.011 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.037571 0.002 42.983 0.23085300000000003 105563.0 63.0 63.0 33.228882 30.011 76.18 1.7196360000000002 9647.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 570.0 1460.0 65160.0 16.0 64256.0 63488.0 0.0 1986820.0 16.0 32.0 0.0 64.0 0.0 0.0 297.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2634.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 831.0 9749.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38240 312709 0 312708 99 1054321599 312608 1055085128 276 763529 37 1 1 192.168.101.1 22.0 113157.0 0.0 113157.0 103955.0 334596.0 9200.0 334992.0 11.0 396.0 0.0 1.0 1.0 1565281646983.3547 1565281736643.6553 89660.3 32.861 40.155 89626.397 89594.543 32.615 32.872 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.040095 0.002 42.319 0.22934699999999997 102781.0 63.0 63.0 33.258327 29.982 75.801 1.781057 9078.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1303.0 1460.0 65160.0 16.0 64256.0 64000.0 0.0 1921140.0 16.0 32.0 0.0 37.0 0.0 0.0 276.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2110.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1116.0 28.0 32.0 0.0 11.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1151.0 9189.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38338 320303 0 320302 132 1054191950 320169 1055085128 331 893178 72 1 1 192.168.101.1 22.0 113326.0 0.0 113326.0 104119.0 335280.0 9205.0 335712.0 12.0 432.0 0.0 1.0 1.0 1565281749926.6863 1565281838443.634 88516.948 31.802 39.457 88482.561 88451.233 31.538 31.814 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.038256 0.002 42.545 0.23178600000000002 102508.0 63.0 63.0 33.1645 30.036 77.653 1.949597 9050.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1316.0 1460.0 65160.0 16.0 64256.0 63872.0 0.0 1044632.0 16.0 32.0 0.0 72.0 0.0 0.0 331.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2526.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1116.0 28.0 32.0 0.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 837.0 9193.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38454 322683 0 322682 122 1062523918 322559 1063492168 337 968250 52 1 1 192.168.101.1 22.0 114355.0 0.0 114355.0 105077.0 337764.0 9276.0 338196.0 12.0 432.0 0.0 1.0 1.0 1565281851446.1333 1565281941631.999 90185.866 31.471 38.648 90151.725 90120.6 31.314 31.482 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.03916 0.003 43.369 0.234956 103251.0 63.0 63.0 33.187508 29.993 74.678 1.9263270000000001 9128.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1328.0 1460.0 65160.0 16.0 64256.0 64000.0 0.0 2048156.0 16.0 32.0 2.0 49.0 0.0 0.0 338.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2678.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1116.0 28.0 32.0 0.0 10.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1172.0 9264.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38578 348438 0 348437 103 1180344161 348333 1181192228 310 848067 48 1 1 192.168.101.1 22.0 124227.0 0.0 124227.0 113924.0 376356.0 10301.0 376716.0 10.0 360.0 0.0 1.0 1.0 1565281955398.6687 1565282054735.895 99337.226 31.599 38.94 99303.683 99272.454 31.365 31.608 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.038196 0.002 42.697 0.221485 112460.0 63.0 63.0 33.215722 30.013 78.325 1.7117689999999999 10169.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1113.0 1460.0 65160.0 16.0 64256.0 63744.0 0.0 1978132.0 16.0 32.0 0.0 42.0 0.0 0.0 316.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2510.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 837.0 10291.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38704 324878 0 324877 100 1054302714 324776 1055085128 281 782414 36 1 1 192.168.101.1 22.0 115662.0 0.0 115662.0 106452.0 334920.0 9208.0 335136.0 6.0 216.0 0.0 1.0 1.0 1565282067521.651 1565282157018.114 89496.463 31.663 39.178 89462.349 89431.087 31.495 31.673 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.039728 0.002 43.231 0.23129699999999997 105217.0 63.0 63.0 33.153985 29.988 75.804 1.9492720000000001 9092.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 710.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2019660.0 16.0 32.0 0.0 36.0 0.0 0.0 281.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2131.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1116.0 28.0 32.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1173.0 9202.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
