#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 50952 39281 0 39280 90 117047452 39189 117699880 185 652428 13 1 1 192.168.101.1 22.0 6083.0 0.0 6083.0 5048.0 40656.0 1033.0 40872.0 6.0 216.0 0.0 1.0 1.0 1565314766330.284 1565314770720.0122 4389.728 30.956 39.117 4355.238 4324.069 30.832 30.965 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.064959 0.002 42.792 1.102795 4358.0 63.0 63.0 30.45014 29.96 77.935 2.7037720000000003 928.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 95.0 1460.0 65160.0 16.0 64256.0 63488.0 0.0 2049604.0 16.0 32.0 0.0 10.0 0.0 0.0 188.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1022.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6321.0 1027.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50970 34550 0 34549 64 104590751 34484 105089608 119 498857 15 1 1 192.168.101.1 22.0 4314.0 0.0 4314.0 3387.0 36408.0 925.0 36588.0 5.0 180.0 0.0 1.0 1.0 1565314776006.8328 1565314780128.182 4121.349 30.996 40.191 4086.279 4055.146 30.867 31.008 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.08567899999999999 0.002 41.97 1.3561 2813.0 63.0 63.0 30.441018 29.962 77.771 2.226055 854.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 641.0 1460.0 50680.0 16.0 64256.0 63488.0 0.0 2101760.0 16.0 32.0 0.0 5.0 0.0 0.0 129.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 885.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 4.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5320.0 920.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50972 34089 0 34088 62 104635144 34025 105089464 114 454320 25 1 1 192.168.101.1 22.0 6270.0 0.0 6270.0 5354.0 36372.0 914.0 36732.0 6.0 360.0 0.0 1.0 1.0 1565314781089.45 1565314785189.752 4100.302 30.839 39.599 4066.444 4035.312 30.682 30.849 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.06152899999999999 0.003 43.147 1.0435510000000001 4954.0 63.0 63.0 30.32273 29.935 76.053 2.256496 838.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 151.0 1460.0 65160.0 16.0 64256.0 63616.0 0.0 2022120.0 16.0 32.0 1.0 11.0 0.0 0.0 127.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 728.0 1460.0 1080.0 28.0 3145728.0 29056.0 0.0 1080.0 28.0 32.0 0.0 5.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5657.0 908.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50986 32122 0 32121 72 96244576 32048 96682560 127 437984 7 1 1 192.168.101.1 22.0 5903.0 0.0 5903.0 5058.0 34068.0 843.0 34284.0 6.0 216.0 0.0 1.0 1.0 1565314785986.838 1565314789682.898 3696.06 30.82 39.592 3661.986 3630.861 30.541 30.831 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.060829999999999995 0.002 43.832 1.082726 4596.0 63.0 63.0 30.367203999999997 29.921 76.589 2.3448439999999997 756.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 67.0 1460.0 65160.0 16.0 64256.0 63488.0 0.0 2036080.0 16.0 32.0 0.0 4.0 0.0 0.0 130.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 717.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5205.0 837.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50998 33711 0 33710 71 87871304 33638 88275520 126 404216 2 1 1 192.168.101.1 22.0 4876.0 0.0 4876.0 4089.0 31116.0 785.0 32036.0 5.0 920.0 0.0 1.0 1.0 1565314790561.6702 1565314794073.9558 3512.286 30.998 38.782 3477.552 3446.388 30.61 31.008 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.070436 0.002 43.687 1.212297 3759.0 63.0 63.0 30.318279999999998 29.934 74.367 1.761677 699.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 92.0 1460.0 65160.0 16.0 64256.0 63360.0 0.0 2068920.0 16.0 32.0 0.0 0.0 0.0 0.0 128.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 608.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 1.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4919.0 780.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51002 28054 0 28053 74 112842996 27978 113496648 140 653652 15 1 1 192.168.101.1 22.0 7299.0 0.0 7299.0 6290.0 39468.0 1007.0 39576.0 3.0 108.0 0.0 1.0 1.0 1565314795087.0146 1565314798907.801 3820.786 30.868 38.412 3787.036 3755.913 30.476 30.878 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.050473000000000004 0.002 42.764 0.9630780000000001 5741.0 63.0 63.0 30.548336 29.972 76.02 2.385469 911.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 72.0 1460.0 65160.0 16.0 64256.0 63488.0 0.0 2057700.0 16.0 32.0 0.0 4.0 0.0 0.0 151.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 733.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 3265.0 1004.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51004 38659 0 38658 69 121364660 38588 121903652 167 538992 9 1 1 192.168.101.1 22.0 7722.0 0.0 7722.0 6660.0 41664.0 1060.0 41880.0 6.0 216.0 0.0 1.0 1.0 1565314800158.102 1565314804377.005 4218.903 30.646 38.335 4184.693 4153.568 30.37 30.658 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.049999 0.003 44.035 0.966248 5947.0 63.0 63.0 30.301361 29.938 76.931 2.047761 974.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 380.0 1460.0 50680.0 16.0 64256.0 63488.0 0.0 2052500.0 16.0 32.0 0.0 1.0 0.0 0.0 175.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 996.0 1460.0 1080.0 28.0 3145728.0 35712.0 0.0 1080.0 28.0 32.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6770.0 1054.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51014 41611 0 41610 88 125654459 41521 126107064 154 452605 7 1 1 192.168.101.1 22.0 5965.0 0.0 5965.0 4849.0 43140.0 1114.0 43320.0 5.0 180.0 0.0 1.0 1.0 1565314805574.4978 1565314809749.8728 4175.375 30.945 39.1 4140.933 4109.67 30.594 30.957 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.075614 0.002 43.237 1.120321 4321.0 63.0 63.0 30.338189 29.938 75.603 2.037394 1015.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 103.0 1460.0 60816.0 16.0 64256.0 63488.0 0.0 2082992.0 16.0 32.0 0.0 3.0 0.0 0.0 158.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 894.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6989.0 1109.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51032 34462 0 34461 76 96201176 34384 96682560 131 481384 5 1 1 192.168.101.1 22.0 5951.0 0.0 5951.0 5089.0 33888.0 860.0 34104.0 6.0 216.0 0.0 1.0 1.0 1565314810562.652 1565314814491.9387 3929.287 30.888 38.611 3894.575 3863.177 30.614 30.92 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.057353999999999995 0.002 43.041 1.079791 4608.0 63.0 63.0 30.395273 29.968 75.491 2.362134 755.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 333.0 1460.0 65160.0 16.0 64256.0 63488.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 135.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 770.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 5.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5510.0 854.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51034 38127 0 38126 79 117138061 38046 117700168 159 562107 7 1 1 192.168.101.1 22.0 6479.0 0.0 6479.0 5436.0 40332.0 1041.0 40512.0 5.0 180.0 0.0 1.0 1.0 1565314815558.236 1565314819585.689 4027.453 30.506 38.695 3992.251 3961.213 30.336 30.516 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.058001 0.002 43.583 1.048155 4927.0 63.0 63.0 30.356089 29.953 75.835 2.221331 937.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 64.0 1460.0 65160.0 16.0 64256.0 63488.0 0.0 2036080.0 16.0 32.0 0.0 1.0 0.0 0.0 165.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 874.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4398.0 1036.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
