#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 34614 284653 0 284652 576 1115750397 284075 1122345260 1936 6594863 1219 1 1 192.168.101.1 22.0 103984.0 0.0 103984.0 94155.0 359616.0 9827.0 363612.0 107.0 3996.0 0.0 1.0 1.0 1565359105066.09 1565359200315.6587 95249.569 31.313 39.849 95208.867 95177.862 31.139 31.321 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.037104000000000005 0.002 42.15 0.27823200000000003 70227.0 63.0 63.0 32.475433 29.947 77.089 1.49348 8891.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 11226.0 1460.0 62264.0 16.0 64256.0 63488.0 0.0 2041680.0 16.0 32.0 0.0 990.0 0.0 0.0 2165.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 25562.0 1460.0 1100.0 28.0 3145728.0 6784.0 0.0 1244.0 28.0 32.0 0.0 104.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1022.0 9720.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 34784 265625 0 265624 578 1061486370 265045 1067699160 1738 6212790 834 1 1 192.168.101.1 22.0 96895.0 0.0 96895.0 87524.0 339060.0 9369.0 342516.0 94.0 3456.0 0.0 1.0 1.0 1565359213928.37 1565359304379.557 90451.187 31.501 40.981 90417.145 90386.425 31.236 31.51 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.037364 0.003 45.497 0.296732 66185.0 63.0 63.0 32.46886 29.929 75.11 1.5871540000000002 8427.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 9554.0 1460.0 65160.0 16.0 64256.0 63488.0 0.0 2068920.0 16.0 32.0 0.0 769.0 0.0 0.0 1802.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 22620.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1116.0 28.0 32.0 0.0 92.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 945.0 9275.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 34954 297782 0 297781 584 1158193387 297196 1164380460 1872 6187073 1144 1 1 192.168.101.1 22.0 108663.0 0.0 108663.0 98434.0 373908.0 10227.0 377544.0 101.0 3636.0 0.0 1.0 1.0 1565359318673.9087 1565359417317.08 98643.171 31.437 40.529 98608.254 98577.428 31.264 31.445 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.036897000000000006 0.002 42.925 0.272623 75909.0 63.0 63.0 32.508198 29.976 77.948 1.466612 9257.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 11483.0 1460.0 61748.0 12.0 64256.0 63616.0 0.0 2101760.0 16.0 32.0 0.0 893.0 0.0 0.0 2123.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 24029.0 1460.0 1100.0 28.0 3145728.0 59008.0 0.0 2700.0 28.0 32.0 0.0 99.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 903.0 10126.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35128 305169 0 305168 598 1178522838 304569 1185398060 2063 6875222 1187 1 1 192.168.101.1 22.0 110013.0 0.0 110013.0 99636.0 378264.0 10375.0 382008.0 101.0 3744.0 0.0 1.0 1.0 1565359431577.848 1565359532370.8499 100793.002 31.789 40.078 100758.186 100727.492 31.481 31.802 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.039723 0.002 42.308 0.27358000000000005 75744.0 63.0 63.0 32.460467 29.957 75.619 1.497766 9419.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 11537.0 1460.0 65160.0 12.0 64256.0 63488.0 0.0 2085340.0 16.0 32.0 0.0 923.0 0.0 0.0 2326.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 25549.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 100.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 957.0 10274.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35318 294238 0 294237 526 1174971383 293710 1181194540 1834 6223157 1135 1 1 192.168.101.1 22.0 108802.0 0.0 108802.0 98472.0 380388.0 10328.0 383556.0 88.0 3168.0 0.0 1.0 1.0 1565359547510.077 1565359648697.119 101187.042 31.505 41.177 101153.052 101122.309 31.257 31.515 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.036349 0.003 42.659 0.271111 75182.0 63.0 63.0 32.523416999999995 29.98 76.475 1.7276580000000001 9419.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 9356.0 1460.0 65160.0 16.0 64256.0 63744.0 0.0 2085340.0 16.0 32.0 0.0 948.0 0.0 0.0 2021.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 24727.0 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 3816.0 28.0 32.0 0.0 86.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 900.0 10239.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35512 267076 0 267075 575 1058032280 266499 1063494480 1610 5462200 1020 1 1 192.168.101.1 22.0 98811.0 0.0 98811.0 89476.0 340068.0 9333.0 343624.0 95.0 3556.0 0.0 1.0 1.0 1565359662407.083 1565359752478.0098 90070.927 31.362 39.999 90034.454 90003.559 31.233 31.371 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.03752 0.002 41.308 0.275415 68766.0 63.0 63.0 32.498928 29.994 72.096 1.4196540000000002 8386.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 10224.0 1460.0 65160.0 16.0 64256.0 63744.0 0.0 2052500.0 16.0 32.0 0.0 838.0 0.0 0.0 1792.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 22088.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1116.0 28.0 32.0 1.0 93.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 937.0 9238.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35664 269248 0 269247 540 1048985125 268706 1055087440 1810 6102315 966 1 1 192.168.101.1 22.0 97450.0 0.0 97450.0 88206.0 336180.0 9242.0 338988.0 78.0 2808.0 0.0 1.0 1.0 1565359764976.382 1565359855079.57 90103.188 31.941 39.967 90069.444 90038.688 31.609 31.952 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.036958 0.002 47.127 0.301534 67331.0 63.0 63.0 32.377955 29.951 74.788 1.636064 8373.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 8267.0 1460.0 65160.0 8.0 64256.0 63488.0 0.0 2095968.0 16.0 32.0 0.0 774.0 0.0 0.0 2002.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 22245.0 1460.0 1080.0 28.0 3145728.0 35200.0 0.0 1116.0 28.0 32.0 2.0 75.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 920.0 9164.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35838 310448 0 310447 564 1174646701 309882 1181194540 1941 6547839 1104 1 1 192.168.101.1 22.0 112318.0 0.0 112318.0 101976.0 376320.0 10340.0 379992.0 100.0 3672.0 0.0 1.0 1.0 1565359869985.9993 1565359970282.5022 100296.503 31.481 40.528 100260.881 100230.076 31.351 31.493 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.036935 0.003 40.477 0.25718 79442.0 63.0 63.0 32.543687 29.992 77.407 1.4751729999999998 9389.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 11798.0 1460.0 65160.0 16.0 64256.0 63616.0 0.0 2068920.0 16.0 32.0 0.0 840.0 0.0 0.0 2205.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 24160.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 1.0 96.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 833.0 10240.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35994 290815 0 290814 601 1157122389 290212 1164380460 2044 7258071 1023 1 1 192.168.101.1 22.0 107686.0 0.0 107686.0 97491.0 371892.0 10193.0 375644.0 93.0 3752.0 0.0 1.0 1.0 1565359984328.791 1565360083316.69 98987.899 31.944 39.181 98953.087 98922.239 31.715 31.952 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.036729000000000005 0.002 45.408 0.30227600000000004 72735.0 63.0 63.0 32.503908 30.006 77.767 1.4788290000000002 9219.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 10380.0 1460.0 65160.0 16.0 64256.0 63488.0 0.0 2101760.0 16.0 32.0 0.0 962.0 0.0 0.0 2104.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 26270.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 1.0 89.0 0.0 0.0 14.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1012.0 10100.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 36158 294621 0 294620 579 1175171937 294040 1181194608 1831 6022671 1166 1 1 192.168.101.1 22.0 110148.0 0.0 110148.0 99811.0 376968.0 10335.0 381088.0 98.0 4120.0 0.0 1.0 1.0 1565360097048.724 1565360197346.382 100297.658 31.742 40.577 100263.475 100232.618 31.57 31.75 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.039061 0.002 42.944 0.274519 75853.0 63.0 63.0 32.537224 29.978 78.516 1.8085470000000001 9384.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 11440.0 1460.0 65160.0 12.0 64256.0 63488.0 0.0 2085340.0 16.0 32.0 0.0 922.0 0.0 0.0 2074.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 25479.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1280.0 28.0 32.0 1.0 91.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 930.0 10237.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
