#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 52490 45188 0 45187 151 116924018 45035 117702480 222 778462 24 1 1 192.168.101.1 22.0 5936.0 0.0 5936.0 4899.0 40476.0 1035.0 41052.0 16.0 576.0 0.0 1.0 1.0 1565353684361.738 1565353688886.937 4525.199 31.189 38.545 4491.28 4460.329 30.907 31.2 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.063734 0.002 43.92 1.133805 4261.0 63.0 63.0 30.455428 29.999 76.193 2.2395389999999997 831.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1588.0 1460.0 53576.0 16.0 64256.0 63488.0 0.0 2101760.0 16.0 32.0 0.0 9.0 0.0 0.0 237.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1027.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 13.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6634.0 1019.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52516 14286 0 14285 148 91817720 14136 92481344 88 663624 4 1 1 192.168.101.1 22.0 4555.0 0.0 4555.0 3741.0 32520.0 812.0 32988.0 13.0 468.0 0.0 1.0 1.0 1565353689777.197 1565353693516.7698 3739.573 31.021 38.23 3704.985 3674.089 30.649 31.031 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.08053400000000001 0.002 43.336 1.33039 3312.0 63.0 63.0 30.737014000000002 30.006 75.882 2.5639060000000002 622.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 779.0 1460.0 65160.0 16.0 64256.0 63488.0 0.0 2088980.0 16.0 32.0 0.0 1.0 0.0 0.0 91.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 481.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 11.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1297.0 799.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52518 33090 0 33089 98 87337595 32990 88277824 231 940229 18 1 1 192.168.101.1 22.0 3813.0 0.0 3813.0 3040.0 31332.0 771.0 31692.0 10.0 360.0 0.0 1.0 1.0 1565353694223.578 1565353698107.743 3884.165 31.074 39.658 3849.142 3818.248 30.868 31.085 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.088835 0.002 42.28 1.477221 2365.0 63.0 63.0 30.528977 29.959 78.728 2.75904 647.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 111.0 1460.0 65160.0 16.0 64256.0 63488.0 0.0 2101760.0 16.0 32.0 0.0 1.0 0.0 0.0 248.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1046.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 9.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4860.0 761.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52520 43410 0 43409 91 116705204 43317 117702480 272 997276 9 1 1 192.168.101.1 22.0 4449.0 0.0 4449.0 3406.0 40404.0 1041.0 40656.0 7.0 252.0 0.0 1.0 1.0 1565353699128.277 1565353703855.6167 4727.34 31.076 39.056 4694.115 4663.433 30.692 31.086 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.087772 0.003 42.35 1.415746 2560.0 63.0 63.0 30.469363 29.995 76.527 2.602519 932.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 159.0 1460.0 55024.0 16.0 64256.0 63488.0 0.0 2101760.0 16.0 32.0 0.0 1.0 0.0 0.0 280.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1265.0 1460.0 1080.0 28.0 3145728.0 35200.0 0.0 1080.0 28.0 32.0 1.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6648.0 1034.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52546 29215 0 29214 85 87348196 29128 88277900 237 929704 11 1 1 192.168.101.1 22.0 3506.0 0.0 3506.0 2715.0 31188.0 789.0 31476.0 8.0 288.0 0.0 1.0 1.0 1565353704564.307 1565353709118.8467 4554.54 31.06 38.716 4521.402 4490.618 31.06 31.087 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.105262 0.002 42.815 1.619607 1993.0 63.0 63.0 30.519778000000002 29.947 75.918 2.628063 675.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 72.0 1460.0 63712.0 16.0 64256.0 63488.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 247.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 1078.0 1460.0 1080.0 28.0 3145728.0 63232.0 0.0 1080.0 28.0 32.0 2.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4676.0 781.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52552 34143 0 34142 104 95794880 34037 96684864 228 889984 8 1 1 192.168.101.1 22.0 4583.0 0.0 4583.0 3726.0 33924.0 855.0 34284.0 10.0 360.0 0.0 1.0 1.0 1565353714483.927 1565353718560.15 4076.223 31.136 38.744 4041.743 4010.836 30.762 31.147 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.07600599999999999 0.002 42.991 1.2753079999999999 3256.0 63.0 63.0 30.509055 29.977 78.37 2.468175 712.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 676.0 1460.0 65160.0 16.0 64256.0 63488.0 0.0 2101760.0 16.0 32.0 0.0 3.0 0.0 0.0 233.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 859.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 9.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5215.0 845.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52578 32016 0 32015 75 100109504 31939 100888400 180 778896 20 1 1 192.168.101.1 22.0 4009.0 0.0 4009.0 3129.0 35148.0 878.0 35364.0 6.0 216.0 0.0 1.0 1.0 1565353723984.0107 1565353728217.6987 4233.688 30.961 38.344 4198.989 4168.057 30.582 30.97 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.097932 0.003 43.891 1.5065979999999999 2481.0 63.0 63.0 30.426548999999998 29.941 78.183 2.402622 790.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 63.0 1460.0 65160.0 16.0 64256.0 63488.0 0.0 2101760.0 16.0 32.0 0.0 2.0 0.0 0.0 198.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1099.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5330.0 872.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52582 36270 0 36269 125 95613739 36143 96684864 277 1071125 17 1 1 192.168.101.1 22.0 4890.0 0.0 4890.0 4030.0 33852.0 858.0 34572.0 11.0 720.0 0.0 1.0 1.0 1565353729124.1858 1565353733204.458 4080.272 30.973 38.305 4045.145 4013.974 30.676 30.983 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.07309 0.002 42.992 1.269922 3290.0 63.0 63.0 30.445790999999996 29.962 77.385 2.512988 699.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 552.0 1460.0 65160.0 16.0 64256.0 63360.0 0.0 2101760.0 16.0 32.0 0.0 3.0 0.0 0.0 291.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1121.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 10.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5321.0 847.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52606 38501 0 38500 92 99938472 38407 100888400 230 949928 22 1 1 192.168.101.1 22.0 5250.0 0.0 5250.0 4357.0 35220.0 891.0 35544.0 9.0 324.0 0.0 1.0 1.0 1565353735768.17 1565353740128.789 4360.619 30.859 38.801 4326.771 4295.925 30.623 30.866 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.067924 0.002 43.527 1.180419 3825.0 63.0 63.0 30.450160999999998 29.976 77.073 2.520696 762.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 183.0 1460.0 65160.0 16.0 64256.0 63488.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 251.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 993.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 8.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5536.0 882.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52608 36264 0 36263 68 95838320 36194 96684864 214 846544 21 1 1 192.168.101.1 22.0 6221.0 0.0 6221.0 5361.0 33888.0 858.0 34068.0 5.0 180.0 0.0 1.0 1.0 1565353741039.5327 1565353744813.8347 3774.302 30.855 39.578 3739.653 3708.864 30.65 30.868 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.054647 0.002 43.442 1.051216 4780.0 63.0 63.0 30.447723999999997 29.973 77.353 2.516438 771.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 207.0 1460.0 65160.0 16.0 64256.0 63488.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 235.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 974.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5257.0 853.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
