#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 52120 377533 0 377532 65 1176988706 377466 1176988708 1 2 0 1 1 192.168.101.1 22.0 138518.0 0.0 138518.0 128250.0 374916.0 10266.0 374916.0 0.0 0.0 0.0 1.0 1.0 1565243339817.208 1565243438437.5342 98620.326 31.458 39.255 98586.0 98554.754 31.212 31.468 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.043961 0.003 43.505 0.21141300000000002 129136.0 63.0 63.0 33.359155 29.964 76.323 1.635335 10199.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 68056.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1692.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 801.0 10266.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52238 373741 0 373740 88 1206413346 373651 1206413348 1 2 0 1 1 192.168.101.1 22.0 139709.0 0.0 139709.0 129199.0 383736.0 10508.0 383736.0 0.0 0.0 0.0 1.0 1.0 1565243453788.566 1565243555398.7483 101610.182 31.704 39.823 101575.249 101544.172 31.452 31.713 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.041756 0.002 43.687 0.207902 130218.0 63.0 63.0 33.344751 29.993 77.237 1.9821380000000002 10421.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 62264.0 16.0 64256.0 64128.0 0.0 130320.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1158.0 10508.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52368 349299 0 349298 71 1076104226 349226 1076104228 1 2 0 1 1 192.168.101.1 22.0 128526.0 0.0 128526.0 119168.0 342876.0 9356.0 342876.0 0.0 0.0 0.0 1.0 1.0 1565243568571.7788 1565243659786.1653 91214.386 41.647 39.044 91181.217 91150.108 31.1 39.044 1.0 1.0 0.0 0.0 32768.0 0.0 0.0 0.043324 0.002 43.348 0.219457 120118.0 63.0 63.0 33.32845 30.007 77.554 2.052641 9291.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 131768.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1394.0 9356.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52482 379159 0 379158 81 1219023905 379076 1219023908 2 3 0 1 1 192.168.101.1 22.0 141168.0 0.0 141168.0 130531.0 388848.0 10635.0 388848.0 0.0 0.0 0.0 1.0 1.0 1565243675143.307 1565243778342.274 103198.967 31.752 40.497 103165.194 103134.154 31.728 31.759 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.042236 0.003 42.336 0.20466900000000002 131496.0 63.0 63.0 33.405034 30.022 75.296 2.070763 10542.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 82100.0 16.0 32.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 2268.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1451.0 10635.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52608 346164 0 346163 74 1067695688 346088 1067695688 0 0 0 1 1 192.168.101.1 22.0 129800.0 0.0 129800.0 120500.0 338844.0 9298.0 338844.0 0.0 0.0 0.0 1.0 1.0 1565243791658.675 1565243881152.975 89494.3 31.452 39.39 89460.037 89428.235 31.409 31.46 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.043185 0.003 43.469 0.21579099999999998 121363.0 63.0 63.0 33.362101 29.98 75.338 1.983234 9231.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64000.0 0.0 114940.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1116.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1005.0 9298.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52726 380918 0 380917 74 1210616867 380842 1210616868 1 1 0 1 1 192.168.101.1 22.0 129985.0 0.0 129985.0 119438.0 384600.0 10545.0 384600.0 0.0 0.0 0.0 1.0 1.0 1565243896146.757 1565243998392.0613 102245.304 31.359 39.606 102210.506 102179.317 31.139 31.369 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.039492 0.002 43.321 0.21567600000000003 120773.0 63.0 63.0 33.35458 30.038 75.859 1.906312 10478.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64000.0 0.0 66608.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1139.0 10545.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52848 353670 0 353669 80 1134953508 353588 1134953508 0 0 0 1 1 192.168.101.1 22.0 121267.0 0.0 121267.0 111357.0 362856.0 9908.0 362856.0 0.0 0.0 0.0 1.0 1.0 1565244012676.5647 1565244108325.1802 95648.615 31.78 39.245 95614.604 95583.226 31.64 31.789 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.039774000000000004 0.003 43.348 0.22137199999999999 112683.0 63.0 63.0 33.339621 29.983 74.861 2.003017 9814.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 68056.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 2628.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1434.0 9908.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52956 383444 0 383443 83 1223227425 383359 1223227428 1 3 0 1 1 192.168.101.1 22.0 130784.0 0.0 130784.0 120129.0 388992.0 10653.0 388992.0 0.0 0.0 0.0 1.0 1.0 1565244123650.432 1565244226212.8645 102562.433 31.507 38.867 102528.411 102497.112 31.378 31.515 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.039227 0.002 43.41 0.217304 121456.0 63.0 63.0 33.406581 29.956 76.131 1.972575 10574.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 4.0 64256.0 64128.0 0.0 65160.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1128.0 10653.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 53088 382186 0 382185 84 1252652065 382100 1252652068 1 3 0 1 1 192.168.101.1 22.0 130716.0 0.0 130716.0 119803.0 398244.0 10911.0 398244.0 0.0 0.0 0.0 1.0 1.0 1565244241996.2927 1565244348544.812 106548.519 31.604 39.258 106514.554 106483.21 31.381 31.613 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.038613999999999996 0.002 42.046 0.212321 120934.0 63.0 63.0 33.301186 29.99 77.689 1.949438 10824.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64000.0 0.0 66608.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1352.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 777.0 10911.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 53222 383842 0 383841 89 1206413346 383751 1206413348 1 2 0 1 1 192.168.101.1 22.0 131158.0 0.0 131158.0 120631.0 385320.0 10525.0 385320.0 0.0 0.0 0.0 1.0 1.0 1565244363938.995 1565244465076.264 101137.269 31.499 39.117 101103.511 101071.817 31.287 31.508 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.03971 0.003 43.779 0.21842399999999998 122154.0 63.0 63.0 33.281777000000005 29.989 78.579 1.813639 10423.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64000.0 0.0 68056.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145216.0 64128.0 0.0 2736.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1104.0 10525.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
