#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 45240 37996 0 37995 16 96682560 37978 96682560 0 0 0 1 1 192.168.101.1 22.0 10507.0 0.0 10507.0 9647.0 33960.0 858.0 33960.0 0.0 0.0 0.0 1.0 1.0 1565239497732.8123 1565239500482.446 2749.634 30.983 39.005 2715.329 2684.131 30.781 30.992 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.039397 0.003 41.809 0.718279 9856.0 63.0 63.0 30.383927000000003 29.967 77.509 2.221591 848.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 53576.0 16.0 64256.0 64128.0 0.0 67128.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5666.0 858.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45242 32639 0 32638 21 96682560 32616 96682560 0 0 0 1 1 192.168.101.1 22.0 7593.0 0.0 7593.0 6738.0 33744.0 853.0 33744.0 0.0 0.0 0.0 1.0 1.0 1565239501249.695 1565239504029.0042 2779.309 30.958 38.501 2744.788 2713.641 30.747 30.967 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.058526999999999996 0.003 43.813 0.889805 6920.0 63.0 63.0 30.44714 29.949 76.622 2.230045 841.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 40544.0 16.0 64256.0 64128.0 0.0 74860.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5665.0 853.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45244 34352 0 34351 24 84072000 34326 84072000 0 0 0 1 1 192.168.101.1 22.0 4466.0 0.0 4466.0 3702.0 31728.0 762.0 31728.0 0.0 0.0 0.0 1.0 1.0 1565239504767.278 1565239508006.624 3239.346 31.158 38.545 3204.499 3173.299 30.983 31.167 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.070737 0.002 42.083 1.157147 3852.0 63.0 63.0 30.508815999999996 30.012 77.917 2.3923740000000002 727.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 40544.0 16.0 64256.0 64128.0 0.0 738900.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145472.0 64128.0 0.0 2556.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4898.0 762.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45250 26057 0 26056 15 88275520 26040 88275520 0 0 0 1 1 192.168.101.1 22.0 10265.0 0.0 10265.0 9483.0 31116.0 780.0 31116.0 0.0 0.0 0.0 1.0 1.0 1565239508763.9983 1565239511405.343 2641.345 31.178 39.292 2607.283 2575.992 30.857 31.188 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.039106999999999996 0.003 42.329 0.732043 9636.0 63.0 63.0 30.375259999999997 29.961 77.266 2.326597 772.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 39096.0 16.0 64256.0 64128.0 0.0 100460.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5153.0 780.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45262 32273 0 32272 15 84072000 32256 84072000 0 0 0 1 1 192.168.101.1 22.0 5565.0 0.0 5565.0 4820.0 29784.0 743.0 29784.0 0.0 0.0 0.0 1.0 1.0 1565239512095.789 1565239514676.8813 2581.092 30.895 38.454 2547.408 2516.364 30.764 30.903 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.06350499999999999 0.003 41.86 1.023544 4975.0 63.0 63.0 30.446276 29.985 78.303 2.442733 735.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 43440.0 16.0 64256.0 64128.0 0.0 70024.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4898.0 743.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45274 41491 0 41490 16 100886086 41473 100886088 1 2 0 1 1 192.168.101.1 22.0 8504.0 0.0 8504.0 7613.0 35040.0 889.0 35040.0 0.0 0.0 0.0 1.0 1.0 1565239515608.782 1565239518444.994 2836.212 30.87 38.392 2801.419 2770.349 30.683 30.878 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.048179 0.003 42.499 0.817531 7776.0 63.0 63.0 30.369153000000004 29.975 77.049 2.173078 880.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 40544.0 16.0 64256.0 64128.0 0.0 65160.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5921.0 889.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45276 46660 0 46659 17 117700168 46641 117700168 0 0 0 1 1 192.168.101.1 22.0 10134.0 0.0 10134.0 9096.0 40332.0 1036.0 40332.0 0.0 0.0 0.0 1.0 1.0 1565239519253.2373 1565239522324.141 3070.904 30.931 39.438 3036.533 3005.33 30.716 30.94 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.044866 0.002 43.449 0.760815 9336.0 63.0 63.0 30.355996 29.91 75.549 1.9791590000000001 1028.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 40544.0 16.0 64256.0 64128.0 0.0 65160.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6946.0 1036.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45278 47261 0 47260 17 117700168 47242 117700168 0 0 0 1 1 192.168.101.1 22.0 11766.0 0.0 11766.0 10728.0 40332.0 1036.0 40332.0 0.0 0.0 0.0 1.0 1.0 1565239523338.5957 1565239526401.418 3062.822 30.738 38.453 3029.193 2998.089 30.572 30.747 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.03828 0.003 45.96 0.720532 10951.0 63.0 63.0 30.366 29.976 75.665 1.975887 1028.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 40544.0 16.0 64256.0 64128.0 0.0 167096.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6946.0 1036.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45286 32575 0 32574 15 88275520 32558 88275520 0 0 0 1 1 192.168.101.1 22.0 7800.0 0.0 7800.0 7017.0 31152.0 781.0 31152.0 0.0 0.0 0.0 1.0 1.0 1565239527164.1313 1565239529792.7297 2628.599 30.867 39.302 2594.357 2563.064 30.732 30.875 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.051296 0.003 43.439 0.8581139999999999 7204.0 63.0 63.0 30.381195 29.945 75.988 2.2841400000000003 773.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 40544.0 16.0 64256.0 64128.0 0.0 63712.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5153.0 781.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45296 37975 0 37974 17 92479039 37956 92479040 1 1 0 1 1 192.168.101.1 22.0 6289.0 0.0 6289.0 5471.0 32412.0 816.0 32412.0 0.0 0.0 0.0 1.0 1.0 1565239530386.111 1565239533103.336 2717.225 31.002 39.141 2683.647 2652.451 30.83 31.011 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.054691 0.002 42.791 0.972834 5636.0 63.0 63.0 30.436938 30.009 77.484 2.263509 808.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 41992.0 16.0 64256.0 64128.0 0.0 83548.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5410.0 816.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
