#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 39526 306272 0 306271 1421 1223229737 304849 1223252908 8 23171 130639 1 1 192.168.101.1 22.0 215662.0 0.0 215662.0 204999.0 392124.0 10661.0 392232.0 1.0 108.0 0.0 1.0 1.0 1565474709769.279 1565474812673.9368 102904.658 51.843 60.361 102850.505 102799.663 51.663 51.854 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.017813 0.002 43.727 0.24454299999999998 182242.0 63.0 63.0 48.517053999999995 30.139 92.079 5.047391999999999 9455.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3311.0 1460.0 65160.0 12.0 64256.0 63872.0 0.0 743244.0 16.0 32.0 0.0 71501.0 59084.0 0.0 62.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 148627.0 1460.0 1116.0 28.0 3145728.0 60544.0 0.0 3096.0 28.0 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 342.0 10660.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39656 296647 0 296646 1294 1168583977 295351 1168592668 4 8691 127044 1 1 192.168.101.1 22.0 209331.0 0.0 209331.0 199153.0 374232.0 10176.0 374340.0 1.0 108.0 0.0 1.0 1.0 1565474829443.048 1565474928652.307 99209.259 51.953 58.601 99153.441 99112.471 51.406 51.963 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.016296 0.002 43.993 0.229854 177507.0 63.0 63.0 48.544089 30.236 93.421 5.1577589999999995 9039.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4023.0 1460.0 52128.0 12.0 64256.0 63872.0 0.0 952360.0 16.0 32.0 0.0 69813.0 57216.0 0.0 19.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 144320.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 2808.0 28.0 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 370.0 10175.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39800 295248 0 295247 1372 1176991019 293874 1177001156 5 10137 128344 1 1 192.168.101.1 22.0 210714.0 0.0 210714.0 200482.0 374808.0 10230.0 374844.0 1.0 36.0 0.0 1.0 1.0 1565474945554.4688 1565475044596.628 99042.159 51.912 60.184 98997.929 98946.959 51.675 51.923 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.016685 0.002 43.875 0.227557 178571.0 63.0 63.0 48.341798 30.106 94.732 5.092191000000001 9053.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3577.0 1460.0 40544.0 12.0 64256.0 64000.0 0.0 673220.0 16.0 32.0 56.0 66678.0 61569.0 0.0 46.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 145666.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1316.0 28.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 302.0 10229.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39962 318215 0 318214 1444 1244247337 316769 1244256028 4 8691 136503 1 1 192.168.101.1 22.0 223533.0 0.0 223533.0 212738.0 395832.0 10793.0 395976.0 1.0 144.0 0.0 1.0 1.0 1565475063520.662 1565475168239.619 104718.957 41.599 50.137 104663.103 104612.28 41.468 41.61 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.017513 0.002 46.148 0.220458 189255.0 63.0 63.0 48.482564 30.197 94.567 5.070054 9559.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4046.0 1460.0 56472.0 12.0 64256.0 64128.0 0.0 804580.0 16.0 32.0 0.0 79252.0 57222.0 0.0 33.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 155001.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1316.0 28.0 32.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 301.0 10792.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40114 289533 0 289532 1338 1130752299 288193 1130775468 9 23169 125859 1 1 192.168.101.1 22.0 205012.0 0.0 205012.0 195145.0 362352.0 9865.0 362388.0 1.0 36.0 0.0 1.0 1.0 1565475184655.3938 1565475280660.313 96004.919 41.889 50.669 95947.933 95897.1 41.889 41.912 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.016034 0.002 41.841 0.173539 174123.0 63.0 63.0 48.468157 30.295 93.456 5.109749 8699.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3571.0 1460.0 49232.0 12.0 64256.0 63616.0 0.0 651008.0 16.0 32.0 6.0 69483.0 56370.0 0.0 9.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 142578.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 2736.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 292.0 9864.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40244 313185 0 313184 1416 1240043820 311767 1240052508 4 8688 135937 1 1 192.168.101.1 22.0 222259.0 0.0 222259.0 211471.0 394536.0 10786.0 394680.0 1.0 144.0 0.0 1.0 1.0 1565475298466.742 1565475404128.778 105662.036 51.867 59.142 105621.348 105580.541 51.673 51.876 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.017162 0.002 42.81 0.198371 188471.0 63.0 63.0 48.383796000000004 30.225 94.547 5.1153129999999996 9518.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3694.0 1460.0 47784.0 16.0 64256.0 64128.0 0.0 656800.0 16.0 32.0 2.0 73294.0 62641.0 0.0 4.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 154201.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1316.0 28.0 32.0 0.0 1.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 364.0 10785.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40386 279435 0 279434 1363 1181194538 278070 1181219156 10 24618 126957 1 1 192.168.101.1 22.0 206899.0 0.0 206899.0 196577.0 380208.0 10320.0 380280.0 1.0 72.0 0.0 1.0 1.0 1565475422110.767 1565475525814.069 103703.302 51.79 59.772 103649.062 103598.18 51.613 51.803 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.014796 0.002 43.677 0.177739 174110.0 63.0 63.0 48.238479 30.141 91.877 5.006684 9089.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4097.0 1460.0 47784.0 12.0 64256.0 63488.0 0.0 734592.0 16.0 32.0 10.0 53436.0 73485.0 0.0 36.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 144770.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 2664.0 28.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 292.0 10319.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40552 249587 0 249586 1262 1071901519 248323 1071910208 4 8689 109100 1 1 192.168.101.1 22.0 182928.0 0.0 182928.0 173541.0 346476.0 9385.0 346548.0 1.0 72.0 0.0 1.0 1.0 1565475540959.5688 1565475631638.7878 90679.219 41.738 50.28 90624.94 90574.063 41.738 41.757 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.015621000000000001 0.002 42.676 0.23477800000000001 153772.0 63.0 63.0 48.474483 30.355 94.67 5.0734 8243.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3193.0 1460.0 55024.0 12.0 64256.0 63744.0 0.0 968780.0 16.0 32.0 0.0 46761.0 62339.0 0.0 4.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 124691.0 1460.0 1080.0 28.0 3145728.0 60672.0 0.0 2952.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 332.0 9384.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40698 290210 0 290209 1431 1240043815 288777 1240052508 5 8693 126076 1 1 192.168.101.1 22.0 212311.0 0.0 212311.0 201533.0 393960.0 10776.0 394032.0 2.0 72.0 0.0 1.0 1.0 1565475649460.8933 1565475753871.6738 104410.781 52.058 60.945 104352.112 104301.098 51.818 52.068 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.015972999999999998 0.002 44.075 0.227001 178906.0 63.0 63.0 48.399128000000005 30.169 94.535 5.133433999999999 9540.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3120.0 1460.0 65160.0 12.0 64256.0 64128.0 0.0 689640.0 12.0 32.0 0.0 52353.0 73525.0 0.0 203.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 144053.0 1460.0 1100.0 28.0 3145728.0 60032.0 0.0 1280.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 294.0 10774.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40844 295802 0 295801 1494 1248449412 294306 1248468236 7 18824 126412 1 1 192.168.101.1 22.0 214534.0 0.0 214534.0 203679.0 397128.0 10853.0 397236.0 1.0 108.0 0.0 1.0 1.0 1565475770722.9272 1565475875747.0627 105024.136 51.975 60.366 104966.501 104925.537 51.799 51.986 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.015085 0.002 43.408 0.22027 181295.0 63.0 63.0 48.449226 30.099 93.368 5.031286 9607.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3940.0 1460.0 65160.0 12.0 64256.0 63872.0 0.0 821016.0 12.0 32.0 2.0 55136.0 71265.0 0.0 16.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 143949.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1280.0 28.0 32.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 213.0 10852.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
