#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 59096 31221 0 31220 265 100888400 30954 100895640 3 7240 24557 1 1 192.168.101.1 22.0 26787.0 0.0 26787.0 25867.0 37992.0 918.0 38100.0 1.0 108.0 0.0 1.0 1.0 1565469272796.27 1565469277660.138 4863.868 50.817 58.825 4808.7 4757.592 50.591 50.825 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.012648000000000001 0.002 43.367 0.474261 24176.0 63.0 63.0 42.190903000000006 30.818 93.333 5.289714 530.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 5405.0 1460.0 20272.0 16.0 64256.0 64000.0 0.0 1132980.0 16.0 32.0 198.0 16738.0 7605.0 0.0 19.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 25470.0 1460.0 1080.0 28.0 3145728.0 61312.0 0.0 3420.0 28.0 32.0 0.0 1.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1544.0 917.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59106 37596 0 37595 319 121906000 37275 121911792 2 5792 29248 1 1 192.168.101.1 22.0 32239.0 0.0 32239.0 31162.0 41700.0 1075.0 41736.0 1.0 36.0 0.0 1.0 1.0 1565469278778.2607 1565469283592.5378 4814.277 51.088 58.91 4758.699 4707.633 50.987 51.097 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.011578 0.002 43.741 0.437692 29127.0 63.0 63.0 42.277817999999996 30.376 94.088 4.873330999999999 621.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 6312.0 1460.0 17376.0 16.0 64256.0 64000.0 0.0 853840.0 16.0 32.0 0.0 21348.0 7900.0 0.0 2.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 30642.0 1460.0 1080.0 28.0 3145728.0 60032.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2111.0 1074.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59108 35166 0 35165 289 109295440 34875 109298336 1 2896 28749 1 1 192.168.101.1 22.0 31033.0 0.0 31033.0 30065.0 37776.0 966.0 38028.0 1.0 252.0 0.0 1.0 1.0 1565469284547.3538 1565469288944.5967 4397.243 51.071 59.356 4343.343 4302.616 50.879 51.079 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.01199 0.002 44.056 0.44345500000000004 28090.0 63.0 63.0 41.926292 30.607 94.25 4.675867 568.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 5670.0 1460.0 33304.0 16.0 64256.0 64128.0 0.0 1005964.0 16.0 32.0 0.0 22251.0 6498.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 29680.0 1460.0 1080.0 28.0 3145728.0 57984.0 0.0 1080.0 28.0 32.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1671.0 965.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59118 31017 0 31016 332 100888400 30683 100894192 3 5792 25086 1 1 192.168.101.1 22.0 26893.0 0.0 26893.0 25998.0 35148.0 893.0 35256.0 1.0 108.0 0.0 1.0 1.0 1565469289829.1238 1565469294026.3333 4197.209 51.081 60.051 4151.947 4101.093 50.884 51.093 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.013177000000000001 0.002 42.744 0.476691 24127.0 63.0 63.0 41.686236 30.247 93.594 4.80465 542.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 6496.0 1460.0 24616.0 16.0 64256.0 64000.0 0.0 804580.0 16.0 32.0 0.0 17873.0 7206.0 0.0 10.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 25796.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1746.0 892.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59134 26420 0 26419 203 84074304 26215 84077200 1 2896 19767 1 1 192.168.101.1 22.0 21060.0 0.0 21060.0 20311.0 29856.0 747.0 30072.0 2.0 216.0 0.0 1.0 1.0 1565469294802.537 1565469298616.728 3814.191 41.065 49.082 3757.339 3706.454 41.065 41.104 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.015503999999999999 0.002 42.728 0.528733 19077.0 63.0 63.0 42.575205 30.444 94.567 5.228198 428.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3739.0 1460.0 17376.0 16.0 64256.0 64128.0 0.0 1005964.0 16.0 32.0 0.0 15352.0 4415.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 19708.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1538.0 745.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59138 39422 0 39421 336 126109520 39084 126118208 2 8688 32005 1 1 192.168.101.1 22.0 33852.0 0.0 33852.0 32743.0 43032.0 1107.0 43212.0 1.0 180.0 0.0 1.0 1.0 1565469299915.07 1565469304798.7993 4883.729 51.11 58.99 4829.787 4778.467 50.925 51.121 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.011304 0.002 42.585 0.41661800000000004 30502.0 63.0 63.0 41.845901 30.407 93.045 4.538459 676.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 7444.0 1460.0 18668.0 16.0 64256.0 64128.0 0.0 1165820.0 16.0 32.0 0.0 24050.0 7934.0 0.0 23.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 32596.0 1460.0 1080.0 28.0 3145728.0 60672.0 0.0 1080.0 28.0 32.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2037.0 1106.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59142 38366 0 38365 280 121906000 38084 121921928 6 15928 31694 1 1 192.168.101.1 22.0 33457.0 0.0 33457.0 32380.0 41700.0 1075.0 41772.0 1.0 72.0 0.0 1.0 1.0 1565469305959.5327 1565469310715.9607 4756.428 50.7 58.814 4712.646 4661.708 50.525 50.709 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.011559999999999999 0.002 43.866 0.431806 30191.0 63.0 63.0 41.714881 30.918 92.01 4.2751470000000005 634.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 5123.0 1460.0 23168.0 16.0 64256.0 64128.0 0.0 856736.0 16.0 32.0 0.0 17232.0 14430.0 0.0 38.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 32115.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2138.0 1074.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59160 36280 0 36279 283 117702480 35995 117705376 1 2896 25224 1 1 192.168.101.1 22.0 28062.0 0.0 28062.0 27021.0 40404.0 1039.0 40512.0 1.0 108.0 0.0 1.0 1.0 1565469311883.538 1565469316449.5022 4565.964 50.977 58.859 4521.08 4470.215 50.781 50.986 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.011183 0.002 43.643 0.38348000000000004 25626.0 63.0 63.0 43.415987 30.892 84.744 5.202316000000001 567.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 5533.0 1460.0 23168.0 16.0 64256.0 64128.0 0.0 853840.0 16.0 32.0 0.0 18620.0 6593.0 0.0 12.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 26253.0 1460.0 1080.0 28.0 3145728.0 61184.0 0.0 1080.0 28.0 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2314.0 1038.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59168 26637 0 26636 229 88277824 26406 88280720 1 2896 20052 1 1 192.168.101.1 22.0 21919.0 0.0 21919.0 21134.0 31188.0 783.0 31296.0 1.0 108.0 0.0 1.0 1.0 1565469317340.455 1565469321223.6787 3883.224 51.195 59.66 3828.386 3787.438 51.025 51.204 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.015191 0.002 43.982 0.538888 19874.0 63.0 63.0 42.64521 30.513 94.217 5.275683 442.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4657.0 1460.0 31856.0 16.0 64256.0 64128.0 0.0 1083720.0 16.0 32.0 0.0 11520.0 8480.0 0.0 53.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 20496.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1789.0 782.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59170 38900 0 38899 287 126109520 38611 126125448 7 15928 30819 1 1 192.168.101.1 22.0 33507.0 0.0 33507.0 32392.0 43068.0 1113.0 43140.0 1.0 72.0 0.0 1.0 1.0 1565469322367.2988 1565469327267.552 4900.253 51.366 65.138 4846.1 4795.476 50.789 51.378 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.011195 0.002 43.499 0.435568 30159.0 63.0 63.0 42.008237 30.598 94.583 4.654488 696.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 5603.0 1460.0 16420.0 16.0 64256.0 64128.0 0.0 898792.0 16.0 32.0 0.0 26953.0 3787.0 0.0 86.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 32147.0 1460.0 1080.0 28.0 3145728.0 59648.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2217.0 1112.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
