#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 57088 82469 0 82468 155 1118141740 82312 1118148980 5 7240 0 1 1 192.168.101.1 22 128548 0 128548 118747 359148 9799 359148 0 0 0 1 1 1565397266337.2693 1565397360073.4873 93736.218 32.441 71.11 93698.168 93698.055 32.085 62.946 1 1 0 0 0 0 0 30.221269 30.018 73.533 0.376965 47222 64 64 3.248593 0.002 47.682 1.8446150000000001 9701 63 63 0 0 0 0 0 0 1 1 7 1 88 1460 65160 16 64256.0 64000.0 0.0 2068920.0 16.0 32.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3073.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 796.0 9799.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57228 92031 0 92030 184 1256857898 91845 1256863692 5 5794 0 1 1 192.168.101.1 22 150584 0 150584 139610 400800 10972 400800 0 0 0 1 1 1565397377793.725 1565397484156.79 106363.065 32.829 72.034 106329.005 106328.912 32.51 63.292 1 1 0 0 0 0 0 30.215853999999997 30.014 72.294 0.349089 47072 64 64 3.223704 0.002 44.442 1.822701 10896 63 63 0 0 0 0 0 0 1 1 7 1 106 1460 65160 16 64256.0 64000.0 0.0 2068920.0 16.0 32.0 0.0 1.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3452.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1032.0 10972.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57356 90835 0 90834 193 1244247338 90640 1244254580 6 7242 0 1 1 192.168.101.1 22 144290 0 144290 133441 396228 10847 396228 0 0 0 1 1 1565397501030.9 1565397605535.2327 104504.333 32.367 72.109 104467.729 104467.597 32.069 62.89 1 1 0 0 0 0 0 30.213783000000003 30.003 73.574 0.34098 50241 64 64 3.244728 0.005 44.54 1.969296 10767 63 63 0 0 0 0 0 0 1 1 7 1 110 1460 65160 16 64256.0 64128.0 0.0 2068920.0 16.0 32.0 0.0 0.0 0.0 0.0 6.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3645.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1379.0 10847.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57502 82422 0 82421 173 1126548780 82247 1126553124 3 4344 0 1 1 192.168.101.1 22 132187 0 132187 122365 358464 9820 358464 0 0 0 1 1 1565397621811.3347 1565397717560.566 95749.231 33.557 72.818 95714.57 95714.461 33.245 64.045 1 1 0 0 0 0 0 30.213559000000004 30.013 73.84 0.363681 44969 64 64 3.171222 0.005 44.358 1.825677 9754 63 63 0 0 0 0 0 0 1 1 7 1 103 1460 65160 16 64256.0 64128.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3287.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1147.0 9820.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57636 85544 0 85543 162 1181194537 85380 1181197436 3 2899 0 1 1 192.168.101.1 22 141274 0 141274 130962 376248 10310 376248 0 0 0 1 1 1565397734970.4478 1565397834513.275 99542.827 32.775 70.222 99508.626 99508.516 32.436 63.305 1 1 0 0 0 0 0 30.188624 29.989 74.345 0.378196 41915 64 64 3.2652639999999997 0.007 47.393 2.0174819999999998 10214 63 63 0 0 0 0 0 0 1 1 7 1 74 1460 65160 16 64256.0 64000.0 0.0 2068920.0 16.0 32.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3160.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1289.0 10310.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57770 84070 0 84069 165 1143362859 83903 1143364308 2 1449 0 1 1 192.168.101.1 22 144599 0 144599 134639 363540 9958 363540 0 0 0 1 1 1565397850577.624 1565397946400.77 95823.146 32.41 70.668 95789.9 95789.803 32.114 63.025 1 1 0 0 0 0 0 30.204249 30.002 75.847 0.406607 36849 64 64 3.252173 0.005 44.787 1.748084 9899 63 63 0 0 0 0 0 0 1 1 7 1 102 1460 65160 16 64256.0 64128.0 0.0 2081512.0 16.0 32.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3150.0 1460.0 1100.0 28.0 3144832.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 797.0 9958.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57894 83669 0 83668 187 1151769897 83480 1151771348 2 1451 0 1 1 192.168.101.1 22 140906 0 140906 130870 366672 10034 366672 0 0 0 1 1 1565397962205.423 1565398058812.5283 96607.105 32.606 70.643 96573.075 96572.976 32.013 63.021 1 1 0 0 0 0 0 30.25739 30.009 73.234 0.36648600000000003 44194 64 64 3.200756 0.004 44.999 1.9396080000000002 9968 63 63 0 0 0 0 0 0 1 1 7 1 113 1460 65160 16 64256.0 64128.0 0.0 2069412.0 16.0 32.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3033.0 1460.0 1100.0 28.0 3145728.0 63104.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 792.0 10034.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58038 88450 0 88449 151 1198008617 88297 1198011516 3 2899 0 1 1 192.168.101.1 22 143305 0 143305 132862 380316 10441 380316 0 0 0 1 1 1565398073499.329 1565398173936.7336 100437.405 32.618 71.996 100397.314 100397.217 32.319 63.195 1 1 0 0 0 0 0 30.258621 30.005 73.866 0.343638 50130 64 64 3.197031 0.008 46.474 1.646493 10385 63 63 0 0 0 0 0 0 1 1 7 1 89 1460 65160 16 64256.0 64128.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3021.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 777.0 10441.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58178 88826 0 88825 188 1227433260 88636 1227434708 1 1448 0 1 1 192.168.101.1 22 146915 0 146915 136224 390396 10689 390396 0 0 0 1 1 1565398188968.9768 1565398292470.614 103501.637 33.68 77.807 103468.495 103468.375 33.343 64.283 1 1 0 0 0 0 0 30.205293 30.001 74.711 0.364923 45655 64 64 3.266756 0.006 46.953 1.983314 10604 63 63 0 0 0 0 0 0 1 1 7 1 101 1460 65160 16 64256.0 64128.0 0.0 2085308.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3292.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1394.0 10689.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58310 79114 0 79113 200 1092920618 78912 1092920620 1 2 0 1 1 192.168.101.1 22 131151 0 131151 121615 349644 9534 349644 0 0 0 1 1 1565398305962.6414 1565398398463.8867 92501.246 32.385 70.902 92464.585 92464.452 32.056 62.864 1 1 0 0 0 0 0 30.195278000000002 29.984 76.341 0.394328 38290 64 64 3.2397869999999998 0.002 45.798 2.028451 9456 63 63 0 0 0 0 0 0 1 1 7 1 116 1460 65160 16 64256.0 64000.0 0.0 2083860.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2887.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1411.0 9534.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
