#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 50396 7709 0 7708 20 126109520 7687 126109520 0 0 0 1 1 192.168.101.1 22 13247 0 13247 12134 43176 1111 43176 0 0 0 1 1 1565393297980.7354 1565393301356.1548 3375.42 31.119 69.875 3340.905 3340.8 30.85 61.707 1 1 0 0 0 0 0 30.874664000000003 30.012 73.015 4.4682889999999995 179 64 64 0.262383 0.009 40.982 1.780707 1101 63 63 0 0 0 0 0 0 1 1 7 1 4 1460 65160 16 64256.0 64128.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 447.0 1460.0 1080.0 28.0 3145472.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7453.0 1111.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50404 6948 0 6947 25 113498960 6921 113500408 1 1448 0 1 1 192.168.101.1 22 12803 0 12803 11799 39144 1002 39144 0 0 0 1 1 1565393302459.2908 1565393305560.206 3100.915 31.096 70.824 3066.653 3066.533 30.782 61.664 1 1 0 0 0 0 0 31.434006 30.093 74.569 6.328869999999999 135 64 64 0.262596 0.007 46.547 2.023926 993 63 63 0 0 0 0 0 0 1 1 7 1 9 1460 65160 16 64256.0 64128.0 0.0 2083368.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 458.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6682.0 1002.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50406 5663 0 5662 19 92481344 5642 92481344 0 0 0 1 1 192.168.101.1 22 10052 0 10052 9232 32484 818 32484 0 0 0 1 1 1565393306435.6099 1565393309152.412 2716.802 30.958 70.08 2681.385 2681.261 30.608 61.617 1 1 0 0 0 0 0 31.229714 29.996 72.898 6.037039 144 64 64 0.306948 0.009 41.698 2.102609 810 63 63 0 0 0 0 0 0 1 1 7 1 4 1460 65160 16 64256.0 64128.0 0.0 2069412.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 299.0 1460.0 1080.0 28.0 3144960.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5405.0 818.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50408 5417 0 5416 30 88277824 5385 88277824 0 0 0 1 1 192.168.101.1 22 10989 0 10989 10205 31332 782 31332 0 0 0 1 1 1565393310017.614 1565393312691.128 2673.514 30.869 69.98 2639.599 2639.499 30.583 61.167 1 1 0 0 0 0 0 31.306274 30.069 74.019 6.123021 142 64 64 0.26304299999999997 0.007 45.229 2.235484 772 63 63 0 0 0 0 0 0 1 1 7 1 12 1460 65160 16 64256.0 64128.0 0.0 2068920.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 263.0 1460.0 1080.0 28.0 3145728.0 62848.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5147.0 782.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50418 6948 0 6947 28 113498960 6918 113498960 0 0 0 1 1 192.168.101.1 22 15304 0 15304 14298 39360 1004 39360 0 0 0 1 1 1565393313804.3867 1565393316850.6047 3046.218 31.053 69.59 3011.686 3011.594 30.696 61.623 1 1 0 0 0 0 0 31.466072999999998 30.032 73.357 6.543071 122 64 64 0.244414 0.007 47.902 2.060979 992 63 63 0 0 0 0 0 0 1 1 7 1 11 1460 65160 16 64256.0 64128.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 393.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6682.0 1004.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50432 6952 0 6951 31 113498960 6919 113498960 0 0 0 1 1 192.168.101.1 22 11647 0 11647 10643 39216 1002 39216 0 0 0 1 1 1565393317963.58 1565393321003.287 3039.707 31.157 69.879 3005.865 3005.756 30.877 61.532 1 1 0 0 0 0 0 30.977320000000002 30.002 73.023 5.170197 200 64 64 0.257411 0.006 46.545 2.0437790000000002 992 63 63 0 0 0 0 0 0 1 1 7 1 15 1460 65160 16 64256.0 64128.0 0.0 2068920.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 363.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6684.0 1002.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50438 5679 0 5678 35 92481344 5642 92482792 1 1448 0 1 1 192.168.101.1 22 9032 0 9032 8211 32556 819 32556 0 0 0 1 1 1565393322509.518 1565393325268.4038 2758.886 31.008 70.896 2724.701 2724.594 30.7 61.617 1 1 0 0 0 0 0 31.075353000000003 29.992 73.871 5.463324 181 64 64 0.29940900000000004 0.004 47.861 2.29772 818 63 63 0 0 0 0 0 0 1 1 7 1 13 1460 65160 16 64256.0 64128.0 0.0 2068920.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 313.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5404.0 819.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50440 5159 0 5158 23 84074304 5134 84074304 0 0 0 1 1 192.168.101.1 22 7077 0 7077 6328 29964 747 29964 0 0 0 1 1 1565393326112.9 1565393328715.9167 2603.017 30.995 70.723 2567.966 2567.85 30.686 61.546 1 1 0 0 0 0 0 31.423947 30.023 74.525 6.478852 134 64 64 0.324913 0.009 45.003 2.38211 739 63 63 0 0 0 0 0 0 1 1 7 1 8 1460 65160 16 64256.0 64128.0 0.0 2068920.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 212.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4897.0 747.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50442 6434 0 6433 25 105091920 6407 105091920 0 0 0 1 1 192.168.101.1 22 11898 0 11898 10968 36912 928 36912 0 0 0 1 1 1565393329751.406 1565393332787.714 3036.308 30.965 70.382 3001.916 3001.808 30.65 61.485 1 1 0 0 0 0 0 31.397656 30.019 73.919 6.257043 134 64 64 0.255234 0.006 45.527 2.08526 919 63 63 0 0 0 0 0 0 1 1 7 1 9 1460 65160 16 64256.0 64128.0 0.0 2069412.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 280.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6171.0 928.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50454 6695 0 6694 27 109295440 6666 109295440 0 0 0 1 1 192.168.101.1 22 9486 0 9486 8518 38028 966 38028 0 0 0 1 1 1565393333915.85 1565393336899.807 2983.957 31.062 69.93 2948.705 2948.558 30.766 61.407 1 1 0 0 0 0 0 31.207946999999997 30.004 72.052 5.803045 152 64 64 0.314419 0.009 47.702 2.112362 957 63 63 0 0 0 0 0 0 1 1 7 1 11 1460 65160 16 64256.0 64128.0 0.0 2068920.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 333.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6430.0 966.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
