#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 59934 6670 0 6669 19 109293128 6649 109393096 16 99968 0 1 1 192.168.101.1 22 8495 0 8495 7530 37704 963 37704 0 0 0 1 1 1565276991616.0 1565276994869.591 3253.591 31.316 69.144 3219.481 3218.782 30.993 61.946 1 1 0 0 0 0 0 31.149399 30.027 71.652 5.314062 195 64 64 0.22933299999999998 0.009 47.156 2.087357 943 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256.0 64128.0 0.0 2085832.0 16.0 32.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 178.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6396.0 963.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59940 6689 0 6688 32 109293127 6655 109342388 11 49261 0 1 1 192.168.101.1 22 10140 0 10140 9175 37704 963 37704 0 0 1 1 1 1565276995852.456 1565276998956.7842 3104.328 31.316 70.483 3070.029 3069.368 30.984 61.994 1 1 0 0 0 0 0 31.040758 30.065 73.203 5.180887 199 64 64 0.235273 0.009 45.98 2.048693 937 63 63 0 0 0 0 0 0 1 1 7 1 14 1460 65160 16 64256.0 63488.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 81.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6415.0 962.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59950 7451 0 7450 25 121903688 7424 122100728 30 197040 0 1 1 192.168.101.1 22 8514 0 8514 7440 41628 1072 41628 0 0 1 1 1 1565277000022.9707 1565277003443.307 3420.336 31.009 70.342 3386.191 3385.712 30.678 61.623 1 1 0 0 0 0 0 31.637337 30.051 72.643 6.205026999999999 154 64 64 0.22275999999999999 0.007 44.502 1.91377 1047 63 63 0 0 0 0 0 0 1 1 7 1 9 1460 65160 16 64256.0 63616.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 259.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7159.0 1071.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59952 6171 0 6170 17 100886088 6152 100968188 17 82100 0 1 1 192.168.101.1 22 11581 0 11581 10690 35040 889 35040 0 0 0 1 1 1565277004429.025 1565277007450.7688 3021.744 31.362 70.344 2987.419 2986.921 30.986 61.981 1 1 0 0 0 0 0 31.448560999999998 30.059 74.281 6.355208 137 64 64 0.23325700000000002 0.009 45.057 2.086332 881 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256.0 64128.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 138.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5908.0 889.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59954 7447 0 7446 19 121903688 7426 121997372 20 93684 0 1 1 192.168.101.1 22 10618 0 10618 9543 41700 1073 41700 0 0 0 1 1 1565277008487.6968 1565277011884.652 3396.955 31.046 70.602 3363.397 3362.904 30.694 61.544 1 1 0 0 0 0 0 31.119286 30.001 74.742 5.654323000000001 178 64 64 0.215798 0.008 45.355 1.92995 1063 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256.0 64128.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 183.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7168.0 1073.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59960 7447 0 7446 17 121903686 7428 121952948 10 49262 0 1 1 192.168.101.1 22 9235 0 9235 8160 41772 1073 41772 0 0 0 1 1 1565277012960.905 1565277016203.7378 3242.833 31.134 68.683 3208.297 3207.613 30.802 61.653 1 1 0 0 0 0 0 31.220815 30.034 77.766 6.006556 163 64 64 0.24185399999999999 0.008 44.109 1.9147720000000001 1064 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256.0 64128.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 86.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7190.0 1073.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59970 6948 0 6947 31 113496648 6915 113595168 18 98520 0 1 1 192.168.101.1 22 14448 0 14448 13447 39180 999 39180 0 0 1 1 1 1565277017327.1343 1565277020564.737 3237.603 31.362 69.617 3202.692 3202.192 31.008 62.001 1 1 0 0 0 0 0 31.192840000000004 30.039 72.551 5.618904 163 64 64 0.23221599999999998 0.009 47.767 2.063742 973 63 63 0 0 0 0 0 0 1 1 7 1 15 1460 65160 16 64256.0 63488.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 161.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6663.0 998.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59980 6438 0 6437 35 105089608 6401 105155288 11 65680 0 1 1 192.168.101.1 22 7061 0 7061 6133 36372 926 36372 0 0 1 1 1 1565277021404.377 1565277024447.7493 3043.372 31.338 70.796 3009.499 3009.005 31.024 61.885 1 1 0 0 0 0 0 30.823039 29.985 73.009 4.5595669999999995 254 64 64 0.278798 0.008 44.665 2.0677220000000003 900 63 63 0 0 0 0 0 0 1 1 7 1 17 1460 65160 16 64256.0 63488.0 0.0 2095968.0 16.0 32.0 0.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 104.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6162.0 925.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59986 7456 0 7455 40 121903688 7414 121995432 22 91744 0 1 1 192.168.101.1 22 10784 0 10784 9699 42672 1083 42672 0 0 2 1 1 1565277025518.7773 1565277029020.8257 3502.049 31.162 70.608 3466.997 3466.466 30.838 61.558 1 1 0 0 0 0 0 31.45723 30.003 71.847 5.933872 182 64 64 0.214923 0.008 46.212 1.9686419999999998 1037 63 63 0 0 0 0 0 0 1 1 7 1 28 1460 65160 16 64256.0 63488.0 0.0 2101760.0 16.0 32.0 0.0 4.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 248.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7149.0 1081.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59988 5667 0 5666 45 92479040 5620 92584308 18 105268 0 1 1 192.168.101.1 22 8209 0 8209 7391 32412 816 32412 0 0 2 1 1 1565277029727.4397 1565277032642.3743 2914.934 31.184 70.103 2880.593 2880.112 30.888 61.807 1 1 0 0 0 0 0 31.438136 30.067 74.693 6.040083 168 64 64 0.234764 0.008 45.732 2.291051 772 63 63 0 0 0 0 0 0 1 1 7 1 26 1460 65160 16 64256.0 63488.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 161.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5368.0 814.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
