#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 59196 88703 0 88702 254 1059288359 88447 1064425400 738 5137041 0 1 1 192.168.101.1 22 106058 0 106058 96879 335928 9177 335928 0 0 51 1 1 1565319651751.2197 1565319741031.5356 89280.316 32.547 73.257 89244.115 89243.591 32.197 63.342 1 1 0 0 0 0 0 30.171394 29.951 74.612 0.33757 52355 64 64 2.627898 0.009 46.187 1.4568889999999999 8840 63 63 0 0 0 0 0 0 1 1 7 1 1901 1460 65160 12 64256.0 63872.0 0.0 2101760.0 16.0 32.0 0.0 602.0 0.0 0.0 136.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 11853.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 872.0 9126.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59326 101150 0 101149 309 1235837987 100839 1241861640 1053 6023653 0 1 1 192.168.101.1 22 122769 0 122769 112005 395364 10762 395364 0 0 48 1 1 1565319758271.8428 1565319862783.53 104511.687 32.5 71.118 104475.811 104461.37 32.235 63.134 1 1 0 0 0 0 0 30.163421000000003 29.941 77.444 0.42730200000000007 60886 64 64 2.497598 0.005 47.209 1.8138009999999998 10327 63 63 0 0 0 0 0 0 1 1 7 1 1711 1460 65160 12 64256.0 63232.0 0.0 2101760.0 16.0 32.0 0.0 846.0 0.0 0.0 207.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 12829.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 1.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 896.0 10714.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59482 92770 0 92769 320 1118139284 92448 1123806848 1023 5667564 0 1 1 192.168.101.1 22 111154 0 111154 101411 359292 9741 359292 0 0 50 1 1 1565319878335.078 1565319974060.712 95725.634 32.483 71.026 95690.143 95689.474 32.154 63.016 1 1 0 0 0 0 0 30.167237 29.938 73.356 0.36393600000000004 56040 64 64 2.476569 0.005 47.911 1.8879290000000002 9291 63 63 0 0 0 0 0 0 1 1 7 1 1763 1460 65160 16 64256.0 63488.0 0.0 2101760.0 16.0 32.0 0.0 829.0 0.0 0.0 194.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 12044.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 1.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1221.0 9691.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59642 100272 0 100271 304 1181192081 99966 1187633316 1143 6441235 0 1 1 192.168.101.1 22 117914 0 117914 107629 376572 10283 376644 1 72 50 1 1 1565319991432.0808 1565320092919.4937 101487.413 32.525 72.485 101452.085 101450.964 32.196 63.151 1 1 0 0 0 0 0 30.176669 29.953 76.52 0.39856199999999997 62632 64 64 2.47523 0.005 46.34 1.6295 9860 63 63 0 0 0 0 0 0 1 1 7 1 1938 1460 65160 16 64256.0 63616.0 0.0 2091060.0 16.0 32.0 1.0 934.0 0.0 0.0 208.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 13569.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 1.0 52.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 853.0 10232.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59798 100074 0 100073 283 1198006305 99789 1203298556 964 5292251 0 1 1 192.168.101.1 22 121555 0 121555 111159 380892 10394 380964 1 72 47 1 1 1565320110037.299 1565320210920.745 100883.446 32.836 70.844 100849.733 100849.242 32.544 63.335 1 1 0 0 0 0 0 30.165576 29.943 73.538 0.327846 61854 64 64 2.588535 0.005 45.143 1.829084 10015 63 63 0 0 0 0 0 0 1 1 7 1 1905 1460 65160 16 64256.0 63616.0 0.0 2085340.0 16.0 32.0 0.0 791.0 0.0 0.0 173.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 11744.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 1.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 788.0 10346.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59958 103966 0 103965 333 1240041505 103631 1246240308 886 6198803 0 1 1 192.168.101.1 22 121894 0 121894 111103 394428 10789 394500 1 72 53 1 1 1565320228970.4065 1565320336665.527 107695.12 32.417 70.638 107660.252 107657.391 32.041 62.89 1 1 0 0 0 0 0 30.166871999999998 29.969 74.354 0.332955 64375 64 64 2.562133 0.005 45.391 1.700547 10289 63 63 0 0 0 0 0 0 1 1 7 1 2113 1460 65160 12 64256.0 63488.0 0.0 2085340.0 16.0 32.0 0.0 699.0 0.0 0.0 187.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 14757.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 1.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 824.0 10735.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60128 106084 0 106083 331 1248448403 105751 1254616204 1151 6167801 0 1 1 192.168.101.1 22 122614 0 122614 111744 398568 10868 398640 1 72 58 1 1 1565320354573.276 1565320460685.727 106112.451 32.419 71.889 106070.485 106069.907 32.107 62.913 1 1 0 0 0 0 0 30.174329999999998 29.937 74.355 0.334241 69378 64 64 2.478931 0.005 44.216 1.517557 10392 63 63 0 0 0 0 0 0 1 1 7 1 2236 1460 65160 16 64256.0 62976.0 0.0 2085832.0 16.0 32.0 0.0 904.0 0.0 0.0 247.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 14039.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 61.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 892.0 10809.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60298 100584 0 100583 310 1235837987 100272 1241491284 773 5653297 0 1 1 192.168.101.1 22 122629 0 122629 111830 396732 10797 396732 0 0 44 1 1 1565320478151.656 1565320582395.2258 104243.57 32.747 71.165 104209.879 104209.289 32.401 63.216 1 1 0 0 0 0 0 30.173346999999996 29.959 74.135 0.34904 60620 64 64 2.5899799999999997 0.006 45.518 1.711993 10318 63 63 0 0 0 0 0 0 1 1 7 1 1540 1460 65160 16 64256.0 63488.0 0.0 2086300.0 16.0 32.0 0.0 616.0 0.0 0.0 157.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 13304.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1057.0 10753.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60468 97619 0 97618 277 1160174628 97340 1165950112 1040 5775484 0 1 1 192.168.101.1 22 115355 0 115355 105233 370452 10120 370452 0 0 43 1 1 1565320599739.048 1565320698855.4082 99116.36 32.507 71.922 99077.946 99077.442 32.153 63.125 1 1 0 0 0 0 0 30.169439 29.93 73.7 0.389786 61975 64 64 2.4396880000000003 0.005 44.41 1.6944540000000001 9713 63 63 0 0 0 0 0 0 1 1 7 1 1649 1460 65160 12 64256.0 63616.0 0.0 2068920.0 16.0 32.0 0.0 830.0 0.0 0.0 210.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 12676.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 1.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 891.0 10077.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60614 105378 0 105377 312 1248448403 105064 1254616876 1121 6168473 0 1 1 192.168.101.1 22 124230 0 124230 113389 397272 10839 397272 0 0 60 1 1 1565320716524.515 1565320822870.16 106345.645 32.585 70.977 106312.168 106311.62 32.306 63.179 1 1 0 0 0 0 0 30.166819 29.945 74.003 0.299477 67662 64 64 2.5705459999999998 0.004 44.934 1.596822 10448 63 63 0 0 0 0 0 0 1 1 7 1 2128 1460 65160 16 64256.0 63872.0 0.0 2085340.0 16.0 32.0 1.0 941.0 0.0 0.0 179.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 12942.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 0.0 60.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 859.0 10779.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
