#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 34614 96766 0 96765 581 1122345257 96183 1134775620 1442 12430363 0 1 1 192.168.101.1 22 102901 0 102901 93183 359616 9716 359616 0 0 105 1 1 1565359105049.056 1565359200299.2942 95250.238 32.275 71.287 95209.383 95209.216 31.975 62.818 1 1 0 0 0 0 0 30.184539 29.946 87.102 0.52846 46283 64 64 2.330907 0.009 46.388 1.4617879999999999 8913 63 63 0 0 0 0 0 0 1 1 7 1 3988 1460 65160 12 64256.0 63488.0 0.0 2068920.0 16.0 32.0 0.0 896.0 0.0 0.0 546.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 25272.0 1460.0 1100.0 28.0 3145728.0 6784.0 0.0 1100.0 28.0 32.0 0.0 105.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1039.0 9611.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 34784 89873 0 89872 589 1067697998 89282 1078031692 1201 10333694 0 1 1 192.168.101.1 22 95960 0 95960 86684 339060 9274 339060 0 0 94 1 1 1565359213911.1487 1565359304363.067 90451.918 32.437 72.56 90417.889 90417.792 32.079 63.086 1 1 0 0 0 0 0 30.197233 29.973 76.049 0.5172640000000001 44746 64 64 2.310156 0.008 44.419 1.554682 8442 63 63 0 0 0 0 0 0 1 1 7 1 3542 1460 65160 16 64256.0 63488.0 0.0 2098864.0 16.0 32.0 1.0 815.0 0.0 0.0 385.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 22405.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 94.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 954.0 9180.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 34954 98688 0 98687 590 1164380459 98096 1175862892 1351 11482433 0 1 1 192.168.101.1 22 107606 0 107606 97478 373908 10126 373908 0 0 101 1 1 1565359318656.568 1565359417300.4922 98643.924 32.445 71.878 98608.996 98608.87 32.152 62.849 1 1 0 0 0 0 0 30.180758 29.972 73.477 0.36039299999999996 50184 64 64 2.365386 0.005 47.304 1.430183 9270 63 63 0 0 0 0 0 0 1 1 7 1 3755 1460 65160 12 64256.0 63616.0 0.0 2101760.0 16.0 32.0 0.0 844.0 0.0 0.0 507.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 23777.0 1460.0 1100.0 28.0 3145728.0 59008.0 0.0 1100.0 28.0 32.0 3.0 98.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 912.0 10025.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35128 100875 0 100874 605 1185398058 100268 1197921148 1456 12523090 0 1 1 192.168.101.1 22 108944 0 108944 98671 378264 10271 378264 0 0 100 1 1 1565359431560.389 1565359532354.134 100793.745 32.763 71.559 100758.947 100758.858 32.464 63.412 1 1 0 0 0 0 0 30.1845 29.955 72.914 0.376677 49421 64 64 2.317548 0.005 44.756 1.462812 9435 63 63 0 0 0 0 0 0 1 1 7 1 4016 1460 65160 12 64256.0 63488.0 0.0 2089500.0 16.0 32.0 1.0 934.0 0.0 0.0 521.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 25316.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 4.0 96.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 966.0 10171.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35318 100198 0 100197 531 1181194539 99665 1193058252 1369 11863713 0 1 1 192.168.101.1 22 107766 0 107766 97524 380388 10240 380388 0 0 88 1 1 1565359547492.5183 1565359648680.438 101187.92 32.467 72.733 101153.847 101153.718 32.203 63.118 1 1 0 0 0 0 0 30.188219 29.952 73.334 0.452524 50837 64 64 2.376017 0.007 45.626 1.67219 9449 63 63 0 0 0 0 0 0 1 1 7 1 3462 1460 65160 12 64256.0 63744.0 0.0 2085340.0 16.0 32.0 0.0 925.0 0.0 0.0 444.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 24465.0 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 2896.0 28.0 32.0 0.0 88.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 910.0 10151.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35512 90735 0 90734 576 1063494480 90157 1073856640 1203 10362160 0 1 1 192.168.101.1 22 97826 0 97826 88589 340068 9235 340096 1 28 93 1 1 1565359662389.695 1565359752461.332 90071.637 32.216 71.193 90035.098 90034.994 31.932 62.549 1 1 0 0 0 0 0 30.198988 29.962 71.737 0.30890500000000004 46294 64 64 2.340474 0.006 41.488 1.388279 8405 63 63 0 0 0 0 0 0 1 1 7 1 3774 1460 65160 12 64256.0 63744.0 0.0 2068920.0 16.0 32.0 1.0 808.0 0.0 0.0 394.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 21847.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 93.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 --- 944.0 9141.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35664 89075 0 89074 545 1055087437 88528 1065792432 1249 10704995 0 1 1 192.168.101.1 22 96491 0 96491 87325 336180 9164 336180 0 0 76 1 1 1565359764958.962 1565359855063.4119 90104.45 32.955 71.441 90070.702 90070.572 32.61 63.44 1 1 0 0 0 0 0 30.188115999999997 29.954 77.738 0.404273 44529 64 64 2.2277009999999997 0.005 44.136 1.604209 8393 63 63 0 0 0 0 0 0 1 1 7 1 2943 1460 65160 8 64256.0 63488.0 0.0 2095968.0 16.0 32.0 0.0 790.0 0.0 0.0 459.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 22017.0 1460.0 1080.0 28.0 3145728.0 35200.0 0.0 1080.0 28.0 32.0 1.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 930.0 9088.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35838 100797 0 100796 569 1181194537 100226 1192915280 1373 11720743 0 1 1 192.168.101.1 22 111182 0 111182 100942 376320 10238 376320 0 0 97 1 1 1565359869968.9243 1565359970266.7087 100297.785 32.567 72.155 100262.19 100262.082 32.267 63.154 1 1 0 0 0 0 0 30.189832 29.983 71.169 0.382235 50433 64 64 2.390207 0.005 46.519 1.4440950000000001 9413 63 63 0 0 0 0 0 0 1 1 7 1 3919 1460 65160 12 64256.0 63616.0 0.0 2085340.0 16.0 32.0 0.0 854.0 0.0 0.0 519.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 23922.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 5.0 90.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 841.0 10141.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35994 100299 0 100298 603 1164380457 99694 1176727404 1421 12346947 0 1 1 192.168.101.1 22 106617 0 106617 96519 371892 10096 372144 1 252 90 1 1 1565359984312.2488 1565360083301.257 98989.008 32.868 70.544 98954.096 98953.975 32.481 63.536 1 1 0 0 0 0 0 30.19738 29.954 76.132 0.47985900000000004 50345 64 64 2.34594 0.008 47.073 1.4403569999999999 9243 63 63 0 0 0 0 0 0 1 1 7 1 3809 1460 65160 12 64256.0 63488.0 0.0 2101760.0 16.0 32.0 0.0 987.0 0.0 0.0 434.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 25999.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 3.0 94.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1019.0 10005.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 36158 102596 0 102595 584 1181194537 102010 1192739460 1393 11544923 0 1 1 192.168.101.1 22 109061 0 109061 98823 376968 10236 377256 2 288 95 1 1 1565360097032.28 1565360197331.092 100298.812 32.944 72.308 100264.702 100264.598 32.682 63.386 1 1 0 0 0 0 0 30.192213 29.938 73.561 0.369937 53372 64 64 2.384558 0.005 47.673 1.768213 9408 63 63 0 0 0 0 0 0 1 1 7 1 4102 1460 65160 12 64256.0 63488.0 0.0 2085340.0 16.0 32.0 2.0 902.0 0.0 0.0 489.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 25228.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 1.0 104.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 935.0 10139.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
