#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 45240 5907 0 5906 16 96682560 5889 96682560 0 0 0 1 1 192.168.101.1 22 10507 0 10507 9647 33960 858 33960 0 0 0 1 1 1565239497719.3347 1565239500469.069 2749.734 31.296 69.726 2715.442 2714.998 30.976 61.738 1 1 0 0 0 0 0 31.390722999999998 30.063 72.46 6.157183 134 64 64 0.280802 0.008 46.677 2.179808 848 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256.0 64128.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5666.0 858.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45242 5912 0 5911 21 96682560 5889 96682560 0 0 0 1 1 192.168.101.1 22 7593 0 7593 6738 33744 853 33744 0 0 0 1 1 1565239501236.2722 1565239504015.592 2779.32 31.168 69.369 2744.876 2744.375 30.885 61.761 1 1 0 0 0 0 0 31.360186 30.007 74.505 6.273396 139 64 64 0.296059 0.008 45.668 2.182074 841 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256.0 64128.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5665.0 853.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45244 5144 0 5143 24 84072000 5118 84072000 0 0 0 1 1 192.168.101.1 22 4466 0 4466 3702 31728 762 31728 0 0 0 1 1 1565239504753.871 1565239507993.2908 3239.42 31.304 69.399 3204.574 3204.109 31.015 61.967 1 1 0 0 0 0 0 31.113933000000003 30.125 72.908 5.1573 196 64 64 0.29737800000000003 0.009 47.019 2.344862 727 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256.0 64128.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145472.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4898.0 762.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45250 5392 0 5391 15 88275520 5375 88275520 0 0 0 1 1 192.168.101.1 22 10265 0 10265 9483 31116 780 31116 0 0 0 1 1 1565239508750.619 1565239511391.9973 2641.378 31.282 70.129 2607.373 2606.854 30.979 62.002 1 1 0 0 0 0 0 31.427335 29.99 73.096 6.351049 128 64 64 0.27894800000000003 0.008 46.409 2.2801139999999998 772 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256.0 64128.0 0.0 2095968.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5153.0 780.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45262 5136 0 5135 15 84072000 5119 84072000 0 0 0 1 1 192.168.101.1 22 5565 0 5565 4820 29784 743 29784 0 0 0 1 1 1565239512082.529 1565239514663.648 2581.119 31.057 69.128 2547.46 2547.015 30.749 61.624 1 1 0 0 0 0 0 31.308877000000003 29.998 72.592 5.944724 148 64 64 0.321071 0.009 47.389 2.3939310000000003 735 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256.0 64128.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4898.0 743.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45274 6159 0 6158 16 100886086 6141 100886088 1 2 0 1 1 192.168.101.1 22 8504 0 8504 7613 35040 889 35040 0 0 0 1 1 1565239515595.297 1565239518431.766 2836.469 31.282 69.318 2801.651 2801.246 30.941 61.685 1 1 0 0 0 0 0 31.160509 30.031 73.219 5.696571 161 64 64 0.267905 0.006 46.341 2.137786 880 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256.0 64128.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5920.0 889.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45276 7187 0 7186 17 117700168 7168 117700168 0 0 0 1 1 192.168.101.1 22 10134 0 10134 9096 40332 1036 40332 0 0 0 1 1 1565239519240.104 1565239522310.9468 3070.843 31.01 70.045 3036.331 3035.926 30.711 61.542 1 1 0 0 0 0 0 31.229419 30.004 74.065 6.014683 150 64 64 0.26900300000000005 0.009 44.838 1.94688 1028 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256.0 64128.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6946.0 1036.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45278 7186 0 7185 17 117700168 7167 117700168 0 0 0 1 1 192.168.101.1 22 11766 0 11766 10728 40332 1036 40332 0 0 0 1 1 1565239523325.352 1565239526388.269 3062.917 30.986 69.178 3029.205 3028.718 30.724 61.489 1 1 0 0 0 0 0 31.476689 29.967 76.608 6.715603999999999 126 64 64 0.262498 0.008 45.031 1.94232 1028 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256.0 64128.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6946.0 1036.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45286 5392 0 5391 15 88275520 5375 88275520 0 0 0 1 1 192.168.101.1 22 7800 0 7800 7017 31152 781 31152 0 0 0 1 1 1565239527150.9287 1565239529779.495 2628.566 31.07 69.966 2594.316 2593.815 30.788 61.504 1 1 0 0 0 0 0 31.208536 30.01 73.957 5.920758999999999 151 64 64 0.30156 0.008 45.398 2.250865 773 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256.0 64128.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5153.0 781.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45296 5649 0 5648 17 92479039 5630 92479040 1 1 0 1 1 192.168.101.1 22 6289 0 6289 5471 32412 816 32412 0 0 0 1 1 1565239530372.969 1565239533090.258 2717.289 31.13 69.893 2683.69 2683.139 30.838 61.663 1 1 0 0 0 0 0 31.130784000000002 30.062 73.468 5.666859 167 64 64 0.326509 0.008 46.799 2.229301 808 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256.0 64128.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5409.0 816.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
