#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 59096 6503 0 6502 265 100888400 6236 100895640 3 7240 0 1 1 192.168.101.1 22 26787 0 26787 25867 37992 918 38100 1 108 187 1 1 1565469272772.8547 1565469277636.586 4863.731 51.073 109.462 4808.526 4808.347 50.75 101.516 1 1 0 0 0 0 0 43.615953000000005 30.549 94.025 6.9394990000000005 283 64 64 0.348327 0.002 42.906 2.625372 801 63 63 0 0 0 0 0 0 1 1 7 1 1223 1460 65160 16 64256.0 64000.0 0.0 2183860.0 16.0 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 25470.0 1460.0 1080.0 28.0 3145728.0 61312.0 0.0 1080.0 28.0 32.0 11.0 176.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5897.0 730.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59106 7835 0 7834 319 121906000 7514 121911792 2 5792 0 1 1 192.168.101.1 22 32239 0 32239 31162 41700 1075 41736 1 36 219 1 1 1565469278754.6348 1565469283569.002 4814.367 51.427 109.784 4758.814 4758.678 51.127 102.111 1 1 0 0 0 0 0 43.797833000000004 37.249 94.455 7.022722999999999 272 64 64 0.239517 0.003 43.147 2.004467 921 63 63 0 0 0 0 0 0 1 1 7 1 1444 1460 65160 12 64256.0 64000.0 0.0 2233120.0 16.0 32.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 30642.0 1460.0 1080.0 28.0 3145728.0 60032.0 0.0 1080.0 28.0 32.0 0.0 211.0 0.0 0.0 9.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7179.0 855.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59108 7047 0 7046 289 109295440 6756 109298336 1 2896 0 1 1 192.168.101.1 22 31033 0 31033 30065 37776 966 38028 1 252 200 1 1 1565469284523.828 1565469288921.198 4397.37 51.193 100.305 4343.423 4343.315 50.892 92.05 1 1 0 0 0 0 0 43.990249 38.932 94.053 6.686739 284 64 64 0.272301 0.003 43.375 2.1366110000000003 831 63 63 0 0 0 0 0 0 1 1 7 1 1260 1460 62264 16 64256.0 64128.0 0.0 2298800.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 29680.0 1460.0 1080.0 28.0 3145728.0 57984.0 0.0 1080.0 28.0 32.0 0.0 200.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6421.0 765.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59118 6571 0 6570 332 100888400 6237 100894192 2 5792 0 1 1 192.168.101.1 22 26893 0 26893 25998 35148 893 35256 1 108 223 1 1 1565469289815.5967 1565469294012.9854 4197.388 41.145 100.929 4142.073 4141.969 40.868 92.017 1 1 0 0 0 0 0 43.564285 34.56 93.479 6.538501999999999 301 64 64 0.26074400000000003 0.003 42.69 2.251481 724 63 63 0 0 0 0 0 0 1 1 7 1 1498 1460 55024 16 64256.0 64000.0 0.0 2183860.0 16.0 32.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 25796.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 218.0 5.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5901.0 667.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59134 5422 0 5421 203 84074304 5217 84077200 1 2896 0 1 1 192.168.101.1 22 21060 0 21060 20311 29856 747 30072 2 216 133 1 1 1565469294779.0437 1565469298593.348 3814.304 51.243 100.061 3757.365 3757.272 50.976 92.023 1 1 0 0 0 0 0 44.410302 31.387 93.466 7.0015410000000005 214 64 64 0.280954 0.003 43.762 2.438551 653 63 63 0 0 0 0 0 0 1 1 7 1 846 1460 65160 16 64256.0 64128.0 0.0 2205116.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 19708.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 133.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4881.0 612.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59138 8096 0 8095 336 126109520 7758 126118208 1 8688 0 1 1 192.168.101.1 22 33852 0 33852 32743 43032 1107 43212 1 180 243 1 1 1565469299891.561 1565469304775.287 4883.726 51.333 109.809 4829.681 4829.438 51.084 101.917 1 1 0 0 0 0 0 43.243697 32.685 93.36 6.419166000000001 361 64 64 0.21885300000000002 0.003 42.192 1.929116 967 63 63 0 0 0 0 0 0 1 1 7 1 1671 1460 65160 16 64256.0 64128.0 0.0 2298800.0 16.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 32596.0 1460.0 1080.0 28.0 3145728.0 60672.0 0.0 1080.0 28.0 32.0 0.0 236.0 7.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7424.0 863.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59142 7795 0 7794 280 121906000 7513 121921928 5 15928 0 1 1 192.168.101.1 22 33456 0 33456 32379 41700 1075 41772 1 72 186 1 1 1565469305936.1587 1565469310692.6118 4756.453 50.933 99.425 4712.567 4712.443 50.666 99.425 1 1 0 0 0 0 0 43.537619 38.003 94.499 7.071078 253 64 64 0.240608 0.003 42.13 1.976005 931 63 63 0 0 0 0 0 0 1 1 7 1 1150 1460 57920 16 64256.0 64128.0 0.0 2183860.0 16.0 32.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 32115.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 182.0 4.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7175.0 888.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59160 7550 0 7549 283 117702480 7265 117705376 1 2896 0 1 1 192.168.101.1 22 28062 0 28062 27021 40404 1039 40512 1 108 195 1 1 1565469311860.0293 1565469316436.225 4576.196 51.185 109.652 4521.22 4521.119 50.885 101.868 1 1 0 0 0 0 0 43.643988 35.182 94.612 6.40573 270 64 64 0.25461500000000004 0.004 43.931 2.045011 906 63 63 0 0 0 0 0 0 1 1 7 1 1274 1460 65160 16 64256.0 64128.0 0.0 2298800.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 26253.0 1460.0 1080.0 28.0 3145728.0 61184.0 0.0 1080.0 28.0 32.0 0.0 193.0 2.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6931.0 843.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59168 5717 0 5716 229 88277824 5486 88280720 1 2896 0 1 1 192.168.101.1 22 21919 0 21919 21134 31188 783 31296 1 108 161 1 1 1565469317316.937 1565469321200.2202 3883.283 51.341 110.536 3828.437 3828.298 51.087 102.155 1 1 0 0 0 0 0 44.390632000000004 31.892 94.721 7.319736 265 64 64 0.278624 0.003 43.246 2.302057 686 63 63 0 0 0 0 0 0 1 1 7 1 1073 1460 55024 16 64256.0 64128.0 0.0 2183860.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 20496.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 158.0 3.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5152.0 621.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59170 8071 0 8070 287 126109520 7782 126125448 5 15928 0 1 1 192.168.101.1 22 33507 0 33507 32392 43068 1113 43140 1 72 195 1 1 1565469322343.827 1565469327244.213 4900.386 51.226 115.974 4846.241 4846.088 50.867 102.205 1 1 0 0 0 0 0 43.212073 30.338 94.481 6.844121 297 64 64 0.290123 0.004 44.014 1.997523 970 63 63 0 0 0 0 0 0 1 1 7 1 1272 1460 65160 16 64256.0 64128.0 0.0 2225880.0 16.0 32.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 32147.0 1460.0 1080.0 28.0 3145728.0 59648.0 0.0 1080.0 28.0 32.0 0.0 186.0 5.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7444.0 917.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
