#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 49536 211640 0 211639 302 1126545928 211336 1137833664 1700 11287736 0 1 1 192.168.101.1 22 52706 0 52706 42902 358984 9802 358984 0 0 0 1 1 1565803025268.7107 1565803121185.597 95916.886 31.504 41.337 95882.125 95834.732 31.233 31.514 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.055629 0.002 42.358 0.361607 41685.0 63.0 63.0 38.923749 29.991 77.524 4.951738 9595.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 86.0 1460.0 62264.0 12.0 64256.0 64128.0 0.0 315664.0 16.0 32.0 0.0 0.0 0.0 240.0 1608.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1650.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 953.0 9802.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 49712 206587 0 206586 273 1240040967 206312 1253208840 1866 13167873 0 1 1 192.168.101.1 22 55892 0 55892 45102 399880 10788 399880 0 0 0 1 1 1565803136855.8545 1565803241534.752 104678.897 32.058 39.759 104644.428 104612.847 31.778 32.07 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.050206 0.002 41.934 0.35299899999999995 43652.0 63.0 63.0 40.744671999999994 29.983 77.455 4.3641239999999994 10640.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 119.0 1460.0 65160.0 12.0 64256.0 63616.0 0.0 357656.0 16.0 32.0 0.0 0.0 0.0 303.0 1723.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1805.0 1460.0 2700.0 28.0 3145472.0 64128.0 0.0 3492.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2517.0 10788.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 49924 199271 0 199270 181 1206412950 199088 1219648416 1955 13235466 1 1 1 192.168.101.1 22 56795 0 56795 46300 384328 10493 384328 0 0 0 1 1 1565803256430.677 1565803358215.598 101784.921 31.611 39.689 101750.48 101719.441 31.468 31.625 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.052091 0.002 44.049 0.368397 44768.0 63.0 63.0 42.446011 29.973 74.819 2.542987 10435.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 115.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 582096.0 16.0 32.0 0.0 1.0 0.0 257.0 1817.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1867.0 1460.0 1100.0 28.0 3145728.0 63744.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2430.0 10493.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50118 199414 0 199413 155 1050879725 199257 1061320512 1546 10440787 0 1 1 192.168.101.1 22 51486 0 51486 42346 336808 9138 336808 0 0 0 1 1 1565803372151.2668 1565803460354.7893 88203.522 32.384 40.008 88167.613 88136.42 31.66 32.399 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.052744000000000006 0.002 43.945 0.36933699999999997 41170.0 63.0 63.0 42.390834999999996 30.001 77.2 2.626758 9076.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 91.0 1460.0 60816.0 16.0 64256.0 63616.0 0.0 586440.0 16.0 32.0 0.0 0.0 0.0 156.0 1488.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1487.0 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 3544.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2066.0 9137.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50288 181528 0 181527 186 1143360006 181340 1154594372 1709 11234366 0 1 1 192.168.101.1 22 51360 0 51360 41419 367588 9939 367588 0 0 0 1 1 1565803475332.2393 1565803572104.216 96771.977 32.353 40.559 96738.617 96707.725 32.023 32.364 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.04975 0.002 43.465 0.36861900000000003 40131.0 63.0 63.0 42.369459 30.01 75.541 2.725349 9859.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 107.0 1460.0 63712.0 16.0 64256.0 64128.0 0.0 603816.0 16.0 32.0 0.0 0.0 0.0 231.0 1580.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1640.0 1460.0 2896.0 28.0 3144832.0 64128.0 0.0 3636.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2869.0 9938.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50482 215977 0 215976 131 1130748510 215844 1141333400 1586 10584890 0 1 1 192.168.101.1 22 51908 0 51908 42053 359632 9853 359632 0 0 0 1 1 1565803587392.9253 1565803682238.967 94846.042 32.202 40.791 94810.694 94779.851 31.496 32.217 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.053433 0.002 42.603 0.36384299999999997 40916.0 63.0 63.0 42.743660999999996 30.001 77.202 1.70216 9826.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 95.0 1460.0 62264.0 16.0 64256.0 64128.0 0.0 195480.0 16.0 32.0 0.0 0.0 0.0 307.0 1473.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1469.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 933.0 9853.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50652 207641 0 207640 168 1076101950 207471 1088084364 1933 11982414 0 1 1 192.168.101.1 22 49392 0 49392 40033 345988 9357 345988 0 0 0 1 1 1565803696577.8179 1565803787616.7756 91038.958 31.874 40.128 91002.482 90971.403 31.662 31.885 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.051725 0.002 42.732 0.380869 38637.0 63.0 63.0 42.309456 29.988 74.804 2.8749759999999998 9294.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 97.0 1460.0 65160.0 16.0 64256.0 63872.0 0.0 664632.0 16.0 32.0 0.0 0.0 0.0 327.0 1793.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1858.0 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 3528.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2921.0 9356.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50836 164145 0 164144 135 1088714248 164008 1100118552 1660 11404304 0 1 1 192.168.101.1 22 47088 0 47088 37605 346816 9481 346816 0 0 0 1 1 1565803801781.547 1565803893107.0747 91325.528 33.097 41.085 91288.692 91255.359 32.952 33.108 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.050362 0.002 41.665 0.381967 36346.0 63.0 63.0 42.648773 30.021 75.49 2.058377 9441.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 89.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 260640.0 16.0 32.0 0.0 0.0 0.0 243.0 1536.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1537.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1336.0 9481.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51016 172127 0 172126 133 1063491590 171992 1073910972 1517 10419382 0 1 1 192.168.101.1 22 46714 0 46714 37446 339364 9266 339364 0 0 0 1 1 1565803907400.729 1565803996656.45 89255.721 31.719 40.33 89220.607 89187.755 31.478 31.73 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.051747 0.002 46.718 0.40508099999999997 36328.0 63.0 63.0 42.728863 29.992 78.099 1.819995 9224.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 88.0 1460.0 65160.0 16.0 64256.0 63744.0 0.0 175208.0 16.0 32.0 0.0 0.0 0.0 271.0 1373.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1393.0 1460.0 1548.0 28.0 3145728.0 64128.0 0.0 2700.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 998.0 9266.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51192 175057 0 175056 127 1097121285 174928 1109051008 1692 11929723 0 1 1 192.168.101.1 22 48216 0 48216 38658 349624 9556 349624 0 0 0 1 1 1565804011550.72 1565804103538.4897 91987.77 31.75 39.319 91954.179 91923.103 31.412 31.762 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.050903 0.002 42.451 0.384915 37336.0 63.0 63.0 42.714557 30.01 76.354 1.877573 9518.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 84.0 1460.0 65160.0 16.0 64256.0 64000.0 0.0 262088.0 16.0 32.0 0.0 0.0 0.0 248.0 1571.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1597.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1280.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 890.0 9556.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
