#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 37642 46069 0 46068 90 113495856 45977 119354844 2143 5858988 0 1 1 192.168.101.1 22 14786 0 14786 13786 38836 998 38836 0 0 0 1 1 1565900412898.244 1565900416027.1333 3128.889 31.17 38.516 3094.985 3063.877 30.861 31.183 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.031681 0.002 40.878 0.653593 11962.0 63.0 63.0 30.587219 29.981 75.16 2.429131 963.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 45.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 186792.0 16.0 32.0 0.0 0.0 0.0 242.0 1940.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2118.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6721.0 998.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37664 40017 0 40016 73 96681767 39942 101697488 1742 5015721 0 1 1 192.168.101.1 22 11243 0 11243 10389 33688 852 33688 0 0 0 1 1 1565900417449.184 1565900420290.057 2840.873 31.098 37.732 2807.116 2775.884 30.654 31.11 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.037761 0.002 43.963 0.7841 9003.0 63.0 63.0 30.571984000000004 30.007 74.375 2.285955 835.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 46.0 1460.0 40544.0 16.0 64256.0 64128.0 0.0 341728.0 16.0 32.0 0.0 0.0 0.0 259.0 1531.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1711.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5705.0 852.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37666 36022 0 36021 54 84070632 35966 88464788 1523 4394156 0 1 1 192.168.101.1 22 9189 0 9189 8445 29620 742 29620 0 0 0 1 1 1565900421032.0876 1565900423666.54 2634.452 31.101 38.075 2600.768 2569.603 30.801 31.123 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.040644 0.002 43.993 0.8935629999999999 7125.0 63.0 63.0 30.507371000000003 29.961 75.958 2.3418650000000003 741.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 28.0 1460.0 31856.0 16.0 64256.0 64128.0 0.0 300424.0 16.0 32.0 0.0 0.0 0.0 253.0 1320.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1491.0 1460.0 1080.0 28.0 3145728.0 55424.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4959.0 742.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37668 38308 0 38307 59 92478392 38247 96963836 1536 4485444 0 1 1 192.168.101.1 22 10544 0 10544 9727 32248 815 32248 0 0 0 1 1 1565900424844.5413 1565900427563.841 2719.3 31.091 37.886 2685.395 2654.345 30.782 31.101 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.03878 0.002 42.664 0.7914720000000001 8542.0 63.0 63.0 30.553632 29.982 77.861 2.4904900000000003 802.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 35.0 1460.0 34752.0 16.0 64256.0 64128.0 0.0 254888.0 16.0 32.0 0.0 0.0 0.0 204.0 1360.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1505.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5420.0 815.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37676 34263 0 34262 58 84071208 34203 88757052 1648 4685844 0 1 1 192.168.101.1 22 12973 0 12973 12229 29620 742 29620 0 0 0 1 1 1565900428802.007 1565900431412.444 2610.437 31.04 37.851 2576.231 2545.112 30.665 31.05 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.030362 0.002 45.764 0.721687 10824.0 63.0 63.0 30.482184999999998 29.973 72.282 2.644886 730.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 38.0 1460.0 44888.0 16.0 64256.0 64128.0 0.0 266432.0 16.0 32.0 0.0 0.0 0.0 201.0 1470.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1639.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4927.0 742.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37696 32856 0 32855 75 84071208 32779 88796612 1529 4725404 0 1 1 192.168.101.1 22 9563 0 9563 8819 29620 742 29620 0 0 0 1 1 1565900432014.3481 1565900434646.572 2632.224 30.853 38.683 2598.469 2567.317 30.584 30.865 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.039199 0.002 42.144 0.82024 7648.0 63.0 63.0 30.667579999999997 30.003 76.529 2.812744 716.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 43.0 1460.0 30408.0 16.0 64256.0 64128.0 0.0 309872.0 16.0 32.0 0.0 0.0 0.0 222.0 1347.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1476.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4929.0 742.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37698 44012 0 44011 63 105088960 43947 110677004 2013 5588044 0 1 1 192.168.101.1 22 12595 0 12595 11668 36208 925 36208 0 0 0 1 1 1565900436132.61 1565900439093.811 2961.201 30.916 37.861 2927.292 2896.402 30.663 30.927 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.028775 0.002 41.699 0.5917819999999999 10051.0 63.0 63.0 30.409658 29.956 78.011 1.902327 921.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 39.0 1460.0 47784.0 16.0 64256.0 64128.0 0.0 292496.0 16.0 32.0 0.0 0.0 0.0 245.0 1799.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1990.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6213.0 925.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37700 43206 0 43205 78 105088816 43126 110964744 2088 5875928 0 1 1 192.168.101.1 22 14328 0 14328 13400 36388 926 36388 0 0 0 1 1 1565900440579.7402 1565900443499.826 2920.086 30.9 38.611 2886.458 2855.338 30.672 30.909 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.03284 0.002 42.927 0.686263 11633.0 63.0 63.0 30.428302000000002 29.914 78.075 2.336579 920.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 53.0 1460.0 52128.0 16.0 64256.0 64128.0 0.0 188240.0 16.0 32.0 0.0 0.0 0.0 273.0 1855.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2063.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6219.0 926.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37718 36055 0 36054 69 92478212 35984 96980020 1424 4501808 0 1 1 192.168.101.1 22 11902 0 11902 11085 32248 815 32248 0 0 0 1 1 1565900444292.4087 1565900447028.489 2736.08 30.952 38.675 2702.576 2671.551 30.773 30.963 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.03292 0.002 41.928 0.718238 10031.0 63.0 63.0 30.573507 29.989 77.491 2.900284 809.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 48.0 1460.0 62264.0 16.0 64256.0 64128.0 0.0 211408.0 16.0 32.0 0.0 0.0 0.0 278.0 1215.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1428.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5445.0 815.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37728 52123 0 52122 65 126106416 52056 132011228 2110 5904812 0 1 1 192.168.101.1 22 15378 0 15378 14267 42976 1109 42976 0 0 0 1 1 1565900448285.376 1565900451565.197 3279.821 31.047 38.506 3245.586 3214.371 30.805 31.058 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.029181 0.002 41.203 0.531666 12461.0 63.0 63.0 30.429610999999998 29.95 72.078 2.21637 1099.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 47.0 1460.0 44888.0 16.0 64256.0 64128.0 0.0 392116.0 16.0 32.0 0.0 0.0 0.0 303.0 1856.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2072.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7476.0 1109.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
