#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 60846 322822 0 322821 101 1129515704 322719 1129520048 2 4344 1597 1 1 192.168.101.1 22 116507 0 116507 107823 316144 8682 318016 52 1872 0 1 1 1565385603168.11 1565386058013.653 454845.543 31.263 38.427 454811.524 454780.1 30.921 31.28 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.050949 0.002 42.193 0.27934899999999996 105157.0 63.0 63.0 39.791242 30.09 76.591 10.304235 8491.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1174.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 531416.0 16.0 32.0 2.0 1595.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 4063.0 1460.0 1100.0 28.0 1892224.0 64128.0 0.0 1136.0 28.0 32.0 7.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 8630.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33202 296920 0 296919 93 1167303883 296825 1167303884 1 1 1444 1 1 192.168.101.1 22 103609 0 103609 94657 326188 8950 327924 48 1736 0 1 1 1565386072673.01 1565386535745.782 463072.772 31.516 39.609 463039.276 463008.314 31.171 31.528 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.052782 0.002 43.873 0.305802 92166.0 63.0 63.0 41.637503 30.103 70.639 10.598784 8764.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1004.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 311320.0 16.0 32.0 0.0 1438.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3760.0 1460.0 1100.0 28.0 1185792.0 64128.0 0.0 1136.0 28.0 32.0 9.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 40.0 8902.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33760 336972 0 336971 88 1179901016 336882 1179901016 0 0 1550 1 1 192.168.101.1 22 124396 0 124396 115348 329464 9046 331344 52 1880 0 1 1 1565386550781.3242 1565387033539.905 482758.581 31.804 38.785 482725.358 482694.214 31.438 31.814 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.050273000000000005 0.002 42.556 0.29280500000000004 112600.0 63.0 63.0 39.400915000000005 30.007 76.066 9.878214999999999 8873.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1433.0 1460.0 49232.0 16.0 64256.0 64128.0 0.0 208512.0 16.0 32.0 0.0 1550.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4065.0 1460.0 1100.0 28.0 1463296.0 63104.0 0.0 1100.0 28.0 32.0 9.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 26.0 8994.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 34360 348499 0 348498 83 1226088253 348414 1226088256 1 3 1955 1 1 192.168.101.1 22 127166 0 127166 117769 342892 9395 344548 46 1656 0 1 1 1565387049941.426 1565387578810.9102 528869.484 32.16 38.75 528835.332 528804.12 31.899 32.171 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.052945000000000006 0.002 42.094 0.37390500000000004 114486.0 63.0 63.0 40.040366999999996 30.037 74.601 9.984160000000001 9232.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 950.0 1460.0 55024.0 16.0 64256.0 64128.0 0.0 272224.0 16.0 32.0 0.0 1955.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4944.0 1460.0 1100.0 28.0 856320.0 64128.0 0.0 1136.0 28.0 32.0 12.0 34.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 13.0 9349.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35034 321289 0 321288 59 1112717306 321228 1112717308 1 2 1715 1 1 192.168.101.1 22 114999 0 114999 106465 310744 8532 311968 34 1224 0 1 1 1565387593462.7559 1565388077749.299 484286.543 31.622 39.268 484253.152 484221.997 31.536 31.634 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.051321000000000006 0.002 42.338 0.266345 103591.0 63.0 63.0 40.984155 30.05 75.227 11.043092 8411.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 704.0 1460.0 47784.0 16.0 64256.0 64128.0 0.0 283808.0 16.0 32.0 0.0 1715.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4312.0 1460.0 1100.0 28.0 1331200.0 54016.0 0.0 1100.0 28.0 32.0 5.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 25.0 8498.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35636 314844 0 314843 66 1129513205 314776 1129513208 1 3 1419 1 1 192.168.101.1 22 112020 0 112020 103370 315712 8648 316972 35 1260 0 1 1 1565388091287.554 1565388535848.6338 444561.08 32.127 39.529 444527.758 444496.487 31.857 32.137 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.051257000000000004 0.002 41.856 0.279143 101033.0 63.0 63.0 40.027509 30.133 77.285 10.0516 8524.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 760.0 1460.0 36200.0 16.0 64256.0 64128.0 0.0 296840.0 16.0 32.0 9.0 1404.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3559.0 1460.0 1100.0 28.0 1856512.0 64128.0 0.0 1136.0 28.0 32.0 5.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 13.0 8613.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 36176 300387 0 300386 67 1066527774 300318 1066527776 1 2 1457 1 1 192.168.101.1 22 103377 0 103377 95199 296120 8176 297572 35 1452 0 1 1 1565388549181.7903 1565388960485.375 411303.585 31.728 38.674 411269.417 411238.272 31.318 31.741 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.051345 0.002 43.808 0.30477 93103.0 63.0 63.0 40.473713000000004 30.172 75.454 10.657753 8051.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 818.0 1460.0 37648.0 16.0 64256.0 64128.0 0.0 224440.0 16.0 32.0 0.0 1457.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3437.0 1460.0 1080.0 28.0 1460352.0 64128.0 0.0 1080.0 28.0 32.0 7.0 28.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 8141.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 36680 321601 0 321600 82 1137902774 321517 1137911464 5 8690 1830 1 1 192.168.101.1 22 119878 0 119878 111152 318628 8724 320212 44 1584 0 1 1 1565388973990.909 1565389474078.3833 500087.474 31.48 38.911 500053.515 500022.576 31.236 31.491 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.05088 0.002 43.034 0.295022 108011.0 63.0 63.0 39.651815 30.055 74.911 9.472529 8568.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 924.0 1460.0 50680.0 16.0 64256.0 64128.0 0.0 295392.0 16.0 32.0 1.0 1829.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4658.0 1460.0 1100.0 28.0 1147136.0 64128.0 0.0 1136.0 28.0 32.0 6.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 8680.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37032 300782 0 300781 79 1083326184 300701 1083326184 0 0 1637 1 1 192.168.101.1 22 106620 0 106620 98305 306856 8313 308368 42 1512 0 1 1 1565389488003.2039 1565389930175.6108 442172.407 32.377 39.479 442137.853 442106.925 31.98 32.389 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.054554 0.002 43.219 0.337733 95973.0 63.0 63.0 40.364919 30.059 77.357 10.248592 8162.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 886.0 1460.0 40544.0 16.0 64256.0 64000.0 0.0 282360.0 16.0 32.0 0.0 1637.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3793.0 1460.0 1448.0 28.0 2199296.0 64128.0 0.0 3780.0 28.0 32.0 7.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 8269.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37210 345888 0 345887 82 1259679624 345804 1259679624 0 0 1886 1 1 192.168.101.1 22 132851 0 132851 123192 351920 9657 353612 47 1692 0 1 1 1565389945544.3147 1565390493766.8225 548222.508 31.235 38.616 548187.987 548156.786 30.947 31.243 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.052052 0.002 42.187 0.306158 119717.0 63.0 63.0 39.555088 30.013 75.229 9.656014 9498.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1032.0 1460.0 44888.0 16.0 64256.0 63872.0 0.0 272224.0 16.0 32.0 0.0 1886.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4962.0 1460.0 1100.0 28.0 1595392.0 64128.0 0.0 1136.0 28.0 32.0 8.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 9610.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
