#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 55408 20378 0 20377 22 83983800 20354 83983800 0 0 82 1 1 192.168.101.1 22 6353 0 6353 5698 29800 653 29872 2 72 0 1 1 1565343183874.3523 1565343206812.244 22937.892 31.075 39.293 22904.655 22873.73 30.802 31.085 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.078572 0.002 42.594 1.0585 5623.0 63.0 63.0 42.079502000000005 30.279 78.548 12.433803 633.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 61.0 1460.0 50680.0 16.0 64256.0 64128.0 0.0 273672.0 16.0 32.0 0.0 82.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 166.0 1460.0 2896.0 28.0 2847872.0 59008.0 0.0 3528.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 30.0 650.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55458 22464 0 22463 97 92405852 22365 92472176 16 66324 50 1 1 192.168.101.1 22 6000 0 6000 5186 31996 812 32132 4 136 0 1 1 1565343207705.7307 1565343225065.6157 17359.885 30.835 37.277 17324.495 17293.251 30.55 30.845 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.059887 0.002 41.539 0.834218 5152.0 63.0 63.0 35.624478 30.069 72.528 8.718015 706.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 194.0 1460.0 60816.0 16.0 64256.0 64128.0 0.0 654496.0 16.0 32.0 0.0 50.0 0.0 0.0 15.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 158.0 1460.0 1080.0 28.0 2669824.0 64128.0 0.0 1080.0 28.0 32.0 1.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 808.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55484 28228 0 28227 11 113374716 28215 113374716 0 0 81 1 1 192.168.101.1 22 8847 0 8847 7965 34516 880 34588 2 72 0 1 1 1565343226507.239 1565343262015.0703 35507.831 30.861 39.148 35473.203 35441.215 30.686 30.87 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.072264 0.002 41.967 0.809157 7911.0 63.0 63.0 43.025437 30.267 77.027 12.455422 873.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 56.0 1460.0 50680.0 16.0 64256.0 64128.0 0.0 156384.0 16.0 32.0 0.0 81.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 171.0 1460.0 1080.0 28.0 1181312.0 64128.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 878.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55542 24088 0 24087 40 109203703 24046 109203704 1 1 121 1 1 192.168.101.1 22 7906 0 7906 7033 34048 871 34300 7 252 0 1 1 1565343263184.0027 1565343297572.6145 34388.612 31.162 38.189 34354.643 34323.245 30.786 31.172 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.068287 0.002 41.889 0.877131 6927.0 63.0 63.0 42.902445 30.281 74.834 11.763565 824.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 222.0 1460.0 50680.0 16.0 64256.0 64128.0 0.0 408336.0 16.0 32.0 0.0 121.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 244.0 1460.0 1080.0 28.0 2061312.0 64128.0 0.0 1080.0 28.0 32.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 864.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55608 27001 0 27000 16 113375616 26983 113375616 0 0 183 1 1 192.168.101.1 22 9542 0 9542 8664 35236 876 35308 2 72 0 1 1 1565343298693.8247 1565343352321.267 53627.442 30.979 37.972 53593.839 53562.504 30.725 30.99 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.073451 0.002 41.882 0.903632 8417.0 63.0 63.0 45.244125 30.254 76.217 12.096071 865.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 47.0 1460.0 53576.0 16.0 64256.0 64128.0 0.0 166520.0 16.0 32.0 0.0 183.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 384.0 1460.0 1080.0 28.0 1412864.0 64128.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 874.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55688 21697 0 21696 16 92380364 21679 92380364 0 0 92 1 1 192.168.101.1 22 7839 0 7839 7118 31348 719 31492 4 144 0 1 1 1565343353220.523 1565343389749.4287 36528.906 30.909 38.068 36495.453 36464.171 30.807 30.919 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.073438 0.002 43.247 0.9027379999999999 6994.0 63.0 63.0 41.830318 30.353 78.072 10.620656 701.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 81.0 1460.0 47784.0 16.0 64256.0 64128.0 0.0 154936.0 16.0 32.0 0.0 85.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 222.0 1460.0 2520.0 28.0 820736.0 57088.0 0.0 2520.0 28.0 32.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 715.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55756 20891 0 20890 40 88234592 20849 88266448 12 31856 110 1 1 192.168.101.1 22 6756 0 6756 5980 30664 774 30772 3 108 0 1 1 1565343390496.974 1565343417383.274 26886.3 30.731 37.553 26852.018 26820.6 30.433 30.742 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.077014 0.002 42.15 0.9730639999999999 5878.0 63.0 63.0 37.869206 30.047 75.444 9.063374000000001 735.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 252.0 1460.0 59368.0 16.0 64256.0 64000.0 0.0 582096.0 16.0 32.0 0.0 110.0 0.0 0.0 12.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 254.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 771.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55806 28603 0 28602 19 113375256 28582 113375256 0 0 124 1 1 192.168.101.1 22 9149 0 9149 8273 35056 874 35272 6 216 0 1 1 1565343418800.622 1565343458098.8645 39298.243 31.019 37.718 39264.314 39233.069 30.725 31.03 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.075154 0.002 42.285 0.815236 8165.0 63.0 63.0 42.301293 30.141 77.933 12.411688 853.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 89.0 1460.0 50680.0 16.0 64256.0 64128.0 0.0 154936.0 16.0 32.0 0.0 124.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 246.0 1460.0 1080.0 28.0 745088.0 64128.0 0.0 1080.0 28.0 32.0 1.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 868.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55856 21333 0 21332 46 84063467 21285 84063468 1 1 87 1 1 192.168.101.1 22 6158 0 6158 5421 29332 735 29404 2 72 0 1 1 1565343458954.017 1565343479826.5022 20872.485 31.252 38.086 20838.777 20807.595 30.93 31.261 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.07426 0.002 42.373 0.9862129999999999 5405.0 63.0 63.0 39.831301 30.215 78.111 11.35057 694.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 98.0 1460.0 53576.0 16.0 64256.0 64128.0 0.0 718208.0 16.0 32.0 0.0 87.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 174.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 733.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55906 19154 0 19153 58 88174208 19094 88266880 23 92672 87 1 1 192.168.101.1 22 5749 0 5749 4969 30952 778 31060 3 108 0 1 1 1565343480703.534 1565343504057.4888 23353.955 30.886 37.641 23319.745 23287.781 30.694 30.897 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.085108 0.002 43.255 1.1256110000000001 4879.0 63.0 63.0 42.383672999999995 30.124 74.75 12.029478 720.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 65.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 857216.0 16.0 32.0 0.0 87.0 0.0 0.0 23.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 225.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 775.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
