#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 37576 307429 0 307428 127 1125268645 307300 1125322224 14 53579 3512 1 1 192.168.101.1 22 119027 0 119027 110350 314380 8675 317368 83 2988 0 1 1 1565589405038.441 1565590092323.241 687284.8 31.628 38.935 687250.307 687219.428 31.38 31.64 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.054792999999999994 0.002 42.975 0.491358 104747.0 63.0 63.0 42.662188 29.99 75.92 11.630574000000001 8403.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1325.0 1460.0 39096.0 16.0 64256.0 64128.0 0.0 815224.0 16.0 32.0 47.0 3381.0 0.0 0.0 94.0 0.0 4.0 0.0 0.0 1.0 1.0 7.0 1.0 8027.0 1460.0 1100.0 28.0 3145728.0 54656.0 0.0 1136.0 28.0 32.0 35.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 8592.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38778 305179 0 305178 137 1154680932 305040 1154708444 6 27512 3346 1 1 192.168.101.1 22 118526 0 118526 109617 321724 8907 324928 88 3204 0 1 1 1565590108277.0842 1565590800403.7478 692126.664 31.922 39.398 692091.838 692060.522 31.72 31.933 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.054213 0.002 43.805 0.41713100000000003 104111.0 63.0 63.0 43.219246000000005 30.105 77.423 11.51179 8622.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1185.0 1460.0 50680.0 16.0 64256.0 64128.0 0.0 469152.0 16.0 32.0 18.0 3271.0 1.0 0.0 62.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 7757.0 1460.0 1100.0 28.0 3145728.0 59904.0 0.0 1100.0 28.0 32.0 53.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 8819.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39980 264099 0 264098 112 1053931217 263985 1053931220 1 3 3144 1 1 192.168.101.1 22 102445 0 102445 94320 292600 8123 295444 79 2844 0 1 1 1565590814831.7827 1565591453451.3433 638619.56 32.178 39.676 638585.159 638554.289 31.874 32.189 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.055152 0.002 43.53 0.549658 89346.0 63.0 63.0 44.070713 30.164 137.324 11.64115 7882.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1130.0 1460.0 52128.0 16.0 64256.0 64128.0 0.0 299736.0 16.0 32.0 78.0 2977.0 0.0 0.0 90.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 7080.0 1460.0 1080.0 28.0 1519616.0 64128.0 0.0 1080.0 28.0 32.0 39.0 39.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 12.0 8044.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 41086 284614 0 284613 118 1091722928 284494 1091722928 0 0 3613 1 1 192.168.101.1 22 111974 0 111974 103554 304408 8418 307324 81 2916 0 1 1 1565591469074.418 1565592168485.844 699411.426 31.992 39.418 699375.935 699345.043 31.73 32.004 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.054167999999999994 0.002 42.576 0.503204 97895.0 63.0 63.0 43.928795 30.166 151.833 11.783961999999999 8163.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1080.0 1460.0 39096.0 16.0 64256.0 64128.0 0.0 244712.0 16.0 32.0 59.0 3478.0 0.0 0.0 76.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 8034.0 1460.0 1100.0 28.0 823680.0 64128.0 0.0 1136.0 28.0 32.0 48.0 31.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 8337.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 42304 302832 0 302831 134 1163104429 302696 1163104432 1 3 3526 1 1 192.168.101.1 22 117011 0 117011 108042 324244 8967 327564 92 3320 0 1 1 1565592184277.35 1565592881888.858 697611.508 32.21 40.481 697577.463 697546.331 31.541 32.222 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.052066999999999995 0.002 42.823 0.474233 102637.0 63.0 63.0 43.769698999999996 30.11 133.766 11.797164 8683.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1309.0 1460.0 56472.0 12.0 64256.0 64128.0 0.0 348968.0 12.0 32.0 51.0 3394.0 0.0 0.0 82.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 7834.0 1460.0 1100.0 28.0 1219968.0 64128.0 0.0 1100.0 28.0 32.0 41.0 51.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 8875.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 43514 319441 0 319440 140 1171473614 319299 1171509816 7 36202 3661 1 1 192.168.101.1 22 122335 0 122335 113281 326692 9052 330220 98 3528 0 1 1 1565592898513.875 1565593608764.8447 710250.97 31.59 38.331 710215.528 710183.842 31.393 31.6 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.051525 0.002 44.058 0.425005 107605.0 63.0 63.0 43.250917 29.982 75.08 11.549539999999999 8740.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1366.0 1460.0 40544.0 16.0 64256.0 64128.0 0.0 751512.0 16.0 32.0 25.0 3548.0 0.0 0.0 95.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 8200.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 44.0 53.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 8954.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44740 300951 0 300950 133 1217690286 300816 1217690288 1 2 3184 1 1 192.168.101.1 22 115340 0 115340 105949 339184 9389 342496 91 3312 0 1 1 1565593624995.668 1565594329814.0957 704818.428 32.456 39.618 704778.619 704747.475 31.757 32.468 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.052907 0.002 43.346 0.436802 100938.0 63.0 63.0 44.46547 30.107 136.537 11.772836999999999 9102.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1276.0 1460.0 65160.0 16.0 64256.0 64000.0 0.0 243264.0 16.0 32.0 40.0 3057.0 0.0 0.0 88.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 7195.0 1460.0 1100.0 28.0 1270400.0 64128.0 0.0 1100.0 28.0 32.0 32.0 58.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 9298.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45966 323179 0 323178 145 1221889200 323032 1221889200 0 0 3546 1 1 192.168.101.1 22 122121 0 122121 112697 340588 9422 344116 98 3528 0 1 1 1565594346556.6978 1565595052449.4053 705892.707 31.819 40.553 705856.199 705825.125 31.565 31.83 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.052666 0.002 43.293 0.447193 107315.0 63.0 63.0 43.385389 30.104 75.972 11.877838 9114.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1371.0 1460.0 40544.0 16.0 64256.0 64128.0 0.0 256296.0 16.0 32.0 30.0 3415.0 0.0 0.0 101.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 7836.0 1460.0 1100.0 28.0 1430656.0 64128.0 0.0 1136.0 28.0 32.0 42.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 9324.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47192 305141 0 305140 136 1158905733 305003 1158905736 1 3 3599 1 1 192.168.101.1 22 116951 0 116951 108009 324208 8940 327664 96 3456 0 1 1 1565595068848.7336 1565595769581.161 700732.427 32.094 39.142 700696.009 700664.967 31.924 32.106 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.055209 0.002 45.914 0.47380200000000006 102693.0 63.0 63.0 43.579562 30.077 76.753 11.46115 8642.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1379.0 1460.0 37648.0 12.0 64256.0 64000.0 0.0 295392.0 16.0 32.0 84.0 3442.0 0.0 0.0 74.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 7794.0 1460.0 1368.0 28.0 1602816.0 64128.0 0.0 1512.0 28.0 32.0 48.0 47.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 12.0 8844.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48424 291004 0 291003 127 1116916399 290875 1116916400 1 1 3300 1 1 192.168.101.1 22 114850 0 114850 106233 311500 8615 314524 83 3024 0 1 1 1565595784801.622 1565596461802.5527 677000.931 32.309 39.643 676966.798 676935.147 31.632 32.321 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.05341799999999999 0.002 44.056 0.458454 100810.0 63.0 63.0 43.538028000000004 30.108 76.463 11.523439999999999 8347.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1244.0 1460.0 41992.0 16.0 64256.0 64128.0 0.0 240368.0 16.0 32.0 16.0 3194.0 0.0 0.0 91.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 7541.0 1460.0 1100.0 28.0 1056640.0 64128.0 0.0 1100.0 28.0 32.0 37.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 8532.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
