#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 44466 31131 0 31130 17 121772756 31112 121772756 0 0 326 1 1 192.168.101.1 22 11897 0 11897 10948 37036 947 37288 7 252 0 1 1 1565526107810.0107 1565526177477.1687 69667.158 30.835 37.208 69632.695 69601.638 30.531 30.846 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.069895 0.002 41.19 0.827586 10462.0 63.0 63.0 43.245093 30.148 78.186 10.870682 925.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 109.0 1460.0 31856.0 16.0 64256.0 64128.0 0.0 160728.0 16.0 32.0 0.0 321.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 737.0 1460.0 1080.0 28.0 731648.0 64128.0 0.0 1080.0 28.0 32.0 3.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 940.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44588 25781 0 25780 17 117573844 25762 117573844 0 0 287 1 1 192.168.101.1 22 10460 0 10460 9541 35740 917 35920 5 180 0 1 1 1565526178877.781 1565526245705.5203 66827.739 31.241 39.502 66793.617 66761.306 31.022 31.252 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.072291 0.002 43.153 0.991693 9065.0 63.0 63.0 44.783558 30.239 74.804 11.805287 898.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 55.0 1460.0 50680.0 16.0 64256.0 64128.0 0.0 295392.0 16.0 32.0 0.0 271.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 659.0 1460.0 1080.0 28.0 2589696.0 64128.0 0.0 1080.0 28.0 32.0 3.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 912.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44690 20806 0 20805 19 88181452 20785 88181452 0 0 212 1 1 192.168.101.1 22 7952 0 7952 7258 27676 692 27892 5 216 0 1 1 1565526246702.473 1565526298902.386 52199.913 30.788 37.316 52166.005 52134.537 30.605 30.798 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.07015199999999999 0.002 42.041 0.8706020000000001 6914.0 63.0 63.0 46.250534 30.121 77.292 12.350251 675.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 65.0 1460.0 40544.0 16.0 64256.0 64128.0 0.0 149144.0 16.0 32.0 6.0 199.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 486.0 1460.0 1080.0 28.0 706432.0 64128.0 0.0 1080.0 28.0 32.0 2.0 3.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 687.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44784 21007 0 21006 24 92380364 20981 92380432 1 68 224 1 1 192.168.101.1 22 8412 0 8412 7681 28756 729 29160 11 404 0 1 1 1565526299839.421 1565526354741.516 54902.095 270.156 37.92 54868.103 54837.11 30.8 37.92 1.0 1.0 0.0 0.0 32768.0 0.0 0.0 0.06204400000000001 0.003 43.87 0.744019 7314.0 63.0 63.0 44.937695 30.343 72.978 11.747767 696.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 116.0 1460.0 47784.0 16.0 64256.0 64128.0 0.0 196928.0 16.0 1424.0 1.0 214.0 0.0 0.0 9.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 516.0 1460.0 1080.0 28.0 860800.0 63872.0 0.0 1080.0 28.0 32.0 6.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 718.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44882 31323 0 31322 26 125971668 31295 125971668 0 0 330 1 1 192.168.101.1 22 11928 0 11928 10939 38008 987 38476 12 468 0 1 1 1565526356111.049 1565526433762.858 77651.809 30.959 37.777 77616.764 77585.508 30.665 31.001 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.06460700000000001 0.002 43.505 0.8306959999999999 10406.0 63.0 63.0 45.698188 30.233 77.245 12.35618 949.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 129.0 1460.0 49232.0 16.0 64256.0 64128.0 0.0 217200.0 16.0 32.0 1.0 295.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 755.0 1460.0 1080.0 28.0 1000320.0 64128.0 0.0 1080.0 28.0 32.0 7.0 5.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 975.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45004 25704 0 25703 20 96579276 25682 96579276 0 0 307 1 1 192.168.101.1 22 10303 0 10303 9543 29908 758 30196 8 288 0 1 1 1565526434706.14 1565526500378.826 65672.686 30.732 38.122 65638.597 65607.496 30.495 30.743 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.062769 0.002 42.146 0.826508 8994.0 63.0 63.0 43.451355 30.278 78.26 11.590817999999999 735.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 83.0 1460.0 18824.0 16.0 64256.0 64128.0 0.0 170864.0 16.0 32.0 4.0 298.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 718.0 1460.0 1080.0 28.0 679680.0 64128.0 0.0 1080.0 28.0 32.0 5.0 2.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 750.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45112 33527 0 33526 24 121772756 33501 121772756 0 0 355 1 1 192.168.101.1 22 12721 0 12721 11767 36892 952 37216 9 324 0 1 1 1565526501686.5857 1565526575707.0027 74020.417 31.213 38.537 73985.731 73954.727 30.908 31.225 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.062941 0.003 43.359 0.761977 11164.0 63.0 63.0 42.398522 30.165 78.68 11.08268 923.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 156.0 1460.0 21720.0 16.0 64256.0 64128.0 0.0 183896.0 16.0 32.0 2.0 353.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 835.0 1460.0 1080.0 28.0 872704.0 64128.0 0.0 1080.0 28.0 32.0 6.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 943.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45248 29490 0 29489 23 104977108 29465 104977108 0 0 364 1 1 192.168.101.1 22 11150 0 11150 10323 32248 825 32608 10 360 0 1 1 1565526576841.3333 1565526641249.1917 64407.859 30.846 38.904 64373.191 64342.306 30.711 30.858 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.063239 0.002 41.872 0.803615 9833.0 63.0 63.0 43.235751 30.239 76.647 11.377739 792.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 176.0 1460.0 27512.0 16.0 64256.0 64128.0 0.0 166520.0 16.0 32.0 15.0 341.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 742.0 1460.0 1080.0 28.0 1092224.0 64128.0 0.0 1080.0 28.0 32.0 3.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 815.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45346 24851 0 24850 16 92380364 24833 92381528 1 1164 293 1 1 192.168.101.1 22 9518 0 9518 8792 28756 724 28964 6 208 0 1 1 1565526642198.793 1565526703237.4338 61038.641 30.91 38.165 60775.143 60744.155 30.634 30.922 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.073113 0.002 43.528 0.952324 8353.0 63.0 63.0 44.919713 30.215 74.132 12.977184 706.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 69.0 1460.0 49232.0 16.0 64256.0 64128.0 0.0 196928.0 1.0 32.0 10.0 274.0 0.0 0.0 9.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 651.0 1460.0 1080.0 28.0 969088.0 64128.0 0.0 1080.0 28.0 32.0 4.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 718.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45444 25187 0 25186 18 92380364 25167 92381812 1 1448 331 1 1 192.168.101.1 22 9905 0 9905 9179 28864 724 29044 5 180 0 1 1 1565526703897.971 1565526764736.555 60838.584 35.944 37.935 60803.799 60772.82 30.672 35.971 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.066585 0.002 42.293 0.845917 8655.0 63.0 63.0 43.827328 30.143 75.586 12.799847 710.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 122.0 1460.0 30408.0 16.0 64256.0 64128.0 0.0 150592.0 16.0 32.0 8.0 317.0 0.0 0.0 2.0 0.0 5.0 0.0 0.0 1.0 1.0 7.0 1.0 746.0 1460.0 1080.0 28.0 535808.0 64128.0 0.0 1080.0 28.0 32.0 2.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 719.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
