#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 45834 192836 0 192835 116 1113935116 192718 1113935116 0 0 0 1 1 192.168.101.1 22 48482 0 48482 38770 355492 9710 355492 0 0 0 1 1 1565243427479.0847 1565243520899.561 93420.476 31.621 39.371 93386.568 93355.589 31.452 31.635 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.053787 0.002 42.239 0.374361 39083.0 63.0 63.0 40.628782 30.016 76.681 4.3212839999999995 9590.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 276568.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145600.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1433.0 9710.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45962 190033 0 190032 201 1118138633 189830 1118138636 1 3 0 1 1 192.168.101.1 22 47050 0 47050 37301 356428 9747 356428 0 0 0 1 1 1565243534831.0046 1565243628555.099 93724.094 31.811 39.216 93689.452 93658.241 31.498 31.821 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.053162 0.002 43.933 0.392516 37536.0 63.0 63.0 38.690726 30.007 76.043 5.131604 9549.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 63712.0 16.0 64256.0 64128.0 0.0 405440.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145472.0 64128.0 0.0 1584.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 714.0 9747.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46072 202752 0 202751 101 1118138095 202649 1118138096 1 1 0 1 1 192.168.101.1 22 51770 0 51770 42034 356356 9734 356356 0 0 0 1 1 1565243641990.9229 1565243735755.8147 93764.892 31.805 39.238 93728.393 93697.344 31.472 31.818 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.054956 0.002 43.759 0.366419 42418.0 63.0 63.0 41.169533 30.047 76.012 3.924612 9636.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 216596.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1155.0 9734.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46170 184424 0 184423 154 1063491194 184268 1063491196 1 2 0 1 1 192.168.101.1 22 46273 0 46273 37016 340336 9255 340336 0 0 0 1 1 1565243748591.19 1565243837807.4177 89216.228 31.9 39.884 89179.92 89147.993 31.649 31.915 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.05149 0.003 41.518 0.37800500000000004 37266.0 63.0 63.0 38.261981 29.993 74.467 5.087727 9100.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 391544.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 2844.0 28.0 3145728.0 64128.0 0.0 3420.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1471.0 9255.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46284 182404 0 182403 115 1050880528 182287 1050880528 0 0 0 1 1 192.168.101.1 22 45606 0 45606 36463 333424 9141 333424 0 0 0 1 1 1565243850778.9282 1565243938912.859 88133.931 31.468 39.015 88099.798 88068.819 31.194 31.484 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.053028 0.002 42.44 0.387911 36707.0 63.0 63.0 39.991845 30.022 76.368 4.699116 9034.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 362000.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3144832.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1490.0 9141.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46404 197825 0 197824 158 1151766904 197665 1151766904 0 0 0 1 1 192.168.101.1 22 49352 0 49352 39317 367588 10033 367588 0 0 0 1 1 1565243953588.2278 1565244050544.3308 96956.103 31.727 38.444 96922.34 96891.299 31.49 31.738 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.051428999999999996 0.002 41.72 0.36943400000000004 39629.0 63.0 63.0 39.842475 30.013 75.211 4.894044999999999 9869.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 440192.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1584.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2125.0 10033.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46524 215773 0 215772 153 1210616076 215618 1210616076 0 0 0 1 1 192.168.101.1 22 53533 0 53533 42991 384436 10540 384436 0 0 0 1 1 1565244065819.1267 1565244167285.569 101466.442 31.653 38.315 101432.761 101401.832 31.348 31.664 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.051739 0.002 43.014 0.364315 43341.0 63.0 63.0 38.817178999999996 30.018 74.7 5.115328 10391.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 369240.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1444.0 10540.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46634 208720 0 208719 172 1155970026 208546 1155970028 1 2 0 1 1 192.168.101.1 22 50543 0 50543 40480 368200 10061 368200 0 0 0 1 1 1565244182120.415 1565244279030.14 96909.725 32.21 39.239 96876.406 96845.458 31.953 32.221 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.051735 0.002 45.196 0.37358600000000003 40801.0 63.0 63.0 39.072869 30.038 74.849 5.139654 9897.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 63712.0 16.0 64256.0 64128.0 0.0 435848.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 52096.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1609.0 10061.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46758 182414 0 182413 184 1084510474 182228 1084510476 1 2 0 1 1 192.168.101.1 22 45098 0 45098 35661 345916 9435 345916 0 0 0 1 1 1565244294613.567 1565244385842.588 91229.021 31.77 38.747 91195.123 91164.178 31.688 31.781 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.050006 0.002 43.984 0.394345 35957.0 63.0 63.0 38.840681 30.039 75.051 5.2263 9256.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 63712.0 16.0 64256.0 64128.0 0.0 415576.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2380.0 9435.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46878 207937 0 207936 186 1202209034 207749 1202209036 1 2 0 1 1 192.168.101.1 22 53086 0 53086 42611 381916 10473 381916 0 0 0 1 1 1565244404057.945 1565244504812.5159 100754.571 31.71 39.548 100721.034 100690.142 31.489 31.718 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.051447 0.002 42.872 0.36334 42948.0 63.0 63.0 38.783406 30.029 78.332 5.075152 10292.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 62264.0 16.0 64256.0 64128.0 0.0 178056.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145472.0 64128.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1151.0 10473.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
