#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 38832 52388 0 52387 30 126106560 52356 126106560 0 0 0 1 1 192.168.101.1 22 9404 0 9404 8294 42796 1108 42796 0 0 0 1 1 1565239483069.4739 1565239486372.767 3303.293 30.857 37.805 3268.736 3237.552 30.535 30.868 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.044206999999999996 0.002 45.118 0.7889390000000001 8912.0 63.0 63.0 30.557527 29.981 78.222 2.520148 1083.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 41992.0 16.0 64256.0 64128.0 0.0 192584.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7485.0 1108.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38834 34170 0 34169 46 84071352 34122 84071352 0 0 0 1 1 192.168.101.1 22 6109 0 6109 5365 29620 742 29620 0 0 0 1 1 1565239487116.705 1565239489774.2627 2657.558 30.867 38.13 2622.222 2590.608 30.556 30.878 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.053176 0.003 41.837 0.950024 5855.0 63.0 63.0 30.696816 30.037 74.672 2.983938 701.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 34752.0 16.0 64256.0 64128.0 0.0 194032.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4900.0 742.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38836 45056 0 45055 78 113495856 44976 113495856 0 0 0 1 1 192.168.101.1 22 8398 0 8398 7398 38872 998 38872 0 0 0 1 1 1565239490766.281 1565239493924.245 3157.964 30.992 38.117 3123.426 3092.773 30.661 31.011 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.04734 0.003 43.936 0.843426 7989.0 63.0 63.0 30.653682 30.024 76.064 2.4327799999999997 922.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 26064.0 16.0 64256.0 64128.0 0.0 147960.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6698.0 998.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38848 51986 0 51985 67 121902896 51917 121902896 0 0 0 1 1 192.168.101.1 22 15090 0 15090 14017 41464 1071 41464 0 0 0 1 1 1565239494822.861 1565239498166.889 3344.028 30.851 38.206 3309.64 3278.528 30.549 30.864 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.029579 0.003 43.181 0.609937 14435.0 63.0 63.0 31.175207 29.974 78.128 2.654281 998.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 44888.0 16.0 64256.0 64128.0 0.0 1294284.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7200.0 1071.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38864 52469 0 52468 45 126106416 52422 126106416 0 0 0 1 1 192.168.101.1 22 10093 0 10093 8983 42796 1108 42796 0 0 0 1 1 1565239499095.9807 1565239502432.486 3336.505 30.873 39.713 3301.856 3270.892 30.584 30.884 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.040602 0.002 41.342 0.7373609999999999 9602.0 63.0 63.0 30.460347 29.99 76.441 2.163535 1065.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 31856.0 16.0 64256.0 64128.0 0.0 170864.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7460.0 1108.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38866 38094 0 38093 19 92477960 38073 92477960 0 0 0 1 1 192.168.101.1 22 8738 0 8738 7921 32248 815 32248 0 0 0 1 1 1565239503046.8047 1565239505855.703 2808.898 30.957 38.328 2775.038 2743.743 30.676 30.971 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.041552 0.002 43.286 0.812824 8130.0 63.0 63.0 30.548502000000003 29.987 78.511 2.540918 800.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 34752.0 16.0 64256.0 64128.0 0.0 235816.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5400.0 815.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38868 45579 0 45578 19 109292048 45558 109292048 0 0 0 1 1 192.168.101.1 22 8444 0 8444 7481 37504 961 37504 0 0 0 1 1 1565239506686.977 1565239509708.6772 3021.7 30.972 38.236 2987.937 2956.889 30.727 30.983 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.045481 0.002 43.161 0.8284860000000001 7862.0 63.0 63.0 30.438506 29.977 78.393 2.338248 950.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 28960.0 16.0 64256.0 64128.0 0.0 130320.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6181.0 961.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38878 37732 0 37731 23 92477456 37707 92477456 0 0 0 1 1 192.168.101.1 22 9406 0 9406 8589 32248 815 32248 0 0 0 1 1 1565239510531.946 1565239513333.4558 2801.51 30.95 38.503 2768.027 2736.939 30.6 30.964 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.038176999999999996 0.002 41.99 0.771568 8896.0 63.0 63.0 30.470388 29.982 77.746 2.532284 799.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 55024.0 16.0 64256.0 64128.0 0.0 169416.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5250.0 815.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38886 44382 0 44381 18 109292048 44362 109292048 0 0 0 1 1 192.168.101.1 22 8591 0 8591 7628 37540 961 37540 0 0 0 1 1 1565239514067.527 1565239517140.9958 3073.469 30.886 38.224 3039.939 3008.84 30.602 30.897 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.043844 0.002 42.703 0.824204 8006.0 63.0 63.0 30.539644 29.982 77.565 2.375927 949.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 49232.0 16.0 64256.0 64128.0 0.0 300396.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6179.0 961.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38896 40697 0 40696 25 100885008 40670 100885008 0 0 0 1 1 192.168.101.1 22 10567 0 10567 9677 34876 888 34876 0 0 0 1 1 1565239518071.579 1565239520992.567 2920.988 30.976 38.075 2887.334 2855.986 30.639 30.987 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.039439999999999996 0.003 47.849 0.7774399999999999 9972.0 63.0 63.0 30.539786 29.985 75.856 2.458974 868.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 36200.0 16.0 64256.0 64128.0 0.0 176656.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5678.0 888.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
