#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 44416 16223 0 16222 128 84025416 16093 84029760 1 4344 2143 1 1 192.168.101.1 22 6048 0 6048 5350 28612 696 28648 1 36 0 1 1 1565938039756.173 1565938052842.244 13086.071 50.728 57.057 13041.681 12990.635 50.567 50.736 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.068841 0.002 43.921 1.116932 4875.0 63.0 63.0 53.821039 30.687 94.512 8.244791000000001 582.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 661.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 682008.0 16.0 32.0 10.0 1666.0 467.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2438.0 1460.0 1080.0 28.0 3145728.0 49024.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 28.0 695.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44434 20371 0 20370 211 113479944 20158 113484288 2 4344 3796 1 1 192.168.101.1 22 8497 0 8497 7506 38584 989 38620 1 36 0 1 1 1565938053836.2278 1565938064734.104 10897.876 50.845 57.529 10843.181 10802.162 50.579 50.858 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.057053999999999994 0.002 43.849 0.926625 6773.0 63.0 63.0 50.59642 30.579 94.221 6.040166 753.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1029.0 1460.0 52128.0 16.0 64256.0 64128.0 0.0 648596.0 16.0 32.0 0.0 3035.0 735.0 0.0 28.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4273.0 1460.0 1080.0 28.0 2867200.0 64128.0 0.0 1080.0 1.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 988.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44446 18684 0 18683 277 113495712 18405 113501504 2 5792 4625 1 1 192.168.101.1 22 8588 0 8588 7586 38872 1000 38908 1 36 0 1 1 1565938065727.513 1565938073130.1377 7402.625 50.921 58.965 7348.44 7297.503 50.633 50.932 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.046827999999999995 0.002 42.763 0.8862979999999999 6985.0 63.0 63.0 49.635531 30.513 93.573 5.833225 682.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1643.0 1460.0 49232.0 16.0 64256.0 64128.0 0.0 788080.0 16.0 32.0 0.0 3945.0 650.0 0.0 32.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4996.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 999.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44472 20769 0 20768 193 100842240 20574 100852376 4 10136 4704 1 1 192.168.101.1 22 9578 0 9578 8726 33544 850 33580 1 36 0 1 1 1565938073948.075 1565938087558.5208 13610.446 50.986 57.544 13555.847 13504.86 50.713 50.996 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.043354000000000004 0.002 43.49 0.845758 7980.0 63.0 63.0 51.699402 30.41 94.114 6.870889999999999 666.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1259.0 1460.0 53576.0 16.0 64256.0 64128.0 0.0 862340.0 16.0 32.0 0.0 3093.0 1611.0 0.0 4.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 5189.0 1460.0 1080.0 28.0 3145728.0 49536.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 849.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44498 21712 0 21711 193 121850084 21517 121863116 3 13032 4108 1 1 192.168.101.1 22 9140 0 9140 8117 39664 1021 39700 1 36 0 1 1 1565938088588.76 1565938102079.468 13490.708 50.852 57.29 13437.155 13396.224 50.568 50.863 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.054497000000000004 0.002 41.699 0.867878 7287.0 63.0 63.0 51.97247 30.734 91.676 6.980262 823.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 900.0 1460.0 56472.0 16.0 64256.0 64128.0 0.0 738480.0 16.0 32.0 0.0 3041.0 1067.0 0.0 3.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4666.0 1460.0 1080.0 28.0 3145728.0 43904.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 1020.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44524 15214 0 15213 108 88227640 15104 88258048 8 30408 2277 1 1 192.168.101.1 22 6410 0 6410 5675 29260 733 29332 1 72 0 1 1 1565938102867.276 1565938115543.3882 12676.112 50.848 57.501 12622.893 12571.796 50.614 50.858 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.064051 0.002 41.749 1.0324659999999999 5103.0 63.0 63.0 53.101975 30.84 93.05 8.003204 615.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 593.0 1460.0 55024.0 16.0 64256.0 64128.0 0.0 506800.0 16.0 32.0 0.0 1692.0 580.0 0.0 13.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2651.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 732.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44550 16907 0 16906 172 105083416 16733 105086312 1 2896 3109 1 1 192.168.101.1 22 7204 0 7204 6278 36136 924 36172 1 36 0 1 1 1565938116474.66 1565938126733.814 10259.154 51.5 58.277 10204.348 10163.486 51.061 51.51 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.061498000000000004 0.002 43.407 0.986242 5699.0 63.0 63.0 50.882511 30.524 91.325 6.306628 740.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 813.0 1460.0 65160.0 12.0 64256.0 64128.0 0.0 734988.0 16.0 32.0 0.0 2707.0 402.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3517.0 1460.0 1080.0 28.0 2835968.0 62976.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 923.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44554 16911 0 16910 120 92429216 16789 92433560 1 4344 2375 1 1 192.168.101.1 22 6695 0 6695 5923 30556 770 30664 2 108 0 1 1 1565938127502.1797 1565938140211.918 12709.738 50.621 57.657 12656.007 12604.9 50.403 50.633 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.064304 0.002 42.147 1.010238 5378.0 63.0 63.0 53.147876000000004 30.549 83.336 7.66635 631.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 475.0 1460.0 60816.0 16.0 64256.0 64128.0 0.0 700832.0 16.0 32.0 0.0 2064.0 303.0 0.0 9.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2752.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 768.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44580 17372 0 17371 230 109292444 17140 109374980 11 82536 3105 1 1 192.168.101.1 22 7203 0 7203 6232 37756 969 37792 1 36 0 1 1 1565938141170.625 1565938151512.35 10341.725 50.925 57.621 10286.815 10235.821 50.628 50.935 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.055654999999999996 0.002 43.657 1.006125 5665.0 63.0 63.0 50.799363 30.436 92.838 5.888691000000001 744.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1101.0 1460.0 55024.0 16.0 64256.0 64128.0 0.0 557444.0 16.0 32.0 0.0 2135.0 970.0 0.0 11.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3497.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 968.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44604 17609 0 17608 281 117699736 17326 117718560 4 18824 4033 1 1 192.168.101.1 22 8129 0 8129 7077 40924 1050 40960 1 36 0 1 1 1565938152508.171 1565938161061.268 8553.097 51.162 58.22 8499.686 8448.611 50.883 51.174 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.048444 0.002 42.666 0.9093969999999999 6496.0 63.0 63.0 50.117609 30.574 92.923 5.090562 760.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1797.0 1460.0 63712.0 12.0 64256.0 64000.0 0.0 696488.0 16.0 32.0 0.0 3321.0 649.0 0.0 67.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4457.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 1049.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
