#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 51590 228475 0 228474 3661 1195741183 224812 1197957628 717 2216445 77561 1 1 192.168.101.1 22 133107 0 133107 122722 379828 10383 379900 2 72 0 1 1 1565994457221.712 1565994558588.36 101366.648 41.698 49.291 101320.458 101289.701 41.358 41.71 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.020009 0.002 50.463 0.295004 84422.0 63.0 63.0 43.669125 30.083 83.285 7.681741000000001 7531.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 14127.0 1460.0 65160.0 12.0 64256.0 63744.0 0.0 1170656.0 12.0 32.0 0.0 59981.0 17009.0 0.0 1288.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 106255.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1388.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 415.0 10381.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51784 277413 0 277412 3913 1176365839 273498 1181254628 1493 4888789 86609 1 1 192.168.101.1 22 147752 0 147752 137458 375832 10292 375940 3 108 0 1 1 1565994572831.986 1565994672104.184 99272.198 42.392 40.045 99226.843 99174.923 32.28 40.045 1.0 1.0 0.0 0.0 32768.0 0.0 0.0 0.018236000000000002 0.002 43.58 0.28871199999999997 99781.0 63.0 63.0 42.749708 30.111 91.006 6.579225999999999 7292.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 22975.0 1460.0 59368.0 12.0 64256.0 63872.0 0.0 1149400.0 16.0 32.0 230.0 74856.0 9629.0 0.0 3387.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 114456.0 1460.0 1136.0 28.0 3145728.0 40832.0 0.0 1316.0 28.0 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 717.0 10289.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51980 289250 0 289249 3481 1110546309 285767 1114000384 1085 3454075 118224 1 1 192.168.101.1 22 183856 0 183856 174140 356680 9714 356788 2 108 0 1 1 1565994685316.62 1565994779402.3962 94085.776 31.622 38.64 94030.599 93979.899 31.377 31.631 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.013038999999999999 0.002 43.474 0.23996399999999998 118913.0 63.0 63.0 40.565099 29.991 82.746 6.121298 7246.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 17350.0 1460.0 63712.0 12.0 64256.0 63232.0 0.0 1116560.0 12.0 32.0 0.0 99496.0 17906.0 0.0 1907.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 164034.0 1460.0 1100.0 28.0 3145728.0 61312.0 0.0 1800.0 28.0 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 14.0 9712.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52150 298127 0 298126 3721 1203016772 294404 1206491508 1091 3474736 111532 1 1 192.168.101.1 22 180504 0 180504 169990 384508 10512 384580 2 72 0 1 1 1565994794423.3667 1565994895985.01 101561.643 41.964 49.622 101517.034 101486.318 41.964 42.006 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.01518 0.002 46.235 0.239083 117365.0 63.0 63.0 41.442074 30.115 96.525 6.140043 7837.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 18979.0 1460.0 65160.0 12.0 64256.0 63488.0 0.0 1215108.0 12.0 32.0 0.0 94711.0 14585.0 0.0 3327.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 153713.0 1460.0 1100.0 28.0 3145728.0 63104.0 0.0 1404.0 1.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 503.0 10510.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52344 260321 0 260320 3409 1108829265 256910 1109783076 271 953811 99908 1 1 192.168.101.1 22 162772 0 162772 153098 353152 9672 353188 1 36 0 1 1 1565994909180.35 1565995002499.179 93318.829 41.961 50.59 93273.141 93236.848 41.763 41.972 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.016146999999999998 0.002 42.428 0.261725 102968.0 63.0 63.0 42.335428 30.064 81.521 7.121961 7225.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 14512.0 1460.0 65160.0 12.0 64256.0 64000.0 0.0 985200.0 12.0 32.0 30.0 92195.0 6732.0 0.0 1222.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 140960.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1352.0 1.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 25.0 9671.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52538 314856 0 314855 3953 1250517822 310901 1252750640 664 2232818 110640 1 1 192.168.101.1 22 182208 0 182208 171309 397936 10897 398116 4 180 0 1 1 1565995017743.7742 1565995123898.488 106154.714 41.792 50.993 106109.008 106055.706 41.546 41.825 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.01587 0.002 47.198 0.226083 120312.0 63.0 63.0 42.709156 30.049 93.498 6.602913 8000.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 19647.0 1460.0 65160.0 12.0 64256.0 63488.0 0.0 1133008.0 16.0 32.0 0.0 101917.0 7008.0 0.0 2379.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 151201.0 1460.0 1100.0 28.0 3145728.0 44160.0 0.0 1280.0 28.0 32.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 543.0 10893.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52732 333557 0 333556 3606 1214723863 329949 1214865304 32 141441 135283 1 1 192.168.101.1 22 210587 0 210587 200006 385768 10579 385804 1 36 0 1 1 1565995140775.6748 1565995242821.203 102045.528 31.722 41.661 102004.753 101963.827 31.457 31.735 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.013099000000000001 0.002 41.665 0.21676199999999998 137958.0 63.0 63.0 41.459757 30.05 92.352 5.9548559999999995 8071.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 15235.0 1460.0 65160.0 12.0 64256.0 63872.0 0.0 702672.0 12.0 32.0 15.0 124211.0 10694.0 0.0 395.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 187073.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1316.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 56.0 10578.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52930 253548 0 253547 3294 1073638011 250252 1076157508 788 2519497 97578 1 1 192.168.101.1 22 158188 0 158188 148810 346096 9376 346168 2 72 0 1 1 1565995257650.1047 1565995348161.546 90511.441 42.275 50.625 90457.244 90416.67 42.09 42.287 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.014633000000000002 0.002 44.404 0.23166799999999999 101442.0 63.0 63.0 41.033615000000005 30.146 88.57 6.2844690000000005 6910.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 15177.0 1460.0 65160.0 12.0 64256.0 64000.0 0.0 1100140.0 16.0 32.0 62.0 82793.0 13963.0 0.0 1548.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 135927.0 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 3636.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 430.0 9373.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 53110 252623 0 252622 3614 1094754119 249007 1097144260 731 2390141 91016 1 1 192.168.101.1 22 149627 0 149627 140062 349120 9563 349228 3 108 0 1 1 1565995363385.375 1565995455702.7717 92317.397 41.912 49.501 92283.528 92232.283 41.912 41.939 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.016156 0.002 48.88 0.267057 97962.0 63.0 63.0 41.716701 30.082 111.153 6.50091 6884.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 18130.0 1460.0 60816.0 12.0 64256.0 63872.0 0.0 1116588.0 12.0 32.0 10.0 75081.0 14274.0 0.0 2382.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 123506.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1244.0 28.0 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 453.0 9560.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 53290 328173 0 328172 3511 1214629091 324660 1214769168 44 140077 132728 1 1 192.168.101.1 22 206666 0 206666 196142 383032 10522 383068 1 36 0 1 1 1565995473422.704 1565995577437.5627 104014.859 32.475 40.095 103960.137 103909.25 32.181 32.486 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.012856999999999999 0.002 43.147 0.21678699999999998 134579.0 63.0 63.0 41.025152 30.122 83.41 6.0115989999999995 8101.0 64.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 14686.0 1460.0 65160.0 12.0 64256.0 64000.0 0.0 773232.0 12.0 32.0 0.0 120555.0 11975.0 0.0 242.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 183869.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1280.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 48.0 10521.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
