#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 40476 6070 0 6069 105 92469896 5963 92469896 0 0 0 1 1 192.168.101.1 22 7853 0 7853 7050 32104 801 32104 0 0 0 1 1 1565798824403.515 1565798829047.7378 4644.223 30.68 69.423 4610.528 4609.012 30.38 61.051 1 1 0 0 0 0 0 30.926972999999997 29.989 72.004 3.629285 514 64 64 1.750366 0.003 45.637 6.450779 686 63 63 0 0 0 0 0 0 1 1 7 1 8 1460 65160 16 64256 64128 0 2098864 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 216 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 3426.0 801.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40488 7247 0 7246 46 126106668 7199 126106668 0 0 0 1 1 192.168.101.1 22 12361 0 12361 11261 43120 1098 43120 0 0 0 1 1 1565798830422.61 1565798833845.486 3422.876 30.947 68.417 3389.939 3389.483 30.606 61.255 1 1 0 0 0 0 0 31.508863 30.005 74.207 5.982404 154 64 64 0.369925 0.004 47.983 2.671434 1065 63 63 0 0 0 0 0 0 1 1 7 1 10 1460 65160 16 64256 64128 0 2085860 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 469 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6552.0 1098.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40504 7022 0 7021 34 117699556 6986 117699556 0 0 0 1 1 192.168.101.1 22 8303 0 8303 7272 40276 1029 40276 0 0 0 1 1 1565798835083.9507 1565798838366.546 3282.595 30.983 68.91 3248.454 3247.945 30.596 61.509 1 1 0 0 0 0 0 31.136907 30.103 73.244 5.216573 194 64 64 0.37490100000000004 0.006 44.582 2.626373 1009 63 63 0 0 0 0 0 0 1 1 7 1 6 1460 65160 16 64256 64128 0 2081024 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 410 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6599.0 1029.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40506 6022 0 6021 44 105089068 5976 105089068 0 0 0 1 1 192.168.101.1 22 12225 0 12225 11304 36208 919 36208 0 0 0 1 1 1565798839446.188 1565798842486.056 3039.868 31.035 68.684 3005.091 3004.603 30.694 61.362 1 1 0 0 0 0 0 31.533124 30.029 73.138 5.891406 152 64 64 0.30926 0.004 46.647 2.392033 896 63 63 0 0 0 0 0 0 1 1 7 1 13 1460 65160 16 64256 64128 0 2094520 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 347 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5428.0 919.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40512 5884 0 5883 46 100885512 5836 100885512 0 0 0 1 1 192.168.101.1 22 11588 0 11588 10701 34912 885 34912 0 0 0 1 1 1565798843671.205 1565798846661.954 2990.749 30.99 68.519 2956.294 2955.708 30.646 61.4 1 1 0 0 0 0 0 31.454244 30.056 76.806 6.092219999999999 151 64 64 0.312975 0.006 47.415 2.537795 854 63 63 0 0 0 0 0 0 1 1 7 1 10 1460 65160 16 64256 64128 0 2086816 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 322 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5323.0 885.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40534 5363 0 5362 41 92478464 5320 92478464 0 0 0 1 1 192.168.101.1 22 10455 0 10455 9652 32464 801 32464 0 0 0 1 1 1565798847672.448 1565798850559.1045 2886.657 30.98 70.05 2852.677 2852.189 30.67 61.493 1 1 0 0 0 0 0 31.717034 30.091 73.541 6.0940769999999995 143 64 64 0.42450600000000005 0.003 46.849 3.094179 787 63 63 0 0 0 0 0 0 1 1 7 1 6 1460 65160 16 64256 64128 0 2101760 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 347 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4777.0 801.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40536 5640 0 5639 29 96681300 5609 96681300 0 0 0 1 1 192.168.101.1 22 10185 0 10185 9338 33616 845 33616 0 0 0 1 1 1565798851518.528 1565798854444.844 2926.316 30.9 69.868 2892.954 2892.482 30.603 61.329 1 1 0 0 0 0 0 31.378343 30.087 71.907 5.853968 151 64 64 0.425475 0.006 44.94 3.0232 827 63 63 0 0 0 0 0 0 1 1 7 1 7 1460 65160 16 64256 64128 0 2068920 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 288 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5154.0 845.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40538 7256 0 7255 34 126106524 7220 126106524 0 0 0 1 1 192.168.101.1 22 13339 0 13339 12241 43012 1096 43012 0 0 0 1 1 1565798855828.9167 1565798859212.14 3383.223 30.925 68.414 3349.504 3348.951 30.619 61.266 1 1 0 0 0 0 0 31.671078 30.072 74.616 6.448583999999999 126 64 64 0.351003 0.006 46.455 2.616116 1079 63 63 0 0 0 0 0 0 1 1 7 1 12 1460 65160 16 64256 64128 0 2066024 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 471 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6759.0 1096.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40548 5728 0 5727 54 96681911 5672 96681912 1 1 0 1 1 192.168.101.1 22 9281 0 9281 8432 33580 847 33580 0 0 0 1 1 1565798860234.8467 1565798863249.8828 3015.036 31.038 69.606 2979.973 2979.452 30.662 61.61 1 1 0 0 0 0 0 31.406762 30.091 72.703 5.186624 194 64 64 0.31748699999999996 0.005 45.865 2.5410369999999998 799 63 63 0 0 0 0 0 0 1 1 7 1 10 1460 65160 16 64256 64128 0 2098892 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 324 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5252.0 847.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40566 5367 0 5366 29 92478464 5336 92478464 0 0 0 1 1 192.168.101.1 22 7157 0 7157 6352 32320 803 32320 0 0 0 1 1 1565798864499.2898 1565798867372.652 2873.362 30.961 69.201 2837.236 2836.615 30.663 61.447 1 1 0 0 0 0 0 31.586925 30.101 72.449 6.201425 135 64 64 0.42378699999999997 0.008 46.162 2.8214759999999997 784 63 63 0 0 0 0 0 0 1 1 7 1 5 1460 65160 16 64256 64128 0 2090176 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 382 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4845.0 803.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40568 6345 0 6344 37 109292588 6306 109292588 0 0 0 1 1 192.168.101.1 22 10589 0 10589 9638 37540 949 37540 0 0 0 1 1 1565798868520.829 1565798871619.8987 3099.07 30.957 68.696 3060.966 3060.482 30.635 61.303 1 1 0 0 0 0 0 31.598402 29.977 76.877 5.793529 149 64 64 0.301388 0.004 44.323 2.127539 927 63 63 0 0 0 0 0 0 1 1 7 1 11 1460 65160 16 64256 64128 0 2068920 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 304 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5758.0 949.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40574 7198 0 7197 46 121902968 7150 121902968 0 0 0 1 1 192.168.101.1 22 13583 0 13583 12524 41536 1057 41536 0 0 0 1 1 1565798873527.497 1565798876869.4707 3341.974 30.936 69.501 3307.914 3307.429 30.546 61.394 1 1 0 0 0 0 0 31.424906 30.057 71.819 5.466723 172 64 64 0.30906300000000003 0.004 45.278 2.451167 1040 63 63 0 0 0 0 0 0 1 1 7 1 12 1460 65160 16 64256 64128 0 2091624 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 403 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6744.0 1057.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40596 6318 0 6317 31 109292480 6285 109292480 0 0 0 1 1 192.168.101.1 22 15784 0 15784 14830 38080 952 38080 0 0 0 1 1 1565798878163.3582 1565798881397.23 3233.872 30.943 68.634 3198.819 3198.297 30.562 61.214 1 1 0 0 0 0 0 31.513253999999996 29.997 73.319 5.7070099999999995 165 64 64 0.304517 0.004 47.861 2.350041 935 63 63 0 0 0 0 0 0 1 1 7 1 8 1460 65160 16 64256 64128 0 2094520 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 311 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5759.0 952.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40598 5685 0 5684 39 96682020 5644 96682020 0 0 0 1 1 192.168.101.1 22 8443 0 8443 7598 33688 843 33688 0 0 0 1 1 1565798882331.982 1565798885237.56 2905.578 31.056 68.483 2871.415 2870.917 30.778 61.586 1 1 0 0 0 0 0 31.435756 30.101 71.479 5.867424 148 64 64 0.407709 0.003 47.051 3.046904 831 63 63 0 0 0 0 0 0 1 1 7 1 11 1460 65160 16 64256 64128 0 2090204 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 329 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5184.0 843.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40602 5266 0 5265 39 92478500 5225 92478500 0 0 0 1 1 192.168.101.1 22 6782 0 6782 5981 32284 799 32284 0 0 0 1 1 1565798886654.251 1565798889551.5823 2897.331 30.921 69.969 2862.766 2862.2 30.643 61.226 1 1 0 0 0 0 0 31.175294 30.06 72.034 5.053671 204 64 64 0.488775 0.005 46.571 3.14183 777 63 63 0 0 0 0 0 0 1 1 7 1 13 1460 65160 16 64256 64128 0 2085368 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 368 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4682.0 799.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40626 4871 0 4870 28 88275052 4841 88275052 0 0 0 1 1 192.168.101.1 22 10920 0 10920 10149 30952 769 30952 0 0 0 1 1 1565798890402.841 1565798893238.134 2835.293 31.14 70.774 2799.421 2798.917 30.841 61.781 1 1 0 0 0 0 0 31.477804 30.011 75.864 6.1944989999999995 149 64 64 0.394401 0.005 46.748 2.825432 756 63 63 0 0 0 0 0 0 1 1 7 1 6 1460 65160 16 64256 64128 0 2066024 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 338 1460 1080 28 3144832 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4235.0 769.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40628 3978 0 3977 26 84070992 3950 84071484 1 492 0 1 1 192.168.101.1 22 9420 0 9420 8684 29620 734 29620 0 0 0 1 1 1565798894051.86 1565798896895.413 2843.553 30.887 70.619 2806.946 2806.427 30.553 61.122 1 1 0 0 0 0 0 30.809642999999998 30.043 73.607 3.931225 350 64 64 0.47334 0.003 44.218 2.998119 720 63 63 0 0 0 0 0 0 1 1 7 1 5 1460 65160 16 64256 64128 0 2036572 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 243 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 3161.0 734.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40630 6852 0 6851 33 113496252 6817 113496252 0 0 0 1 1 192.168.101.1 22 13518 0 13518 12548 39016 968 39016 0 0 0 1 1 1565798898107.198 1565798901260.7354 3153.537 30.986 78.813 3119.006 3118.294 30.682 61.452 1 1 0 0 0 0 0 31.93951 30.102 73.943 6.441603 129 64 64 0.339559 0.006 45.57 2.572343 950 63 63 0 0 0 0 0 0 1 1 7 1 8 1460 65160 16 64256 64128 0 2069412 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 432 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6556.0 968.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40638 6981 0 6980 32 117699556 6947 117699556 0 0 0 1 1 192.168.101.1 22 13812 0 13812 12798 40168 1012 40168 0 0 0 1 1 1565798902506.562 1565798905688.758 3182.196 30.813 69.137 3148.487 3147.775 30.517 61.042 1 1 0 0 0 0 0 31.36553 30.099 72.363 5.976789 145 64 64 0.330803 0.007 48.068 2.599788 1000 63 63 0 0 0 0 0 0 1 1 7 1 11 1460 64780 16 64256 64128 0 2095968 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 365 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6737.0 1012.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40658 5311 0 5310 34 88274980 5275 88274980 0 0 0 1 1 192.168.101.1 22 8860 0 8860 8108 30952 750 30952 0 0 0 1 1 1565798906568.936 1565798909296.4316 2727.496 31.027 69.448 2693.617 2688.413 30.709 61.66 1 1 0 0 0 0 0 32.188076 30.1 73.704 7.67397 89 64 64 0.425151 0.004 44.009 3.085172 730 63 63 0 0 0 0 0 0 1 1 7 1 8 1460 65160 16 64256 64128 0 2096896 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 259 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5028.0 750.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40660 4856 0 4855 56 84071424 4798 84071424 0 0 0 1 1 192.168.101.1 22 8220 0 8220 7510 32536 708 32536 0 0 0 1 1 1565798910239.3723 1565798913343.833 3104.461 31.164 68.816 3067.333 3066.774 30.756 61.711 1 1 0 0 0 0 0 31.206333 30.063 72.342 5.061171 219 64 64 0.371157 0.004 46.348 2.907524 648 63 63 0 0 0 0 0 0 1 1 7 1 5 1460 65160 16 64256 64000 0 2095996 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 271 1460 2844 28 3145728 64128 0 2880 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4447.0 708.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40662 6358 0 6357 29 105089212 6327 105089212 0 0 0 1 1 192.168.101.1 22 11668 0 11668 10741 36352 925 36352 0 0 0 1 1 1565798914525.934 1565798917477.3586 2951.425 30.973 68.756 2917.338 2916.855 30.555 61.422 1 1 0 0 0 0 0 32.028985999999996 30.029 73.318 7.739414999999999 88 64 64 0.312817 0.006 47.259 2.5095240000000003 913 63 63 0 0 0 0 0 0 1 1 7 1 10 1460 65160 16 64256 64128 0 2086816 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 374 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6091.0 925.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40688 5589 0 5588 24 92478500 5563 92478500 0 0 0 1 1 192.168.101.1 22 6507 0 6507 5690 32284 815 32284 0 0 0 1 1 1565798918495.1787 1565798921316.2842 2821.105 31.023 68.974 2784.23 2783.771 30.735 61.68 1 1 0 0 0 0 0 31.822979999999998 30.153 75.372 7.147817999999999 111 64 64 0.42702700000000005 0.006 45.829 2.940227 805 63 63 0 0 0 0 0 0 1 1 7 1 8 1460 65160 16 64256 64128 0 2099792 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 349 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5333.0 815.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40690 5806 0 5805 37 96682164 5767 96682164 0 0 0 1 1 192.168.101.1 22 11090 0 11090 10237 33652 851 33652 0 0 0 1 1 1565798922347.731 1565798925220.828 2873.097 30.86 68.724 2838.088 2836.997 30.552 61.383 1 1 0 0 0 0 0 32.490767 30.077 73.721 7.287686 87 64 64 0.289238 0.007 45.375 2.183046 825 63 63 0 0 0 0 0 0 1 1 7 1 11 1460 65160 16 64256 64128 0 2078100 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 422 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5518.0 851.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40692 5340 0 5339 24 88274980 5314 88274980 0 0 0 1 1 192.168.101.1 22 9317 0 9317 8535 31060 780 31060 0 0 0 1 1 1565798926112.4763 1565798928855.039 2742.563 30.834 68.552 2707.511 2706.986 30.447 61.156 1 1 0 0 0 0 0 32.034649 30.104 73.088 7.719878 86 64 64 0.384817 0.006 45.675 2.913868 766 63 63 0 0 0 0 0 0 1 1 7 1 6 1460 65160 16 64256 64128 0 2085340 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 352 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5090.0 780.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40702 7153 0 7152 24 117699517 7127 117699520 1 3 0 1 1 192.168.101.1 22 16160 0 16160 15123 40204 1035 40204 0 0 0 1 1 1565798930524.3643 1565798933725.663 3201.299 30.912 69.103 3167.231 3166.513 30.588 61.433 1 1 0 0 0 0 0 32.365023 30.111 74.405 8.202536 77 64 64 0.338407 0.007 45.396 2.389716 1023 63 63 0 0 0 0 0 0 1 1 7 1 8 1460 65160 16 64256 64128 0 2093100 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 307 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2624.0 1035.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40720 6341 0 6340 31 105089068 6308 105089068 0 0 0 1 1 192.168.101.1 22 8830 0 8830 7905 36820 923 36820 0 0 0 1 1 1565798934825.5518 1565798937977.2517 3151.7 30.906 68.839 3116.525 3115.857 30.618 61.307 1 1 0 0 0 0 0 31.659632000000002 29.998 73.59 6.307027 131 64 64 0.41101000000000004 0.006 45.47 2.811855 908 63 63 0 0 0 0 0 0 1 1 7 1 9 1460 65160 16 64256 64128 0 2068920 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 370 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6076.0 923.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
