#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 46354 35343 0 35342 837 1168580551 34504 1168580552 1 1 0 1 1 192.168.101.1 22 67875 0 67875 57691 371260 10182 371260 0 0 0 1 1 1565904531378.254 1565904629376.875 97998.621 32.808 71.832 97963.134 97962.462 32.448 63.21 1 1 0 0 0 0 0 30.541786 30.06 74.104 0.582519 17831 64 64 5.405525 0.006 46.722 3.8414059999999997 9851 63 63 0 0 0 0 0 0 1 1 7 1 509 1460 65160 12 64256 64128 0 1789288 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 8141 1460 1100 28 3145728 64128 0 1136 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 404.0 10182.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46548 29163 0 29162 726 1185394055 28435 1185394056 1 1 0 1 1 192.168.101.1 22 64294 0 64294 53975 379396 10317 379396 0 0 0 1 1 1565904645697.993 1565904745091.18 99393.187 32.853 70.19 99359.403 99358.779 32.535 63.451 1 1 0 0 0 0 0 30.603631 30.052 74.215 0.705304 12122 64 64 8.211763000000001 0.003 46.978 4.715778 10137 63 63 0 0 0 0 0 0 1 1 7 1 535 1460 65160 12 64256 64000 0 2068920 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 7876 1460 2592 28 3145728 61312 0 2592 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 849.0 10317.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46734 25382 0 25381 612 1231633531 24768 1231633532 1 1 0 1 1 192.168.101.1 22 61275 0 61275 50551 393616 10722 393616 0 0 0 1 1 1565904762194.9563 1565904865549.9138 103354.958 33.665 73.836 103321.773 103320.522 33.302 64.472 1 1 0 0 0 0 0 30.792948 30.014 73.65 0.848442 7762 64 64 9.666509 0.002 44.862 4.553554 10639 63 63 0 0 0 0 0 0 1 1 7 1 515 1460 65160 12 64256 64000 0 2090176 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 8074 1460 3096 28 3145728 61312 0 3096 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1320.0 10722.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46936 23004 0 23003 585 1059287711 22417 1059287712 1 1 0 1 1 192.168.101.1 22 54622 0 54622 45402 336052 9218 336052 0 0 0 1 1 1565904879843.566 1565904968688.797 88845.231 32.579 69.585 88810.961 88810.451 32.274 63.172 1 1 0 0 0 0 0 30.727659000000003 30.079 72.954 0.854728 7568 64 64 9.391966 0.005 46.756 4.59017 9131 63 63 0 0 0 0 0 0 1 1 7 1 489 1460 65160 12 64256 64128 0 2097416 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 7312 1460 1080 28 3145728 61312 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1575.0 9218.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47106 26287 0 26286 590 1118138635 25695 1118138636 1 1 0 1 1 192.168.101.1 22 59620 0 59620 49888 358912 9730 358912 0 0 0 1 1 1565904983298.826 1565905077055.152 93756.326 33.127 70.936 93723.213 93722.611 32.838 63.64 1 1 0 0 0 0 0 30.697063 30.059 72.166 0.783029 9273 64 64 8.697128999999999 0.003 44.108 4.611699 9605 63 63 0 0 0 0 0 0 1 1 7 1 463 1460 65160 12 64256 64128 0 2086760 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 8115 1460 2880 28 3145728 64128 0 2880 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1676.0 9730.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47292 24578 0 24577 572 1084510473 24004 1084510476 1 3 0 1 1 192.168.101.1 22 55441 0 55441 45999 348040 9440 348040 0 0 0 1 1 1565905091226.7468 1565905182148.3457 90921.599 32.705 70.102 90887.633 90885.978 32.395 63.166 1 1 0 0 0 0 0 30.715271 30.108 73.391 0.8245790000000001 8467 64 64 9.186592999999998 0.005 51.6 4.492896 9340 63 63 0 0 0 0 0 0 1 1 7 1 462 1460 65160 12 64256 64128 0 2090204 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 7444 1460 2700 28 3145728 64128 0 2700 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1824.0 9440.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47470 30619 0 30618 765 1252651275 29852 1252651276 1 1 0 1 1 192.168.101.1 22 66638 0 66638 55737 398044 10899 398044 0 0 0 1 1 1565905198558.5762 1565905303626.99 105068.414 48.719 86.431 105034.452 105032.389 48.399 79.386 1 1 0 0 0 0 0 30.704184 30.113 80.587 0.787571 11066 64 64 8.060309 0.006 49.956 4.901203 10745 63 63 0 0 0 0 0 0 1 1 7 1 606 1460 65160 12 64256 64128 0 2091624 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 8571 1460 1100 28 3145728 51840 0 1100 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2009.0 10899.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47664 28817 0 28816 665 1155970314 28150 1155970316 1 2 0 1 1 192.168.101.1 22 59255 0 59255 49192 367840 10061 367840 0 0 0 1 1 1565905319670.3987 1565905416620.7627 96950.364 34.038 72.529 96914.314 96913.667 33.665 64.492 1 1 0 0 0 0 0 30.691167 30.103 74.183 0.712858 11594 64 64 7.706582000000001 0.007 43.992 4.972688 9894 63 63 0 0 0 0 0 0 1 1 7 1 485 1460 65160 12 64256 64128 0 2060232 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 8206 1460 1100 28 3145728 64128 0 1100 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1448.0 10061.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47858 26569 0 26568 638 1126545676 25929 1126545676 0 0 0 1 1 192.168.101.1 22 55336 0 55336 45526 360820 9808 360820 0 0 0 1 1 1565905431410.3147 1565905525876.0427 94465.728 43.535 81.052 94432.637 94432.083 43.187 73.977 1 1 0 0 0 0 0 30.752999 30.115 73.472 0.771005 9998 64 64 8.102768 0.008 49.364 5.047928 9706 63 63 0 0 0 0 0 0 1 1 7 1 534 1460 65160 12 64256 64000 0 2068920 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 7671 1460 3204 28 3145728 54400 0 3204 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1230.0 9808.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48046 25259 0 25258 659 1147563274 24598 1147563276 1 2 0 1 1 192.168.101.1 22 56502 0 56502 46515 365140 9985 365140 0 0 0 1 1 1565905541480.485 1565905637686.867 96206.382 33.283 70.887 96170.932 96170.3 32.943 63.85 1 1 0 0 0 0 0 30.747225 30.107 73.412 0.819846 8393 64 64 9.200617 0.007 45.669 4.722457 9860 63 63 0 0 0 0 0 0 1 1 7 1 523 1460 65160 12 64256 64128 0 2082132 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 7902 1460 1100 28 3145472 64128 0 1100 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1836.0 9985.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
