#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 60846 378953 0 378952 101 1129520048 378850 1134934000 2211 5413952 0 1 1 192.168.101.1 22 115888 0 115888 107256 316144 8630 316144 0 0 52 1 1 1565385603155.666 1565386058002.276 454846.61 32.023 69.485 454812.522 454811.508 31.697 62.361 1 1 0 0 0 0 0 30.523171 30.033 72.459 0.321829 84119 64 64 9.326891 0.004 46.145 10.291443 8491 63 63 0 0 0 0 0 0 1 1 7 1 1316 1460 21720 12 64256 64128 0 696488 16 32 0 707 0 0 1504 0 0 0 0 1 1 7 1 4044 1460 1100 28 1892224 64128 0 1136 28 32.0 43.0 9.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 8578.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33202 387067 0 387066 94 1167303883 386971 1172886860 2321 5582977 0 1 1 192.168.101.1 22 103074 0 103074 94169 326188 8903 326232 1 44 47 1 1 1565386072660.6348 1565386535734.234 463073.599 32.4 70.968 463040.117 463039.412 32.076 62.951 1 1 0 0 0 0 0 30.597088 30.076 74.369 0.33351 72956 64 64 11.092953999999999 0.004 41.827 10.588907 8766 63 63 0 0 0 0 0 0 1 1 7 1 1226 1460 13032 16 64256 64128 0 419920 16 32 1 589 0 0 1731 0 0 0 0 1 1 7 1 3741 1460 1100 28 1185792 64128 0 1136 28 32.0 37.0 10.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 --- 42.0 8855.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33760 398129 0 398128 88 1179901016 398039 1185357112 2154 5456096 0 1 1 192.168.101.1 22 123816 0 123816 114820 329464 8994 329464 0 0 49 1 1 1565386550768.574 1565387033527.7273 482759.153 32.827 70.398 482725.86 482725.155 32.5 63.467 1 1 0 0 0 0 0 30.509984000000003 29.999 73.037 0.31888299999999997 90622 64 64 8.9383 0.003 45.343 9.866810000000001 8874 63 63 0 0 0 0 0 0 1 1 7 1 1692 1460 11584 16 64256 64128 0 321456 16 32 0 899 0 0 1255 0 0 0 0 1 1 7 1 4049 1460 1100 28 1463296 63104 0 1100 28 32.0 39.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 26.0 8945.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 34360 420133 0 420132 84 1226088253 420047 1232718492 2749 6630239 0 1 1 192.168.101.1 22 126513 0 126513 117162 342892 9349 342892 0 0 46 1 1 1565387049928.1663 1565387578798.3203 528870.154 33.173 70.158 528836.13 528835.42 32.81 63.779 1 1 0 0 0 0 0 30.532284999999998 30.059 72.551 0.320549 91539 64 64 9.546541 0.003 44.135 9.964419 9232 63 63 0 0 0 0 0 0 1 1 7 1 1112 1460 10136 12 64256 64128 0 331592 16 32 6 851 0 0 1892 0 0 0 0 1 1 7 1 4920 1460 1100 28 856320 64128 0 1136 28 32.0 41.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 13.0 9303.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35034 381450 0 381449 59 1112717306 381389 1118402524 2376 5685218 0 1 1 192.168.101.1 22 114414 0 114414 105914 310744 8498 310744 0 0 34 1 1 1565387593449.557 1565388077736.8018 484287.245 32.408 70.404 484253.817 484253.187 32.051 62.766 1 1 0 0 0 0 0 30.526028999999998 30.006 73.025 0.33092 82538 64 64 10.512342 0.003 44.772 11.027747999999999 8411 63 63 0 0 0 0 0 0 1 1 7 1 837 1460 10136 12 64256 64128 0 380824 16 32 0 926 0 0 1450 0 0 0 0 1 1 7 1 4293 1460 1100 28 1331200 54016 0 1100 28 32.0 30.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 25.0 8464.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35636 378843 0 378842 66 1129513205 378775 1134776100 2017 5262895 0 1 1 192.168.101.1 22 111429 0 111429 102814 315712 8613 315712 0 0 34 1 1 1565388091274.122 1565388535835.512 444561.39 33.036 70.893 444528.095 444527.52 32.676 63.483 1 1 0 0 0 0 0 30.591917 30.086 72.226 0.322558 79587 64 64 9.487925 0.003 46.797 10.03408 8525 63 63 0 0 0 0 0 0 1 1 7 1 877 1460 13032 12 64256 64128 0 411232 16 32 24 871 0 0 1122 0 0 0 0 1 1 7 1 3536 1460 1100 28 1856512 64128 0 1136 28 32.0 28.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 13.0 8579.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 36176 348962 0 348961 68 1066527774 348892 1071812436 2081 5284662 0 1 1 192.168.101.1 22 102868 0 102868 94726 296120 8140 296120 0 0 34 1 1 1565388549167.7788 1565388960471.534 411303.755 32.544 70.142 411269.61 411269.034 32.2 63.24 1 1 0 0 0 0 0 30.630875 30.096 74.363 0.357885 70946 64 64 9.908078999999999 0.004 45.118 10.650364 8052 63 63 0 0 0 0 0 0 1 1 7 1 888 1460 11584 16 64256 64128 0 325800 16 32 0 709 0 0 1372 0 0 0 0 1 1 7 1 3419 1460 1080 28 1460352 64128 0 1080 28 32.0 27.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 8106.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 36680 394041 0 394040 82 1137911462 393957 1144205836 2614 6294374 0 1 1 192.168.101.1 22 119312 0 119312 110630 318628 8680 318628 0 0 44 1 1 1565388973976.2498 1565389474064.255 500088.005 32.413 70.204 500054.005 500053.391 32.097 62.793 1 1 0 0 0 0 0 30.547290999999998 30.029 73.407 0.333328 88176 64 64 9.150628 0.004 44.519 9.466321 8568 63 63 0 0 0 0 0 0 1 1 7 1 1070 1460 11584 16 64256 64128 0 393856 16 32 0 761 0 0 1853 0 0 0 0 1 1 7 1 4635 1460 1100 28 1147136 64128 0 1136 28 32.0 38.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 8636.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37032 367962 0 367961 80 1083326184 367880 1089297556 2358 5971372 0 1 1 192.168.101.1 22 106093 0 106093 97822 306856 8269 306856 0 0 42 1 1 1565389487988.2957 1565389930161.0933 442172.797 33.134 70.654 442138.363 442137.709 32.79 63.831 1 1 0 0 0 0 0 30.549809000000003 30.016 73.763 0.353981 75996 64 64 9.871315 0.003 46.929 10.24341 8162 63 63 0 0 0 0 0 0 1 1 7 1 1067 1460 13032 12 64256 64000 0 454672 16 32 0 855 0 0 1503 0 0 0 0 1 1 7 1 3773 1460 3780 28 2199296 64128 0 3780 28 32.0 39.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 8227.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37210 429287 0 429286 82 1259679624 429203 1266389608 2736 6709984 0 1 1 192.168.101.1 22 132174 0 132174 122562 351920 9610 351920 0 0 47 1 1 1565389945528.978 1565390493751.724 548222.746 32.059 69.9 548188.208 548187.455 31.704 69.9 1 1 0 0 0 0 0 30.514129999999998 30.025 72.699 0.324353 97830 64 64 9.088482 0.004 45.033 9.64909 9498 63 63 0 0 0 0 0 0 1 1 7 1 1142 1460 10136 16 64256 63872 0 356208 16 32 0 915 0 0 1821 0 0 0 0 1 1 7 1 4935 1460 1100 28 1595392 64128 0 1136 28 32.0 36.0 11.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 9563.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
