#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 55408 18671 0 18670 22 83983800 18647 84400824 128 417024 0 1 1 192.168.101.1 22 6322 0 6322 5670 29800 650 29800 0 0 2 1 1 1565343183865.0613 1565343206802.9722 22937.911 31.133 69.953 22904.746 22904.223 30.827 61.744 1 1 0 0 0 0 0 30.734851000000003 30.19 73.392 1.2439559999999998 3497 64 64 11.5066 0.004 47.989 12.461589 633 63 63 0 0 0 0 0 0 1 1 7 1 57 1460 13032 16 64256 64128 0 456120 16 32 0 22 0 0 106 0 0 0 0 1 1 7 1 165 1460 3312 28 2847872 59008 0 3312 28 32.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 30.0 648.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55458 15708 0 15707 99 92471012 15607 92782048 80 311036 0 1 1 192.168.101.1 22 5979 0 5979 5169 31996 808 31996 0 0 3 1 1 1565343207696.3457 1565343225056.3962 17360.05 31.039 67.851 17324.69 17324.03 30.751 61.529 1 1 0 0 0 0 0 30.633793 30.061 72.119 1.075685 3095 64 64 5.129386 0.004 41.925 8.683548 708 63 63 0 0 0 0 0 0 1 1 7 1 107 1460 33304 16 64256 64128 0 1054144 16 32 1 21 0 0 58 0 0 0 0 1 1 7 1 158 1460 1080 28 2669824 64128 0 1080 28 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 805.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55484 34293 0 34292 11 113374716 34280 113751196 147 376480 0 1 1 192.168.101.1 22 8807 0 8807 7927 34516 878 34516 0 0 2 1 1 1565343226497.9893 1565343262005.824 35507.835 31.0 69.769 35473.146 35471.943 30.698 61.462 1 1 0 0 0 0 0 30.740768 30.144 72.511 0.970053 5600 64 64 12.389318 0.004 46.484 12.444291999999999 873 63 63 0 0 0 0 0 0 1 1 7 1 57 1460 7240 16 64256 64128 0 260640 16 32 0 3 0 0 144 0 0 0 0 1 1 7 1 171 1460 1080 28 1181312 64128 0 1080 28 32.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 876.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55542 29191 0 29190 40 109203703 29149 109780008 206 576305 0 1 1 192.168.101.1 22 7857 0 7857 6991 34048 864 34048 0 0 7 1 1 1565343263174.7239 1565343297563.139 34388.415 31.218 68.969 34354.449 34353.61 30.843 61.986 1 1 0 0 0 0 0 30.752603999999998 30.172 72.72 1.084401 4651 64 64 12.28969 0.004 44.191 11.750089 824 63 63 0 0 0 0 0 0 1 1 7 1 174 1460 21720 16 64256 64128 0 666080 16 32 0 16 0 0 190 0 0 0 0 1 1 7 1 242 1460 1080 28 2061312 64128 0 1080 28 32.0 4.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 857.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55608 39456 0 39455 16 113375616 39438 114163328 331 787712 0 1 1 192.168.101.1 22 9493 0 9493 8617 35236 874 35236 0 0 2 1 1 1565343298684.1938 1565343352311.0847 53626.891 31.18 68.694 53593.211 53592.654 30.854 61.769 1 1 0 0 0 0 0 30.711790999999998 30.179 72.188 0.955411 6641 64 64 14.611038 0.003 45.436 12.074145 865 63 63 0 0 0 0 0 0 1 1 7 1 54 1460 8688 16 64256 64128 0 279464 16 32 0 2 0 0 329 0 0 0 0 1 1 7 1 384 1460 1080 28 1412864 64128 0 1080 28 32.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 872.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55688 30499 0 30498 16 92380364 30481 92781504 161 401140 0 1 1 192.168.101.1 22 7802 0 7802 7085 31348 715 31348 0 0 4 1 1 1565343353210.158 1565343389738.7688 36528.611 31.254 68.835 36495.102 36494.458 30.931 61.593 1 1 0 0 0 0 0 30.693538 30.16 73.694 1.042616 5429 64 64 11.161923 0.004 47.35 10.593475 701 63 63 0 0 0 0 0 0 1 1 7 1 100 1460 8688 16 64256 64128 0 256296 16 32 1 6 0 0 154 0 0 0 0 1 1 7 1 222 1460 2520 28 820736 57088 0 2520 28 32.0 3.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 711.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55756 23846 0 23845 40 88266448 23804 88752976 159 486528 0 1 1 192.168.101.1 22 6717 0 6717 5944 30664 771 30664 0 0 3 1 1 1565343390486.1167 1565343417372.38 26886.263 31.053 68.153 26851.867 26851.088 30.736 61.461 1 1 0 0 0 0 0 30.717326 30.187 72.62 1.157572 4198 64 64 7.298519000000001 0.006 44.888 9.054093 735 63 63 0 0 0 0 0 0 1 1 7 1 110 1460 34752 16 64256 64000 0 960024 16 32 0 24 0 0 135 0 0 0 0 1 1 7 1 251 1460 1080 28 3145728 64128 0 1080 28 32.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 768.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55806 36664 0 36663 19 113375256 36643 113880608 196 505352 0 1 1 192.168.101.1 22 9097 0 9097 8227 35056 868 35056 0 0 6 1 1 1565343418789.463 1565343458087.426 39297.963 31.238 68.337 39264.097 39263.3 30.893 61.709 1 1 0 0 0 0 0 30.670182 30.202 72.683 1.0028700000000002 6153 64 64 11.744813 0.004 47.413 12.404566 853 63 63 0 0 0 0 0 0 1 1 7 1 130 1460 7240 16 64256 64128 0 253400 16 32 0 9 0 0 187 0 0 0 0 1 1 7 1 244 1460 1080 28 745088 64128 0 1080 28 32.0 5.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 862.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55856 20275 0 20274 46 84063467 20227 84403748 106 340281 0 1 1 192.168.101.1 22 6133 0 6133 5398 29332 733 29332 0 0 2 1 1 1565343458942.4485 1565343479814.892 20872.443 31.488 68.683 20838.798 20838.143 31.158 61.881 1 1 0 0 0 0 0 30.711269 30.05 73.022 1.24337 3438 64 64 9.281803 0.004 47.534 11.345606 694 63 63 0 0 0 0 0 0 1 1 7 1 56 1460 39096 16 64256 64128 0 1180120 16 32 0 35 0 0 71 0 0 0 0 1 1 7 1 174 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 731.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55906 21704 0 21703 59 88266880 21643 88759200 153 492320 0 1 1 192.168.101.1 22 5723 0 5723 4946 30952 775 30952 0 0 3 1 1 1565343480691.918 1565343504045.6018 23353.684 31.049 68.163 23319.354 23318.063 30.738 61.421 1 1 0 0 0 0 0 30.772458 30.169 73.789 1.417273 3075 64 64 11.766778 0.005 44.09 12.020124000000001 720 63 63 0 0 0 0 0 0 1 1 7 1 91 1460 49232 16 64256 64128 0 1397320 16 32 8 1 0 0 144 0 0 0 0 1 1 7 1 225 1460 1080 28 3145728 64128 0 1080 28 32.0 2.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 772.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
