#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 44466 43546 0 43545 17 121772756 43527 122882832 480 1110076 0 1 1 192.168.101.1 22 11784 0 11784 10842 37036 940 37036 0 0 7 1 1 1565526107798.5967 1565526177465.7207 69667.124 30.888 67.741 69632.696 69632.167 30.572 61.367 1 1 0 0 0 0 0 30.560983 30.12 71.821 0.80885 8548 64 64 12.766615 0.004 47.356 10.845833 925 63 63 0 0 0 0 0 0 1 1 7 1 128 1460 7240 16 64256 64128 0 225888 16 32 0 118 0 0 362 0 0 0 0 1 1 7 1 731 1460 1080 28 731648 64128 0 1080 28 32.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 933.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44588 40988 0 40987 17 117573844 40969 118835052 558 1261208 0 1 1 192.168.101.1 22 10360 0 10360 9446 35740 912 35740 0 0 5 1 1 1565526178866.3628 1565526245694.1318 66827.769 31.368 70.012 66793.648 66791.87 31.077 61.738 1 1 0 0 0 0 0 30.649790999999997 30.18 73.764 0.933039 7252 64 64 14.192909 0.004 44.142 11.785642999999999 898 63 63 0 0 0 0 0 0 1 1 7 1 79 1460 15928 16 64256 64128 0 477840 16 32 21 94 0 0 443 0 0 0 0 1 1 7 1 652 1460 1080 28 2589696 64128 0 1080 28 32.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 907.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44690 31458 0 31457 19 88181452 31437 89008336 363 826884 0 1 1 192.168.101.1 22 7882 0 7882 7194 27676 686 27676 0 0 5 1 1 1565526246691.046 1565526298890.999 52199.953 30.949 67.873 52165.893 52165.282 30.661 61.434 1 1 0 0 0 0 0 30.580043 30.131 72.39 0.9859709999999999 5595 64 64 15.698155999999999 0.004 46.983 12.377566999999999 675 63 63 0 0 0 0 0 0 1 1 7 1 99 1460 5792 12 64256 64128 0 209960 16 32 16 86 0 0 261 0 0 0 0 1 1 7 1 485 1460 1080 28 706432 64128 0 1080 28 32.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 681.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44784 33106 0 33105 24 92380364 33080 93315824 399 935460 0 1 1 192.168.101.1 22 8326 0 8326 7606 28756 718 28756 0 0 10 1 1 1565526299828.0547 1565526354730.1487 54902.094 31.201 68.489 54868.209 54867.676 30.881 68.489 1 1 0 0 32768 0 0 30.655425 30.233 74.312 0.907302 5926 64 64 14.313695000000001 0.004 42.528 11.739265 697 63 63 0 0 0 0 0 0 1 1 7 1 179 1460 7240 16 64256 64128 0 240368 16 1424 3 65 0 0 331 0 0 0 0 1 1 7 1 510 1460 1080 28 860800 63872 0 1080 28 32.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 708.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44882 45108 0 45107 26 125971668 45080 127114032 498 1142364 0 1 1 192.168.101.1 22 11823 0 11823 10847 38008 974 38008 0 0 12 1 1 1565526356099.5962 1565526433751.625 77652.029 31.134 68.408 77616.971 77616.156 30.778 61.715 1 1 0 0 0 0 0 30.618194 30.114 74.075 0.87479 8495 64 64 15.120913 0.004 46.628 12.350511000000001 949 63 63 0 0 0 0 0 0 1 1 7 1 183 1460 8688 16 64256 64128 0 292496 16 32 27 103 0 0 368 0 0 0 0 1 1 7 1 750 1460 1080 28 1000320 64128 0 1080 28 32.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 962.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45004 34743 0 34742 20 96579276 34721 97627628 475 1048352 0 1 1 192.168.101.1 22 10214 0 10214 9462 29908 750 29908 0 0 7 1 1 1565526434694.868 1565526500367.5208 65672.653 30.914 68.685 65638.491 65637.996 30.605 61.229 1 1 0 0 0 0 0 30.588355 30.113 135.545 1.471078 7550 64 64 12.957889 0.004 47.808 11.594955 735 63 63 0 0 0 0 0 0 1 1 7 1 109 1460 7240 16 64256 64128 0 234576 16 32 6 106 0 0 363 0 0 0 0 1 1 7 1 711 1460 1080 28 679680 64128 0 1080 28 32.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 743.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45112 43011 0 43010 24 121772756 42985 122848056 493 1075300 0 1 1 192.168.101.1 22 12591 0 12591 11646 36892 943 36892 0 0 9 1 1 1565526501675.2922 1565526575695.8887 74020.597 31.351 68.984 73985.901 73985.336 31.012 61.708 1 1 0 0 0 0 0 30.502057 30.084 73.772 0.783333 9214 64 64 11.920577999999999 0.005 48.058 11.077259 923 63 63 0 0 0 0 0 0 1 1 7 1 179 1460 8688 16 64256 64128 0 259192 16 32 0 133 0 0 360 0 0 0 0 1 1 7 1 830 1460 1080 28 872704 64128 0 1080 28 32.0 8.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 934.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45248 37722 0 37721 23 104977108 37697 106164792 531 1187684 0 1 1 192.168.101.1 22 11038 0 11038 10221 32248 815 32248 0 0 10 1 1 1565526576830.09 1565526641238.0002 64407.91 31.01 69.297 64373.321 64372.814 30.706 61.243 1 1 0 0 0 0 0 30.562459000000004 30.063 72.18 0.8196760000000001 7839 64 64 12.700841 0.004 46.2 11.350253 792 63 63 0 0 0 0 0 0 1 1 7 1 209 1460 7240 16 64256 64128 0 234576 16 32 23 115 0 0 393 0 0 0 0 1 1 7 1 736 1460 1080 28 1092224 64128 0 1080 28 32.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 805.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45346 33207 0 33206 16 92380364 33188 93348792 436 968429 0 1 2 192.168.101.1 22 9421 0 9421 8701 28756 718 28756 0 0 5 1 1 1565526642187.6357 1565526703256.6462 61069.01 30.891 68.637 60775.124 60774.591 30.567 61.359 1 1 0 0 0 0 0 30.570571 30.111 74.027 0.812102 6711 64 64 14.333542999999999 0.004 43.484 12.945487 707 63 63 0 0 0 0 0 0 1 1 7 1 99 1460 7240 16 64256 64128 0 250504 1 32 12 110 0 0 314 0 0 0 0 1 1 7 1 645 1460 1080 28 969088 64128 0 1080 28 32.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 713.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45444 33238 0 33237 18 92380364 33218 93411340 467 1030976 0 1 1 192.168.101.1 22 9798 0 9798 9077 28864 719 28864 0 0 4 1 1 1565526703886.583 1565526764725.262 60838.679 36.035 68.585 60803.903 60803.323 30.731 66.768 1 1 0 0 0 0 0 30.588690000000003 30.096 119.04 1.37871 6962 64 64 13.302039 0.004 45.208 12.785471000000001 710 63 63 0 0 0 0 0 0 1 1 7 1 163 1460 5792 16 64256 64128 0 196928 16 32 21 108 0 0 338 0 0 0 0 1 1 7 1 737 1460 1080 28 535808 64128 0 1080 28 32.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 715.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
