#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 45834 22602 0 22601 116 1113935116 22484 1113935116 0 0 0 1 1 192.168.101.1 22 48482 0 48482 38770 355492 9710 355492 0 0 0 1 1 1565243427467.9802 1565243520889.295 93421.315 32.547 70.544 93387.409 93386.902 32.264 62.855 1 1 0 0 0 0 0 30.590840000000004 30.079 72.524 0.8934709999999999 6903 64 64 10.11895 0.005 46.206 4.270416 9590 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2068920 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460 1100 28 3145600 64128 0 1136 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1433.0 9710.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45962 25923 0 25922 201 1118138633 25720 1118138636 1 3 0 1 1 192.168.101.1 22 47050 0 47050 37301 356428 9747 356428 0 0 0 1 1 1565243534819.6328 1565243628544.757 93725.124 32.872 70.761 93690.334 93689.781 32.525 63.433 1 1 0 0 0 0 0 30.692684999999997 30.102 74.459 0.7807350000000001 9826 64 64 8.097223 0.008 45.497 5.102501999999999 9549 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2075204 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460 1100 28 3145472 64128 0 1296 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 714.0 9747.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46072 21402 0 21401 101 1118138095 21299 1118138096 1 1 0 1 1 192.168.101.1 22 51770 0 51770 42034 356356 9734 356356 0 0 0 1 1 1565243641979.7605 1565243735745.484 93765.723 32.69 70.525 93729.215 93728.697 32.367 63.132 1 1 0 0 0 0 0 30.63174 30.077 74.29 1.042716 5377 64 64 10.632700999999999 0.006 45.531 3.873676 9636 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2014360 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460 1100 28 3145728 64128 0 1100 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1155.0 9734.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46170 26207 0 26206 154 1063491194 26051 1063491196 1 2 0 1 1 192.168.101.1 22 46273 0 46273 37016 340336 9255 340336 0 0 0 1 1 1565243748579.848 1565243837797.016 89217.168 32.938 71.309 89180.795 89179.527 32.63 63.529 1 1 0 0 0 0 0 30.621063 30.062 71.948 0.727726 10386 64 64 7.720902000000001 0.005 44.048 5.041637000000001 9100 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2060260 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460 2844 28 3145728 64128 0 2844 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1471.0 9255.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46284 22446 0 22445 115 1050880528 22329 1050880528 0 0 0 1 1 192.168.101.1 22 45606 0 45606 36463 333424 9141 333424 0 0 0 1 1 1565243850767.58 1565243938902.608 88135.028 32.442 70.496 88100.869 88100.25 32.128 63.057 1 1 0 0 0 0 0 30.649122 30.12 73.022 0.887951 7143 64 64 9.438164 0.005 45.726 4.653999 9034 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2075204 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460 1080 28 3144832 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1490.0 9141.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46404 24935 0 24934 158 1151766904 24775 1151766904 0 0 0 1 1 192.168.101.1 22 49352 0 49352 39317 367588 10033 367588 0 0 0 1 1 1565243953576.665 1565244050533.871 96957.206 32.989 70.17 96923.504 96922.966 32.685 63.478 1 1 0 0 0 0 0 30.682779999999998 30.104 72.23 0.837989 7858 64 64 9.281697 0.007 44.493 4.87902 9869 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2101760 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460 1100 28 3145728 64128 0 1404 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2125.0 10033.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46524 27936 0 27935 153 1210616076 27781 1210616076 0 0 0 1 1 192.168.101.1 22 53533 0 53533 42991 384436 10540 384436 0 0 0 1 1 1565244065807.693 1565244167275.2668 101467.574 32.678 69.825 101433.923 101433.374 32.291 63.296 1 1 0 0 0 0 0 30.631677000000003 30.083 73.432 0.770948 9963 64 64 8.278575 0.006 44.391 5.1150970000000004 10391 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2096612 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460 1100 28 3145728 64128 0 1100 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1444.0 10540.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46634 26072 0 26071 172 1155970026 25898 1155970028 1 2 0 1 1 192.168.101.1 22 50543 0 50543 40480 368200 10061 368200 0 0 0 1 1 1565244182108.7893 1565244279019.826 96911.037 33.55 70.909 96877.681 96877.123 33.182 64.07 1 1 0 0 0 0 0 30.725516 30.113 75.586 0.8113640000000001 8821 64 64 8.464966 0.005 44.195 5.1273290000000005 9897 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2085340 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460 1100 28 3145728 52096 0 1100 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1609.0 10061.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46758 25476 0 25475 184 1084510474 25290 1084510476 1 2 0 1 1 192.168.101.1 22 45098 0 45098 35661 345916 9435 345916 0 0 0 1 1 1565244294602.1934 1565244385832.213 91230.02 32.793 70.272 91196.099 91195.568 32.494 63.37 1 1 0 0 0 0 0 30.711875 30.079 74.647 0.79992 8998 64 64 8.233327000000001 0.009 44.392 5.189579 9256 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2074892 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460 1100 28 3145728 64128 0 1136 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2380.0 9435.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46878 27976 0 27975 186 1202209034 27788 1202209036 1 2 0 1 1 192.168.101.1 22 53086 0 53086 42611 381916 10473 381916 0 0 0 1 1 1565244404046.561 1565244504802.1082 100755.547 32.853 71.065 100722.019 100721.524 32.535 63.199 1 1 0 0 0 0 0 30.656765999999998 30.077 73.425 0.7525270000000001 10438 64 64 8.198589 0.008 47.601 5.065804 10292 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2073756 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460 1100 28 3145472 64128 0 1100 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1151.0 10473.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
