#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 38832 7707 0 7706 30 126106560 7675 126106560 0 0 0 1 1 192.168.101.1 22 9404 0 9404 8294 42796 1108 42796 0 0 0 1 1 1565239483057.14 1565239486360.5227 3303.383 30.964 68.482 3268.686 3268.171 30.624 61.452 1 1 0 0 0 0 0 32.966757 30.172 75.609 8.862844 67 64 64 0.324809 0.007 47.666 2.4650540000000003 1083 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2078100 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7485.0 1108.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38834 5145 0 5144 46 84071352 5097 84071352 0 0 0 1 1 192.168.101.1 22 6109 0 6109 5365 29620 742 29620 0 0 0 1 1 1565239487104.338 1565239489761.965 2657.627 30.985 68.771 2622.279 2621.397 30.662 61.52 1 1 0 0 0 0 0 33.803579 30.139 72.479 10.349663 46 64 64 0.381973 0.006 44.211 2.946398 701 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2088756 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4900.0 742.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38836 6979 0 6978 78 113495856 6899 113495856 0 0 0 1 1 192.168.101.1 22 8398 0 8398 7398 38872 998 38872 0 0 0 1 1 1565239490753.899 1565239493912.0159 3158.117 31.137 68.813 3123.647 3123.226 30.818 61.666 1 1 0 0 0 0 0 32.416527 30.179 74.452 8.123137 83 64 64 0.275 0.006 45.44 2.382652 922 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2085340 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6698.0 998.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38848 7474 0 7473 67 121902896 7405 121902896 0 0 0 1 1 192.168.101.1 22 15090 0 15090 14017 41464 1071 41464 0 0 0 1 1 1565239494810.4907 1565239498154.682 3344.191 31.008 69.011 3309.8 3309.04 30.687 61.431 1 1 0 0 0 0 0 32.514679 30.08 73.769 7.660133 88 64 64 0.276327 0.007 47.412 2.32668 998 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2076652 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7200.0 1071.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38864 7708 0 7707 45 126106416 7661 126106416 0 0 0 1 1 192.168.101.1 22 10093 0 10093 8983 42796 1108 42796 0 0 0 1 1 1565239499083.544 1565239502420.32 3336.776 31.103 70.354 3302.126 3301.487 30.781 61.619 1 1 0 0 0 0 0 32.633559999999996 30.118 71.737 8.345274 71 64 64 0.251746 0.007 45.96 2.116568 1065 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2100340 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7460.0 1108.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38866 5603 0 5602 19 92477960 5582 92477960 0 0 0 1 1 192.168.101.1 22 8738 0 8738 7921 32248 815 32248 0 0 0 1 1 1565239503034.442 1565239505843.433 2808.991 31.082 68.922 2775.086 2774.402 30.777 61.649 1 1 0 0 0 0 0 32.823206 30.103 73.903 7.919207000000001 91 64 64 0.398731 0.009 47.958 2.479798 800 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2069412 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5400.0 815.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38868 6490 0 6489 19 109292048 6469 109292048 0 0 0 1 1 192.168.101.1 22 8444 0 8444 7481 37504 961 37504 0 0 0 1 1 1565239506674.672 1565239509696.442 3021.77 31.037 68.866 2988.037 2987.456 30.726 61.575 1 1 0 0 0 0 0 31.820364 30.093 73.734 7.124575999999999 104 64 64 0.299678 0.004 47.831 2.3074380000000003 950 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2079548 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6181.0 961.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38878 5505 0 5504 23 92477456 5480 92477456 0 0 0 1 1 192.168.101.1 22 9406 0 9406 8589 32248 815 32248 0 0 0 1 1 1565239510519.726 1565239513321.2642 2801.538 30.969 68.988 2768.006 2767.301 30.658 61.48 1 1 0 0 0 0 0 31.706709999999998 30.06 72.477 6.8356520000000005 111 64 64 0.319695 0.008 47.265 2.492905 799 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2099384 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5250.0 815.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38886 6473 0 6472 18 109292048 6453 109292048 0 0 0 1 1 192.168.101.1 22 8591 0 8591 7628 37540 961 37540 0 0 0 1 1 1565239514055.273 1565239517128.7756 3073.503 30.928 68.697 3039.901 3039.303 30.611 61.383 1 1 0 0 0 0 0 32.339048 30.055 73.227 8.141717 79 64 64 0.348047 0.005 47.064 2.345196 949 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2076132 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6179.0 961.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38896 5994 0 5993 25 100885008 5967 100885008 0 0 0 1 1 192.168.101.1 22 10567 0 10567 9677 34876 888 34876 0 0 0 1 1 1565239518059.3538 1565239520980.246 2920.892 30.95 68.544 2887.199 2886.51 30.585 61.412 1 1 0 0 0 0 0 32.017146999999994 30.046 78.5 7.637914 101 64 64 0.321982 0.005 45.346 2.388394 868 63 63 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 2096896 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5678.0 888.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
