#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 51590 50528 0 50527 3661 1197946043 46865 1197957628 6 11585 0 1 1 192.168.101.1 22 133107 0 133107 122722 379828 10383 379900 2 72 1258 1 1 1565994457210.946 1565994558568.736 101357.79 42.837 90.828 101321.728 101321.435 42.453 83.255 1 1 0 0 0 0 0 37.665989 29.997 101.07 4.1947339999999995 11330 64 64 6.633844 0.005 42.687 4.726811 6851 63 63 0 0 0 0 0 0 1 1 7 1 4123 1460 65160 12 64256 63744 0 2413740 16 32 0 3 0 0 3 0 0 0 0 1 1 7 1 106255 1460 1100 28 3145728 64128 0 1100 28 32.0 5.0 841.0 412.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 713.0 9123.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51784 41004 0 41003 3913 1181193811 37089 1181254628 5 60817 0 1 1 192.168.101.1 22 147752 0 147752 137458 375832 10292 375940 3 108 1196 1 1 1565994572821.633 1565994672094.9502 99273.317 33.199 71.441 99217.99 99216.539 32.875 71.441 1 1 0 0 0 0 0 36.819359000000006 30.047 94.233 4.2469269999999995 9712 64 64 5.073528 0.004 41.939 2.689934 6596 63 63 0 0 0 0 0 0 1 1 7 1 4430 1460 65160 12 64256 63872 0 2278036 16 32 0 3 0 0 2 0 0 0 0 1 1 7 1 114456 1460 1136 28 3145728 40832 0 1172 28 32.0 0.0 867.0 326.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1405.0 9093.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51980 62462 0 62461 3481 1113935221 58979 1114000384 9 65163 0 1 1 192.168.101.1 22 183856 0 183856 174140 356680 9714 356788 2 108 1399 1 1 1565994685306.4688 1565994779383.352 94076.883 32.607 70.054 94021.734 94021.444 32.235 70.054 1 1 0 0 0 0 0 37.715576 29.975 91.327 3.490954 12660 64 64 4.010025 0.004 40.143 2.306532 6354 63 63 0 0 0 0 0 0 1 1 7 1 4748 1460 65160 8 64256 63232 0 2231644 16 32 0 4 0 0 5 0 0 0 0 1 1 7 1 164034 1460 1100 28 3145728 61312 0 1152 28 32.0 2.0 1250.0 147.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 14.0 8313.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52150 55212 0 55211 3721 1206414824 51489 1206492956 11 78132 0 1 1 192.168.101.1 22 180504 0 180504 169990 384508 10512 384580 2 72 1408 1 1 1565994794403.144 1565994895972.072 101568.928 53.096 101.28 101528.461 101528.163 52.749 93.715 1 1 0 0 0 0 0 37.28017 29.998 86.817 3.7745830000000002 12143 64 64 4.682898000000001 0.004 55.774 2.3917599999999997 6955 63 63 0 0 0 0 0 0 1 1 7 1 4635 1460 65160 8 64256 63488 0 2273692 1 32 0 0 0 0 11 0 0 0 0 1 1 7 1 153713 1460 1100 28 3145728 63104 0 1100 28 32.0 0.0 1171.0 233.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1001.0 9102.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52344 54479 0 54478 3409 1109730945 51068 1109783076 5 52131 0 1 1 192.168.101.1 22 162772 0 162772 153098 353152 9672 353188 1 36 1311 1 1 1565994909160.792 1565995002485.4988 93324.707 42.774 91.958 93284.042 93278.349 42.452 83.384 1 1 0 0 0 0 0 37.586559 30.074 82.652 3.777239 11223 64 64 5.721811 0.005 40.793 3.802312 6389 63 63 0 0 0 0 0 0 1 1 7 1 4162 1460 65160 12 64256 64000 0 2134600 1 32 0 0 0 0 5 0 0 0 0 1 1 7 1 140960 1460 1100 28 3145728 64128 0 1100 28 32.0 0.0 966.0 345.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 25.0 8360.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52538 56375 0 56374 3953 1252639142 52420 1252750640 12 111498 0 1 1 192.168.101.1 22 182208 0 182208 171309 397936 10897 398116 4 180 1471 1 1 1565995017724.052 1565995123889.912 106165.86 42.859 92.572 106110.216 106107.547 42.557 83.401 1 1 0 0 0 0 0 37.15299 30.06 87.764 3.8804980000000002 11258 64 64 5.647179 0.005 52.964 3.060428 7108 63 63 0 0 0 0 0 0 1 1 7 1 4579 1460 65160 12 64256 63488 0 2397320 16 32 0 7 0 0 5 0 0 0 0 1 1 7 1 151201 1460 1100 28 3145728 44160 0 1136 28 32.0 4.0 1037.0 428.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 957.0 9422.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52732 61026 0 61025 3606 1214821863 57418 1214865304 5 43441 0 1 1 192.168.101.1 22 210586 0 210586 200005 385768 10579 385804 1 36 1495 1 1 1565995140765.069 1565995242807.52 102042.451 33.878 84.56 101997.064 101996.746 33.581 64.58 1 1 0 0 0 0 0 37.138965999999996 30.066 82.422 3.562103 11951 64 64 5.185491000000001 0.006 51.6 2.087428 7157 63 63 0 0 0 0 0 0 1 1 7 1 3998 1460 52128 12 64256 63872 0 1549752 16 32 0 0 0 0 5 0 0 0 0 1 1 7 1 187073 1460 1100 28 3145728 64128 0 1172 28 32.0 3.0 1139.0 353.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 79.0 9083.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52930 53289 0 53288 3294 1076105811 49993 1076157508 8 51697 0 1 1 192.168.101.1 22 158188 0 158188 148810 346096 9376 346168 2 72 1172 1 1 1565995257630.9478 1565995348143.357 90512.409 43.199 92.134 90458.3 90458.067 42.898 83.92 1 1 0 0 0 0 0 37.54595 30.061 84.978 3.739246 11527 64 64 4.231911 0.005 47.959 2.456789 6183 63 63 0 0 0 0 0 0 1 1 7 1 3976 1460 65160 12 64256 64000 0 2193968 16 32 0 0 0 0 8 0 0 0 0 1 1 7 1 135927 1460 2896 28 3145728 64128 0 2896 28 32.0 0.0 994.0 178.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 810.0 8201.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 53110 45371 0 45370 3614 1097123371 41755 1097144260 9 20889 0 1 1 192.168.101.1 22 149626 0 149626 140061 349120 9563 349228 3 108 1258 1 1 1565995363366.195 1565995455694.25 92328.055 52.746 100.955 92284.146 92283.378 52.469 93.474 1 1 0 0 0 0 0 37.250785 29.984 89.413 3.9573690000000004 10727 64 64 4.451287000000001 0.003 60.519 2.666642 6125 63 63 0 0 0 0 0 0 1 1 7 1 4192 1460 65160 8 64256 63872 0 2249540 16 32 0 0 0 0 9 0 0 0 0 1 1 7 1 123506 1460 1100 28 3145728 64128 0 1100 28 32.0 0.0 975.0 280.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 893.0 8302.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 53290 69601 0 69600 3511 1214754687 66088 1214769168 4 14481 0 1 1 192.168.101.1 22 206666 0 206666 196142 383032 10522 383068 1 36 1522 1 1 1565995473402.7583 1565995577418.619 104015.861 43.758 82.004 103961.137 103960.796 43.385 74.562 1 1 0 0 0 0 0 37.532940999999994 29.985 83.685 3.597145 13195 64 64 4.643168 0.005 42.573 2.28953 7151 63 63 0 0 0 0 0 0 1 1 7 1 4201 1460 41992 12 64256 64000 0 1816200 16 32 0 0 0 0 4 0 0 0 0 1 1 7 1 183869 1460 1100 28 3145728 64128 0 1136 28 32.0 0.0 1277.0 245.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 65.0 8999.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
