#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 60506 7553 0 7552 379 109294748 7172 109301988 1 7240 0 1 1 192.168.101.1 22 12548 0 12548 11580 37648 966 37684 1 36 226 1 1 1565983960698.0747 1565983968818.1228 8120.048 30.899 67.941 8076.735 8076.49 30.612 67.941 1 1 0 0 0 0 0 38.527251 30.043 94.25 4.98939 894 64 64 1.215781 0.007 54.938 3.5883190000000003 535 63 63 0 0 0 0 0 0 1 1 7 1 1042 1460 31856 12 64256 64000 0 1232228 16 32 0 1 0 0 0 0 0 0 0 1 1 7 1 10843 1460 1080 28 2623744 44160 0 1080 28 32.0 0.0 208.0 18.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 739.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60530 9318 0 9317 369 121890512 8947 121897752 3 7240 0 1 1 192.168.101.1 22 13327 0 13327 12261 41176 1064 41212 1 36 200 1 1 1565983969868.6658 1565983979670.72 9802.054 40.935 78.589 9757.329 9757.127 40.599 78.589 1 1 0 0 0 0 0 38.23708 30.102 84.045 5.191403 1086 64 64 1.8354650000000001 0.004 40.264 3.656807 670 63 63 0 0 0 0 0 0 1 1 7 1 785 1460 30408 16 64256 64000 0 1249624 16 32 0 0 0 0 3 0 0 0 0 1 1 7 1 11265 1460 1080 28 3145728 64128 0 1080 28 32.0 0.0 192.0 7.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 863.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60556 7778 0 7777 267 96670212 7509 96677452 2 7240 0 1 1 192.168.101.1 22 10770 0 10770 9924 33220 844 33400 3 180 146 1 1 1565983980463.828 1565983988885.334 8421.506 41.116 89.082 8376.845 8376.637 40.734 81.785 1 1 0 0 0 0 0 38.239985 30.08 82.309 4.867571 982 64 64 1.729668 0.007 53.47 3.7512300000000005 518 63 63 0 0 0 0 0 0 1 1 7 1 678 1460 24616 16 64256 64128 0 1045680 16 32 0 0 0 0 2 0 0 0 0 1 1 7 1 8952 1460 1080 28 2432384 64128 0 1080 28 32.0 0.0 142.0 3.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 695.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60558 11324 0 11323 302 117637204 11020 117656028 4 18824 0 1 1 192.168.101.1 22 14606 0 14606 13633 38548 971 38584 1 36 166 1 1 1565983989920.421 1565984002000.5083 12080.087 40.801 78.072 12036.542 12036.295 40.473 71.093 1 1 0 0 0 0 0 38.791236 30.12 83.855 5.154014 1403 64 64 2.2540009999999997 0.005 42.325 3.841962 645 63 63 0 0 0 0 0 0 1 1 7 1 628 1460 33304 16 64256 63616 0 1417520 16 32 0 4 0 0 0 0 0 0 0 1 1 7 1 12045 1460 1080 28 2549632 64128 0 1080 28 32.0 3.0 147.0 16.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 37.0 804.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60584 7798 0 7797 353 105090976 7443 105131520 6 40544 0 1 1 192.168.101.1 22 11525 0 11525 10594 36280 929 36352 2 72 191 1 1 1565984002968.746 1565984011077.8203 8109.074 40.927 78.519 8065.005 8064.713 40.544 71.308 1 1 0 0 0 0 0 38.256729 30.113 88.207 4.858095 940 64 64 1.273401 0.006 55.387 3.772449 544 63 63 0 0 0 0 0 0 1 1 7 1 786 1460 27512 16 64256 64000 0 1113616 16 32 0 2 0 0 4 0 0 0 0 1 1 7 1 9756 1460 1080 28 3145728 63232 0 1080 28 32.0 0.0 182.0 8.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 737.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60610 8832 0 8831 364 117699988 8466 117708676 3 8688 0 1 1 192.168.101.1 22 13639 0 13639 12596 40492 1041 40528 1 36 189 1 1 1565984012096.179 1565984021334.8508 9238.672 40.836 78.533 9194.264 9194.013 40.461 71.345 1 1 0 0 0 0 0 38.614253999999995 30.064 91.654 4.984247 1067 64 64 1.2889700000000002 0.006 43.931 3.040346 640 63 63 0 0 0 0 0 0 1 1 7 1 822 1460 31856 12 64256 63872 0 1140544 16 32 0 0 0 0 3 0 0 0 0 1 1 7 1 11848 1460 1080 28 2187520 54400 0 1080 28 32.0 0.0 184.0 5.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 851.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60636 9982 0 9981 341 126071352 9639 126078592 2 7240 0 1 1 192.168.101.1 22 14646 0 14646 13559 42004 1085 42076 2 72 201 1 1 1565984022319.528 1565984032756.414 10436.886 30.796 68.273 10396.131 10395.937 30.427 68.273 1 1 0 0 0 0 0 38.344209 30.031 93.238 5.015201 1172 64 64 1.7853459999999999 0.004 50.697 3.503888 676 63 63 0 0 0 0 0 0 1 1 7 1 891 1460 31856 8 64256 64000 0 1386488 16 32 0 0 0 0 2 0 0 0 0 1 1 7 1 12439 1460 1080 28 3119488 44800 0 1080 28 32.0 0.0 183.0 17.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 882.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60646 10581 0 10580 326 126043812 10253 126056844 5 13032 0 1 1 192.168.101.1 22 14329 0 14329 13279 40672 1048 40708 1 36 166 1 1 1565984033831.122 1565984044979.894 11148.772 40.838 79.379 11104.918 11104.699 40.533 79.379 1 1 0 0 0 0 0 38.157503999999996 30.125 88.202 5.1290260000000005 1258 64 64 1.8869790000000002 0.005 44.712 3.713904 683 63 63 0 0 0 0 0 0 1 1 7 1 737 1460 36200 12 64256 64128 0 1494796 16 32 0 4 0 0 1 0 0 0 0 1 1 7 1 11896 1460 1080 28 2726144 43008 0 1080 28 32.0 0.0 155.0 11.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 881.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60666 9012 0 9011 337 113478936 8673 113499208 6 20272 0 1 1 192.168.101.1 22 13152 0 13152 12165 38332 985 38404 1 72 187 1 1 1565984045979.122 1565984055496.661 9517.539 50.682 97.773 9482.712 9482.504 50.361 97.773 1 1 0 0 0 0 0 38.177562 30.089 101.636 5.193279 1079 64 64 1.61164 0.005 56.754 3.651508 603 63 63 0 0 0 0 0 0 1 1 7 1 794 1460 28960 16 64256 64128 0 1147924 16 32 0 6 0 0 0 0 0 0 0 1 1 7 1 11080 1460 1080 28 2815232 64128 0 1080 28 32.0 0.0 177.0 10.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 797.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60690 10409 0 10408 263 113431236 10144 113443988 3 12752 0 1 1 192.168.101.1 22 12993 0 12993 12052 36676 939 36712 1 36 140 1 1 1565984056533.3567 1565984067570.4165 11037.06 40.998 78.866 10992.001 10991.795 40.637 78.866 1 1 0 0 0 0 0 38.153772 30.051 93.922 5.00948 1271 64 64 2.257145 0.006 48.166 3.7386 632 63 63 0 0 0 0 0 0 1 1 7 1 625 1460 31856 16 64256 64000 0 1217720 16 32 0 0 0 0 3 0 0 0 0 1 1 7 1 10542 1460 1080 28 2620800 46336 0 1080 28 32.0 0.0 135.0 5.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 798.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
