#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 59776 167356 0 167355 202 1214820167 167152 1226270000 1553 11449833 0 1 1 192.168.101.1 22 74738 0 74738 64160 386292 10576 386292 0 0 0 1 1 1565712149339.552 1565712251187.126 101847.574 33.02 44.82 101812.349 101781.053 31.988 33.032 1 1 0 0 0 0 0 0.032129000000000005 0.002 42.893 0.299114 62710 63 63 38.888073 29.967 73.813 1.714136 10497 64 64 0 0 0 0 0 0 1 1 7 1 119 1460 65160 16 64256 64128 0 570512 16 32 0 0 0 404 1415 0 0 0 0 1 1 7 1 1533 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 157.0 10576.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59946 182310 0 182309 281 1235837628 182027 1247212228 1706 11374600 0 1 1 192.168.101.1 22 75305 0 75305 64551 392916 10752 392916 0 0 0 1 1 1565712266938.9927 1565712371200.3228 104261.33 31.154 39.559 104227.473 104196.271 30.957 31.162 1 1 0 0 0 0 0 0.034886 0.002 40.812 0.28846700000000003 63013 63 63 38.494946 29.984 75.689 2.405853 10588 64 64 0 0 0 0 0 0 1 1 7 1 114 1460 65160 16 64256 64128 0 671096 16 32 0 0 0 398 1539 0 0 0 0 1 1 7 1 1657 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 391.0 10752.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60116 177398 0 177397 209 1160174481 177187 1171938584 1923 11764103 0 1 1 192.168.101.1 22 72143 0 72143 62039 368760 10102 368760 0 0 0 1 1 1565712386819.964 1565712484544.7827 97724.819 31.435 39.432 97687.576 97655.079 31.189 31.443 1 1 0 0 0 0 0 0.035914 0.002 43.792 0.308789 60247 63 63 38.857315 30.02 76.067 1.8251669999999998 10006 64 64 0 0 0 0 0 0 1 1 7 1 104 1460 65160 16 64256 64128 0 771784 16 32 0 0 0 420 1703 0 0 0 0 1 1 7 1 1872 1460.0 1100.0 28.0 3145728.0 59520.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 109.0 10102.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60286 162378 0 162377 206 1118139173 162170 1129488136 1532 11348963 0 1 1 192.168.101.1 22 68746 0 68746 59016 356052 9728 356052 0 0 0 1 1 1565712499250.203 1565712592999.5642 93749.361 32.249 40.256 93711.892 93679.571 31.891 32.26 1 1 0 0 0 0 0 0.029518 0.002 42.921 0.30794099999999996 57587 63 63 38.896684 30.106 75.61 1.766947 9625 64 64 0 0 0 0 0 0 1 1 7 1 97 1460 65160 16 64256 64128 0 545092 16 32 0 0 0 380 1384 0 0 0 0 1 1 7 1 1523 1460.0 1136.0 28.0 3145728.0 64128.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 250.0 9728.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60440 184188 0 184187 270 1227430693 183916 1239720856 1714 12290163 0 1 1 192.168.101.1 22 74326 0 74326 63638 389784 10686 389784 0 0 0 1 1 1565712609115.3958 1565712712127.384 103011.988 31.297 39.289 102976.344 102945.224 31.171 31.308 1 1 0 0 0 0 0 0.033808 0.002 41.865 0.293746 62095 63 63 37.669538 30.104 74.828 2.8665950000000002 10525 64 64 0 0 0 0 0 0 1 1 7 1 106 1460 60816 16 64256 64000 0 649132 16 32 0 0 0 498 1513 0 0 0 0 1 1 7 1 1654 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 240.0 10686.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60608 184833 0 184832 229 1244244919 184602 1256461876 1700 12216957 0 1 1 192.168.101.1 22 77160 0 77160 66327 395544 10831 395544 0 0 0 1 1 1565712728539.3662 1565712832836.64 104297.274 32.018 40.583 104261.859 104230.687 31.79 32.029 1 1 0 0 0 0 0 0.031579 0.002 47.556 0.30528299999999997 64760 63 63 38.916636 30.088 78.424 1.724646 10730 64 64 0 0 0 0 0 0 1 1 7 1 119 1460 65160 16 64256 64000 0 553524 16 32 0 0 0 461 1525 0 0 0 0 1 1 7 1 1660 1460.0 1100.0 28.0 3145728.0 59264.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 228.0 10831.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60796 158391 0 158390 216 1202209571 158173 1213875156 1523 11665585 0 1 1 192.168.101.1 22 73511 0 73511 63042 381900 10467 381900 0 0 0 1 1 1565712848012.892 1565712948805.4685 100792.577 31.741 39.713 100754.313 100722.214 31.428 31.75 1 1 0 0 0 0 0 0.031143 0.002 43.416 0.301505 61622 63 63 38.927302000000005 30.082 75.487 1.7691290000000002 10373 64 64 0 0 0 0 0 0 1 1 7 1 111 1460 65160 16 64256 64128 0 524176 16 32 0 0 0 443 1356 0 0 0 0 1 1 7 1 1506 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 113.0 10467.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60966 152598 0 152597 228 1214820133 152368 1226709096 1739 11888963 0 1 1 192.168.101.1 22 73702 0 73702 63132 386328 10568 386328 0 0 0 1 1 1565712964791.3228 1565713068675.895 103884.572 31.758 41.113 103848.744 103817.604 31.484 31.769 1 1 0 0 0 0 0 0.035166 0.002 47.689 0.312797 61559 63 63 38.886666999999996 30.031 77.816 1.862182 10455 64 64 0 0 0 0 0 0 1 1 7 1 105 1460 65160 16 64256 64128 0 622384 16 32 0 0 0 502 1472 0 0 0 0 1 1 7 1 1694 1460.0 1136.0 28.0 3145728.0 64128.0 0.0 1280.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 251.0 10568.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 32904 156823 0 156822 218 1088714570 156603 1099969980 1661 11255410 0 1 1 192.168.101.1 22 67092 0 67092 57612 346332 9478 346332 0 0 0 1 1 1565713082622.8518 1565713174952.797 92329.945 31.517 40.818 92294.703 92263.527 31.258 31.537 1 1 0 0 0 0 0 0.030882 0.002 43.563 0.313134 56100 63 63 38.854501 29.959 75.028 1.944204 9367 64 64 0 0 0 0 0 0 1 1 7 1 90 1460 60816 16 64256 64128 0 712512 16 32 0 0 0 423 1478 0 0 0 0 1 1 7 1 1625 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 532.0 9478.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33074 188461 0 188460 273 1244244810 188186 1256284468 1794 12039658 0 1 1 192.168.101.1 22 76757 0 76757 65927 398892 10828 398892 0 0 0 1 1 1565713193857.662 1565713299239.2578 105381.596 31.799 40.659 105347.018 105315.96 31.585 31.81 1 1 0 0 0 0 0 0.030768 0.002 40.936 0.286073 64282 63 63 38.888127000000004 30.047 75.945 1.993395 10667 64 64 0 0 0 0 0 0 1 1 7 1 113 1460 65160 16 64256 64128 0 554116 16 32 0 0 0 471 1610 0 0 0 0 1 1 7 1 1758 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 4104.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 369.0 10827.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
