#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 50140 10458 0 10457 89 84039672 10367 84753536 91 713864 0 1 1 192.168.101.1 22 3263 0 3263 2543 29136 718 29136 0 0 0 1 1 1565706965059.886 1565706973967.965 8908.079 31.081 38.821 8871.503 8840.202 30.813 31.09 1 1 0 0 0 0 0 0.093224 0.002 40.681 1.429922 2496 63 63 35.427478 30.072 78.486 9.771301 626 64 64 0 0 0 0 0 0 1 1 7 1 6 1460 65160 16 64256 64128 0 354760 16 32 0 0 0 14 86 0 0 0 0 1 1 7 1 91 1460.0 1080.0 28.0 2834560.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 718.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50166 10842 0 10841 247 96682452 10593 97850988 130 1168536 0 1 1 192.168.101.1 22 2829 0 2829 1975 33744 852 33744 0 0 0 1 1 1565706974996.1638 1565706980163.1973 5167.033 30.943 39.777 5132.094 5100.815 30.751 30.951 1 1 0 0 0 0 0 0.114353 0.002 43.8 1.6932770000000001 1944 63 63 32.576811 30.022 77.975 5.565758 620 64 64 0 0 0 0 0 0 1 1 7 1 11 1460 65160 16 64256 64128 0 432952 16 32 0 0 0 9 128 0 0 0 0 1 1 7 1 122 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 852.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50168 10433 0 10432 277 92478788 10154 93401164 113 922376 0 1 1 192.168.101.1 22 2544 0 2544 1726 32412 816 32412 0 0 0 1 1 1565706981258.827 1565706986381.39 5122.563 30.728 38.786 5088.712 5057.575 30.52 30.738 1 1 0 0 0 0 0 0.117421 0.002 41.664 1.7585990000000002 1709 63 63 32.890661 30.278 77.258 6.106261 556 64 64 0 0 0 0 0 0 1 1 7 1 5 1460 65160 16 64256 64128 0 383720 16 32 0 0 0 5 113 0 0 0 0 1 1 7 1 109 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 46.0 816.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50174 10531 0 10530 334 92478785 10195 93438812 106 960027 0 1 1 192.168.101.1 22 2214 0 2214 1396 32412 816 32412 0 0 0 1 1 1565706987382.228 1565706992601.5413 5219.313 30.844 38.714 5186.162 5154.996 30.638 30.853 1 1 0 0 0 0 0 0.131619 0.002 42.446 1.9751880000000002 1378 63 63 34.765335 30.365 78.546 9.490783 503 64 64 0 0 0 0 0 0 1 1 7 1 6 1460 65160 16 64256 64128 0 411232 16 32 0 0 0 5 112 0 0 0 0 1 1 7 1 99 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 15.0 816.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50196 18012 0 18011 116 117699916 17894 119524040 261 1824124 0 1 1 192.168.101.1 22 5211 0 5211 4177 40476 1032 40476 0 0 0 1 1 1565706993840.905 1565706999287.928 5447.023 30.895 39.252 5413.012 5381.929 30.666 30.903 1 1 0 0 0 0 0 0.07127 0.002 43.093 1.161985 4037 63 63 31.7005 29.992 77.155 4.1638589999999995 919 64 64 0 0 0 0 0 0 1 1 7 1 10 1460 65160 16 64256 64128 0 379376 16 32 0 0 0 53 247 0 0 0 0 1 1 7 1 249 1460.0 1080.0 28.0 3091200.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 507.0 1032.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50198 13908 0 13907 243 117699196 13663 118847244 134 1148048 0 1 1 192.168.101.1 22 3764 0 3764 2727 40296 1035 40296 0 0 0 1 1 1565707000596.183 1565707005801.6348 5205.452 30.899 38.608 5171.087 5139.962 30.538 30.909 1 1 0 0 0 0 0 0.093361 0.002 40.839 1.3820629999999998 2684 63 63 31.931915000000004 30.058 77.133 4.387011 817 64 64 0 0 0 0 0 0 1 1 7 1 16 1460 65160 16 64256 64128 0 375032 16 32 0 0 0 21 131 0 0 0 0 1 1 7 1 134 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 133.0 1035.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50218 10638 0 10637 196 88275232 10440 89002128 83 726896 0 1 1 192.168.101.1 22 2927 0 2927 2146 31080 779 31080 0 0 0 1 1 1565707006656.6882 1565707011076.639 4419.951 30.972 38.707 4385.29 4354.125 30.706 30.983 1 1 0 0 0 0 0 0.10968800000000001 0.002 43.992 1.6000299999999998 2133 63 63 32.018898 30.006 77.358 4.8416 599 64 64 0 0 0 0 0 0 1 1 7 1 8 1460 65160 16 64256 64128 0 593680 16 32 0 0 0 12 81 0 0 0 0 1 1 7 1 81 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 779.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50226 14383 0 14382 234 117700060 14147 118993208 175 1293148 0 1 1 192.168.101.1 22 3506 0 3506 2466 40440 1038 40440 0 0 0 1 1 1565707012300.878 1565707017580.28 5279.402 30.925 38.626 5245.083 5214.121 30.555 30.936 1 1 0 0 0 0 0 0.103612 0.002 43.922 1.5096479999999999 2428 63 63 32.423136 30.015 75.427 5.234097 809 64 64 0 0 0 0 0 0 1 1 7 1 8 1460 65160 16 64256 64128 0 357656 16 32 0 0 0 39 160 0 0 0 0 1 1 7 1 158 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 493.0 1038.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50230 9557 0 9556 215 84071856 9340 85414152 166 1342296 0 1 1 192.168.101.1 22 2577 0 2577 1831 30144 744 30144 0 0 0 1 1 1565707018438.486 1565707022785.835 4347.349 30.928 38.669 4311.386 4280.248 30.683 30.936 1 1 0 0 0 0 0 0.116586 0.002 42.189 1.7466560000000002 1747 63 63 32.519181 30.088 70.861 5.524699 541 64 64 0 0 0 0 0 0 1 1 7 1 8 1460 65160 16 64256 64128 0 576092 16 32 0 0 0 14 165 0 0 0 0 1 1 7 1 163 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 744.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50250 10235 0 10234 301 92478572 9932 93589188 129 1110616 0 1 1 192.168.101.1 22 2360 0 2360 1542 32412 816 32412 0 0 0 1 1 1565707023946.7903 1565707028695.176 4748.386 30.892 39.398 4714.74 4683.746 30.744 30.901 1 1 0 0 0 0 0 0.12393900000000001 0.002 41.209 1.848395 1518 63 63 33.203542 30.32 78.285 6.710742 540 64 64 0 0 0 0 0 0 1 1 7 1 7 1460 65160 16 64256 64128 0 427776 16 32 0 0 0 11 130 0 0 0 0 1 1 7 1 123 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 124.0 816.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
