#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 42670 15806 0 15805 146 105075784 15658 105088816 5 13032 13 1 1 192.168.101.1 22 3902 0 3902 2975 36372 925 36408 1 36 0 1 1 1565277029836.758 1565277037527.8337 7691.076 30.973 38.504 7656.347 7625.06 30.649 30.982 1 1 0 0 0 0 0 0.103038 0.002 43.926 1.340507 3017 63 63 33.17621 30.045 78.238 6.636117 776 64 64 0 0 0 0 0 0 1 1 7 1 120 1460 65160 16 64256 63872 0 1055592 16 32 0 13 0 0 5 0 0 0 0 1 1 7 1 45 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 35.0 924.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 42682 11663 0 11662 65 104977324 11596 104977324 0 0 26 1 1 192.168.101.1 22 4036 0 4036 3205 32880 829 32916 1 36 0 1 1 1565277038493.0945 1565277056448.9868 17955.892 30.864 39.041 17920.122 17888.853 30.717 30.872 1 1 0 0 0 0 0 0.100935 0.002 44.808 1.361344 3203 63 63 39.947472999999995 30.274 75.42 9.126453 752 64 64 0 0 0 0 0 0 1 1 7 1 28 1460 65160 16 64256 64128 0 461912 16 32 0 26 0 0 0 0 0 0 0 1 1 7 1 54 1460.0 1080.0 28.0 1947008.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 828.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 42702 10133 0 10132 45 88195528 10086 88195528 0 0 12 1 1 192.168.101.1 22 3311 0 3311 2608 28308 701 28308 0 0 0 1 1 1565277057223.7727 1565277071776.7788 14553.006 30.92 39.412 14518.155 14486.78 30.672 30.931 1 1 0 0 0 0 0 0.10082999999999999 0.002 44.015 1.467527 2613 63 63 40.192305 30.092 78.492 10.154894 658 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 280912 16 32 0 12 0 0 0 0 0 0 0 1 1 7 1 27 1460.0 1080.0 28.0 2288384.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 701.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 42710 16812 0 16811 222 126081792 16588 126081792 0 0 9 1 1 192.168.101.1 22 3650 0 3650 2567 42132 1081 42168 1 36 0 1 1 1565277072854.8125 1565277084471.559 11616.746 31.113 38.852 11582.909 11551.641 30.732 31.121 1 1 0 0 0 0 0 0.11149500000000001 0.002 41.683 1.407043 2645 63 63 34.193690000000004 30.066 75.602 8.230003 843 64 64 0 0 0 0 0 0 1 1 7 1 107 1460 65160 16 64256 63872 0 492320 16 32 0 9 0 0 0 0 0 0 0 1 1 7 1 18 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 1080.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 42730 15152 0 15151 215 105073732 14935 105073732 0 0 5 1 1 192.168.101.1 22 3314 0 3314 2399 36228 913 36228 0 0 0 1 1 1565277085431.3982 1565277093707.2373 8275.839 30.85 38.901 8241.644 8210.1 30.621 30.86 1 1 0 0 0 0 0 0.102442 0.002 41.618 1.460681 2455 63 63 32.958746000000005 30.053 76.418 5.402993 689 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 483632 16 32 0 5 0 0 0 0 0 0 0 1 1 7 1 13 1460.0 1080.0 28.0 2894848.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 913.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 42738 12984 0 12983 172 105070276 12810 105070276 0 0 16 1 1 192.168.101.1 22 3277 0 3277 2360 36012 915 36012 0 0 0 1 1 1565277094518.9058 1565277104978.0767 10459.171 30.977 39.484 10424.689 10393.348 30.727 30.986 1 1 0 0 0 0 0 0.11098399999999999 0.003 43.807 1.503159 2398 63 63 35.478002000000004 30.116 77.149 7.673325 729 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 689248 16 32 0 16 0 0 0 0 0 0 0 1 1 7 1 33 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 915.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 42752 16206 0 16205 89 121754684 16115 121819844 16 65160 10 1 1 192.168.101.1 22 4966 0 4966 3981 38640 983 38712 2 72 0 1 1 1565277106041.317 1565277118551.9893 12510.672 31.146 40.621 12476.522 12445.245 30.886 31.155 1 1 0 0 0 0 0 0.07622999999999999 0.002 41.25 1.139071 3980 63 63 35.026361 30.122 77.47 6.91753 889 64 64 0 0 0 0 0 0 1 1 7 1 175 1460 65160 16 64256 63872 0 1035320 16 32 0 10 0 0 16 0 0 0 0 1 1 7 1 63 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 981.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 42766 13747 0 13746 184 109226744 13561 109291904 8 65160 20 1 1 192.168.101.1 22 3607 0 3607 2638 37812 967 37848 1 36 0 1 1 1565277119536.148 1565277132066.9727 12530.825 30.998 38.819 12495.825 12464.595 30.821 31.008 1 1 0 0 0 0 0 0.099987 0.002 43.294 1.404039 2685 63 63 35.597545000000004 30.068 77.699 9.225695 777 64 64 0 0 0 0 0 0 1 1 7 1 88 1460 65160 16 64256 64000 0 705176 16 32 0 20 0 0 8 0 0 0 0 1 1 7 1 49 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 27.0 966.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 42772 11762 0 11761 235 100853866 11525 100853868 1 2 17 1 1 192.168.101.1 22 2641 0 2641 1784 37236 855 37272 1 36 0 1 1 1565277133007.4988 1565277145555.557 12548.058 30.705 39.322 12514.294 12483.132 30.48 30.714 1 1 0 0 0 0 0 0.12493699999999999 0.002 41.706 1.7089349999999999 1797 63 63 38.465209 30.2 75.369 11.524582 618 64 64 0 0 0 0 0 0 1 1 7 1 69 1460 65160 16 64256 64128 0 480736 16 32 0 17 0 0 1 0 0 0 0 1 1 7 1 26 1460.0 2896.0 28.0 2050944.0 64128.0 0.0 3276.0 28.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 33.0 853.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 42794 15886 0 15885 190 121860200 15694 121873232 4 13032 10 1 1 192.168.101.1 22 3752 0 3752 2705 40764 1045 40764 0 0 0 1 1 1565277146617.598 1565277156980.3777 10362.78 30.97 39.196 10328.751 10297.625 30.841 30.979 1 1 0 0 0 0 0 0.096325 0.002 42.438 1.376814 2751 63 63 33.770679 30.148 74.742 7.115667999999999 846 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 792056 16 32 0 7 0 0 7 0 0 0 0 1 1 7 1 39 1460.0 1080.0 28.0 2748416.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 1045.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
