#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 60636 115877 0 115876 199 1213512040 115676 1213512040 0 0 1102 1 1 192.168.101.1 22 56057 0 56057 46719 339348 9336 341328 53 1980 0 1 1 1565370641053.971 1565371017921.842 376867.871 31.49 40.921 376833.166 376801.593 31.408 31.499 1 1 0 0 0 0 0 0.047989 0.002 58.674 0.608401 45471 63 63 44.764807 30.316 136.408 9.977414 9024 64 64 0 0 0 0 0 0 1 1 7 1 649 1460 65160 16 64256 64000 0 641464 16 32 23 1012 0 0 67 0 0 0 0 1 1 7 1 2172 1460.0 1100.0 28.0 2006400.0 64128.0 0.0 1172.0 28.0 32.0 6.0 47.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 25.0 9283.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60772 110525 0 110524 208 1125315916 110315 1125315916 0 0 1056 1 1 192.168.101.1 22 51714 0 51714 43085 314184 8627 315480 36 1296 0 1 1 1565371032787.0208 1565371370033.2268 337246.206 31.511 40.478 337211.319 337179.959 31.373 31.522 1 1 0 0 0 0 0 0.044137 0.002 46.446 0.485174 41890 63 63 44.565135999999995 30.297 135.362 10.010074000000001 8336 64 64 0 0 0 0 0 0 1 1 7 1 492 1460 65160 16 64256 64128 0 525624 16 32 24 932 0 0 100 0 0 0 0 1 1 7 1 2045 1460.0 1100.0 28.0 1691776.0 64128.0 0.0 1172.0 28.0 32.0 0.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 28.0 8591.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33090 109795 0 109794 249 1234514160 109544 1234514160 0 0 1102 1 1 192.168.101.1 22 54880 0 54880 45380 345252 9498 347088 50 1836 0 1 1 1565371386261.9048 1565371747394.3198 361132.415 31.459 39.049 361098.422 361066.813 31.148 31.47 1 1 0 0 0 0 0 0.043371 0.002 46.336 0.46894600000000003 44237 63 63 44.468367 30.153 78.657 9.997482000000002 9151 64 64 0 0 0 0 0 0 1 1 7 1 772 1460 65160 16 64256 64128 0 712416 16 32 27 1024 0 0 51 0 0 0 0 1 1 7 1 2118 1460.0 1100.0 28.0 2843392.0 64128.0 0.0 1136.0 28.0 32.0 2.0 48.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 9448.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33672 118065 0 118064 309 1210348665 117754 1210348668 1 3 1020 1 1 192.168.101.1 22 56044 0 56044 45738 374988 10304 376572 44 1584 0 1 1 1565371762852.588 1565372156425.218 393572.63 31.435 41.566 393538.644 393506.732 31.232 31.448 1 1 0 0 0 0 0 0.049717000000000004 0.002 46.178 0.61183 44547 63 63 45.023146999999994 30.228 137.676 11.764302 9925 64 64 0 0 0 0 0 0 1 1 7 1 607 1460 65160 16 64256 64128 0 602368 16 32 49 893 0 0 79 0 0 0 0 1 1 7 1 2115 1460.0 1100.0 28.0 2387840.0 64128.0 0.0 1136.0 28.0 32.0 3.0 41.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 15.0 10260.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 34284 101446 0 101445 214 1070730252 101230 1070730252 0 0 954 1 1 192.168.101.1 22 47026 0 47026 38824 297480 8199 298668 33 1189 0 1 2 1565372170353.592 1565372527424.933 357071.341 31.709 40.389 356786.317 356753.177 31.42 31.719 1 1 0 0 0 0 0 0.047659 0.002 49.763 0.676086 37590 63 63 46.966567 30.229 134.114 10.839657 7932 64 64 0 0 0 0 0 0 1 1 7 1 707 1460 65160 16 64256 64128 0 550240 16 32 44 844 0 0 66 0 0 0 0 1 1 7 1 1958 1460.0 1080.0 28.0 1731840.0 64128.0 0.0 1080.0 28.0 32.0 2.0 31.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 8167.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 34876 117465 0 117464 383 1247912038 117080 1247912040 1 2 1052 1 1 192.168.101.1 22 54127 0 54127 43834 374628 10291 376284 46 1656 0 1 1 1565372543444.051 1565372921212.415 377768.364 31.553 54.593 377733.412 377701.92 31.258 31.565 1 1 0 0 0 0 0 0.047148 0.002 53.924 0.6188819999999999 42678 63 63 45.351976 30.159 134.602 10.182191 9819 64 64 0 0 0 0 0 0 1 1 7 1 709 1460 65160 16 64256 64128 0 485080 16 32 45 941 0 0 67 0 0 0 0 1 1 7 1 2046 1460.0 1100.0 28.0 1973760.0 64128.0 0.0 1136.0 28.0 32.0 3.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 10245.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35454 102637 0 102636 263 1058132434 102372 1058133884 2 1450 950 1 1 192.168.101.1 22 47769 0 47769 39650 294636 8117 296184 43 1548 0 1 1 1565372935069.181 1565373262112.306 327043.125 31.464 39.54 327008.43 326977.004 31.415 31.479 1 1 0 0 0 0 0 0.048489 0.002 57.798 0.6582720000000001 38575 63 63 45.546256 30.254 139.389 10.753144 7775 64 64 0 0 0 0 0 0 1 1 7 1 510 1460 65160 16 64256 64128 0 680560 16 32 67 802 0 0 75 0 8 0 0 1 1 7 1 1875 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 7.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 8074.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35974 108353 0 108352 271 1138125915 108080 1138125916 1 1 760 1 1 192.168.101.1 22 48637 0 48637 39823 322392 8812 324048 46 1656 0 1 1 1565373276512.8787 1565373595628.178 319115.299 31.845 39.94 319080.802 319048.976 31.491 31.856 1 1 0 0 0 0 0 0.050918 0.002 62.004 0.754663 38867 63 63 44.762031 30.239 134.523 10.157737 8423 64 64 0 0 0 0 0 0 1 1 7 1 712 1460 65160 16 64256 64000 0 819568 16 32 18 696 0 0 47 0 0 0 0 1 1 7 1 1620 1460.0 1136.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 1.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 28.0 8766.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 36396 108345 0 108344 473 1184167500 107870 1184167500 0 0 730 1 1 192.168.101.1 22 46160 0 46160 37011 332976 9147 334632 46 1656 0 1 1 1565373610509.0 1565373947218.6147 336709.615 31.792 41.134 336675.122 336643.838 31.566 31.803 1 1 0 0 0 0 0 0.05418200000000001 0.002 50.04 0.555075 36112 63 63 45.85759 30.262 133.517 10.447711 8547 64 64 0 0 0 0 0 0 1 1 7 1 850 1460 65160 16 64256 64128 0 602368 16 32 35 657 0 0 38 0 0 0 0 1 1 7 1 1527 1460.0 1100.0 28.0 2359680.0 64128.0 0.0 1172.0 28.0 32.0 0.0 45.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 9101.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 36834 110793 0 110792 451 1181125484 110340 1181125484 0 0 844 1 1 192.168.101.1 22 52889 0 52889 42638 372576 10249 374628 57 2052 0 1 1 1565373962973.089 1565374296343.922 333370.833 31.969 39.889 333335.889 333304.596 31.647 31.981 1 1 0 0 0 0 0 0.047448000000000004 0.002 42.408 0.389705 41657 63 63 43.711878999999996 30.167 137.862 9.952913 9665 64 64 0 0 0 0 0 0 1 1 7 1 1021 1460 65160 16 64256 64000 0 763096 16 32 61 726 0 0 57 0 0 0 0 1 1 7 1 1789 1460.0 1136.0 28.0 3145728.0 64128.0 0.0 1244.0 28.0 32.0 1.0 55.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 39.0 10192.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37286 98517 0 98516 332 1091725987 98183 1091725988 1 1 734 1 1 192.168.101.1 22 45168 0 45168 36797 305580 8369 306876 36 1296 0 1 1 1565374310089.859 1565374623694.4907 313604.632 31.449 40.665 313571.089 313539.972 31.191 31.46 1 1 0 0 0 0 0 0.052555 0.002 47.208 0.636857 35877 63 63 45.475393 30.132 75.017 10.421414 7952 64 64 0 0 0 0 0 0 1 1 7 1 489 1460 65160 16 64256 64128 0 693592 16 32 0 683 0 0 52 0 0 0 0 1 1 7 1 1543 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1172.0 28.0 32.0 1.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 32.0 8333.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37716 110198 0 110197 303 1201262343 109893 1201262344 1 1 988 1 1 192.168.101.1 22 54171 0 54171 44608 348852 9561 350508 45 1656 0 1 1 1565374639743.1802 1565374997629.2588 357886.079 31.791 39.651 357852.383 357821.024 31.579 31.801 1 1 0 0 0 0 0 0.050516000000000005 0.002 59.712 0.537138 43506 63 63 44.421116 30.077 75.448 10.379531 9163 64 64 0 0 0 0 0 0 1 1 7 1 780 1460 65160 16 64256 64000 0 641464 16 32 60 861 0 0 68 0 0 0 0 1 1 7 1 1985 1460.0 1100.0 28.0 2067328.0 64128.0 0.0 1208.0 28.0 32.0 2.0 43.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 43.0 9516.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
