#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 47784 68523 0 68522 268 1066528133 68253 1066529584 2 1451 1532 1 1 192.168.101.1 22 42469 0 42469 34233 296328 8234 299676 91 3348 0 1 1 1565533889088.837 1565534375737.4873 486648.65 31.168 38.461 486614.3 486583.166 30.903 31.177 1 1 0 0 0 0 0 0.079348 0.002 61.173 1.4059139999999999 33050 63 63 53.41046899999999 30.276 136.61 11.306972 7905 64 64 0 0 0 0 0 0 1 1 7 1 613 1460 65160 12 64256 64128 0 393856 12 32 50 967 0 0 513 0 4 0 0 1 1 7 1 2387 1460.0 1080.0 28.0 1136768.0 64128.0 0.0 1080.0 28.0 32.0 10.0 80.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 8143.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48544 72330 0 72329 281 1129513315 72047 1129516212 3 2897 1882 1 1 192.168.101.1 22 45228 0 45228 36524 315264 8701 318072 75 2809 0 1 2 1565534390238.207 1565534950369.0408 560130.834 31.672 39.472 559846.113 559814.994 31.404 31.681 1 1 0 0 0 0 0 0.09864099999999999 0.002 61.791 1.653244 35216 63 63 54.474796999999995 30.222 144.473 11.31362 8371 64 64 0 0 0 0 0 0 1 1 7 1 553 1460 65160 16 64256 64128 0 351864 16 32 83 1093 0 0 697 0 12 0 0 1 1 7 1 2812 1460.0 1100.0 28.0 1132416.0 64128.0 0.0 1136.0 28.0 32.0 8.0 66.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 8627.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 49420 79620 0 79619 340 1234486116 79278 1234496252 7 10136 1958 1 1 192.168.101.1 22 49345 0 49345 39817 344028 9526 347952 108 3924 0 1 1 1565534966038.099 1565535547853.3147 581815.216 31.503 39.084 581782.046 581750.747 31.297 31.511 1 1 0 0 0 0 0 0.103487 0.002 62.626 1.751261 38393 63 63 53.659498 30.308 155.766 11.539381 9098 64 64 0 0 0 0 0 0 1 1 7 1 814 1460 65160 16 64256 64000 0 406888 16 32 120 1188 0 0 618 0 39 0 0 1 1 7 1 3024 1460.0 1100.0 28.0 1230336.0 64128.0 0.0 1136.0 28.0 32.0 13.0 96.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 9418.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50334 72064 0 72063 280 1083325282 71782 1083332524 6 7242 1571 1 1 192.168.101.1 22 41613 0 41613 33270 302304 8341 304752 68 2448 0 1 1 1565535561437.5068 1565536040715.122 479277.615 31.266 38.881 479243.553 479212.133 31.116 31.274 1 1 0 0 0 0 0 0.09435199999999999 0.002 63.258 1.6075469999999998 32106 63 63 53.38989399999999 30.274 140.618 11.314536 7998 64 64 0 0 0 0 0 0 1 1 7 1 478 1460 65160 16 64256 64128 0 456120 16 32 86 1035 0 0 441 0 15 0 0 1 1 7 1 2419 1460.0 1100.0 28.0 1522688.0 64128.0 0.0 1172.0 28.0 32.0 3.0 65.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 26.0 8273.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51068 73606 0 73605 302 1150509316 73302 1150522348 9 13032 1944 1 1 192.168.101.1 22 46458 0 46458 37585 321168 8871 324300 87 3132 0 1 1 1565536055689.065 1565536639594.309 583905.244 31.795 39.071 583871.307 583786.747 31.617 31.803 1 1 0 0 0 0 0 0.10965899999999999 0.002 63.637 1.8682830000000001 36177 63 63 54.664657 30.231 157.385 11.425138 8518 64 64 0 0 0 0 0 0 1 1 7 1 635 1460 65160 16 64256 64128 0 534312 16 32 128 1096 0 0 687 0 42 0 0 1 1 7 1 2938 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 11.0 76.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 8784.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51970 75104 0 75103 310 1209292644 74792 1209295540 2 2896 1766 1 1 192.168.101.1 22 45502 0 45502 36178 337152 9322 340680 97 3528 0 1 1 1565536654621.5327 1565537208984.6882 554363.155 31.688 39.153 554329.437 554298.116 31.476 31.697 1 1 0 0 0 0 0 0.094456 0.002 63.667 1.6536799999999998 34829 63 63 54.378362 30.245 139.714 10.921252 8925 64 64 0 0 0 0 0 0 1 1 7 1 713 1460 65160 16 64256 64128 0 477840 16 32 58 1054 0 0 654 0 2 0 0 1 1 7 1 2752 1460.0 1100.0 28.0 1973760.0 64128.0 0.0 1100.0 28.0 32.0 9.0 88.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 9225.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52812 65067 0 65066 304 1049732486 64761 1049736832 4 4346 1519 1 1 192.168.101.1 22 39200 0 39200 31105 291792 8093 294564 76 2772 0 1 1 1565537221800.9253 1565537709990.617 488189.692 31.696 39.031 488156.22 488125.205 31.397 31.705 1 1 0 0 0 0 0 0.089418 0.002 64.055 1.648534 30005 63 63 54.437759 30.277 138.586 10.881033 7743 64 64 0 0 0 0 0 0 1 1 7 1 473 1460 65160 16 64256 64128 0 409784 16 32 94 853 0 0 567 0 9 0 0 1 1 7 1 2318 1460.0 1080.0 28.0 1360896.0 64128.0 0.0 1080.0 28.0 32.0 7.0 68.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 8017.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 53606 71338 0 71337 275 1158905698 71061 1158911492 5 5794 1558 1 1 192.168.101.1 22 43059 0 43059 34118 322968 8939 326352 93 3384 0 1 1 1565537724331.688 1565538242077.4749 517745.787 31.635 39.485 517712.326 517681.116 31.481 31.645 1 1 0 0 0 0 0 0.076547 0.002 63.827 1.4399540000000002 32917 63 63 54.056810999999996 30.278 140.669 10.812553 8562 64 64 0 0 0 0 0 0 1 1 7 1 669 1460 65160 16 64256 64128 0 398200 16 32 69 979 0 0 498 0 17 0 0 1 1 7 1 2495 1460.0 1100.0 28.0 1337088.0 43904.0 0.0 1136.0 28.0 32.0 11.0 82.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 8846.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 54448 77487 0 77486 325 1192497857 77160 1192505100 6 7243 1844 1 1 192.168.101.1 22 46812 0 46812 37646 333084 9164 335928 78 2844 0 1 1 1565538257379.6687 1565538814021.264 556641.595 31.777 39.216 556607.774 556576.507 31.668 31.786 1 1 0 0 0 0 0 0.091271 0.002 62.131 1.6425049999999999 36309 63 63 53.625066000000004 30.251 143.341 11.358 8801 64 64 0 0 0 0 0 0 1 1 7 1 559 1460 65160 16 64256 64128 0 528520 16 32 66 1110 0 0 651 0 23 0 0 1 1 7 1 2817 1460.0 1100.0 28.0 2413056.0 64128.0 0.0 1136.0 28.0 32.0 13.0 64.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 13.0 9086.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55338 78877 0 78876 318 1188298588 78557 1188307276 6 8688 1847 1 1 192.168.101.1 22 47618 0 47618 38448 331248 9168 334776 98 3528 0 1 1 1565538828788.7893 1565539391968.3237 563179.535 31.571 38.802 563145.916 563113.77 31.352 31.579 1 1 0 0 0 0 0 0.106276 0.002 63.685 1.8172700000000002 37083 63 63 53.601678 30.202 152.942 11.401181 8759 64 64 0 0 0 0 0 0 1 1 7 1 715 1460 65160 16 64256 64128 0 544448 16 32 92 1066 0 0 667 0 28 0 0 1 1 7 1 2861 1460.0 1100.0 28.0 2344832.0 64128.0 0.0 1136.0 28.0 32.0 11.0 87.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 9070.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
