#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 47416 7330 0 7329 24 92380544 7304 92380544 0 0 121 1 1 192.168.101.1 22 4162 0 4162 3436 28920 724 29064 4 144 0 1 1 1565479737960.621 1565479778738.7822 40778.161 30.882 38.472 40744.476 40713.14 30.612 30.892 1 1 0 0 0 0 0 0.09736399999999999 0.002 41.771 1.442855 3323 63 63 49.691748 30.46 78.032 11.373777 703 64 64 0 0 0 0 0 0 1 1 7 1 40 1460 65160 16 64256 64128 0 402544 16 32 15 89 0 0 17 0 0 0 0 1 1 7 1 201 1460.0 1080.0 28.0 1159040.0 64128.0 0.0 1080.0 28.0 32.0 1.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 720.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47490 8915 0 8914 26 104977288 8887 104977288 0 0 228 1 1 192.168.101.1 22 5208 0 5208 4384 32376 822 32628 7 252 0 1 1 1565479779562.457 1565479838021.4568 58459.0 30.767 38.577 58425.319 58394.127 30.506 30.778 1 1 0 0 0 0 0 0.09662899999999999 0.002 53.896 1.558889 4212 63 63 51.567357 30.372 137.401 12.13739 792 64 64 0 0 0 0 0 0 1 1 7 1 30 1460 65160 16 64256 64128 0 280912 16 32 53 150 0 0 25 0 0 0 0 1 1 7 1 352 1460.0 1080.0 28.0 1328256.0 64128.0 0.0 1080.0 28.0 32.0 3.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 815.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47584 7908 0 7907 25 83982720 7881 83984168 1 1448 156 1 1 192.168.101.1 22 4370 0 4370 3706 26616 662 26868 7 252 0 1 1 1565479838877.375 1565479880774.9502 41897.575 30.878 38.888 41862.848 41831.653 30.559 30.889 1 1 0 0 0 0 0 0.091043 0.003 43.18 1.427283 3572 63 63 49.395069 30.367 134.034 11.829051 636 64 64 0 0 0 0 0 0 1 1 7 1 72 1460 65160 16 64256 64128 0 364896 16 32 16 111 0 0 20 0 10 0 0 1 1 7 1 258 1460.0 1080.0 28.0 1716992.0 64128.0 0.0 1080.0 28.0 32.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 25.0 655.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47642 6761 0 6760 32 104977288 6727 104977288 0 0 153 1 1 192.168.101.1 22 4166 0 4166 3345 32376 819 32520 4 144 0 1 1 1565479881828.024 1565479936991.636 55163.612 31.191 39.519 55128.386 55093.974 30.891 31.202 1 1 0 0 0 0 0 0.16126600000000002 0.003 58.201 2.273241 3219 63 63 55.525405000000006 30.408 137.246 11.184626 801 64 64 0 0 0 0 0 0 1 1 7 1 60 1460 65160 16 64256 64128 0 289600 16 32 28 62 0 0 63 0 0 0 0 1 1 7 1 234 1460.0 1080.0 28.0 972032.0 64128.0 0.0 1080.0 28.0 32.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 815.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47736 9470 0 9469 34 109176200 9434 109179096 2 2896 224 1 1 192.168.101.1 22 5476 0 5476 4613 33528 861 34032 14 504 0 1 1 1565479938285.0725 1565480001310.414 63025.341 31.116 39.393 62991.382 62960.216 30.839 31.127 1 1 0 0 0 0 0 0.081439 0.002 42.763 1.278563 4409 63 63 52.275496999999994 30.413 136.915 12.175567 817 64 64 0 0 0 0 0 0 1 1 7 1 82 1460 65160 16 64256 64128 0 304080 16 32 54 137 0 0 28 0 7 0 0 1 1 7 1 377 1460.0 1080.0 28.0 1288192.0 64128.0 0.0 1080.0 28.0 32.0 2.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 847.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47834 7903 0 7902 26 92380544 7875 92380544 0 0 139 1 1 192.168.101.1 22 4346 0 4346 3617 28920 727 29208 8 288 0 1 1 1565480002198.072 1565480046776.5422 44578.47 30.926 39.022 44543.657 44512.573 30.607 30.937 1 1 0 0 0 0 0 0.094942 0.002 50.348 1.505309 3459 63 63 51.474585 30.407 134.55 11.652486 699 64 64 0 0 0 0 0 0 1 1 7 1 56 1460 65160 16 64256 64128 0 403992 16 32 27 99 0 0 13 0 0 0 0 1 1 7 1 254 1460.0 1080.0 28.0 2001920.0 64128.0 0.0 1080.0 28.0 32.0 2.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 719.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47908 8730 0 8729 21 96579456 8707 96579456 0 0 192 1 1 192.168.101.1 22 4824 0 4824 4063 30072 759 30356 8 284 0 1 1 1565480047686.755 1565480107016.703 59329.948 31.125 39.396 59295.654 59264.441 30.912 31.137 1 1 0 0 0 0 0 0.125112 0.002 54.617 1.927509 3894 63 63 52.977959999999996 30.426 134.897 10.519683 735 64 64 0 0 0 0 0 0 1 1 7 1 27 1460 65160 16 64256 64128 0 178104 16 32 28 111 0 0 53 0 0 0 0 1 1 7 1 304 1460.0 1080.0 28.0 798464.0 64128.0 0.0 1112.0 28.0 1112.0 4.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 751.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48006 7470 0 7469 24 83982720 7444 83982720 0 0 121 1 1 192.168.101.1 22 3558 0 3558 2894 26616 662 27608 7 992 0 1 1 1565480107861.645 1565480139064.7163 31203.071 31.036 40.059 31167.922 31136.546 30.783 31.045 1 1 0 0 0 0 0 0.084979 0.002 41.786 1.377298 2813 63 63 50.51794 30.421 72.667 9.867032 634 64 64 0 0 0 0 0 0 1 1 7 1 55 1460 65160 16 64256 63360 0 289600 16 32 0 109 0 0 12 0 0 0 0 1 1 7 1 184 1460.0 1080.0 28.0 880128.0 64128.0 0.0 1080.0 28.0 32.0 1.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 655.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48056 7740 0 7739 29 92380544 7709 92381992 1 1448 166 1 1 192.168.101.1 22 4111 0 4111 3386 28920 723 29064 4 144 0 1 1 1565480139951.272 1565480186707.4268 46756.155 30.944 39.316 46720.732 46689.517 30.698 30.954 1 1 0 0 0 0 0 0.153583 0.002 58.633 2.293502 3265 63 63 52.81828 30.22 77.446 11.395431 706 64 64 0 0 0 0 0 0 1 1 7 1 28 1460 65160 16 64256 64128 0 178104 16 32 0 110 0 0 50 0 7 0 0 1 1 7 1 258 1460.0 1080.0 28.0 1165056.0 64128.0 0.0 1080.0 28.0 32.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 719.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48132 7594 0 7593 30 83982720 7562 83982720 0 0 173 1 1 192.168.101.1 22 4219 0 4219 3558 26616 659 26796 4 180 0 1 1 1565480187554.226 1565480233326.829 45772.603 30.71 38.881 45737.613 45706.344 30.37 30.721 1 1 0 0 0 0 0 0.118092 0.002 54.644 1.865377 3420 63 63 54.217893999999994 30.343 137.171 12.372683 636 64 64 0 0 0 0 0 0 1 1 7 1 24 1460 65160 16 64256 64128 0 247608 16 32 9 96 0 0 68 0 0 0 0 1 1 7 1 272 1460.0 1080.0 28.0 1141248.0 64128.0 0.0 1080.0 28.0 32.0 1.0 3.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 655.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
