#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 34972 71402 0 71401 74 1164377066 71326 1164377068 1 2 0 1 1 192.168.101.1 22 38084 0 38084 27950 372828 10132 372828 0 0 0 1 1 1565243367786.4578 1565243465392.1548 97605.697 31.688 40.123 97570.33 97539.052 31.47 31.699 1 1 0 0 0 0 0 0.052601999999999996 0.002 43.024 0.44008800000000003 28355 63 63 48.048395 29.968 76.173 2.933888 10065 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 167812 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1718.0 10132.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35084 85658 0 85657 45 1223226598 85611 1223226600 1 2 0 1 1 192.168.101.1 22 40942 0 40942 30297 388956 10643 388956 0 0 0 1 1 1565243482243.5947 1565243585487.7502 103244.155 31.849 40.106 103210.127 103178.828 31.557 31.86 1 1 0 0 0 0 0 0.045129 0.002 43.535 0.421054 30649 63 63 47.864461999999996 30.034 75.953 3.506671 10607 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 561824 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2587.0 10643.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35210 81001 0 81000 47 1248447645 80952 1248447648 1 3 0 1 1 192.168.101.1 22 41429 0 41429 30560 396840 10867 396840 0 0 0 1 1 1565243601200.027 1565243705829.1963 104629.169 31.581 39.594 104594.841 104563.45 31.289 31.593 1 1 0 0 0 0 0 0.043764 0.002 43.669 0.42153900000000005 30823 63 63 48.077911 29.954 76.193 2.887644 10828 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 400908 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 823.0 10867.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35338 84976 0 84975 42 1248447467 84932 1248447468 1 1 0 1 1 192.168.101.1 22 41481 0 41481 30607 396588 10872 396588 0 0 0 1 1 1565243722255.558 1565243828701.131 106445.573 31.728 39.58 106411.27 106379.68 31.516 31.738 1 1 0 0 0 0 0 0.040145 0.002 43.969 0.419901 30759 63 63 48.116862 29.946 78.676 2.742204 10838 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 475752 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1100.0 28.0 3145472.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1532.0 10872.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35472 81819 0 81818 46 1235836295 81771 1235836296 1 1 0 1 1 192.168.101.1 22 40876 0 40876 30117 392916 10757 392916 0 0 0 1 1 1565243845057.044 1565243948646.889 103589.845 31.634 39.514 103555.043 103523.768 31.375 31.645 1 1 0 0 0 0 0 0.040871 0.002 42.97 0.42734399999999995 30483 63 63 48.120923 29.967 76.988 2.828217 10716 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 311320 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1723.0 10757.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35598 66030 0 66029 30 1059287856 65998 1059287856 0 0 0 1 1 192.168.101.1 22 34265 0 34265 25042 335748 9221 335748 0 0 0 1 1 1565243962480.6565 1565244051323.1833 88842.526 31.546 40.139 88808.68 88777.32 31.327 31.557 1 1 0 0 0 0 0 0.042608999999999994 0.002 43.988 0.475074 25334 63 63 48.079326 29.972 78.768 2.886771 9198 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 273672 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1455.0 9221.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35704 79827 0 79826 36 1105528074 79789 1105528076 1 2 0 1 1 192.168.101.1 22 36911 0 36911 27284 351732 9625 351732 0 0 0 1 1 1565244066020.621 1565244158711.72 92691.099 31.559 38.936 92657.249 92624.741 31.302 31.57 1 1 0 0 0 0 0 0.040472 0.003 43.61 0.44245 27487 63 63 48.031220000000005 29.955 77.988 3.044931 9596 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 372136 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1727.0 9625.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35818 84109 0 84108 39 1219023113 84068 1219023116 1 3 0 1 1 192.168.101.1 22 40232 0 40232 29624 387624 10606 387624 0 0 0 1 1 1565244174981.099 1565244278440.2178 103459.119 31.378 39.538 103425.171 103392.772 31.257 31.39 1 1 0 0 0 0 0 0.040124 0.002 42.532 0.422879 29854 63 63 47.971711 30.014 78.795 3.260236 10570 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 463360 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1100.0 28.0 3145088.0 64128.0 0.0 1280.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1647.0 10606.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35948 80801 0 80800 42 1071898380 80757 1071898380 0 0 0 1 1 192.168.101.1 22 35562 0 35562 26235 340176 9325 340176 0 0 0 1 1 1565244292053.145 1565244382233.6108 90180.466 31.645 39.122 90146.03 90114.884 31.452 31.655 1 1 0 0 0 0 0 0.041989 0.002 43.051 0.448838 26518 63 63 47.783668 29.956 76.489 3.6904589999999997 9291 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 475176 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2430.0 9325.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 36060 77094 0 77093 51 1248447504 77041 1248447504 0 0 0 1 1 192.168.101.1 22 41279 0 41279 30415 396840 10862 396840 0 0 0 1 1 1565244398899.5093 1565244505159.4087 106259.9 31.524 38.918 106225.171 106194.006 31.209 31.534 1 1 0 0 0 0 0 0.038812 0.003 41.505 0.41539899999999996 30844 63 63 47.907488 29.975 77.219 3.4563589999999995 10814 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 445984 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1280.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2581.0 10862.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
