#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 56294 45087 0 45086 18 121902752 45067 121902752 0 0 0 1 1 192.168.101.1 22 14330 0 14330 13257 41664 1071 41664 0 0 0 1 1 1565239493702.7583 1565239496918.664 3215.906 30.959 38.533 3181.454 3150.424 30.697 30.971 1 1 0 0 0 0 0 0.037315 0.003 41.964 0.627087 13560 63 63 30.317631 29.937 77.885 2.202875 1061 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 303112 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7254.0 1071.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56304 35033 0 35032 19 100885116 35012 100885116 0 0 0 1 1 192.168.101.1 22 11685 0 11685 10795 35004 888 35004 0 0 0 1 1 1565239497856.585 1565239500729.12 2872.535 31.011 38.463 2838.197 2806.805 30.73 31.023 1 1 0 0 0 0 0 0.039317000000000005 0.002 41.674 0.683342 11039 63 63 30.374995000000002 29.927 77.539 2.586021 878 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 50680 16 64256 64128 0 334332 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5972.0 888.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56306 40572 0 40571 26 109292228 40544 109292228 0 0 0 1 1 192.168.101.1 22 9226 0 9226 8262 37668 962 37668 0 0 0 1 1 1565239501730.015 1565239504749.207 3019.192 30.947 38.89 2984.399 2953.123 30.672 30.958 1 1 0 0 0 0 0 0.047688999999999995 0.003 42.373 0.7894770000000001 8649 63 63 30.430348 29.932 77.535 2.534659 944 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 40544 16 64256 64128 0 258432 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6482.0 962.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56310 48416 0 48415 20 117699376 48394 117699376 0 0 0 1 1 192.168.101.1 22 16511 0 16511 15475 40404 1034 40404 0 0 0 1 1 1565239505798.8738 1565239508919.098 3120.224 30.877 41.296 3086.551 3055.445 30.679 30.889 1 1 0 0 0 0 0 0.03044 0.003 43.488 0.587907 15791 63 63 30.336145000000002 29.961 78.289 2.25581 1022 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 167136 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145088.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6977.0 1034.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56320 32142 0 32141 21 88274872 32119 88274872 0 0 0 1 1 192.168.101.1 22 10050 0 10050 9269 31152 779 31152 0 0 0 1 1 1565239509646.0122 1565239512357.6707 2711.659 31.071 39.385 2677.626 2646.263 30.764 31.083 1 1 0 0 0 0 0 0.040303 0.002 41.864 0.742097 9499 63 63 30.461222999999997 29.948 78.22 2.977314 766 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 46336 16 64256 64128 0 153488 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3144960.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5194.0 779.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56328 30080 0 30079 18 88274728 30060 88274728 0 0 0 1 1 192.168.101.1 22 11358 0 11358 10576 31116 780 31116 0 0 0 1 1 1565239513050.5627 1565239515721.45 2670.887 30.928 38.948 2636.932 2605.751 30.692 30.939 1 1 0 0 0 0 0 0.036444 0.002 41.918 0.702329 10780 63 63 30.464623 29.937 78.589 3.14043 771 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 244712 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5185.0 780.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56338 44232 0 44231 18 121902176 44212 121902176 0 0 0 1 1 192.168.101.1 22 17028 0 17028 15955 41736 1071 41736 0 0 0 1 1 1565239516763.57 1565239519952.5474 3188.977 31.107 38.912 3155.667 3124.391 30.761 31.118 1 1 0 0 0 0 0 0.031424 0.002 41.82 0.565859 16241 63 63 30.323171000000002 29.924 76.924 2.148498 1062 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 39096 16 64256 64128 0 297028 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7276.0 1071.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56340 44090 0 44089 21 117699088 44067 117699088 0 0 0 1 1 192.168.101.1 22 14329 0 14329 13290 40404 1037 40404 0 0 0 1 1 1565239520975.0867 1565239524096.552 3121.465 30.855 38.623 3086.903 3055.671 30.591 30.866 1 1 0 0 0 0 0 0.036687 0.002 41.596 0.6233350000000001 13589 63 63 30.369104999999998 29.929 77.656 2.429761 1023 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 351864 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6955.0 1037.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56342 52063 0 52062 20 126106308 52041 126106308 0 0 0 1 1 192.168.101.1 22 14460 0 14460 13350 42924 1108 42924 0 0 0 1 1 1565239525163.891 1565239528416.2717 3252.381 31.046 38.841 3217.512 3186.515 30.74 31.056 1 1 0 0 0 0 0 0.032983 0.002 41.382 0.616093 13675 63 63 30.371975 29.965 76.165 2.303137 1095 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 438504 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7508.0 1108.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56348 28629 0 28628 17 84071244 28610 84071244 0 0 0 1 1 192.168.101.1 22 6061 0 6061 5316 29856 743 29856 0 0 0 1 1 1565239529190.291 1565239531833.097 2642.806 31.117 38.714 2609.126 2577.822 30.668 31.128 1 1 0 0 0 0 0 0.06754299999999999 0.002 43.522 1.001522 5467 63 63 30.445249 29.934 77.153 2.861208 734 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 746408 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4945.0 743.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
