#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 56556 84987 0 84986 4093 1172575856 80892 1185463964 4016 12888108 17351 1 1 192.168.101.1 22 58838 0 58838 48526 385320 10310 385356 1 36 0 1 1 1565905784188.7698 1565905883859.976 99671.206 41.521 49.517 99625.762 99594.51 41.299 41.529 1 1 0 0 0 0 0 0.039184 0.002 45.734 0.45470200000000005 29133 63 63 54.853786 30.097 92.432 7.993378999999999 7190 64 64 0 0 0 0 0 0 1 1 7 1 14703 1460 65160 16 64256 63488 0 1182240 16 32 187 10060 2674 0 8446 0 0 0 0 1 1 7 1 29878 1460.0 2896.0 28.0 3145728.0 55552.0 0.0 3888.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2014.0 10307.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56728 78305 0 78304 4212 1230599213 74091 1235840524 1556 5241311 15678 1 1 192.168.101.1 22 56084 0 56084 45317 392484 10765 392772 4 288 0 1 1 1565905900138.807 1565906004604.534 104465.727 42.037 49.917 104411.806 104370.574 41.902 42.046 1 1 0 0 0 0 0 0.038776 0.002 42.417 0.447313 27835 63 63 54.964298 30.095 100.28 7.724666 7460 64 64 0 0 0 0 0 0 1 1 7 1 10726 1460 65160 16 64256 63744 0 1182240 16 32 5 9396 3310 0 4523 0 0 0 0 1 1 7 1 25631 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1280.0 1.0 32.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 495.0 10761.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56942 79814 0 79813 3835 1150925180 75977 1156008540 1592 5083360 15430 1 1 192.168.101.1 22 53669 0 53669 43597 367500 10070 367716 3 216 0 1 1 1565906019642.1567 1565906116807.519 97165.362 41.546 49.651 97130.499 97089.143 41.546 41.575 1 1 0 0 0 0 0 0.038277 0.002 41.429 0.377461 27544 63 63 55.204223999999996 30.204 105.102 7.681912 7064 64 64 0 0 0 0 0 0 1 1 7 1 9554 1460 65160 16 64256 63872 0 1182240 16 32 82 10062 2895 0 3983 0 0 0 0 1 1 7 1 24720 1460.0 1100.0 28.0 3145728.0 54272.0 0.0 1316.0 28.0 32.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 961.0 10067.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57116 75877 0 75876 3958 1184863990 71917 1189661548 1458 4797558 14906 1 1 192.168.101.1 22 53427 0 53427 43046 379236 10379 379416 2 180 0 1 1 1565906132856.1438 1565906233771.694 100915.55 51.85 59.879 100871.872 100830.632 51.712 51.858 1 1 0 0 0 0 0 0.050054 0.002 43.812 0.472038 27184 63 63 54.91184499999999 30.038 103.829 7.791188000000001 7274 64 64 0 0 0 0 0 0 1 1 7 1 9277 1460 65160 16 64256 63872 0 1165820 16 32 0 9414 2638 0 4312 0 0 0 0 1 1 7 1 23892 1460.0 1100.0 28.0 3145728.0 48896.0 0.0 1352.0 28.0 32.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 999.0 10377.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57308 80076 0 80075 3907 1147644939 76167 1155982188 2675 8337249 15330 1 1 192.168.101.1 22 53838 0 53838 43766 368364 10070 368400 1 36 0 1 1 1565906248720.559 1565906347516.5967 98796.038 51.844 59.905 98762.143 98731.124 51.654 51.857 1 1 0 0 0 0 0 0.039182999999999996 0.002 42.672 0.47067299999999995 26581 63 63 54.836768000000006 30.023 97.581 7.852088 7063 64 64 0 0 0 0 0 0 1 1 7 1 12446 1460 65160 16 64256 63744 0 1215080 16 32 0 10060 2745 0 5200 0 0 0 0 1 1 7 1 25858 1460.0 1136.0 28.0 3145728.0 64128.0 0.0 1316.0 1.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1488.0 10069.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57502 81987 0 81986 4140 1209133367 77845 1214822996 1771 5689629 17329 1 1 192.168.101.1 22 57702 0 57702 47125 386472 10575 386544 1 72 0 1 1 1565906362668.7827 1565906465878.0847 103209.302 41.931 50.619 103168.583 103125.573 41.737 41.943 1 1 0 0 0 0 0 0.041999 0.002 42.956 0.367135 29233 63 63 54.952114 30.078 83.645 7.922509 7380 64 64 0 0 0 0 0 0 1 1 7 1 10916 1460 65160 16 206848 64000 0 1149400 16 32 0 11536 2875 0 4689 0 0 0 0 1 1 7 1 27777 1460.0 1100.0 28.0 3145728.0 48768.0 0.0 1280.0 28.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1372.0 10574.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57696 81991 0 81990 4077 1226509315 77912 1231694780 1706 5185465 16148 1 1 192.168.101.1 22 56511 0 56511 45786 391800 10723 392124 3 324 0 1 1 1565906481875.3867 1565906585412.2527 103536.866 31.666 40.513 103492.431 103441.095 31.588 31.675 1 1 0 0 0 0 0 0.03673 0.002 41.829 0.43547299999999994 28786 63 63 55.238820999999994 30.038 83.56 7.64774 7575 64 64 0 0 0 0 0 0 1 1 7 1 10037 1460 65160 16 64256 63616 0 1165820 16 32 0 10819 3180 0 3855 0 0 0 0 1 1 7 1 25831 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1280.0 28.0 32.0 0.0 9.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1066.0 10720.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57890 66527 0 66526 3624 1085096366 62901 1088728764 1111 3632398 12607 1 1 192.168.101.1 22 47761 0 47761 38273 346404 9486 346440 1 36 0 1 1 1565906599742.432 1565906691253.1802 91510.748 31.552 40.184 91469.947 91428.591 31.552 31.58 1 1 0 0 0 0 0 0.045716 0.002 42.886 0.476997 23959 63 63 55.363293000000006 30.166 93.431 7.678075 6670 64 64 0 0 0 0 0 0 1 1 7 1 8151 1460 65160 16 64256 63488 0 1215080 16 32 44 8477 2632 0 2565 0 0 0 0 1 1 7 1 20600 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1316.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 736.0 9485.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58064 66953 0 66952 3577 1044219226 63374 1050891528 2267 6672302 12405 1 1 192.168.101.1 22 47444 0 47444 38293 333084 9149 333192 2 108 0 1 1 1565906705227.0828 1565906794290.245 89063.162 41.537 49.517 89019.06 88977.865 41.328 41.547 1 1 0 0 0 0 0 0.03545 0.002 43.39 0.41474300000000003 22998 63 63 55.000329 30.045 74.686 7.706136999999999 6362 64 64 0 0 0 0 0 0 1 1 7 1 10339 1460 65160 16 64256 63744 0 1198660 16 32 11 7739 2533 0 4389 0 0 0 0 1 1 7 1 21501 1460.0 1080.0 28.0 3145728.0 63872.0 0.0 1080.0 1.0 32.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1034.0 9147.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58234 67343 0 67342 3597 1077036659 63744 1080320420 979 3283761 12748 1 1 192.168.101.1 22 47701 0 47701 38279 343992 9420 344028 1 36 0 1 1 1565906808087.306 1565906898977.472 90890.166 32.396 48.155 90846.4 90815.206 31.785 32.407 1 1 0 0 0 0 0 0.041406 0.002 42.195 0.48714700000000005 24206 63 63 55.02585799999999 30.004 83.203 7.501953 6610 64 64 0 0 0 0 0 0 1 1 7 1 7636 1460 65160 16 64256 63360 0 1249624 16 32 0 8475 2762 0 2490 0 0 0 0 1 1 7 1 20459 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1388.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 652.0 9419.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
