#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 46286 40356 0 40355 764 98507163 39590 117702704 6040 19195541 12504 1 1 192.168.101.1 22 21620 0 21620 20583 40296 1035 40368 2 72 0 1 1 1565900747465.6357 1565900751816.7297 4351.094 31.253 40.205 4307.537 4256.347 31.253 31.304 1 1 0 0 0 0 0 0.021808 0.002 45.953 0.725405 11490 63 63 38.09891 30.059 73.452 4.31668 601 64 64 0 0 0 0 0 0 1 1 7 1 14179 1460 63712 16 64256 63872 0 1264340 16 32 0 2759 588 0 15197 0 0 0 0 1 1 7 1 20972 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 3452.0 1033.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46302 39822 0 39821 723 91072786 39097 109303048 6177 18230262 11615 1 1 192.168.101.1 22 20390 0 20390 19422 37776 966 37956 3 180 0 1 1 1565900757239.789 1565900761367.168 4127.379 51.361 49.347 4083.808 4042.691 40.962 49.347 1 1 0 0 32768 0 0 0.017763 0.002 43.406 0.592757 10777 63 63 37.837375 30.068 91.535 4.789275 566 64 64 0 0 0 0 0 0 1 1 7 1 15676 1460 59368 16 64256 63872 0 1050880 16 32 0 2464 398 0 14930 0 0 0 0 1 1 7 1 19710 1460.0 1080.0 28.0 3145728.0 48512.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 3300.0 963.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46318 44174 0 44173 846 99788116 43326 126145980 8652 26357864 11276 1 1 192.168.101.1 22 23166 0 23166 22053 43104 1111 43140 1 36 0 1 1 1565900767412.896 1565900771939.3752 4526.479 51.383 59.464 4482.479 4441.232 51.113 51.394 1 1 0 0 0 0 0 0.017082 0.002 40.772 0.571417 10643 63 63 37.802365 30.037 81.349 4.447208 650 64 64 0 0 0 0 0 0 1 1 7 1 22349 1460 65160 16 64256 63872 0 1231500 16 32 0 2397 169 0 17362 0 0 0 0 1 1 7 1 22430 1460.0 1080.0 28.0 3145728.0 49408.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 3845.0 1110.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46346 37874 0 37873 770 89547728 37102 113503528 7538 23955800 8898 1 1 192.168.101.1 22 19340 0 19340 18338 39000 1000 39036 1 36 0 1 1 1565900778677.524 1565900782905.832 4228.308 41.003 48.969 4184.203 4153.051 40.711 41.015 1 1 0 0 0 0 0 0.031160000000000004 0.002 43.749 0.8412430000000001 8264 63 63 37.821936 30.036 79.379 4.899686 605 64 64 0 0 0 0 0 0 1 1 7 1 18738 1460 43440 16 64256 63872 0 1248144 16 32 0 2098 91 0 14247 0 0 0 0 1 1 7 1 18524 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 3584.0 999.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46348 36504 0 36503 709 84355125 35793 109324360 7851 24969235 8055 1 1 192.168.101.1 22 19132 0 19132 18167 37668 963 37740 2 72 0 1 1 1565900783900.6658 1565900787998.86 4098.194 31.01 38.893 4054.376 4003.159 31.01 31.035 1 1 0 0 0 0 0 0.032194 0.002 42.757 0.893863 7746 63 63 37.678302 30.017 97.014 5.114174 580 64 64 0 0 0 0 0 0 1 1 7 1 15982 1460 65160 16 64256 63744 0 1182240 16 32 0 1899 103 0 13904 0 0 0 0 1 1 7 1 18340 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 389.0 961.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46376 42676 0 42675 819 100579020 41855 126116984 8159 25537964 10336 1 1 192.168.101.1 22 21794 0 21794 20683 42996 1109 43068 1 72 0 1 1 1565900794040.361 1565900798613.6602 4573.299 40.965 49.099 4529.383 4488.155 40.965 40.989 1 1 0 0 0 0 0 0.022488 0.002 42.213 0.637717 9609 63 63 37.905775 30.009 95.466 4.679582 648 64 64 0 0 0 0 0 0 1 1 7 1 20561 1460 65160 16 64256 63872 0 1264340 16 32 0 2692 321 0 15482 0 0 0 0 1 1 7 1 20964 1460.0 1080.0 28.0 3145728.0 49792.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 3971.0 1108.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46378 38783 0 38782 702 91481704 38079 109315008 5816 17833304 10740 1 1 192.168.101.1 22 19118 0 19118 18151 37740 965 37920 2 180 0 1 1 1565900799412.494 1565900803569.484 4156.99 31.107 39.027 4099.982 4048.709 30.822 31.118 1 1 0 0 0 0 0 0.024833 0.002 43.146 0.768081 9788 63 63 37.560818 30.022 93.315 5.294759 564 64 64 0 0 0 0 0 0 1 1 7 1 14403 1460 65160 16 64256 64000 0 1247920 16 32 0 2072 388 0 14096 0 0 0 0 1 1 7 1 18516 1460.0 1080.0 28.0 3145728.0 57984.0 0.0 1080.0 28.0 32.0 0.0 3.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 3437.0 963.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46434 44830 0 44829 853 99074428 43975 126120024 8852 27045596 10243 1 1 192.168.101.1 22 22133 0 22133 21022 42924 1109 43176 3 252 0 1 1 1565900819054.755 1565900823596.903 4542.148 40.954 49.096 4507.848 4456.548 40.675 40.967 1 1 0 0 0 0 0 0.029279000000000003 0.002 49.12 0.847791 9362 63 63 37.668129 30.012 80.963 4.764578 639 64 64 0 0 0 0 0 0 1 1 7 1 21531 1460 63712 16 64256 63872 0 1264340 16 32 0 2237 150 0 16708 0 0 0 0 1 1 7 1 21372 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 3980.0 1106.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46440 43609 0 43608 755 99329992 42852 122028340 7372 22698348 11414 1 1 192.168.101.1 22 21880 0 21880 20805 41628 1073 41664 1 36 0 1 1 1565900829712.0527 1565900834181.824 4469.771 41.243 49.691 4434.368 4392.706 41.243 41.263 1 1 0 0 0 0 0 0.024604 0.002 42.331 0.731313 10620 63 63 37.873331 30.037 82.321 4.800679 659 64 64 0 0 0 0 0 0 1 1 7 1 15941 1460 65160 16 64256 63872 0 1182240 16 32 0 1707 338 0 16741 0 0 0 0 1 1 7 1 20941 1460.0 1080.0 28.0 3145728.0 57600.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 3794.0 1072.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46464 41367 0 41366 791 91240824 40574 117714288 8689 26473464 8952 1 1 192.168.101.1 22 20903 0 20903 19864 40296 1037 40404 2 108 0 1 1 1565900835371.829 1565900839769.983 4398.154 51.262 59.436 4354.509 4303.481 50.969 51.272 1 1 0 0 0 0 0 0.027696 0.002 48.853 0.8452290000000001 8415 63 63 38.267167 30.013 83.49 4.7489419999999996 587 64 64 0 0 0 0 0 0 1 1 7 1 21094 1460 57920 16 64256 63744 0 1165820 16 32 0 1937 134 0 15570 0 0 0 0 1 1 7 1 20120 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 3714.0 1035.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
