#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 59776 37782 0 37781 202 1214820167 37578 1214820172 2 5 0 1 1 192.168.101.1 22 74738 0 74738 64160 386292.0 10576.0 386292.0 0.0 0.0 0.0 1.0 1.0 1565712149326.5447 1565712251174.5667 101848.022 33.174 76.329 101812.786 101812.163 32.872 64.48 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.443423 29.991 73.484 0.698891 11795.0 64.0 64.0 8.540047999999999 0.008 43.271 1.726641 10497.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 119.0 1460.0 47784.0 16.0 64256.0 64128.0 0.0 1230516.0 16.0 32.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1533.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 157.0 10576.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59946 38735 0 38734 281 1235837628 38452 1235837628 0 0 0 1 1 192.168.101.1 22 75305 0 75305 64551 392916.0 10752.0 392916.0 0.0 0.0 0.0 1.0 1.0 1565712266925.6802 1565712371187.383 104261.703 32.024 70.772 104227.742 104227.263 31.728 62.351 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.454962 30.031 71.361 0.68243 11905.0 64.0 64.0 8.137233 0.006 45.127 2.440692 10588.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 114.0 1460.0 53576.0 16.0 64256.0 64128.0 0.0 1319128.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1657.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 391.0 10752.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60116 36299 0 36298 209 1160174481 36088 1160174484 1 3 0 1 1 192.168.101.1 22 72143 0 72143 62039 368760.0 10102.0 368760.0 0.0 0.0 0.0 1.0 1.0 1565712386806.027 1565712484531.848 97725.821 32.354 70.968 97688.606 97686.812 32.038 63.026 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.471718 30.004 74.529 0.743373 10805.0 64.0 64.0 8.487237 0.006 45.361 1.874632 10006.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 104.0 1460.0 52128.0 16.0 64256.0 64128.0 0.0 1273984.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1872.0 1460.0 1100.0 28.0 3145728.0 59520.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 109.0 10102.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60286 34896 0 34895 206 1118139173 34688 1118139176 1 3 0 1 1 192.168.101.1 22 68746 0 68746 59016 356052.0 9728.0 356052.0 0.0 0.0 0.0 1.0 1.0 1565712499236.321 1565712592986.9148 93750.594 33.327 71.931 93713.187 93711.384 32.951 63.98 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.496475 30.128 73.443 0.7300439999999999 10518.0 64.0 64.0 8.482794 0.006 44.877 1.8035009999999998 9625.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 97.0 1460.0 49232.0 16.0 64256.0 64128.0 0.0 1221364.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1523.0 1460.0 1136.0 28.0 3145728.0 64128.0 0.0 1172.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 250.0 9728.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60440 38406 0 38405 270 1227430693 38134 1227430696 1 3 0 1 1 192.168.101.1 22 74326 0 74326 63638 389784.0 10686.0 389784.0 0.0 0.0 0.0 1.0 1.0 1565712609102.162 1565712712114.9587 103012.797 32.114 70.5 102977.187 102976.672 31.83 62.579 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.450905 30.082 72.517 0.6616380000000001 12869.0 64.0 64.0 7.307589999999999 0.004 44.42 2.898386 10525.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 106.0 1460.0 56472.0 16.0 64256.0 64000.0 0.0 1353764.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1654.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 240.0 10686.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60608 38703 0 38702 229 1244244919 38472 1244244920 1 1 0 1 1 192.168.101.1 22 77160 0 77160 66327 395544.0 10831.0 395544.0 0.0 0.0 0.0 1.0 1.0 1565712728526.227 1565712832824.376 104298.149 32.826 71.943 104262.74 104262.159 32.529 63.393 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.448401 30.085 78.202 0.733479 11671.0 64.0 64.0 8.552888000000001 0.005 47.702 1.7677610000000001 10730.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 119.0 1460.0 50680.0 16.0 64256.0 64000.0 0.0 1206572.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1660.0 1460.0 1100.0 28.0 3145728.0 59264.0 0.0 1100.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 228.0 10831.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60796 37375 0 37374 216 1202209571 37157 1202209576 2 5 0 1 1 192.168.101.1 22 73511 0 73511 63042 381900.0 10467.0 381900.0 0.0 0.0 0.0 1.0 1.0 1565712847999.7593 1565712948793.4 100793.641 32.761 71.234 100755.256 100753.831 32.372 63.246 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.452893 30.105 74.077 0.701706 11653.0 64.0 64.0 8.555261 0.004 44.753 1.781484 10373.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 111.0 1460.0 47784.0 16.0 64256.0 64128.0 0.0 1227904.0 16.0 32.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1506.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 113.0 10467.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60966 37930 0 37929 228 1214820133 37700 1214820136 1 3 0 1 1 192.168.101.1 22 73702 0 73702 63132 386328.0 10568.0 386328.0 0.0 0.0 0.0 1.0 1.0 1565712964778.519 1565713068663.918 103885.399 32.453 72.497 103849.6 103849.028 32.132 63.137 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.464160999999997 30.084 78.25 0.720188 12001.0 64.0 64.0 8.502543 0.007 47.256 1.9065990000000002 10455.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 105.0 1460.0 49232.0 16.0 64256.0 64128.0 0.0 1263848.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1694.0 1460.0 1136.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 251.0 10568.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 32904 34128 0 34127 218 1088714570 33908 1088714572 1 2 0 1 1 192.168.101.1 22 67092 0 67092 57612 346332.0 9478.0 346332.0 0.0 0.0 0.0 1.0 1.0 1565713082610.349 1565713174940.926 92330.577 32.21 72.059 92295.276 92294.814 31.85 62.703 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.446084999999997 29.987 74.225 0.750516 10130.0 64.0 64.0 8.492847 0.006 44.4 1.9602540000000002 9367.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 90.0 1460.0 52128.0 16.0 64256.0 64128.0 0.0 1268684.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1625.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 532.0 9478.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33074 38902 0 38901 273 1244244810 38627 1244244812 1 2 0 1 1 192.168.101.1 22 76756 0 76756 65927 398892.0 10827.0 398892.0 0.0 0.0 0.0 1.0 1.0 1565713193845.002 1565713299227.562 105382.56 32.683 72.127 105347.95 105347.381 32.367 63.238 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.517578999999998 30.068 71.648 0.819643 11883.0 64.0 64.0 8.453927 0.005 45.366 1.9549299999999998 10667.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 113.0 1460.0 50680.0 16.0 64256.0 64128.0 0.0 1294512.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1758.0 1460.0 3852.0 28.0 3145728.0 64128.0 0.0 3852.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 369.0 10827.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
