#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 50140 7622 0 7621 89 84039672 7531 84039672 0 0 0 1 1 192.168.101.1 22 3263 0 3263 2543 29136.0 718.0 29136.0 0.0 0.0 0.0 1.0 1.0 1565706965045.8533 1565706973953.9502 8908.097 31.06 69.437 8871.468 8870.875 30.73 61.769 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.815886 30.05 71.41 2.023647 1270.0 64.0 64.0 4.912042 0.006 47.614 9.606396 626.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 6.0 1460.0 43440.0 16.0 64256.0 64128.0 0.0 1158400.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 91.0 1460.0 1080.0 28.0 2834560.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 718.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50166 4573 0 4572 247 96682452 4324 96682452 0 0 0 1 1 192.168.101.1 22 2829 0 2829 1975 33744.0 852.0 33744.0 0.0 0.0 0.0 1.0 1.0 1565706974982.089 1565706980149.268 5167.179 31.109 70.576 5132.193 5131.47 30.785 61.791 1.0 1.0 0.0 0.0 0.0 0.0 0.0 31.139561999999998 30.143 74.328 3.003685 623.0 64.0 64.0 1.9696790000000002 0.006 47.24 5.54732 620.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 11.0 1460.0 41992.0 16.0 64256.0 64128.0 0.0 1129440.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 122.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 852.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50168 4519 0 4518 277 92478788 4240 92478788 0 0 0 1 1 192.168.101.1 22 2544 0 2544 1726 32412.0 816.0 32412.0 0.0 0.0 0.0 1.0 1.0 1565706981244.866 1565706986367.4607 5122.595 30.911 69.391 5088.694 5088.199 30.582 61.285 1.0 1.0 0.0 0.0 0.0 0.0 0.0 31.522237 30.305 72.255 3.545771 417.0 64.0 64.0 2.042019 0.004 46.749 6.153843 556.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 5.0 1460.0 37648.0 16.0 64256.0 64128.0 0.0 1061508.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 109.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 46.0 816.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50174 4583 0 4582 334 92478785 4247 92478788 1 3 0 1 1 192.168.101.1 22 2214 0 2214 1396 32412.0 816.0 32412.0 0.0 0.0 0.0 1.0 1.0 1565706987368.278 1565706992587.6467 5219.369 30.959 69.313 5186.058 5185.581 30.684 61.522 1.0 1.0 0.0 0.0 0.0 0.0 0.0 32.496303000000005 30.444 73.03 4.519622 247.0 64.0 64.0 3.828804 0.006 47.924 9.415044 503.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 6.0 1460.0 36200.0 16.0 64256.0 64128.0 0.0 1038216.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 99.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 15.0 816.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50196 5369 0 5368 116 117699916 5251 117699916 0 0 0 1 1 192.168.101.1 22 5211 0 5211 4177 40476.0 1032.0 40476.0 0.0 0.0 0.0 1.0 1.0 1565706993826.989 1565706999274.0198 5447.031 30.961 69.862 5413.014 5412.514 30.572 61.445 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.549936 29.972 73.586 2.014034 1395.0 64.0 64.0 1.2671219999999999 0.006 46.662 4.143259 919.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 10.0 1460.0 53576.0 16.0 64256.0 64128.0 0.0 1374444.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 249.0 1460.0 1080.0 28.0 3091200.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 507.0 1032.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50198 5116 0 5115 243 117699196 4871 117699196 0 0 0 1 1 192.168.101.1 22 3764 0 3764 2727 40296.0 1035.0 40296.0 0.0 0.0 0.0 1.0 1.0 1565707000582.171 1565707005787.8108 5205.64 31.182 69.342 5171.137 5170.661 30.807 61.565 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.871973999999998 30.088 71.464 2.38613 920.0 64.0 64.0 1.4025450000000002 0.004 46.519 4.375319 817.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 16.0 1460.0 50680.0 12.0 64256.0 64128.0 0.0 1315048.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 134.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 133.0 1035.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50218 3954 0 3953 196 88275232 3756 88275232 0 0 0 1 1 192.168.101.1 22 2927 0 2927 2146 31080.0 779.0 31080.0 0.0 0.0 0.0 1.0 1.0 1565707006642.902 1565707011062.739 4419.837 30.903 69.136 4385.152 4384.678 30.553 61.552 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.997062 30.069 74.542 2.885206 662.0 64.0 64.0 1.5252370000000002 0.005 46.775 4.825221 599.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 8.0 1460.0 43440.0 16.0 64256.0 64128.0 0.0 1155504.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 81.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 779.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50226 5235 0 5234 234 117700060 4999 117700060 0 0 0 1 1 192.168.101.1 22 3506 0 3506 2466 40440.0 1038.0 40440.0 0.0 0.0 0.0 1.0 1.0 1565707012286.999 1565707017566.3367 5279.338 31.042 69.189 5245.192 5244.685 30.689 61.501 1.0 1.0 0.0 0.0 0.0 0.0 0.0 31.078494 30.03 74.389 2.6870830000000003 783.0 64.0 64.0 1.7115619999999998 0.003 44.861 5.223927 809.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 8.0 1460.0 49232.0 16.0 64256.0 64128.0 0.0 1303464.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 158.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 493.0 1038.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50230 3801 0 3800 215 84071856 3584 84071856 0 0 0 1 1 192.168.101.1 22 2577 0 2577 1831 30144.0 744.0 30144.0 0.0 0.0 0.0 1.0 1.0 1565707018424.479 1565707022771.928 4347.449 31.161 69.448 4311.491 4311.043 30.893 61.707 1.0 1.0 0.0 0.0 0.0 0.0 0.0 31.208996000000003 30.094 72.868 3.110437 555.0 64.0 64.0 1.863229 0.003 40.237 5.535494 541.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 8.0 1460.0 39096.0 16.0 64256.0 64128.0 0.0 1081348.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 163.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 744.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50250 4292 0 4291 301 92478572 3989 92478572 0 0 0 1 1 192.168.101.1 22 2360 0 2360 1542 32412.0 816.0 32412.0 0.0 0.0 0.0 1.0 1.0 1565707023932.907 1565707028681.3608 4748.454 31.018 70.002 4714.839 4714.354 30.732 61.519 1.0 1.0 0.0 0.0 0.0 0.0 0.0 32.009914 30.39 71.813 3.936271 329.0 64.0 64.0 2.1786830000000004 0.004 47.566 6.712617999999999 540.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 7.0 1460.0 39096.0 16.0 64256.0 64128.0 0.0 1106424.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 123.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 124.0 816.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
