#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 58826 110140 0 110139 1157 1109707833 108981 1110489756 158 781923 0 1 1 192.168.101.1 22 58674 0 58674 49015 357024.0 9657.0 357024.0 0.0 0.0 8.0 1.0 1.0 1565290068506.3848 1565290178730.3323 110223.947 31.949 70.546 110189.022 110186.664 31.645 62.281 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.565309000000003 30.011 74.602 0.597949 28598.0 64.0 64.0 3.1184130000000003 0.004 46.714 6.792381 8419.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 262.0 1460.0 37648.0 16.0 64256.0 63360.0 0.0 1149712.0 16.0 32.0 0.0 67.0 0.0 0.0 91.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 568.0 1460.0 3456.0 28.0 3145728.0 64128.0 0.0 3456.0 28.0 32.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 9649.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58972 125952 0 125951 1011 1097035499 124939 1098098332 240 1062833 0 1 1 192.168.101.1 22 58252 0 58252 48795 349320.0 9455.0 349320.0 0.0 0.0 5.0 1.0 1.0 1565290192440.934 1565290321010.1047 128569.171 32.493 70.964 128535.088 128529.811 32.129 62.927 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.665501000000003 29.981 75.304 0.579306 28806.0 64.0 64.0 4.657287 0.004 47.956 7.838344 8393.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 188.0 1460.0 30408.0 16.0 64256.0 63360.0 0.0 1020840.0 16.0 32.0 0.0 99.0 0.0 0.0 141.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 761.0 1460.0 3168.0 28.0 3145728.0 64128.0 0.0 3168.0 28.0 32.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 75.0 9450.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59136 118643 0 118642 563 1105478537 118078 1106290868 201 812331 0 1 1 192.168.101.1 22 72786 0 72786 63231 352920.0 9553.0 352920.0 0.0 0.0 10.0 1.0 1.0 1565290334820.863 1565290458829.291 124008.428 38.626 77.851 123974.264 123969.418 38.339 69.623 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.635519 29.995 75.394 0.604608 34713.0 64.0 64.0 3.0779400000000003 0.004 49.43 5.177480999999999 8938.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 316.0 1460.0 34752.0 16.0 64256.0 64000.0 0.0 1035320.0 16.0 32.0 0.0 82.0 0.0 0.0 119.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 811.0 1460.0 2808.0 28.0 3145728.0 41600.0 0.0 2808.0 28.0 32.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 9543.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59298 139720 0 139719 917 1134929241 138801 1135994972 267 1065731 0 1 1 192.168.101.1 22 63244 0 63244 53392 360984.0 9850.0 360984.0 0.0 0.0 8.0 1.0 1.0 1565290473110.559 1565290614274.016 141163.457 32.587 70.968 141129.493 141128.828 32.278 63.074 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.724756 30.007 73.374 0.608835 32890.0 64.0 64.0 3.851954 0.004 46.576 7.212234 8893.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 274.0 1460.0 36200.0 16.0 64256.0 64000.0 0.0 1104824.0 16.0 32.0 0.0 106.0 0.0 0.0 161.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 921.0 1460.0 1100.0 28.0 3052672.0 64128.0 0.0 1100.0 28.0 32.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 9842.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59476 132602 0 132601 1186 1168549517 131414 1169484928 213 935411 0 1 1 192.168.101.1 22 63435 0 63435 53279 371964.0 10154.0 371964.0 0.0 0.0 4.0 1.0 1.0 1565290629708.6682 1565290764800.33 135091.662 32.522 71.468 135056.35 135055.647 32.182 63.115 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.627852 30.0 74.476 0.578737 30460.0 64.0 64.0 3.7065300000000003 0.004 44.48 6.88638 8901.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 137.0 1460.0 33304.0 16.0 64256.0 63872.0 0.0 973056.0 16.0 32.0 0.0 104.0 0.0 0.0 109.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 740.0 1460.0 1100.0 28.0 2876032.0 64128.0 0.0 1100.0 28.0 32.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 10150.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59658 160916 0 160915 1088 1256708093 159826 1258384880 389 1676787 0 1 1 192.168.101.1 22 61560 0 61560 50769 394572.0 10789.0 394572.0 0.0 0.0 12.0 1.0 1.0 1565290781900.2085 1565290942389.181 160488.972 32.753 73.055 160453.924 160446.269 32.333 63.377 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.716915000000004 30.003 73.378 0.514119 32246.0 64.0 64.0 4.6820379999999995 0.004 45.483 7.992617999999999 9615.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 427.0 1460.0 31856.0 16.0 64256.0 63872.0 0.0 986088.0 16.0 32.0 6.0 80.0 0.0 0.0 303.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 840.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 23.0 10777.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59870 141321 0 141320 1260 1189491626 140059 1191075740 306 1584114 0 1 1 192.168.101.1 22 54951 0 54951 44699 377184.0 10250.0 377184.0 0.0 0.0 9.0 1.0 1.0 1565290958284.87 1565291101332.381 143047.511 32.484 70.725 143009.695 143005.38 32.195 62.918 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.593093 30.019 71.535 0.505023 29139.0 64.0 64.0 4.419421 0.004 47.232 7.8436699999999995 8883.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 306.0 1460.0 31856.0 16.0 64256.0 63872.0 0.0 1016496.0 16.0 32.0 0.0 69.0 0.0 0.0 237.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 707.0 1460.0 1188.0 28.0 2730624.0 64128.0 0.0 1188.0 28.0 32.0 0.0 9.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 56.0 10241.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60054 149365 0 149364 1156 1240011950 148207 1241380312 287 1368362 0 1 1 192.168.101.1 22 63831 0 63831 53085 394068.0 10744.0 394068.0 0.0 0.0 9.0 1.0 1.0 1565291116010.6 1565291270308.757 154298.157 32.293 73.168 154262.067 154257.213 31.941 62.868 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.619033 30.001 74.415 0.561847 32847.0 64.0 64.0 3.9990660000000005 0.004 47.646 6.884407 9534.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 313.0 1460.0 28960.0 4.0 64256.0 64000.0 0.0 873144.0 16.0 32.0 0.0 118.0 0.0 0.0 169.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 784.0 1460.0 1100.0 28.0 2444160.0 64128.0 0.0 1136.0 28.0 32.0 0.0 9.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 42.0 10735.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60258 136857 0 136856 1083 1231570782 135772 1232901496 325 1330714 0 1 1 192.168.101.1 22 69027 0 69027 58398 389640.0 10627.0 389640.0 0.0 0.0 14.0 1.0 1.0 1565291286311.0098 1565291428342.953 142031.943 32.803 70.615 141995.877 141988.733 32.486 63.278 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.618178000000004 30.016 72.44 0.5392279999999999 32824.0 64.0 64.0 4.259780999999999 0.004 45.897 7.298013 9472.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 425.0 1460.0 36200.0 12.0 64256.0 63104.0 0.0 1175776.0 16.0 32.0 16.0 119.0 0.0 0.0 190.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 897.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 2.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 71.0 10613.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60442 141313 0 141312 775 1227376912 140536 1228504904 244 1127992 0 1 1 192.168.101.1 22 73261 0 73261 62664 389100.0 10595.0 389100.0 0.0 0.0 18.0 1.0 1.0 1565291444656.953 1565291589383.1887 144726.236 32.121 70.493 144691.904 144690.536 31.784 62.995 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.632732 29.977 74.542 0.6069640000000001 38080.0 64.0 64.0 3.443235 0.003 44.922 6.395773 9766.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 603.0 1460.0 36200.0 16.0 64256.0 63872.0 0.0 1219216.0 16.0 32.0 0.0 104.0 0.0 0.0 140.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 870.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 1.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 75.0 10577.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
