#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 33168 31728 0 31727 12 109175804 31714 109571108 149 395304 0 1 1 192.168.101.1 22 5006 0 5006 4158 33492.0 846.0 33492.0 0.0 0.0 2.0 1.0 1.0 1565336042441.555 1565336079555.3638 37113.809 30.85 68.92 37079.648 37079.03 30.533 61.441 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.853137 30.395 73.496 1.258285 3395.0 64.0 64.0 15.559619 0.009 45.785 10.238999 841.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 47.0 1460.0 10136.0 16.0 64256.0 64128.0 0.0 385168.0 16.0 32.0 29.0 15.0 0.0 0.0 105.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 132.0 1460.0 1080.0 28.0 1912960.0 64128.0 0.0 1080.0 28.0 32.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 844.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33240 25089 0 25088 17 96579060 25070 97081516 128 502456 0 1 1 192.168.101.1 22 4505 0 4505 3754 30036.0 749.0 30036.0 0.0 0.0 3.0 1.0 1.0 1565336080483.51 1565336109499.912 29016.402 31.111 70.148 28983.001 28982.401 30.8 61.574 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.768328999999998 30.257 74.413 1.345124 3011.0 64.0 64.0 14.768342 0.007 47.288 10.608344 739.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 52.0 1460.0 13032.0 16.0 64256.0 64128.0 0.0 444536.0 16.0 32.0 0.0 17.0 0.0 0.0 111.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 141.0 1460.0 1080.0 28.0 1800192.0 64128.0 0.0 1080.0 28.0 32.0 2.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 746.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33290 21678 0 21677 79 105025456 21597 105503976 151 478520 0 1 1 192.168.101.1 22 4271 0 4271 3429 34068.0 840.0 34068.0 0.0 0.0 8.0 1.0 1.0 1565336110476.4968 1565336140995.136 30518.639 31.017 69.727 30483.514 30482.768 30.714 61.466 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.815465999999997 30.133 87.642 1.9534490000000002 2700.0 64.0 64.0 12.798378 0.006 46.987 13.676051999999999 761.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 244.0 1460.0 30408.0 16.0 64256.0 64000.0 0.0 913688.0 16.0 32.0 54.0 6.0 0.0 0.0 91.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 136.0 1460.0 1080.0 28.0 2332928.0 64128.0 0.0 1080.0 28.0 32.0 1.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 832.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33340 36361 0 36360 22 117573627 36337 118054396 180 480769 0 1 1 192.168.101.1 22 5231 0 5231 4322 36084.0 907.0 36084.0 0.0 0.0 6.0 1.0 1.0 1565336142144.937 1565336185339.1567 43194.22 31.604 319.574 43158.879 43158.234 31.281 298.465 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.809051 30.334 74.041 1.040418 3593.0 64.0 64.0 18.498907 0.008 45.066 11.092675 884.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 86.0 1460.0 10136.0 12.0 64256.0 64128.0 0.0 360552.0 16.0 32.0 1.0 7.0 0.0 0.0 172.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 174.0 1460.0 1080.0 28.0 1018112.0 63872.0 0.0 1112.0 28.0 1112.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 901.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33414 27720 0 27719 25 109175804 27693 109642060 149 466256 0 1 1 192.168.101.1 22 4797 0 4797 3949 33492.0 846.0 33492.0 0.0 0.0 0.0 1.0 1.0 1565336186144.7837 1565336220935.464 34790.68 31.174 69.691 34757.089 34756.424 30.885 61.655 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.809387 30.347 73.517 1.300311 3172.0 64.0 64.0 16.414062 0.005 46.234 11.620823 825.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 15928.0 16.0 64256.0 64128.0 0.0 551688.0 16.0 32.0 25.0 13.0 0.0 0.0 111.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 164.0 1460.0 1080.0 28.0 1633920.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 846.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33466 26643 0 26642 30 92380148 26611 92824684 156 444536 0 1 1 192.168.101.1 22 4102 0 4102 3382 28884.0 718.0 28884.0 0.0 0.0 2.0 1.0 1.0 1565336221941.706 1565336253897.546 31955.84 30.884 69.374 31922.193 31921.571 30.62 61.294 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.818212 30.288 72.799 1.685555 2797.0 64.0 64.0 16.381268 0.006 47.282 11.308024000000001 688.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 63.0 1460.0 14480.0 16.0 64256.0 64128.0 0.0 454672.0 16.0 32.0 1.0 4.0 0.0 0.0 151.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 145.0 1460.0 1080.0 28.0 1225856.0 64128.0 0.0 1080.0 28.0 32.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 716.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33520 32491 0 32490 15 113374716 32474 113990116 188 615400 0 1 1 192.168.101.1 22 5790 0 5790 4910 34644.0 878.0 34644.0 0.0 0.0 4.0 1.0 1.0 1565336254911.1917 1565336292753.557 37842.365 30.914 69.052 37808.769 37808.15 30.613 61.12 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.876996999999996 30.206 72.907 1.3082719999999999 4055.0 64.0 64.0 13.036526 0.008 47.988 9.496868 868.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 71.0 1460.0 13032.0 16.0 64256.0 64128.0 0.0 418472.0 16.0 32.0 13.0 1.0 0.0 0.0 174.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 176.0 1460.0 1080.0 28.0 1653248.0 64128.0 0.0 1080.0 28.0 32.0 3.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 874.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33588 37212 0 37211 18 117573628 37192 118323992 244 750364 0 1 1 192.168.101.1 22 4970 0 4970 4058 35940.0 910.0 35940.0 0.0 0.0 5.0 1.0 1.0 1565336293884.6028 1565336335951.178 42066.575 31.206 69.995 42031.907 42031.366 30.921 61.666 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.837931 30.432 73.298 1.246377 3443.0 64.0 64.0 18.087502 0.009 44.508 11.134647 896.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 133.0 1460.0 7240.0 16.0 64256.0 64128.0 0.0 276568.0 16.0 32.0 24.0 19.0 0.0 0.0 201.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 168.0 1460.0 1080.0 28.0 891904.0 64128.0 0.0 1080.0 28.0 32.0 2.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 905.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33662 22272 0 22271 39 96579057 22231 96919340 89 340283 0 1 1 192.168.101.1 22 3606 0 3606 2854 30072.0 750.0 30072.0 0.0 0.0 5.0 1.0 1.0 1565336336863.572 1565336361076.828 24213.256 31.017 69.667 24178.196 24177.373 30.747 61.394 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.861249 30.299 75.488 1.7755729999999998 2381.0 64.0 64.0 13.555641 0.007 45.459 11.505311 715.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 106.0 1460.0 13032.0 16.0 64256.0 64128.0 0.0 487976.0 16.0 32.0 0.0 0.0 0.0 0.0 89.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 73.0 1460.0 1080.0 28.0 1605760.0 64128.0 0.0 1080.0 28.0 32.0 3.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 15.0 745.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 33694 26898 0 26897 26 92380148 26870 92861404 143 481256 0 1 1 192.168.101.1 22 3651 0 3651 2931 28884.0 718.0 28884.0 0.0 0.0 1.0 1.0 1.0 1565336361967.6729 1565336394507.9907 32540.318 31.195 69.894 32505.314 32504.652 30.864 61.855 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.906402000000003 30.393 75.505 1.985795 2448.0 64.0 64.0 18.411839999999998 0.008 47.201 10.664204 701.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 16.0 1460.0 8688.0 16.0 64256.0 64128.0 0.0 340280.0 16.0 32.0 0.0 7.0 0.0 0.0 136.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 121.0 1460.0 1080.0 28.0 878592.0 55808.0 0.0 1080.0 28.0 32.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 717.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
