#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 47784 352330 0 352329 271 1066528133 352057 1076474460 3886 9946327 0 1 1 192.168.101.1 22 42010 0 42010 33866 296328.0 8142.0 296364.0 1.0 36.0 90.0 1.0 1.0 1565533889081.827 1565534375733.228 486651.401 32.146 69.975 486617.066 486616.52 31.828 62.663 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.853058 30.272 104.174 1.541048 27988.0 64.0 64.0 22.485986999999998 0.005 45.801 10.831918 7906.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1800.0 1460.0 14480.0 12.0 64256.0 64128.0 0.0 486528.0 16.0 32.0 1107.0 231.0 0.0 0.0 2546.0 0.0 2.0 0.0 0.0 1.0 1.0 7.0 1.0 2357.0 1460.0 1080.0 28.0 1136768.0 64128.0 0.0 1080.0 28.0 32.0 67.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 8051.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48544 377057 0 377056 283 1129513315 376772 1141773748 4785 12260433 0 1 1 192.168.101.1 22 44787 0 44787 36161 315264.0 8624.0 315300.0 1.0 36.0 73.0 1.0 1.0 1565534390233.1687 1565534950365.366 560132.197 32.479 70.822 559847.6 559846.997 32.18 63.034 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.879053000000003 30.199 92.547 1.723814 29408.0 64.0 64.0 23.493517999999998 0.008 47.937 10.585187 8372.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1413.0 1460.0 13032.0 12.0 64256.0 64128.0 0.0 428608.0 16.0 32.0 1577.0 296.0 0.0 0.0 2905.0 0.0 7.0 0.0 0.0 1.0 1.0 7.0 1.0 2786.0 1460.0 1100.0 28.0 1132416.0 64128.0 0.0 1136.0 28.0 32.0 56.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 8550.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 49420 402909 0 402908 346 1234486116 402561 1247102552 4880 12616436 0 1 1 192.168.101.1 22 48856 0 48856 39437 344028.0 9417.0 344028.0 0.0 0.0 105.0 1.0 1.0 1565534966033.6567 1565535547850.581 581816.924 32.528 70.512 581783.662 581783.073 32.207 62.98 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.882871999999995 30.257 105.601 1.899502 32396.0 64.0 64.0 22.696618 0.005 45.742 10.912377000000001 9101.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2444.0 1460.0 14480.0 12.0 64256.0 64000.0 0.0 503904.0 16.0 32.0 1591.0 293.0 0.0 0.0 2992.0 0.0 4.0 0.0 0.0 1.0 1.0 7.0 1.0 2986.0 1460.0 1100.0 28.0 1230336.0 64128.0 0.0 1100.0 28.0 32.0 77.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 9312.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50334 344233 0 344232 281 1083325282 343950 1093846236 3953 10520954 0 1 1 192.168.101.1 22 41210 0 41210 32935 302304.0 8273.0 302304.0 0.0 0.0 67.0 1.0 1.0 1565535561433.889 1565536040713.004 479279.115 32.302 70.289 479245.018 479244.409 31.997 62.651 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.862052000000002 30.203 94.095 1.74937 26908.0 64.0 64.0 22.525166 0.005 46.978 11.019978 8000.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1165.0 1460.0 15928.0 16.0 64256.0 64128.0 0.0 577752.0 16.0 32.0 1129.0 264.0 0.0 0.0 2554.0 0.0 6.0 0.0 0.0 1.0 1.0 7.0 1.0 2399.0 1460.0 1100.0 28.0 1522688.0 64128.0 0.0 1100.0 28.0 32.0 48.0 19.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 26.0 8206.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51068 383121 0 383120 307 1150509316 382812 1163101304 4989 12591988 0 1 1 192.168.101.1 22 45991 0 45991 37205 321168.0 8784.0 321168.0 0.0 0.0 85.0 1.0 1.0 1565536055686.275 1565536639594.6577 583908.383 32.681 70.457 583874.491 583820.573 32.377 63.23 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.881465999999996 30.294 135.399 2.148682 30484.0 64.0 64.0 23.652792 0.006 45.349 10.587033 8522.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1577.0 1460.0 23168.0 12.0 64256.0 64128.0 0.0 697936.0 16.0 32.0 1719.0 288.0 0.0 0.0 2972.0 0.0 10.0 0.0 0.0 1.0 1.0 7.0 1.0 2909.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 62.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 8699.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51970 398972 0 398971 313 1209292644 398657 1221086552 4595 11793908 0 1 1 192.168.101.1 22 45051 0 45051 35824 337152.0 9225.0 337188.0 1.0 36.0 95.0 1.0 1.0 1565536654621.1033 1565537208986.9067 554365.804 32.676 70.657 554331.995 554331.467 32.356 63.36 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.861212 30.277 117.216 1.8331 29183.0 64.0 64.0 23.474173999999998 0.004 47.431 10.385227 8927.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1975.0 1460.0 18824.0 12.0 64256.0 64128.0 0.0 596576.0 16.0 32.0 1417.0 315.0 0.0 0.0 2860.0 0.0 3.0 0.0 0.0 1.0 1.0 7.0 1.0 2732.0 1460.0 1100.0 28.0 1973760.0 64128.0 0.0 1100.0 28.0 32.0 72.0 23.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 --- 24.0 9129.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52812 346198 0 346197 306 1049732486 345890 1060125908 3983 10393422 0 1 1 192.168.101.1 22 38814 0 38814 30796 291792.0 8016.0 291792.0 0.0 0.0 75.0 1.0 1.0 1565537221802.238 1565537709994.045 488191.807 32.703 70.629 488158.366 488157.902 32.371 63.315 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.860598 30.211 94.817 1.757253 25105.0 64.0 64.0 23.530299 0.006 46.94 10.340132 7745.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1344.0 1460.0 14480.0 12.0 64256.0 64128.0 0.0 509696.0 16.0 32.0 1167.0 256.0 0.0 0.0 2554.0 0.0 6.0 0.0 0.0 1.0 1.0 7.0 1.0 2287.0 1460.0 1080.0 28.0 1360896.0 64128.0 0.0 1080.0 28.0 32.0 57.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 7941.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 53606 379611 0 379610 280 1158905698 379329 1169423444 3967 10517746 0 1 1 192.168.101.1 22 42613 0 42613 33766 322968.0 8845.0 322968.0 0.0 0.0 93.0 1.0 1.0 1565537724334.379 1565538242072.438 517738.059 32.502 70.876 517704.63 517703.946 32.23 63.005 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.84116 30.321 135.137 1.660363 27929.0 64.0 64.0 23.16349 0.004 45.209 10.35539 8562.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1767.0 1460.0 15928.0 12.0 64256.0 64128.0 0.0 492320.0 16.0 32.0 1121.0 292.0 0.0 0.0 2551.0 0.0 3.0 0.0 0.0 1.0 1.0 7.0 1.0 2469.0 1460.0 1100.0 28.0 1337088.0 43904.0 0.0 1136.0 28.0 32.0 66.0 27.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 8752.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 54448 383991 0 383990 329 1192497857 383660 1204207736 4544 11709879 0 1 1 192.168.101.1 22 46353 0 46353 37264 333084.0 9087.0 333156.0 2.0 72.0 74.0 1.0 1.0 1565538257373.7188 1565538814010.112 556636.393 32.565 70.54 556602.599 556602.013 32.227 63.176 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.889003000000002 30.223 92.697 1.769727 30172.0 64.0 64.0 22.649153 0.004 45.919 10.729333 8802.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1541.0 1460.0 20272.0 12.0 64256.0 64128.0 0.0 654496.0 16.0 32.0 1492.0 318.0 0.0 0.0 2729.0 0.0 5.0 0.0 0.0 1.0 1.0 7.0 1.0 2791.0 1460.0 1100.0 28.0 2413056.0 64128.0 0.0 1136.0 28.0 32.0 56.0 19.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 --- 13.0 9011.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55338 387214 0 387213 325 1188298588 386887 1200204356 4622 11905768 0 1 1 192.168.101.1 22 47112 0 47112 38040 331248.0 9070.0 331248.0 0.0 0.0 94.0 1.0 1.0 1565538828776.8933 1565539391954.365 563177.472 32.442 70.109 563143.768 563142.192 32.133 62.913 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.890884000000003 30.28 267.171 2.355506 31061.0 64.0 64.0 22.629074 0.003 46.314 10.826194000000001 8762.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2051.0 1460.0 20272.0 12.0 64256.0 64128.0 0.0 667528.0 16.0 32.0 1484.0 366.0 0.0 0.0 2768.0 0.0 5.0 0.0 0.0 1.0 1.0 7.0 1.0 2830.0 1460.0 1100.0 28.0 2344832.0 64128.0 0.0 1136.0 28.0 32.0 75.0 19.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 8976.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56238 366907 0 366906 297 1112717665 366608 1123633324 4322 10915659 0 1 1 192.168.101.1 22 46834 0 46834 38337 310440.0 8495.0 310476.0 1.0 36.0 86.0 1.0 1.0 1565539406516.626 1565539928553.772 522037.146 33.01 70.811 522002.674 522001.991 32.666 63.456 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.846151000000003 30.242 93.806 1.564853 31481.0 64.0 64.0 21.339098999999997 0.006 44.131 11.007614 8219.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1778.0 1460.0 18824.0 12.0 64256.0 64128.0 0.0 593680.0 16.0 32.0 1341.0 348.0 0.0 0.0 2632.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 2734.0 1460.0 1100.0 28.0 1969280.0 64128.0 0.0 1100.0 28.0 32.0 67.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 14.0 8408.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57070 410978 0 410977 316 1238685025 410660 1250694260 4796 12009235 0 1 1 192.168.101.1 22 53126 0 53126 43679 344820.0 9445.0 344820.0 0.0 0.0 98.0 1.0 1.0 1565539945013.846 1565540549268.524 604254.678 32.388 71.106 604220.991 604220.354 31.966 62.8 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.854865000000004 30.208 133.214 1.8197330000000003 35213.0 64.0 64.0 22.494907 0.007 44.647 10.56655 9164.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2185.0 1460.0 18824.0 12.0 64256.0 64128.0 0.0 549160.0 16.0 32.0 1387.0 344.0 0.0 0.0 3057.0 0.0 8.0 0.0 0.0 1.0 1.0 7.0 1.0 3332.0 1460.0 1100.0 28.0 2482816.0 64128.0 0.0 1100.0 28.0 32.0 76.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 12.0 9347.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
