#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 47416 28135 0 28134 25 92380544 28108 93074136 273 693592 0 1 1 192.168.101.1 22 4130 0 4130 3408 28920.0 720.0 28920.0 0.0 0.0 4.0 1.0 1.0 1565479737948.737 1565479778727.142 40778.405 31.205 69.238 40744.692 40744.031 30.857 61.655 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.826177 30.277 72.447 1.5673139999999999 2812.0 64.0 64.0 18.924508 0.008 47.213 11.373683999999999 703.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 88.0 1460.0 15928.0 16.0 64256.0 64128.0 0.0 498112.0 16.0 32.0 58.0 24.0 0.0 0.0 191.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 199.0 1460.0 1080.0 28.0 1159040.0 64128.0 0.0 1080.0 28.0 32.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 716.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47490 35626 0 35625 26 104977288 35598 106151616 483 1174328 0 1 1 192.168.101.1 22 5159 0 5159 4342 32376.0 815.0 32376.0 0.0 0.0 7.0 1.0 1.0 1565479779550.871 1565479838010.034 58459.163 30.879 69.147 58425.445 58424.841 30.613 61.341 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.867395000000002 30.384 84.736 1.697616 3547.0 64.0 64.0 20.616297 0.008 44.73 11.326778 792.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 84.0 1460.0 10136.0 16.0 64256.0 64128.0 0.0 356208.0 16.0 32.0 133.0 30.0 0.0 0.0 319.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 351.0 1460.0 1080.0 28.0 1328256.0 64128.0 0.0 1080.0 28.0 32.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 808.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47584 27076 0 27075 25 83982720 27049 84844328 343 861608 0 1 1 192.168.101.1 22 4336 0 4336 3679 26616.0 655.0 26616.0 0.0 0.0 7.0 1.0 1.0 1565479838865.981 1565479880763.588 41897.607 30.967 69.472 41862.9 41862.319 30.616 61.523 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.830247999999997 30.285 73.661 1.546517 3036.0 64.0 64.0 18.543554999999998 0.007 44.749 11.327531 636.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 169.0 1460.0 14480.0 16.0 64256.0 64128.0 0.0 463360.0 16.0 32.0 91.0 32.0 0.0 0.0 219.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 255.0 1460.0 1080.0 28.0 1716992.0 64128.0 0.0 1080.0 28.0 32.0 6.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 25.0 648.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47642 35186 0 35185 32 104977288 35152 105999576 400 1022288 0 1 1 192.168.101.1 22 4128 0 4128 3311 32376.0 815.0 32376.0 0.0 0.0 4.0 1.0 1.0 1565479881816.681 1565479936980.373 55163.692 31.272 70.148 55128.426 55124.637 30.932 61.832 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.986368 30.403 88.893 2.476524 2718.0 64.0 64.0 24.452229 0.007 44.397 10.441066000000001 801.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 112.0 1460.0 10136.0 16.0 64256.0 64128.0 0.0 359104.0 16.0 32.0 138.0 23.0 0.0 0.0 238.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 233.0 1460.0 1080.0 28.0 972032.0 64128.0 0.0 1080.0 28.0 32.0 1.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 811.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47736 37901 0 37900 34 109176200 37865 110446096 520 1269896 0 1 1 192.168.101.1 22 5416 0 5416 4567 33528.0 847.0 33528.0 0.0 0.0 14.0 1.0 1.0 1565479938273.7583 1565480001299.3582 63025.6 31.148 70.149 62991.663 62990.961 30.835 61.826 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.799568 30.351 73.486 1.413142 3749.0 64.0 64.0 21.367734 0.008 44.855 11.424146 817.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 206.0 1460.0 11584.0 16.0 64256.0 64128.0 0.0 379376.0 16.0 32.0 138.0 45.0 0.0 0.0 337.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 374.0 1460.0 1080.0 28.0 1288192.0 64128.0 0.0 1080.0 28.0 32.0 12.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 833.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47834 30477 0 30476 26 92380544 30449 93179840 309 799296 0 1 1 192.168.101.1 22 4296 0 4296 3575 28920.0 719.0 28920.0 0.0 0.0 8.0 1.0 1.0 1565480002187.016 1565480046765.56 44578.544 30.935 69.547 44543.722 44543.179 30.648 61.462 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.838254 30.312 106.335 2.139784 2958.0 64.0 64.0 20.600196 0.008 46.219 11.215 699.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 157.0 1460.0 14480.0 16.0 64256.0 64128.0 0.0 470600.0 16.0 32.0 68.0 32.0 0.0 0.0 209.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 252.0 1460.0 1080.0 28.0 2001920.0 64128.0 0.0 1080.0 28.0 32.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 711.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47908 34079 0 34078 22 96579456 34055 97545272 417 965816 0 1 1 192.168.101.1 22 4783 0 4783 4030 30072.0 751.0 30072.0 0.0 0.0 8.0 1.0 1.0 1565480047675.6782 1565480107005.7026 59330.025 31.268 318.289 59295.801 59295.303 30.976 61.788 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.841371000000002 30.316 84.996 2.074225 3361.0 64.0 64.0 22.122275 0.008 45.867 10.055989 735.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 47.0 1460.0 5792.0 16.0 64256.0 64128.0 0.0 212856.0 16.0 32.0 144.0 36.0 0.0 0.0 233.0 0.0 4.0 0.0 0.0 1.0 1.0 7.0 1.0 303.0 1460.0 1080.0 28.0 798464.0 64128.0 0.0 1112.0 28.0 1112.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 743.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48006 26314 0 26313 25 83982720 26287 84686544 265 703824 0 1 1 192.168.101.1 22 3524 0 3524 2867 26616.0 655.0 26616.0 0.0 0.0 7.0 1.0 1.0 1565480107850.7207 1565480139053.767 31203.046 31.021 70.573 31167.886 31167.203 30.738 61.515 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.898695 30.426 72.378 1.5011139999999998 2353.0 64.0 64.0 19.681954 0.008 41.021 9.842884 634.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 99.0 1460.0 10136.0 16.0 64256.0 63360.0 0.0 321456.0 16.0 32.0 30.0 30.0 0.0 0.0 205.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 181.0 1460.0 1080.0 28.0 880128.0 64128.0 0.0 1080.0 28.0 32.0 5.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 648.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48056 31461 0 31460 29 92380544 31430 93340568 391 960024 0 1 1 192.168.101.1 22 4071 0 4071 3350 28920.0 719.0 28920.0 0.0 0.0 4.0 1.0 1.0 1565480139940.3162 1565480186696.601 46756.285 31.039 70.058 46720.923 46720.27 30.725 61.661 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.857814 30.23 89.358 2.512096 2734.0 64.0 64.0 22.125318 0.008 46.904 11.333296 706.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 85.0 1460.0 8688.0 16.0 64256.0 64128.0 0.0 256296.0 16.0 32.0 112.0 18.0 0.0 0.0 261.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 254.0 1460.0 1080.0 28.0 1165056.0 64128.0 0.0 1080.0 28.0 32.0 3.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 715.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48132 27997 0 27996 30 83982720 27965 84858268 359 875548 0 1 1 192.168.101.1 22 4181 0 4181 3525 26616.0 654.0 26616.0 0.0 0.0 4.0 1.0 1.0 1565480187543.488 1565480233316.0894 45772.601 30.731 69.315 45737.617 45736.954 30.391 61.176 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.902959999999997 30.235 85.407 1.8812200000000001 2852.0 64.0 64.0 23.057646 0.009 52.157 10.961072 636.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 107.0 1460.0 8688.0 16.0 64256.0 64128.0 0.0 337384.0 16.0 32.0 131.0 32.0 0.0 0.0 196.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 270.0 1460.0 1080.0 28.0 1141248.0 64128.0 0.0 1080.0 28.0 32.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 650.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
