#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 34972 19314 0 19313 74 1164377066 19238 1164377068 1 2 0 1 1 192.168.101.1 22 38084 0 38084 27950 372828.0 10132.0 372828.0 0.0 0.0 0.0 1.0 1.0 1565243367774.1318 1565243465380.183 97606.051 32.454 71.385 97570.733 97570.096 32.156 62.962 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.861490000000003 29.997 73.69 0.781183 9087.0 64.0 64.0 17.305307 0.006 45.489 2.857141 10065.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1718.0 10132.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35084 20989 0 20988 45 1223226598 20942 1223226600 1 2 0 1 1 192.168.101.1 22 40942 0 40942 30297 388956.0 10643.0 388956.0 0.0 0.0 0.0 1.0 1.0 1565243482230.547 1565243585475.3867 103244.84 32.87 71.852 103210.87 103210.35 32.567 63.621 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.891603000000003 30.037 74.301 0.77605 9176.0 64.0 64.0 17.105499 0.009 45.247 3.407221 10607.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2088696.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2587.0 10643.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35210 20673 0 20672 47 1248447645 20624 1248447648 1 3 0 1 1 192.168.101.1 22 41429 0 41429 30560 396840.0 10867.0 396840.0 0.0 0.0 0.0 1.0 1.0 1565243601186.9167 1565243705816.712 104629.795 32.328 71.063 104595.482 104594.828 32.045 63.11 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.860892 29.986 74.382 0.7931279999999999 8957.0 64.0 64.0 17.334753 0.004 45.317 2.809247 10828.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2068920.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 823.0 10867.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35338 20557 0 20556 42 1248447467 20513 1248447468 1 1 0 1 1 192.168.101.1 22 41481 0 41481 30607 396588.0 10872.0 396588.0 0.0 0.0 0.0 1.0 1.0 1565243722242.3027 1565243828688.5242 106446.221 32.471 70.949 106411.943 106410.682 32.169 63.247 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.908183 30.007 74.87 0.808114 8521.0 64.0 64.0 17.325873 0.009 48.015 2.653843 10838.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2068920.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145472.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1532.0 10872.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35472 20390 0 20389 46 1235836295 20342 1235836296 1 1 0 1 1 192.168.101.1 22 40876 0 40876 30117 392916.0 10757.0 392916.0 0.0 0.0 0.0 1.0 1.0 1565243845043.489 1565243948633.9868 103590.498 32.454 70.991 103555.641 103554.99 32.137 63.205 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.875885999999998 30.065 73.583 0.7825479999999999 9220.0 64.0 64.0 17.361682000000002 0.005 46.333 2.739746 10716.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2087100.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1723.0 10757.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35598 17502 0 17501 30 1059287856 17470 1059287856 0 0 0 1 1 192.168.101.1 22 34265 0 34265 25042 335748.0 9221.0 335748.0 0.0 0.0 0.0 1.0 1.0 1565243962466.987 1565244051310.3027 88843.316 32.418 71.497 88809.319 88808.778 32.118 62.879 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.859462 29.993 74.427 0.8510989999999999 7970.0 64.0 64.0 17.333834 0.006 48.02 2.802598 9198.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2068920.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1455.0 9221.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35704 18440 0 18439 36 1105528074 18402 1105528076 1 2 0 1 1 192.168.101.1 22 36911 0 36911 27284 351732.0 9625.0 351732.0 0.0 0.0 0.0 1.0 1.0 1565244066006.599 1565244158698.5708 92691.972 32.546 70.519 92658.056 92656.31 32.266 63.075 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.881214 30.011 74.501 0.8461489999999999 7649.0 64.0 64.0 17.270108 0.007 47.238 2.956051 9596.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2088696.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1727.0 9625.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35818 20663 0 20662 39 1219023113 20622 1219023116 1 3 0 1 1 192.168.101.1 22 40232 0 40232 29624 387624.0 10606.0 387624.0 0.0 0.0 0.0 1.0 1.0 1565244174967.037 1565244278426.9502 103459.913 32.466 71.058 103425.915 103424.209 32.193 62.952 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.911098 30.041 73.259 0.797369 8544.0 64.0 64.0 17.181535999999998 0.009 48.055 3.1638919999999997 10570.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2068920.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145088.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1647.0 10606.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 35948 18513 0 18512 42 1071898380 18469 1071898380 0 0 0 1 1 192.168.101.1 22 35562 0 35562 26235 340176.0 9325.0 340176.0 0.0 0.0 0.0 1.0 1.0 1565244292039.0737 1565244382220.21 90181.136 32.522 70.463 90146.737 90146.169 32.228 63.044 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.829822999999998 29.987 73.698 0.841933 7666.0 64.0 64.0 17.081977 0.005 45.713 3.587537 9291.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2088696.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2430.0 9325.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 36060 21416 0 21415 51 1248447504 21363 1248447504 0 0 0 1 1 192.168.101.1 22 41279 0 41279 30415 396840.0 10862.0 396840.0 0.0 0.0 0.0 1.0 1.0 1565244398885.2417 1565244505145.8247 106260.583 32.526 70.395 106225.949 106225.371 32.25 63.161 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.887911 29.995 72.259 0.7472300000000001 9731.0 64.0 64.0 17.133021 0.005 46.409 3.354343 10814.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2070012.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 2581.0 10862.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
