#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 56294 7431 0 7430 18 121902752 7411 121902752 0 0 0 1 1 192.168.101.1 22 14330 0 14330 13257 41664.0 1071.0 41664.0 0.0 0.0 0.0 1.0 1.0 1565239493690.9478 1565239496906.765 3215.817 30.997 69.15 3181.407 3180.902 30.657 61.697 1.0 1.0 0.0 0.0 0.0 0.0 0.0 31.629715 29.999 72.509 6.84662 113.0 64.0 64.0 0.246352 0.008 47.242 2.161522 1061.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7254.0 1071.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56304 6149 0 6148 19 100885116 6128 100885116 0 0 0 1 1 192.168.101.1 22 11685 0 11685 10795 35004.0 888.0 35004.0 0.0 0.0 0.0 1.0 1.0 1565239497844.7354 1565239500717.1538 2872.419 31.085 69.063 2838.063 2837.396 30.74 61.63 1.0 1.0 0.0 0.0 0.0 0.0 0.0 31.756057000000002 29.999 72.33 7.0209600000000005 103.0 64.0 64.0 0.281048 0.008 46.984 2.531253 878.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5972.0 888.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56306 6673 0 6672 26 109292228 6645 109292228 0 0 0 1 1 192.168.101.1 22 9226 0 9226 8262 37668.0 962.0 37668.0 0.0 0.0 0.0 1.0 1.0 1565239501718.0876 1565239504737.304 3019.216 31.014 69.557 2984.346 2983.736 30.741 61.684 1.0 1.0 0.0 0.0 0.0 0.0 0.0 32.063718 29.992 73.091 7.545836 93.0 64.0 64.0 0.28160100000000005 0.008 46.849 2.4726619999999997 944.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2068920.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6482.0 962.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56310 7165 0 7164 20 117699376 7143 117699376 0 0 0 1 1 192.168.101.1 22 16511 0 16511 15475 40404.0 1034.0 40404.0 0.0 0.0 0.0 1.0 1.0 1565239505786.9587 1565239508907.272 3120.313 31.112 71.801 3086.604 3086.127 30.822 61.396 1.0 1.0 0.0 0.0 0.0 0.0 0.0 32.009471999999995 29.982 73.741 7.460194 95.0 64.0 64.0 0.24677399999999997 0.006 47.752 2.222099 1022.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145088.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6977.0 1034.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56320 5383 0 5382 21 88274872 5360 88274872 0 0 0 1 1 192.168.101.1 22 10050 0 10050 9269 31152.0 779.0 31152.0 0.0 0.0 0.0 1.0 1.0 1565239509634.205 1565239512345.874 2711.669 31.064 69.974 2677.589 2676.999 30.765 61.637 1.0 1.0 0.0 0.0 0.0 0.0 0.0 31.925672 29.996 72.524 7.348597 95.0 64.0 64.0 0.357892 0.006 47.51 2.913394 766.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2101760.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3144960.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5194.0 779.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56328 5372 0 5371 18 88274728 5352 88274728 0 0 0 1 1 192.168.101.1 22 11358 0 11358 10576 31116.0 780.0 31116.0 0.0 0.0 0.0 1.0 1.0 1565239513038.8142 1565239515709.764 2670.95 31.043 69.433 2636.759 2636.267 30.725 61.4 1.0 1.0 0.0 0.0 0.0 0.0 0.0 31.283618 29.975 72.303 6.014853 147.0 64.0 64.0 0.392288 0.006 47.803 3.078368 771.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5185.0 780.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56338 7428 0 7427 18 121902176 7408 121902176 0 0 0 1 1 192.168.101.1 22 17028 0 17028 15955 41736.0 1071.0 41736.0 0.0 0.0 0.0 1.0 1.0 1565239516751.8147 1565239519940.799 3188.984 31.153 69.602 3155.487 3154.911 30.82 61.723 1.0 1.0 0.0 0.0 0.0 0.0 0.0 32.075884 29.994 72.485 7.609528999999999 88.0 64.0 64.0 0.25643299999999997 0.009 46.299 2.110882 1062.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2069412.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7276.0 1071.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56340 7156 0 7155 21 117699088 7133 117699088 0 0 0 1 1 192.168.101.1 22 14329 0 14329 13290 40404.0 1037.0 40404.0 0.0 0.0 0.0 1.0 1.0 1565239520963.305 1565239524084.7021 3121.397 30.948 69.198 3086.796 3086.253 30.64 61.312 1.0 1.0 0.0 0.0 0.0 0.0 0.0 32.231532 30.026 72.187 7.734669 86.0 64.0 64.0 0.271156 0.006 46.796 2.370054 1023.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6955.0 1037.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56342 7687 0 7686 20 126106308 7665 126106308 0 0 0 1 1 192.168.101.1 22 14460 0 14460 13350 42924.0 1108.0 42924.0 0.0 0.0 0.0 1.0 1.0 1565239525152.027 1565239528404.547 3252.52 31.157 69.558 3217.677 3217.178 30.857 61.756 1.0 1.0 0.0 0.0 0.0 0.0 0.0 32.077453000000006 30.079 72.022 7.517749 90.0 64.0 64.0 0.26441 0.008 45.434 2.2497 1095.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2085340.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7508.0 1108.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56348 5119 0 5118 17 84071244 5100 84071244 0 0 0 1 1 192.168.101.1 22 6061 0 6061 5316 29856.0 743.0 29856.0 0.0 0.0 0.0 1.0 1.0 1565239529178.451 1565239531821.3457 2642.895 31.175 69.381 2609.138 2608.622 30.788 61.792 1.0 1.0 0.0 0.0 0.0 0.0 0.0 31.018828999999997 29.977 74.28 5.346819 194.0 64.0 64.0 0.367271 0.008 46.492 2.805499 734.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 65160.0 16.0 64256.0 64128.0 0.0 2098864.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 4945.0 743.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
