#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 56444 77277 0 77276 1323 1206414680 75952 1206521832 18 107152 0 1 1 192.168.101.1 22 184645 0 184645 174133 389316.0 10510.0 389352.0 1.0 36.0 504.0 1.0 1.0 1565793827522.3276 1565793930098.0098 102575.682 52.602 105.084 102520.215 102520.022 52.28 103.733 1.0 1.0 0.0 0.0 0.0 0.0 0.0 47.149552 30.673 94.727 4.641588 13602.0 64.0 64.0 3.2944760000000004 0.002 43.778 2.1964349999999997 9293.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1322.0 1460.0 27512.0 12.0 64256.0 64000.0 0.0 1605832.0 16.0 32.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 111666.0 1460.0 2268.0 28.0 3145728.0 64128.0 0.0 3528.0 28.0 32.0 9.0 420.0 75.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 148.0 10004.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56638 61849 0 61848 1251 1105508849 60596 1105542156 8 33307 0 1 1 192.168.101.1 22 137356 0 137356 127754 351408.0 9600.0 351516.0 1.0 108.0 456.0 1.0 1.0 1565793945589.71 1565794040480.648 94890.938 52.618 112.358 94835.016 94834.8 52.301 103.34 1.0 1.0 0.0 0.0 0.0 0.0 0.0 47.189952000000005 30.733 94.908 4.6124019999999994 11944.0 64.0 64.0 4.030956 0.005 41.95 2.335886 8436.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1155.0 1460.0 31856.0 12.0 64256.0 64000.0 0.0 1945308.0 16.0 32.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 69739.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 0.0 287.0 169.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 25.0 9143.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 56832 70273 0 70272 1282 1071900791 68989 1071934096 6 33305 0 1 1 192.168.101.1 22 163250 0 163250 153915 339780.0 9333.0 339816.0 1.0 36.0 501.0 1.0 1.0 1565794055722.9563 1565794146858.835 91135.879 42.982 104.571 91081.668 91081.374 42.696 93.601 1.0 1.0 0.0 0.0 0.0 0.0 0.0 47.211869 31.476 94.734 4.620274 12258.0 64.0 64.0 3.4453519999999997 0.004 43.214 2.100819 8171.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1410.0 1460.0 30408.0 12.0 64256.0 64000.0 0.0 1563756.0 16.0 32.0 0.0 4.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 102864.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 7.0 450.0 44.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 40.0 8831.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57018 67872 0 67871 1106 1063493392 66764 1063507872 3 14480 0 1 1 192.168.101.1 22 148561 0 148561 139298 337116.0 9261.0 337152.0 1.0 36.0 421.0 1.0 1.0 1565794161637.5967 1565794251220.426 89582.829 52.734 113.808 89527.034 89526.737 52.366 103.368 1.0 1.0 0.0 0.0 0.0 0.0 0.0 47.460934 30.735 94.076 4.511184 13409.0 64.0 64.0 3.103241 0.005 42.352 2.195447 8234.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1205.0 1460.0 26064.0 12.0 64256.0 64000.0 0.0 1664324.0 16.0 32.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 79614.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 388.0 33.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 53.0 8839.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57196 76559 0 76558 1320 1172784900 75237 1172792092 2 7192 0 1 1 192.168.101.1 22 168676 0 168676 158456 372936.0 10218.0 372972.0 1.0 36.0 492.0 1.0 1.0 1565794267806.3843 1565794366740.8967 98934.513 53.035 112.341 98876.175 98875.896 52.684 103.712 1.0 1.0 0.0 0.0 0.0 0.0 0.0 47.329703 30.605 94.377 4.549137 14818.0 64.0 64.0 3.01592 0.006 43.864 2.023314 9021.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1732.0 1460.0 24616.0 12.0 64256.0 64000.0 0.0 1536392.0 16.0 32.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 94013.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 4.0 454.0 34.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 81.0 9725.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57390 73411 0 73410 1341 1252649116 72068 1252650564 1 1448 0 1 1 192.168.101.1 22 166900 0 166900 155992 397668.0 10906.0 397740.0 1.0 72.0 499.0 1.0 1.0 1565794383849.239 1565794490153.1787 106303.94 52.002 111.388 106249.109 106248.892 51.69 102.463 1.0 1.0 0.0 0.0 0.0 0.0 0.0 47.438669 30.622 93.459 4.470517 15856.0 64.0 64.0 3.653516 0.005 50.827 2.297784 9704.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1345.0 1460.0 28960.0 12.0 64256.0 64000.0 0.0 1849196.0 16.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 89055.0 1460.0 1100.0 28.0 3145728.0 60544.0 0.0 1100.0 28.0 32.0 2.0 388.0 109.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 90.0 10406.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57588 80780 0 80779 1402 1214821971 79376 1214827764 4 5793 0 1 1 192.168.101.1 22 170020 0 170020 159445 386652.0 10573.0 386688.0 1.0 36.0 543.0 1.0 1.0 1565794506231.3662 1565794609340.7756 103109.41 42.398 100.926 103055.187 103054.982 42.106 92.951 1.0 1.0 0.0 0.0 0.0 0.0 0.0 47.339812 30.323 94.43 4.587447 14598.0 64.0 64.0 2.946554 0.004 41.446 2.5988830000000003 9246.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2034.0 1460.0 24616.0 12.0 64256.0 64128.0 0.0 1617784.0 16.0 32.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 91886.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 516.0 27.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 110.0 10029.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57802 70020 0 70019 1255 1139151194 68763 1139168572 4 17378 0 1 1 192.168.101.1 22 164037 0 164037 154108 362496.0 9927.0 362568.0 1.0 72.0 506.0 1.0 1.0 1565794624265.337 1565794720502.1157 96236.779 52.819 111.115 96182.01 96180.607 52.513 103.531 1.0 1.0 0.0 0.0 0.0 0.0 0.0 47.234313 30.649 91.557 4.569744999999999 14295.0 64.0 64.0 3.149294 0.002 43.914 2.05104 8806.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1218.0 1460.0 26064.0 12.0 64256.0 64128.0 0.0 1581780.0 16.0 32.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 89354.0 1460.0 1100.0 28.0 3145728.0 60672.0 0.0 1100.0 28.0 32.0 0.0 443.0 63.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 109.0 9420.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 57996 72974 0 72973 1297 1113937382 71675 1113972136 7 34754 0 1 1 192.168.101.1 22 167241 0 167241 157524 356952.0 9715.0 356988.0 1.0 36.0 487.0 1.0 1.0 1565794735897.5103 1565794829701.611 93804.101 52.64 112.09 93748.493 93748.285 52.34 103.382 1.0 1.0 0.0 0.0 0.0 0.0 0.0 47.045759999999994 30.211 93.647 4.669329 12979.0 64.0 64.0 3.1889819999999998 0.003 43.624 1.9347619999999999 8517.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1290.0 1460.0 26064.0 12.0 64256.0 64128.0 0.0 1446936.0 16.0 32.0 0.0 0.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 87870.0 1460.0 1436.0 28.0 3145728.0 60672.0 0.0 1436.0 28.0 32.0 0.0 456.0 31.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 115.0 9226.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58188 61258 0 61257 1202 1101319804 60054 1101324148 1 4344 0 1 1 192.168.101.1 22 144664 0 144664 135072 353136.0 9590.0 353208.0 1.0 72.0 475.0 1.0 1.0 1565794844181.1887 1565794937256.3467 93075.158 52.925 112.045 93020.408 93020.159 52.668 103.638 1.0 1.0 0.0 0.0 0.0 0.0 0.0 47.134295 31.207 93.76 4.61941 11293.0 64.0 64.0 3.9216019999999996 0.002 40.937 2.1816259999999996 8545.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1290.0 1460.0 30408.0 12.0 64256.0 64000.0 0.0 1920504.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 74653.0 1460.0 1792.0 28.0 3145728.0 64128.0 0.0 3240.0 28.0 32.0 9.0 298.0 168.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 86.0 9113.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
