#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 46286 7954 0 7953 764 117699807 7188 117702704 2 2897 0 1 1 192.168.101.1 22 21620 0 21620 20583 40296.0 1035.0 40368.0 2.0 72.0 367.0 1.0 1.0 1565900747451.7288 1565900751792.9954 4341.266 31.427 71.083 4297.62 4297.192 31.116 62.151 1.0 1.0 0.0 0.0 0.0 0.0 0.0 39.525882 30.135 82.452 4.202876 481.0 64.0 64.0 0.344325 0.004 42.975 2.9383209999999997 422.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3043.0 1460.0 65160.0 16.0 64256.0 63872.0 0.0 2758560.0 16.0 32.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 20972.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 358.0 6.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6985.0 666.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46288 6881 0 6880 677 100885692 6202 100917548 13 31856 0 1 1 192.168.101.1 22 18239 0 18239 17349 35040.0 888.0 35184.0 2.0 144.0 319.0 1.0 1.0 1565900752429.4363 1565900756392.3276 3962.892 41.261 89.651 3919.034 3918.565 40.916 81.805 1.0 1.0 0.0 0.0 0.0 0.0 0.0 39.64298 30.164 84.44 4.129742 506.0 64.0 64.0 0.35380500000000004 0.004 40.695 2.442502 354.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3154.0 1460.0 65160.0 16.0 64256.0 63872.0 0.0 2791400.0 16.0 32.0 0.0 12.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 17655.0 1460.0 1080.0 28.0 3145728.0 52608.0 0.0 1080.0 28.0 32.0 0.0 307.0 3.0 0.0 11.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5960.0 567.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46302 7407 0 7406 723 109292910 6682 109303048 5 10138 0 1 1 192.168.101.1 22 20390 0 20390 19422 37776.0 966.0 37956.0 3.0 180.0 354.0 1.0 1.0 1565900757226.0322 1565900761353.581 4127.549 41.267 90.24 4073.857 4073.254 40.943 90.24 1.0 1.0 0.0 0.0 0.0 0.0 0.0 38.956324 30.198 91.267 4.663894 451.0 64.0 64.0 0.314399 0.004 40.759 2.273965 391.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3120.0 1460.0 65160.0 16.0 64256.0 63872.0 0.0 2643620.0 16.0 32.0 0.0 4.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 19710.0 1460.0 1080.0 28.0 3145728.0 48512.0 0.0 1080.0 28.0 32.0 0.0 343.0 0.0 0.0 14.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6469.0 609.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46316 6296 0 6295 650 92478824 5644 92490408 4 11584 0 1 1 192.168.101.1 22 17584 0 17584 16762 32412.0 820.0 32628.0 4.0 216.0 319.0 1.0 1.0 1565900762124.53 1565900765917.031 3792.501 51.345 99.802 3748.999 3748.326 51.016 99.802 1.0 1.0 0.0 0.0 0.0 0.0 0.0 39.595853000000005 30.165 83.046 4.418876 488.0 64.0 64.0 0.7290449999999999 0.003 59.892 4.840204 307.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3331.0 1460.0 65160.0 16.0 64256.0 63872.0 0.0 2643620.0 16.0 32.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 17016.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 295.0 7.0 0.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5430.0 497.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46318 8525 0 8524 846 126106884 7677 126145980 4 39096 0 1 1 192.168.101.1 22 23165 0 23165 22052 43104.0 1111.0 43140.0 1.0 36.0 419.0 1.0 1.0 1565900767398.9927 1565900771915.477 4516.484 41.457 100.473 4472.582 4472.126 41.149 92.459 1.0 1.0 0.0 0.0 0.0 0.0 0.0 39.529872999999995 30.11 81.491 3.444383 615.0 64.0 64.0 0.361377 0.003 50.465 2.765708 427.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4478.0 1460.0 65160.0 16.0 64256.0 63872.0 0.0 2528680.0 16.0 32.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 22430.0 1460.0 1080.0 28.0 3145728.0 49408.0 0.0 1080.0 28.0 32.0 0.0 417.0 2.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7468.0 691.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46336 6875 0 6874 711 100885728 6162 100907968 8 22240 0 1 1 192.168.101.1 22 17078 0 17078 16185 35040.0 891.0 35256.0 2.0 216.0 358.0 1.0 1.0 1565900773229.246 1565900777175.9253 3946.679 41.385 89.905 3893.087 3892.617 41.113 82.257 1.0 1.0 0.0 0.0 0.0 0.0 0.0 39.526742 30.106 73.826 3.1735830000000003 543.0 64.0 64.0 0.302514 0.003 51.548 2.828246 358.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4168.0 1460.0 65160.0 16.0 64256.0 63872.0 0.0 2577940.0 16.0 32.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 16548.0 1460.0 1080.0 28.0 3145728.0 48512.0 0.0 1080.0 28.0 32.0 0.0 355.0 3.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5929.0 531.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46346 7702 0 7701 770 113496288 6930 113503528 2 7240 0 1 1 192.168.101.1 22 19340 0 19340 18338 39000.0 1000.0 39036.0 1.0 36.0 407.0 1.0 1.0 1565900778653.755 1565900782882.038 4228.283 51.118 89.619 4194.276 4193.658 50.815 89.619 1.0 1.0 0.0 0.0 0.0 0.0 0.0 39.601295 30.104 83.827 3.984838 539.0 64.0 64.0 0.45788599999999996 0.003 41.566 3.3256930000000002 411.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3943.0 1460.0 65160.0 16.0 64256.0 63872.0 0.0 2807820.0 16.0 32.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 18524.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 389.0 12.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 6721.0 592.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46348 7379 0 7378 709 109292765 6668 109324360 2 31595 0 1 1 192.168.101.1 22 19132 0 19132 18167 37668.0 963.0 37740.0 2.0 72.0 357.0 1.0 1.0 1565900783886.838 1565900787985.1567 4098.319 31.177 69.69 4044.456 4043.989 30.882 69.69 1.0 1.0 0.0 0.0 0.0 0.0 0.0 39.730953 30.122 73.454 3.4383660000000003 510.0 64.0 64.0 0.41615699999999994 0.003 46.004 3.4325370000000004 400.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3441.0 1460.0 65160.0 16.0 64256.0 63744.0 0.0 2709300.0 16.0 32.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 18340.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 348.0 3.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 776.0 604.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46362 6255 0 6254 595 92478644 5658 92490748 5 12104 0 1 1 192.168.101.1 22 15561 0 15561 14741 32412.0 818.0 32556.0 3.0 144.0 286.0 1.0 1.0 1565900789198.6887 1565900792975.3528 3776.664 41.131 90.321 3721.699 3721.186 40.822 81.875 1.0 1.0 0.0 0.0 0.0 0.0 0.0 38.891851 30.089 94.92 5.044518 409.0 64.0 64.0 0.466959 0.005 57.018 3.60891 341.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2326.0 1460.0 65160.0 16.0 64256.0 64000.0 0.0 2957660.0 16.0 32.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 14908.0 1460.0 1080.0 28.0 3145728.0 35840.0 0.0 1080.0 28.0 32.0 0.0 276.0 5.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 5443.0 529.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46376 8514 0 8513 819 126106848 7693 126116984 5 10136 0 1 1 192.168.101.1 22 21794 0 21794 20683 42996.0 1109.0 43068.0 1.0 72.0 396.0 1.0 1.0 1565900794016.641 1565900798589.891 4573.25 51.045 99.677 4529.333 4528.719 50.703 81.541 1.0 1.0 0.0 0.0 0.0 0.0 0.0 39.504458 30.104 92.814 3.9631529999999997 599.0 64.0 64.0 0.340555 0.003 54.734 2.815975 434.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4269.0 1460.0 65160.0 16.0 64256.0 63872.0 0.0 2643620.0 16.0 32.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 20964.0 1460.0 1080.0 28.0 3145728.0 49792.0 0.0 1080.0 28.0 32.0 0.0 390.0 6.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 7478.0 712.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
