#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 51512 358855 0 358854 748 1248448404 358105 1310617376 16361 62168972 0 1 1 192.168.101.1 22 144468 0 144468 133597 400080 10869 400080 0 0 0 1 1 1565722836023.6133 1565722940643.9854 104620.372 31.303 41.331 104582.967 104551.654 31.112 31.313 1 1 0 0 0 0 0 0.036087 0.002 44.016 0.226397 118122 63 63 34.646994 30.045 72.595 1.7476639999999999 10700 64 64 0 0 0 0 0 0 1 1 7 1 556 1460 65160 12 64256 62592 0 402544 16 32 0 0 0 2152 14888 0 0 0 0 1 1 7 1 15675 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 3600.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 78.0 10868.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51682 308618 0 308617 622 1126545925 307994 1182852028 14568 56306103 0 1 1 192.168.101.1 22 128893 0 128893 119090 362172 9801 362172 0 0 0 1 1 1565722956954.899 1565723051486.87 94531.971 31.497 40.522 94494.724 94459.394 31.279 31.508 1 1 0 0 0 0 0 0.032106 0.002 46.893 0.241693 105392 63 63 34.1623 30.056 80.81 1.389553 9682 64 64 0 0 0 0 0 0 1 1 7 1 491 1460 65160 16 64256 63872 0 512592 16 32 0 0 0 1984 13259 0 0 0 0 1 1 7 1 13857 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 3472.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 82.0 9800.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51850 310517 0 310516 600 1109732099 309915 1167181212 15059 57449113 0 1 1 192.168.101.1 22 128568 0 128568 118909 356124 9657 356124 0 0 0 1 1 1565723067540.972 1565723160629.258 93088.286 31.983 40.958 93046.635 93014.921 31.726 31.996 1 1 0 0 0 0 0 0.036249 0.002 41.217 0.231377 104746 63 63 34.445305 29.913 76.723 1.6542700000000001 9532 64 64 0 0 0 0 0 0 1 1 7 1 467 1460 65160 12 64256 64128 0 408336 16 32 0 0 0 2018 13663 0 0 0 0 1 1 7 1 14285 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 3528.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 87.0 9656.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52004 322010 0 322009 668 1164377606 321340 1221180592 14729 56802986 0 1 1 192.168.101.1 22 134453 0 134453 124314 370020 10137 370020 0 0 0 1 1 1565723177540.7527 1565723275232.214 97691.461 31.743 39.998 97655.709 97624.004 31.657 31.752 1 1 0 0 0 0 0 0.035518 0.002 43.901 0.231344 110448 63 63 34.738114 30.168 76.083 1.632654 10026 64 64 0 0 0 0 0 0 1 1 7 1 545 1460 65160 16 64256 64128 0 427160 16 32 0 0 0 2023 13407 0 0 0 0 1 1 7 1 13981 1460.0 1100.0 28.0 3145728.0 63872.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 77.0 10137.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52168 352477 0 352476 621 1139156737 351854 1197431408 16011 58274671 0 1 1 192.168.101.1 22 139367 0 139367 129452 362640 9913 362640 0 0 0 1 1 1565723292419.7402 1565723387959.689 95539.949 31.997 43.941 95503.558 95472.263 31.662 32.009 1 1 0 0 0 0 0 0.040182999999999996 0.002 43.334 0.226334 114128 63 63 34.40842 30.069 77.554 1.5304950000000002 9822 64 64 0 0 0 0 0 0 1 1 7 1 514 1460 65160 12 64256 64128 0 540104 16 32 0 0 0 1877 14576 0 0 0 0 1 1 7 1 15468 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 72.0 9913.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52340 339784 0 339783 670 1168580912 339112 1228053596 15776 59472684 0 1 1 192.168.101.1 22 136883 0 136883 126708 371316 10173 371316 0 0 0 1 1 1565723404781.586 1565723503463.638 98682.052 31.956 41.735 98641.556 98610.506 31.815 31.966 1 1 0 0 0 0 0 0.040912000000000004 0.002 43.487 0.223786 111957 63 63 34.9024 30.089 77.265 1.8028419999999998 10041 64 64 0 0 0 0 0 0 1 1 7 1 535 1460 65160 16 64256 64128 0 343176 16 32 0 0 0 2048 14313 0 0 0 0 1 1 7 1 14870 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 74.0 10173.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52510 346392 0 346391 820 1244244524 345570 1307619628 16596 63375104 0 1 1 192.168.101.1 22 142562 0 142562 131733 395580 10827 395580 0 0 0 1 1 1565723521163.21 1565723625856.4998 104693.29 31.466 39.846 104658.426 104627.286 31.249 31.477 1 1 0 0 0 0 0 0.03242 0.002 43.919 0.22005300000000003 116037 63 63 34.643374 30.0 76.149 1.752588 10631 64 64 0 0 0 0 0 0 1 1 7 1 590 1460 65160 12 64256 64128 0 432952 16 32 0 0 0 2182 15100 0 0 0 0 1 1 7 1 15896 1460.0 1100.0 28.0 3145728.0 54528.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 70.0 10827.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52680 339009 0 339008 696 1240040786 338311 1301044348 16146 61003562 0 1 1 192.168.101.1 22 141510 0 141510 130720 394680 10788 394680 0 0 0 1 1 1565723643719.437 1565723747704.453 103985.016 31.853 39.893 103940.998 103909.916 31.563 31.866 1 1 0 0 0 0 0 0.033865 0.002 44.048 0.22524499999999997 115631 63 63 34.987142999999996 30.02 75.548 1.818143 10670 64 64 0 0 0 0 0 0 1 1 7 1 567 1460 65160 12 64256 64128 0 292496 16 32 0 0 0 2155 14694 0 0 0 0 1 1 7 1 15230 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 126.0 10788.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52868 321192 0 321191 733 1160173978 320457 1218000436 15123 57826458 0 1 1 192.168.101.1 22 133111 0 133111 123016 369192 10093 369192 0 0 0 1 1 1565723764500.674 1565723861807.558 97306.884 31.964 40.492 97272.672 97239.801 31.82 31.975 1 1 0 0 0 0 0 0.033118 0.002 43.311 0.22772399999999998 108821 63 63 34.259419 30.089 76.097 1.8643669999999999 9937 64 64 0 0 0 0 0 0 1 1 7 1 551 1460 65160 16 64256 64000 0 483632 16 32 0 0 0 2081 13725 0 0 0 0 1 1 7 1 14418 1460.0 1136.0 28.0 3145728.0 64128.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 105.0 10093.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 53040 342539 0 342538 666 1240041219 341871 1303254544 16817 63213325 0 1 1 192.168.101.1 22 143290 0 143290 132498 394248 10790 394248 0 0 0 1 1 1565723878873.0203 1565723985092.1768 106219.157 32.185 40.462 106184.93 106153.772 31.854 32.197 1 1 0 0 0 0 0 0.030925 0.002 42.237 0.21636599999999998 116776 63 63 34.400301 30.06 78.392 1.416885 10678 64 64 0 0 0 0 0 0 1 1 7 1 531 1460 65160 16 64256 64128 0 483632 16 32 0 0 0 2399 15165 0 0 0 0 1 1 7 1 16030 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 81.0 10790.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
