#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 39854 14581 0 14580 256 113496107 14323 119806492 790 6310385 0 1 1 192.168.101.1 22 5496 0 5496 4501 39612 993 39612 0 0 0 1 1 1565715749830.25 1565715757976.7378 8146.488 30.876 38.559 8111.904 8080.681 30.612 30.908 1 1 0 0 0 0 0 0.064006 0.002 42.034 1.1445370000000001 3877 63 63 32.323336 29.991 74.959 5.715941 803 64 64 0 0 0 0 0 0 1 1 7 1 40 1460 65160 16 64256 64128 0 434400 16 32 0 0 0 120 755 0 0 0 0 1 1 7 1 754 1460.0 1080.0 28.0 3145728.0 63104.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 25.0 993.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39858 9892 0 9891 223 84071136 9667 88458676 531 4387540 0 1 1 192.168.101.1 22 3636 0 3636 2892 29748 742 29748 0 0 0 1 1 1565715758963.489 1565715764147.703 5184.214 31.065 38.704 5148.828 5117.473 30.683 31.076 1 1 0 0 0 0 0 0.089654 0.002 43.76 1.4848379999999999 2478 63 63 32.467288 30.089 73.398 5.15651 568 64 64 0 0 0 0 0 0 1 1 7 1 31 1460 65160 16 64256 64128 0 415576 16 32 0 1 0 68 505 0 0 0 0 1 1 7 1 519 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 742.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39882 13422 0 13421 393 113496216 13027 118601864 630 5105648 0 1 1 192.168.101.1 22 4425 0 4425 3423 39144 1000 39144 0 0 0 1 1 1565715765457.715 1565715771789.268 6331.553 31.073 39.895 6297.79 6266.4 30.787 31.086 1 1 0 0 0 0 0 0.07375 0.002 44.329 1.356187 2934 63 63 32.605309000000005 29.981 77.514 6.089574 730 64 64 0 0 0 0 0 0 1 1 7 1 59 1460 65160 16 64256 64128 0 540104 16 32 0 0 0 79 602 0 0 0 0 1 1 7 1 615 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 1000.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39886 14882 0 14881 233 109292264 14647 114926432 797 5634168 0 1 1 192.168.101.1 22 5692 0 5692 4728 37668 962 37668 0 0 0 1 1 1565715772987.453 1565715779160.947 6173.494 30.926 39.986 6139.541 6108.482 30.648 30.937 1 1 0 0 0 0 0 0.066367 0.002 43.292 1.151537 4095 63 63 31.675775 30.02 78.109 3.699989 804 64 64 0 0 0 0 0 0 1 1 7 1 56 1460 65160 16 64256 64128 0 364896 16 32 0 0 0 96 759 0 0 0 0 1 1 7 1 763 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 962.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39898 12464 0 12463 208 88275232 12254 92234736 605 3959504 0 1 1 192.168.101.1 22 4257 0 4257 3476 31080 779 31080 0 0 0 1 1 1565715780141.7317 1565715785636.2397 5494.508 30.856 40.392 5461.009 5429.638 30.628 30.863 1 1 0 0 0 0 0 0.06781799999999999 0.002 40.926 1.2982120000000001 2960 63 63 31.968504 29.994 77.467 4.6127080000000005 648 64 64 0 0 0 0 0 0 1 1 7 1 44 1460 65160 16 64256 64128 0 369240 16 32 0 0 0 88 564 0 0 0 0 1 1 7 1 606 1460.0 1080.0 28.0 3145728.0 63104.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 779.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39914 11171 0 11170 196 84070920 10973 87883504 570 3812584 0 1 1 192.168.101.1 22 4120 0 4120 3375 29784 743 29784 0 0 0 1 1 1565715786694.752 1565715791801.931 5107.179 31.118 38.815 5071.015 5039.805 30.663 31.13 1 1 0 0 0 0 0 0.07938400000000001 0.002 41.408 1.327402 2917 63 63 31.741716999999998 29.958 77.647 4.277257 620 64 64 0 0 0 0 0 0 1 1 7 1 45 1460 65160 16 64256 64128 0 411232 16 32 0 0 0 100 536 0 0 0 0 1 1 7 1 546 1460.0 1080.0 28.0 3145728.0 61056.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 743.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39918 10919 0 10918 169 84071712 10748 88082672 560 4010960 0 1 1 192.168.101.1 22 4107 0 4107 3360 30072 745 30072 0 0 0 1 1 1565715792650.181 1565715797744.265 5094.084 31.113 38.838 5058.907 5027.664 30.812 31.125 1 1 0 0 0 0 0 0.072775 0.002 43.901 1.359579 2890 63 63 32.033839 30.019 77.106 5.196896 624 64 64 0 0 0 0 0 0 1 1 7 1 35 1460 65160 16 64256 64128 0 415576 16 32 0 0 0 62 554 0 0 0 0 1 1 7 1 546 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 745.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39936 11838 0 11837 247 100885584 11589 106579120 703 5693536 0 1 1 192.168.101.1 22 4575 0 4575 3680 35508 893 35508 0 0 0 1 1 1565715798994.1243 1565715804780.6028 5786.479 31.568 39.357 5753.03 5721.892 31.255 31.58 1 1 0 0 0 0 0 0.076872 0.002 43.893 1.305642 3126 63 63 32.120345 30.018 72.339 5.08271 706 64 64 0 0 0 0 0 0 1 1 7 1 41 1460 65160 16 64256 64128 0 483632 16 32 0 0 0 119 670 0 0 0 0 1 1 7 1 661 1460.0 1080.0 28.0 3145728.0 56960.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 893.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39944 10008 0 10007 224 84071856 9782 88398480 534 4326624 0 1 1 192.168.101.1 22 3864 0 3864 3119 29784 743 29784 0 0 0 1 1 1565715805636.3557 1565715810785.7188 5149.363 31.085 38.983 5114.818 5083.571 30.681 31.097 1 1 0 0 0 0 0 0.079421 0.002 43.499 1.4232790000000002 2694 63 63 32.232347999999995 30.088 77.69 4.772498000000001 586 64 64 0 0 0 0 0 0 1 1 7 1 46 1460 65160 16 64256 64128 0 372136 16 32 0 0 0 62 516 0 0 0 0 1 1 7 1 524 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 743.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39948 17053 0 17052 233 126106992 16818 132195832 767 6088840 0 1 1 192.168.101.1 22 6203 0 6203 5091 42996 1110 42996 0 0 0 1 1 1565715812271.3562 1565715818945.5698 6674.214 31.113 38.762 6640.38 6609.269 30.707 31.125 1 1 0 0 0 0 0 0.064275 0.002 43.37 1.087497 4472 63 63 31.438144 29.95 74.755 3.504039 938 64 64 0 0 0 0 0 0 1 1 7 1 54 1460 65160 16 64256 64128 0 315664 16 32 0 0 0 133 723 0 0 0 0 1 1 7 1 749 1460.0 1080.0 28.0 3145728.0 63872.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 1110.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
