#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 48508 10511 0 10510 89 88194159 10420 88194160 1 1 13 1 1 192.168.101.1 22 3120 0 3120 2411 28416 707 28452 1 36 0 1 1 1565280134954.725 1565280146237.3276 11282.603 39.552 47.154 11249.108 11217.562 39.379 39.56 1 1 0 0 0 0 0 0.11186099999999999 0.002 43.376 1.5168469999999998 2418 63 63 39.806967 30.252 81.814 11.138539 602 64 64 0 0 0 0 0 0 1 1 7 1 37 1460 65160 16 64256 64128 0 443088 16 32 0 13 0 0 1 0 0 0 0 1 1 7 1 27 1460.0 1080.0 28.0 2562944.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 706.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48528 13648 0 13647 51 117575140 13595 117575140 0 0 27 1 1 192.168.101.1 22 4732 0 4732 3824 36480 906 36552 2 72 0 1 1 1565280147260.931 1565280170115.544 22854.613 31.252 38.804 22820.641 22789.531 31.002 31.263 1 1 0 0 0 0 0 0.0907 0.002 43.591 1.2012969999999998 3801 63 63 40.635040999999994 30.221 77.093 9.542036 845 64 64 0 0 0 0 0 0 1 1 7 1 57 1460 65160 16 64256 64128 0 247608 16 32 2 25 0 0 0 0 0 0 0 1 1 7 1 63 1460.0 1080.0 28.0 1346048.0 64128.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 904.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48548 13455 0 13454 27 109177496 13426 109177496 0 0 16 1 1 192.168.101.1 22 4865 0 4865 4014 33672 849 33672 0 0 0 1 1 1565280171108.681 1565280185704.878 14596.197 30.944 39.079 14562.091 14530.244 30.635 30.956 1 1 0 0 0 0 0 0.078659 0.002 43.505 1.167301 4012 63 63 36.235555 30.332 77.441 6.572296000000001 823 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 463360 16 32 0 16 0 0 0 0 0 0 0 1 1 7 1 39 1460.0 1080.0 28.0 1884800.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 849.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48556 12408 0 12407 71 96580644 12335 96580644 0 0 21 1 1 192.168.101.1 22 3634 0 3634 2878 30144 754 30180 1 36 0 1 1 1565280186627.245 1565280200602.258 13975.013 30.751 38.573 13941.53 13910.121 30.663 30.759 1 1 0 0 0 0 0 0.09790599999999999 0.002 41.328 1.33202 2885 63 63 38.844361 30.228 77.566 10.004843 676 64 64 0 0 0 0 0 0 1 1 7 1 13 1460 65160 16 64256 64128 0 451776 16 32 0 21 0 0 0 0 0 0 0 1 1 7 1 34 1460.0 1080.0 28.0 2489344.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 753.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48582 9612 0 9611 59 92380148 9551 92380148 0 0 40 1 1 192.168.101.1 22 3831 0 3831 3110 28884 719 28956 2 72 0 1 1 1565280201493.164 1565280216305.2856 14812.122 30.686 38.711 14778.064 14746.869 30.463 30.695 1 1 0 0 0 0 0 0.086281 0.002 43.024 1.2968309999999998 3108 63 63 37.668754 30.395 78.122 7.659313 663 64 64 0 0 0 0 0 0 1 1 7 1 68 1460 65160 16 64256 64128 0 338832 16 32 0 40 0 0 0 0 0 0 0 1 1 7 1 66 1460.0 1080.0 28.0 2947328.0 64128.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 717.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48594 11998 0 11997 19 96579060 11977 96579060 0 0 22 1 1 192.168.101.1 22 4749 0 4749 3997 30036 750 30072 1 36 0 1 1 1565280217218.2727 1565280233605.225 16386.952 31.084 38.391 16352.928 16319.155 30.843 31.094 1 1 0 0 0 0 0 0.07565 0.002 42.125 1.137122 3991 63 63 38.118186 30.388 75.162 7.950257000000001 736 64 64 0 0 0 0 0 0 1 1 7 1 46 1460 65160 16 64256 64128 0 337384 16 32 0 22 0 0 0 0 0 0 0 1 1 7 1 46 1460.0 1080.0 28.0 1481088.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 749.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48610 14629 0 14628 56 117577768 14571 117577768 0 0 15 1 1 192.168.101.1 22 4749 0 4749 3828 36120 919 36120 0 0 0 1 1 1565280234680.194 1565280250750.6223 16070.428 30.92 38.277 16035.904 16004.722 30.643 30.929 1 1 0 0 0 0 0 0.09038500000000001 0.002 43.873 1.200024 3827 63 63 37.917792 30.213 266.489 11.548619 844 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 450328 16 32 0 15 0 0 0 0 0 0 0 1 1 7 1 39 1460.0 1080.0 28.0 1829888.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 919.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48632 13247 0 13246 50 88181488 13195 88181488 0 0 6 1 1 192.168.101.1 22 4188 0 4188 3500 28020 686 28092 2 72 0 1 1 1565280251414.0908 1565280263096.2085 11682.118 30.779 38.245 11648.164 11616.937 30.601 30.788 1 1 0 0 0 0 0 0.095432 0.002 43.877 1.274357 3513 63 63 36.836934 30.177 77.853 8.150303 635 64 64 0 0 0 0 0 0 1 1 7 1 113 1460 65160 16 64256 64128 0 412680 16 32 0 6 0 0 0 0 0 0 0 1 1 7 1 17 1460.0 1080.0 28.0 1807616.0 64128.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 684.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48638 16542 0 16541 99 121779272 16441 121779272 0 0 12 1 1 192.168.101.1 22 4909 0 4909 3954 37488 953 37524 1 36 0 1 1 1565280264148.63 1565280279668.718 15520.088 30.935 39.177 15485.63 15454.395 30.622 30.948 1 1 0 0 0 0 0 0.078015 0.002 43.446 1.153501 3973 63 63 35.92671 30.17 75.511 7.394356 829 64 64 0 0 0 0 0 0 1 1 7 1 82 1460 65160 16 64256 64000 0 388064 16 32 0 12 0 0 0 0 0 0 0 1 1 7 1 33 1460.0 1080.0 28.0 2341248.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 952.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48664 14669 0 14668 64 113402796 14603 113402796 0 0 11 1 1 192.168.101.1 22 4572 0 4572 3662 35724 908 35724 0 0 0 1 1 1565280280679.931 1565280292276.4958 11596.565 31.431 39.67 11560.592 11529.173 31.223 31.442 1 1 0 0 0 0 0 0.089104 0.002 43.252 1.197371 3689 63 63 35.504656 30.043 76.255 6.873613000000001 840 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 325800 16 32 0 11 0 0 0 0 0 0 0 1 1 7 1 17 1460.0 1080.0 28.0 2159232.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 908.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
