#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 46272 165049 0 165048 147 1158909838 164900 1158909840 1 2 1279 1 1 192.168.101.1 22 62070 0 62070 53199 325524 8869 326712 33 1188 0 1 1 1565379792409.138 1565380123968.712 331559.574 31.455 39.789 331525.855 331491.818 31.425 31.463 1 1 0 0 0 0 0 0.046401 0.002 42.112 0.390257 51698 63 63 42.947095000000004 30.178 147.86 9.700667999999999 8654 64 64 0 0 0 0 0 0 1 1 7 1 693 1460 65160 16 64256 64128 0 586440 16 32 40 1197 0 0 43 0 0 0 0 1 1 7 1 2563 1460.0 1100.0 28.0 2652032.0 64128.0 0.0 1188.0 28.0 32.0 2.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 37.0 8836.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46658 135022 0 135021 168 1150509964 134852 1150509964 0 0 1105 1 1 192.168.101.1 22 57199 0 57199 48384 321924 8813 323580 45 1656 0 1 1 1565380138099.411 1565380471455.5642 333356.153 31.397 40.729 333322.13 333290.941 31.128 31.41 1 1 0 0 0 0 0 0.041454000000000005 0.002 47.175 0.359365 46997 63 63 44.343689000000005 30.293 75.404 10.361317 8554 64 64 0 0 0 0 0 0 1 1 7 1 712 1460 65160 16 64256 64128 0 438744 16 32 10 1080 0 0 15 0 0 0 0 1 1 7 1 2304 1460.0 1100.0 28.0 1590912.0 64128.0 0.0 1136.0 28.0 32.0 2.0 43.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 33.0 8768.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47048 159654 0 159653 188 1179901445 159464 1179901448 2 3 1322 1 1 192.168.101.1 22 61080 0 61080 52024 329592 9054 331464 52 1872 0 1 1 1565380485640.8167 1565380832334.999 346694.182 31.347 42.28 346659.758 346628.764 31.075 31.359 1 1 0 0 0 0 0 0.044596 0.002 43.934 0.46457299999999996 50509 63 63 44.087920000000004 30.246 77.095 10.316222 8778 64 64 0 0 0 0 0 0 1 1 7 1 960 1460 65160 16 64256 64128 0 489424 16 32 0 1322 0 0 2 0 0 0 0 1 1 7 1 2619 1460.0 1100.0 28.0 1763072.0 64128.0 0.0 1172.0 28.0 32.0 4.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 29.0 9002.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47444 154530 0 154529 338 1184105686 154190 1184105688 1 2 1091 1 1 192.168.101.1 22 55646 0 55646 46581 338808 9063 340536 48 1728 0 1 1 1565380849714.7788 1565381168425.836 318711.057 31.349 39.942 318676.81 318645.602 31.098 31.361 1 1 0 0 0 0 0 0.047367 0.002 42.734 0.421579 45377 63 63 45.352371999999995 30.323 77.185 10.859842 8608 64 64 0 0 0 0 0 0 1 1 7 1 874 1460 65160 16 64256 64128 0 479288 16 32 0 1044 0 0 48 0 0 0 0 1 1 7 1 2150 1460.0 2896.0 28.0 1368320.0 64128.0 0.0 3816.0 28.0 32.0 1.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 39.0 9014.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47802 139298 0 139297 208 1070728343 139088 1070728344 1 1 1097 1 1 192.168.101.1 22 51839 0 51839 43627 298056 8210 299640 44 1584 0 1 1 1565381182400.0107 1565381474915.9207 292515.91 31.925 40.328 292481.698 292450.593 31.655 31.934 1 1 0 0 0 0 0 0.04339 0.003 43.046 0.44246800000000003 42523 63 63 44.787696999999994 30.273 140.133 10.772886999999999 7929 64 64 0 0 0 0 0 0 1 1 7 1 638 1460 65160 16 64256 64128 0 325800 16 32 28 1047 0 0 23 0 0 0 0 1 1 7 1 2032 1460.0 1080.0 28.0 1191680.0 64128.0 0.0 1080.0 28.0 32.0 6.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 8166.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48156 142098 0 142097 154 1095924684 141942 1095924684 0 0 1073 1 1 192.168.101.1 22 55225 0 55225 46828 306552 8395 307740 33 1188 0 1 1 1565381488319.797 1565381794733.9573 306414.16 31.47 39.17 306378.37 306347.072 31.148 31.479 1 1 0 0 0 0 0 0.04532 0.002 45.606 0.403744 45589 63 63 43.621961 30.078 78.556 10.098536 8165 64 64 0 0 0 0 0 0 1 1 7 1 670 1460 65160 16 64256 64128 0 375032 16 32 0 1049 0 0 24 0 0 0 0 1 1 7 1 2127 1460.0 1100.0 28.0 1587968.0 64128.0 0.0 1136.0 28.0 32.0 2.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 8362.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48522 144043 0 144042 175 1154709956 143866 1154709956 0 0 1265 1 1 192.168.101.1 22 58039 0 58039 49191 323256 8846 324840 44 1584 0 1 1 1565381808789.536 1565382148809.383 340019.847 31.636 41.757 339985.844 339954.604 31.392 31.646 1 1 0 0 0 0 0 0.043588 0.002 43.423 0.439675 47768 63 63 44.244556 30.232 78.163 10.123658 8579 64 64 0 0 0 0 0 0 1 1 7 1 663 1460 65160 16 64256 64128 0 651600 16 32 0 1222 0 0 43 0 0 0 0 1 1 7 1 2494 1460.0 1100.0 28.0 2653440.0 64128.0 0.0 1136.0 28.0 32.0 1.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 31.0 8802.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48918 153984 0 153983 196 1184106839 153786 1184106840 1 1 1166 1 1 192.168.101.1 22 60589 0 60589 51531 332796 9056 334452 46 1656 0 1 1 1565382163660.8037 1565382491255.1167 327594.313 31.537 40.396 327558.769 327527.486 31.374 31.549 1 1 0 0 0 0 0 0.042726 0.003 43.201 0.350529 50181 63 63 43.265729 30.241 136.519 10.396653 8781 64 64 0 0 0 0 0 0 1 1 7 1 791 1460 65160 16 64256 64128 0 448880 16 32 47 1074 0 0 46 0 0 0 0 1 1 7 1 2331 1460.0 1100.0 28.0 1279232.0 64128.0 0.0 1136.0 28.0 32.0 2.0 43.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 55.0 9010.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 49310 154355 0 154354 165 1247085189 154188 1247085192 1 3 1115 1 1 192.168.101.1 22 62465 0 62465 52917 348456 9546 349680 34 1224 0 1 1 1565382506340.6118 1565382859012.746 352672.134 32.361 40.464 352636.813 352605.39 32.099 32.37 1 1 0 0 0 0 0 0.04465 0.002 47.734 0.448829 51518 63 63 43.438185 30.242 74.87 9.866468 9311 64 64 0 0 0 0 0 0 1 1 7 1 631 1460 65160 16 64256 64128 0 346072 16 32 1 1085 0 0 30 0 0 0 0 1 1 7 1 2295 1460.0 1100.0 28.0 1291136.0 64128.0 0.0 1100.0 28.0 32.0 2.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 13.0 9512.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 49698 160396 0 160395 208 1171505316 160186 1171505316 0 0 1223 1 1 192.168.101.1 22 61984 0 61984 53009 328080 8973 329736 46 1656 0 1 1 1565382873728.3137 1565383207603.968 333875.654 31.486 40.002 333838.454 333807.167 31.298 31.497 1 1 0 0 0 0 0 0.044614 0.002 42.464 0.377375 51674 63 63 43.90375 30.225 78.265 10.401082 8693 64 64 0 0 0 0 0 0 1 1 7 1 874 1460 65160 12 64256 64128 0 334488 16 32 15 1149 0 0 59 0 0 0 0 1 1 7 1 2364 1460.0 1100.0 28.0 1233280.0 64128.0 0.0 1136.0 28.0 32.0 2.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 27.0 8927.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
