#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 39970 121804 0 121803 270 1108518753 121532 1108518792 2 39 2504 1 1 192.168.101.1 22 53990 0 53990 45425 309648 8563 313084 91 3436 0 1 1 1565527113522.099 1565527579791.8782 466269.779 31.677 39.62 466234.821 466203.823 31.374 31.689 1 1 0 0 0 0 0 0.050078 0.002 57.722 0.662725 43185 63 63 49.691776000000004 30.187 136.558 11.418754 8178 64 64 0 0 0 0 0 0 1 1 7 1 1198 1460 65160 16 64256 64128 0 359104 16 32 329 1853 17 0 306 0 1 0 0 1 1 7 1 4171 1460.0 1100.0 28.0 1673984.0 64128.0 0.0 1100.0 28.0 32.0 11.0 79.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 15.0 8472.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40716 82453 0 82452 319 1188298082 82132 1188302428 4 4346 1921 1 1 192.168.101.1 22 44902 0 44902 35747 330996 9153 334020 82 3024 0 1 1 1565527593932.5374 1565528067881.792 473949.255 31.572 39.68 473914.127 473882.58 31.118 31.585 1 1 0 0 0 0 0 0.080537 0.002 58.272 1.352416 33952 63 63 52.199294 30.388 143.771 11.001892 8735 64 64 0 0 0 0 0 0 1 1 7 1 655 1460 65160 16 64256 64128 0 447432 16 32 94 1393 0 0 427 0 11 0 0 1 1 7 1 3226 1460.0 1100.0 28.0 2200832.0 63360.0 0.0 1136.0 28.0 32.0 5.0 77.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 9071.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 41484 76030 0 76029 258 1133712837 75770 1133715736 3 2899 1832 1 1 192.168.101.1 22 43692 0 43692 34965 316380 8725 319332 82 2952 0 1 1 1565528081787.2588 1565528537767.1687 455979.91 34.015 47.028 455946.151 455914.831 33.71 34.027 1 1 0 0 0 0 0 0.072783 0.002 58.457 1.226091 33260 63 63 52.581497999999996 30.34 144.664 11.153985 8380 64 64 0 0 0 0 0 0 1 1 7 1 752 1460 65160 16 64256 64128 0 428608 16 32 49 1357 5 0 416 0 8 0 0 1 1 7 1 3030 1460.0 1100.0 28.0 2226048.0 64128.0 0.0 1136.0 28.0 32.0 5.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 15.0 8643.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 42208 81413 0 81412 330 1234486115 81081 1234487564 2 1449 1947 1 1 192.168.101.1 22 47037 0 47037 37523 344100 9512 347520 94 3420 0 1 1 1565528553637.4507 1565529041352.801 487715.35 31.714 42.561 487680.994 487649.739 31.501 31.727 1 1 0 0 0 0 0 0.061078 0.002 62.243 1.032939 35664 63 63 52.526681999999994 30.332 134.974 11.069163 9049 64 64 0 0 0 0 0 0 1 1 7 1 814 1460 65160 16 64256 64128 0 364896 16 32 17 1561 0 0 368 0 3 0 0 1 1 7 1 3299 1460.0 1100.0 28.0 1363840.0 64128.0 0.0 1100.0 28.0 32.0 7.0 87.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 23.0 9418.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 42978 69743 0 69742 297 1053931398 69444 1053935744 4 4346 1765 1 1 192.168.101.1 22 40208 0 40208 32080 292836 8126 295716 80 2880 0 1 1 1565529053682.5256 1565529477885.8362 424203.31 31.589 48.34 424167.186 424135.562 31.313 31.602 1 1 0 0 0 0 0 0.07191900000000001 0.002 61.876 1.269672 30525 63 63 52.2503 30.234 139.775 11.339113000000001 7737 64 64 0 0 0 0 0 0 1 1 7 1 755 1460 65160 16 64256 64128 0 443088 16 32 7 1223 0 0 517 0 22 0 0 1 1 7 1 2874 1460.0 1080.0 28.0 1375744.0 64128.0 0.0 1080.0 28.0 32.0 5.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 8046.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 43652 83454 0 83453 296 1142110052 83156 1142112948 2 2896 1884 1 1 192.168.101.1 22 44776 0 44776 35972 318324 8802 321384 85 3060 0 1 1 1565529491970.048 1565529926231.532 434261.484 32.262 41.916 434222.097 434190.976 31.978 32.277 1 1 0 0 0 0 0 0.069324 0.002 57.063 1.141453 34286 63 63 51.622682 30.294 136.579 11.215158 8411 64 64 0 0 0 0 0 0 1 1 7 1 742 1460 65160 16 64256 64128 0 412680 16 32 48 1443 0 0 384 0 11 0 0 1 1 7 1 3137 1460.0 1100.0 28.0 1415808.0 64128.0 0.0 1136.0 28.0 32.0 3.0 82.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 8717.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44374 72307 0 72306 263 1074927565 72042 1074931912 4 4347 1635 1 1 192.168.101.1 22 41369 0 41369 33087 300108 8280 302880 77 2772 0 1 1 1565529940145.389 1565530363644.339 423498.95 31.542 39.156 423463.363 423432.075 31.276 31.554 1 1 0 0 0 0 0 0.079839 0.002 60.719 1.3752229999999999 31539 63 63 51.997826 30.372 143.106 11.41205 7933 64 64 0 0 0 0 0 0 1 1 7 1 724 1460 65160 16 64256 64128 0 536260 16 32 46 1266 0 0 306 0 21 0 0 1 1 7 1 2765 1460.0 1100.0 28.0 1988608.0 64128.0 0.0 1136.0 28.0 32.0 2.0 74.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 14.0 8203.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45048 87227 0 87226 237 1112717665 86988 1112722012 4 4347 2146 1 1 192.168.101.1 22 47121 0 47121 38531 310692 8588 314004 90 3312 0 1 1 1565530377075.788 1565530847021.653 469945.865 31.69 40.462 469909.399 469878.155 31.437 31.704 1 1 0 0 0 0 0 0.068677 0.002 60.567 1.174284 36607 63 63 52.198819 30.204 138.178 11.103807000000002 8232 64 64 0 0 0 0 0 0 1 1 7 1 676 1460 65160 16 64256 64128 0 431504 16 32 228 1634 0 0 278 0 10 0 0 1 1 7 1 3566 1460.0 1100.0 28.0 1727488.0 64128.0 0.0 1136.0 28.0 32.0 6.0 85.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 14.0 8498.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45798 87773 0 87772 287 1100120932 87484 1100128240 6 7308 1953 1 1 192.168.101.1 22 45699 0 45699 37207 308352 8490 312004 93 3652 0 1 1 1565530860302.683 1565531308023.3342 447720.651 31.933 42.366 447686.007 447654.743 31.67 31.945 1 1 0 0 0 0 0 0.064705 0.002 62.195 1.041317 35435 63 63 51.869225 30.326 137.134 11.35316 8067 64 64 0 0 0 0 0 0 1 1 7 1 964 1460 65160 16 64256 64000 0 435848 16 32 63 1476 0 0 402 0 18 0 0 1 1 7 1 3259 1460.0 1296.0 28.0 1789824.0 64128.0 0.0 1332.0 28.0 32.0 5.0 87.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 8397.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46518 88666 0 88665 272 1091723105 88392 1091726004 3 2899 1945 1 1 192.168.101.1 22 45236 0 45236 36822 305112 8412 307668 71 2556 0 1 1 1565531321665.7107 1565531753053.28 431387.569 31.718 40.408 431349.622 431318.186 31.443 31.733 1 1 0 0 0 0 0 0.068414 0.002 60.248 1.102566 35080 63 63 51.286755 30.278 140.078 11.067133 8067 64 64 0 0 0 0 0 0 1 1 7 1 620 1460 65160 16 64256 64128 0 379376 16 32 164 1487 0 0 286 0 11 0 0 1 1 7 1 3206 1460.0 1100.0 28.0 1258496.0 64128.0 0.0 1172.0 28.0 32.0 4.0 67.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 13.0 8341.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
