#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 54808 9248 0 9247 30 104977287 9216 104977288 1 1 179 1 1 192.168.101.1 22 4513 0 4513 3685 32484 826 32736 7 252 0 1 1 1565482822174.629 1565482861704.0923 39529.463 30.9 38.769 39495.766 39464.693 30.608 30.912 1 1 0 0 0 0 0 0.081475 0.002 41.415 1.2104059999999999 3518 63 63 51.993217 30.343 75.632 11.042167 791 64 64 0 0 0 0 0 0 1 1 7 1 89 1460 65160 16 64256 64128 0 312768 16 32 0 171 0 0 9 0 0 0 0 1 1 7 1 317 1460.0 1080.0 28.0 955776.0 64128.0 0.0 1080.0 28.0 32.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 819.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 54882 8602 0 8601 49 113376120 8551 113376120 0 0 99 1 1 192.168.101.1 22 4094 0 4094 3213 35256 879 35544 8 288 0 1 1 1565482862907.658 1565482900600.7717 37693.114 30.905 39.138 37659.296 37628.029 30.85 30.914 1 1 0 0 0 0 0 0.089423 0.003 44.034 1.3394620000000002 3083 63 63 48.679486 30.429 76.631 11.318983 823 64 64 0 0 0 0 0 0 1 1 7 1 118 1460 65160 16 64256 64128 0 282360 16 32 0 88 5 0 6 0 0 0 0 1 1 7 1 212 1460.0 1080.0 28.0 1211008.0 64128.0 0.0 1080.0 28.0 32.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 871.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 54932 8949 0 8948 20 92380541 8927 92381992 2 1451 238 1 1 192.168.101.1 22 4540 0 4540 3815 28920 723 29064 4 144 0 1 1 1565482901590.693 1565482942813.938 41223.245 30.906 38.507 41189.828 41158.74 30.603 30.915 1 1 0 0 0 0 0 0.079551 0.003 45.362 1.233425 3649 63 63 49.579509 30.462 135.668 12.133578 705 64 64 0 0 0 0 0 0 1 1 7 1 16 1460 65160 16 64256 64128 0 234576 16 32 8 133 17 0 74 0 8 0 0 1 1 7 1 361 1460.0 1080.0 28.0 921600.0 61312.0 0.0 1080.0 28.0 32.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 13.0 719.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55006 12425 0 12424 30 125971848 12393 125971848 0 0 265 1 1 192.168.101.1 22 6011 0 6011 5028 38136 981 38388 6 252 0 1 1 1565482944334.559 1565482997107.058 52772.499 30.948 38.984 52737.796 52706.422 30.695 30.959 1 1 0 0 0 0 0 0.081114 0.002 41.417 1.185438 4804 63 63 49.306861 30.384 134.04 11.485717999999999 947 64 64 0 0 0 0 0 0 1 1 7 1 57 1460 65160 16 64256 64128 0 366344 16 32 35 174 0 0 56 0 0 0 0 1 1 7 1 431 1460.0 1080.0 28.0 1329664.0 64128.0 0.0 1080.0 28.0 32.0 0.0 6.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 975.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55096 9478 0 9477 27 121772936 9449 121772936 0 0 217 1 1 192.168.101.1 22 5638 0 5638 4681 37308 955 37740 11 432 0 1 1 1565482998499.2258 1565483054741.973 56242.747 30.957 38.5 56209.076 56177.861 30.654 30.967 1 1 0 0 0 0 0 0.076739 0.003 43.808 1.095682 4429 63 63 51.132864 30.393 137.146 10.896485 915 64 64 0 0 0 0 0 0 1 1 7 1 92 1460 65160 16 64256 64128 0 246160 16 32 9 167 0 0 41 0 0 0 0 1 1 7 1 406 1460.0 1080.0 28.0 841472.0 64128.0 0.0 1080.0 28.0 32.0 2.0 9.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 944.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55178 7823 0 7822 25 117574024 7796 117576920 2 2896 191 1 1 192.168.101.1 22 4953 0 4953 4031 35904 920 36192 8 288 0 1 1 1565483056392.427 1565483107374.666 50982.239 30.92 39.31 50947.584 50916.533 30.578 30.929 1 1 0 0 0 0 0 0.095948 0.002 51.235 1.48054 3840 63 63 50.667387 30.448 75.466 11.071786999999999 891 64 64 0 0 0 0 0 0 1 1 7 1 45 1460 65160 16 64256 64128 0 325800 16 32 20 143 0 0 13 0 17 0 0 1 1 7 1 330 1460.0 1080.0 28.0 1433600.0 64128.0 0.0 1080.0 28.0 32.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 912.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55272 7969 0 7968 40 96579456 7927 96579456 0 0 103 1 1 192.168.101.1 22 3881 0 3881 3118 30144 761 31512 9 1368 0 1 1 1565483108514.9067 1565483144424.969 35910.062 31.446 39.089 35876.196 35844.845 30.532 31.46 1 1 0 0 0 0 0 0.1071 0.003 43.402 1.538874 3008 63 63 49.024909 30.45 75.527 12.091467999999999 712 64 64 0 0 0 0 0 0 1 1 7 1 70 1460 65160 16 64256 64128 0 230232 16 32 9 89 5 0 0 0 0 0 0 1 1 7 1 195 1460.0 1080.0 28.0 788096.0 57344.0 0.0 1080.0 28.0 32.0 1.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 23.0 752.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55326 6783 0 6782 24 88181632 6757 88181632 0 0 173 1 1 192.168.101.1 22 3845 0 3845 3150 27768 693 27984 6 216 0 1 1 1565483145399.3882 1565483185807.1619 40407.774 31.5 39.269 40373.059 40341.867 31.091 31.51 1 1 0 0 0 0 0 0.10528 0.003 47.195 1.623759 2952 63 63 52.887868000000005 30.465 75.984 10.854364 670 64 64 0 0 0 0 0 0 1 1 7 1 59 1460 65160 16 64256 64128 0 270776 16 32 11 157 0 0 5 0 0 0 0 1 1 7 1 317 1460.0 1080.0 28.0 939392.0 64128.0 0.0 1080.0 28.0 32.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 687.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55382 7362 0 7361 24 92380544 7336 92380544 0 0 137 1 1 192.168.101.1 22 3877 0 3877 3152 28920 723 29064 4 144 0 1 1 1565483186807.6467 1565483226144.1985 39336.552 31.35 39.549 39302.664 39271.545 31.35 31.376 1 1 0 0 0 0 0 0.1039 0.003 43.596 1.543914 2983 63 63 52.647228000000005 30.36 76.477 11.626416 706 64 64 0 0 0 0 0 0 1 1 7 1 53 1460 65160 16 64256 64128 0 312768 16 32 18 109 0 0 10 0 0 0 0 1 1 7 1 260 1460.0 1080.0 28.0 1018496.0 64128.0 0.0 1080.0 28.0 32.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 719.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55450 6655 0 6654 20 88181632 6633 88181632 0 0 155 1 1 192.168.101.1 22 3804 0 3804 3112 27768 690 27876 3 108 0 1 1 1565483227045.1467 1565483263499.975 36454.828 31.299 39.328 36420.292 36389.249 30.979 31.307 1 1 0 0 0 0 0 0.10786099999999998 0.003 43.466 1.60351 2959 63 63 51.917199 30.447 78.51 11.031634 677 64 64 0 0 0 0 0 0 1 1 7 1 25 1460 65160 16 64256 64128 0 343176 16 32 0 136 0 0 19 0 0 0 0 1 1 7 1 263 1460.0 1080.0 28.0 1616128.0 59264.0 0.0 1080.0 28.0 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 687.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
