#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 40090 293999 0 293998 131 1063491267 293866 1063491268 1 1 0 1 1 192.168.101.1 22 97501 0 97501 88244 337620 9255 337620 0 0 0 1 1 1565245695022.4382 1565245784213.099 89190.661 31.391 40.242 89156.821 89125.067 31.196 31.401 1 1 0 0 0 0 0 0.049888 0.003 43.816 0.257276 88624 63 63 35.172318 30.072 75.245 1.7627689999999998 9125 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 447432 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1116.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 31.0 9255.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40196 341965 0 341964 281 1223226633 341682 1223226636 1 3 0 1 1 192.168.101.1 22 110881 0 110881 100244 395292 10635 395292 0 0 0 1 1 1565245801750.59 1565245905448.853 103698.263 31.512 39.26 103663.75 103631.832 31.154 31.524 1 1 0 0 0 0 0 0.050553 0.003 43.569 0.238139 100770 63 63 34.882092 29.955 76.207 2.147216 10331 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 62848 0 392408 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 3276.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 10633.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40320 349603 0 349602 235 1248447753 349366 1248447756 1 3 0 1 1 192.168.101.1 22 114531 0 114531 103664 403284 10865 403284 0 0 0 1 1 1565245922911.5007 1565246027585.3928 104673.892 31.704 41.2 104639.972 104608.301 31.533 31.714 1 1 0 0 0 0 0 0.046886000000000004 0.002 42.372 0.231562 104149 63 63 35.004808000000004 29.938 77.62 1.8968909999999999 10606 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 414128 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 3240.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 10864.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40454 311749 0 311748 136 1113933673 311611 1113933676 1 3 0 1 1 192.168.101.1 22 102074 0 102074 92379 354828 9693 354828 0 0 0 1 1 1565246043689.621 1565246137143.7185 93454.098 33.497 41.761 93409.029 93377.928 33.284 33.521 1 1 0 0 0 0 0 0.047307999999999996 0.002 47.449 0.257785 92824 63 63 34.706367 29.986 76.3 1.612125 9562 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64000 0 389512 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1100.0 28.0 3089792.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 9693.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40582 312967 0 312966 217 1126545710 312748 1126545712 1 2 0 1 1 192.168.101.1 22 102216 0 102216 92419 359148 9795 359148 0 0 0 1 1 1565246154053.9182 1565246249308.514 95254.596 31.478 40.969 95220.732 95189.603 31.194 31.488 1 1 0 0 0 0 0 0.052204999999999994 0.003 43.997 0.259637 92892 63 63 34.973151 30.012 77.237 1.8983759999999998 9576 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64000 0 528520 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 91.0 9795.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40706 320784 0 320783 120 1185394955 320662 1185394956 1 1 0 1 1 192.168.101.1 22 107311 0 107311 96997 377292 10312 377292 0 0 0 1 1 1565246266420.9106 1565246365871.1987 99450.288 31.573 39.923 99416.848 99385.716 31.407 31.583 1 1 0 0 0 0 0 0.0452 0.002 42.181 0.23820700000000003 97431 63 63 34.855697 29.946 77.645 1.6964009999999998 10193 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 389512 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 101.0 10312.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40830 299874 0 299873 184 1063491375 299688 1063491376 1 1 0 1 1 192.168.101.1 22 97552 0 97552 88297 337548 9253 337548 0 0 0 1 1 1565246381193.866 1565246470687.0457 89493.18 31.502 39.406 89459.722 89428.736 31.301 31.519 1 1 0 0 0 0 0 0.05242 0.002 41.434 0.247329 88695 63 63 34.967619 30.006 76.249 1.8288119999999999 9071 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 519832 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 32.0 9253.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40950 367133 0 367132 114 1198005658 367017 1198005660 1 2 0 1 1 192.168.101.1 22 116432 0 116432 106006 381324 10424 381324 0 0 0 1 1 1565246487809.6387 1565246588263.415 100453.776 31.654 39.437 100416.739 100385.361 31.278 31.667 1 1 0 0 0 0 0 0.054078999999999995 0.003 41.681 0.228595 106501 63 63 35.052576 30.014 75.137 1.5187329999999999 10310 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 501008 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1100.0 28.0 3135744.0 48256.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 121.0 10424.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 41074 318300 0 318299 248 1139156127 318050 1139156128 1 1 0 1 1 192.168.101.1 22 104953 0 104953 95010 367428 9941 367428 0 0 0 1 1 1565246605238.86 1565246701044.08 95805.22 32.138 41.041 95771.108 95739.509 31.865 32.153 1 1 0 0 0 0 0 0.050914 0.003 42.798 0.240923 95439 63 63 35.191549 30.053 75.145 2.066417 9672 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64000 0 495216 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 3708.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 75.0 9940.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 41194 334616 0 334615 199 1235836908 334415 1235836908 0 0 0 1 1 192.168.101.1 22 112591 0 112591 101845 397092 10744 397092 0 0 0 1 1 1565246719892.275 1565246824655.826 104763.551 31.614 47.195 104729.894 104698.551 31.233 31.626 1 1 0 0 0 0 0 0.048311 0.002 43.214 0.238177 102275 63 63 34.651149 30.024 75.356 1.87085 10543 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 538656 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 3852.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 126.0 10743.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 41340 309297 0 309296 176 1139156305 309119 1139156308 1 3 0 1 1 192.168.101.1 22 103658 0 103658 93749 366312 9907 366312 0 0 0 1 1 1565246842616.932 1565246938157.8398 95540.908 31.552 40.657 95505.955 95473.839 31.202 31.563 1 1 0 0 0 0 0 0.04575 0.003 43.987 0.245496 94125 63 63 35.007483 29.988 78.776 1.838111 9730 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 480736 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 3528.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 82.0 9906.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 41462 326394 0 326393 253 1168579506 326139 1168579508 1 2 0 1 1 192.168.101.1 22 105639 0 105639 95476 374736 10161 374736 0 0 0 1 1 1565246955564.6348 1565247054387.4487 98822.814 31.346 39.408 98788.873 98757.544 31.202 31.382 1 1 0 0 0 0 0 0.046588 0.002 43.043 0.244022 95858 63 63 34.681871 30.014 77.934 1.789939 9909 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 472048 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 2808.0 28.0 3145728.0 64128.0 0.0 3384.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 113.0 10161.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 41594 343266 0 343265 236 1235837086 343028 1235837088 1 2 0 1 1 192.168.101.1 22 111947 0 111947 101204 393996 10741 393996 0 0 0 1 1 1565247072165.965 1565247176513.4153 104347.45 31.991 41.281 104313.735 104282.465 31.667 31.999 1 1 0 0 0 0 0 0.048298 0.003 43.856 0.24291500000000002 101643 63 63 34.891690000000004 30.051 74.758 2.107417 10500 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64000 0 402544 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1208.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 131.0 10741.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 41730 309490 0 309489 246 1101324556 309242 1101324556 0 0 0 1 1 192.168.101.1 22 101140 0 101140 91562 351840 9576 351840 0 0 0 1 1 1565247192847.96 1565247286682.57 93834.61 31.285 39.17 93801.159 93768.413 31.076 31.297 1 1 0 0 0 0 0 0.052299 0.003 43.882 0.250772 92006 63 63 35.113869 30.049 75.048 2.104093 9326 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64000 0 467704 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1244.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 122.0 9576.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 41838 304134 0 304133 170 1109731449 303962 1109731452 1 3 0 1 1 192.168.101.1 22 99675 0 99675 90029 356844 9644 356844 0 0 0 1 1 1565247303113.32 1565247396501.735 93388.415 31.439 39.723 93353.983 93322.786 31.305 31.452 1 1 0 0 0 0 0 0.047647 0.002 42.825 0.249507 90459 63 63 34.918006 29.976 78.513 1.897172 9466 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 422816 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 2808.0 28.0 3145344.0 49536.0 0.0 3384.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 62.0 9644.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
