#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 58896 11498 0 11497 249 105088672 11247 105088672 0 0 0 1 1 192.168.101.1 22 2800 0 2800 1873 36336 925 36336 0 0 0 1 1 1565239489799.7827 1565239494798.5667 4998.784 31.017 38.495 4963.841 4932.405 30.687 31.042 1 1 0 0 0 0 0 0.112811 0.002 41.073 1.618754 1927 63 63 32.41901 30.082 76.447 5.106659 676 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 883280 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 34.0 925.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58908 11517 0 11516 146 96681768 11369 96681768 0 0 0 1 1 192.168.101.1 22 2960 0 2960 2105 33744 853 33744 0 0 0 1 1 1565239495711.576 1565239500345.4338 4633.858 31.035 40.762 4598.938 4567.579 30.747 31.046 1 1 0 0 0 0 0 0.12081300000000002 0.002 42.453 1.552992 2162 63 63 31.758633000000003 30.0 75.377 4.1628169999999995 708 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 415576 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 853.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58910 14376 0 14375 290 126106416 14084 126106416 0 0 0 1 1 192.168.101.1 22 3291 0 3291 2180 42996 1109 42996 0 0 0 1 1 1565239501406.4302 1565239507093.411 5686.981 31.125 39.467 5652.557 5621.154 30.883 31.138 1 1 0 0 0 0 0 0.10562300000000001 0.002 44.886 1.537719 2287 63 63 32.577712 30.098 77.026 5.471362 811 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 531416 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 1109.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58924 12004 0 12003 322 109292120 11680 109292120 0 0 0 1 1 192.168.101.1 22 2512 0 2512 1549 37632 961 37632 0 0 0 1 1 1565239508072.66 1565239513301.523 5228.863 31.188 40.546 5194.112 5162.786 30.864 31.201 1 1 0 0 0 0 0 0.121386 0.002 43.685 1.8271389999999998 1637 63 63 33.340613 30.082 76.753 6.770103 642 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 435848 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 961.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58936 14146 0 14145 164 100885185 13980 100885188 1 3 0 1 1 192.168.101.1 22 3155 0 3155 2265 35004 888 35004 0 0 0 1 1 1565239514251.545 1565239519037.3457 4785.801 30.906 38.599 4752.265 4720.921 30.784 30.928 1 1 0 0 0 0 0 0.10662999999999999 0.002 40.826 1.4696200000000001 2322 63 63 31.677666 29.993 75.749 4.13131 721 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 661736 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 888.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58940 16812 0 16811 135 113495782 16675 113495784 1 2 0 1 1 192.168.101.1 22 4082 0 4082 3079 39072 1001 39072 0 0 0 1 1 1565239520032.999 1565239525200.8162 5167.817 31.001 40.95 5133.372 5102.15 30.681 31.014 1 1 0 0 0 0 0 0.084954 0.002 43.879 1.3045010000000001 3133 63 63 31.455728999999998 30.021 76.552 3.8208059999999997 854 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 402544 16 32 0 0 0 0 1 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 1001.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58944 11461 0 11460 176 96680904 11283 96680904 0 0 0 1 1 192.168.101.1 22 3010 0 3010 2157 33672 851 33672 0 0 0 1 1 1565239525949.5027 1565239530632.915 4683.412 30.779 38.439 4649.634 4618.432 30.613 30.79 1 1 0 0 0 0 0 0.10821199999999999 0.002 43.02 1.5317209999999999 2247 63 63 32.483435 30.001 76.842 5.450483999999999 657 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 469152 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 37.0 851.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58960 13816 0 13815 324 121902716 13490 121902716 0 0 0 1 1 192.168.101.1 22 3069 0 3069 1996 41592 1071 41592 0 0 0 1 1 1565239531694.173 1565239537239.314 5545.141 30.891 38.553 5510.721 5479.503 30.573 30.901 1 1 0 0 0 0 0 0.105512 0.003 43.575 1.615089 2083 63 63 32.940209 30.17 77.758 5.902 746 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 451776 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3143680.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 23.0 1071.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58970 10841 0 10840 133 88274728 10706 88274728 0 0 0 1 1 192.168.101.1 22 2921 0 2921 2140 31116 779 31116 0 0 0 1 1 1565239538007.0293 1565239542385.865 4378.836 31.037 38.442 4343.928 4312.927 30.768 31.047 1 1 0 0 0 0 0 0.10569500000000001 0.002 41.358 1.5200049999999998 2177 63 63 31.435065 30.04 77.809 4.1809400000000005 646 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 473496 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 779.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58972 15002 0 15001 126 109292192 14874 109292192 0 0 0 1 1 192.168.101.1 22 4525 0 4525 3561 37776 962 37776 0 0 0 1 1 1565239543194.286 1565239548290.216 5095.93 31.019 42.528 5061.21 5029.916 30.823 31.029 1 1 0 0 0 0 0 0.075347 0.002 43.928 1.2287 3590 63 63 31.446627000000003 29.996 78.627 4.007636 836 64 64 0 0 0 0 0 0 1 1 7 1 0 1460 65160 16 64256 64128 0 558928 16 32 0 0 0 0 0 0 0 0 0 1 1 7 1 0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 962.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
